RGSE,Real Goods Solar,NASDAQ
3.24,3.22,3.52,3.06
3.25,3.50,3.50,3.25
3.68,3.83,3.91,3.49
3.75,3.63,3.91,3.55
3.67,3.68,3.75,3.64
3.76,3.74,3.76,3.73
3.75,3.65,3.89,3.56
3.60,3.58,3.71,3.36
3.60,3.60,3.60,3.57
3.60,3.54,3.65,3.41
3.51,3.80,3.88,3.50
3.77,3.82,3.88,3.51
3.78,3.70,3.84,3.50
3.51,3.35,3.69,3.26
3.33,3.17,3.50,3.15
3.15,3.25,3.25,3.05
3.20,3.19,3.20,3.10
3.25,3.16,3.25,3.10
3.30,3.20,3.47,3.19
3.08,3.19,3.19,3.08
3.10,3.15,3.24,3.03
3.13,3.10,3.20,3.03
3.11,3.01,3.11,3.00
3.00,3.14,3.19,2.99
3.20,3.12,3.23,3.12
3.21,3.21,3.21,2.96
3.16,3.19,3.19,3.15
3.16,3.12,3.17,3.11
3.10,3.20,3.20,3.10
3.11,3.10,3.20,3.10
3.10,3.04,3.15,2.96
3.04,3.04,3.05,3.02
3.05,3.06,3.09,3.05
3.10,3.09,3.10,3.00
3.09,3.06,3.09,3.02
3.06,3.09,3.09,3.06
3.05,3.03,3.06,3.02
3.04,3.04,3.05,3.04
2.99,3.01,3.01,2.99
2.96,2.91,3.03,2.87
2.93,3.01,3.03,2.92
2.95,2.96,3.05,2.95
3.09,3.04,3.10,2.92
3.08,3.05,3.08,3.04
3.20,3.17,3.20,3.06
3.15,3.14,3.17,3.09
3.11,3.15,3.19,3.08
3.19,3.27,3.27,3.16
3.29,3.32,3.36,3.27
3.44,3.42,3.44,3.31
3.25,3.39,3.44,3.25
3.40,3.46,3.48,3.37
3.45,3.45,3.50,3.36
3.45,3.36,3.45,3.36
3.33,3.39,3.39,3.32
3.40,3.47,3.49,3.40
3.45,3.41,3.45,3.41
3.46,3.39,3.46,3.35
3.35,3.40,3.40,3.35
3.45,3.36,3.45,3.35
3.42,3.41,3.42,3.39
3.40,3.36,3.40,3.36
3.38,3.43,3.45,3.38
3.39,3.54,3.54,3.39
3.46,3.42,3.51,3.42
3.42,3.49,3.65,3.41
3.55,3.62,3.68,3.55
3.65,3.68,3.82,3.60
3.70,3.77,3.84,3.67
3.85,3.72,3.90,3.72
3.68,3.79,3.84,3.68
3.83,3.68,3.83,3.68
3.67,3.62,3.72,3.34
3.68,3.66,3.74,3.66
3.74,3.77,3.85,3.70
3.74,3.66,3.78,3.66
3.66,3.66,3.67,3.62
3.66,3.67,3.71,3.46
3.65,3.63,3.67,3.63
3.72,3.66,3.75,3.66
3.70,3.65,3.75,3.62
3.68,3.60,3.80,3.60
3.65,3.75,3.85,3.65
3.70,3.67,3.73,3.67
3.69,3.72,3.72,3.67
3.72,3.80,3.85,3.66
3.66,3.66,3.75,3.60
3.75,3.66,3.78,3.62
3.69,3.67,3.73,3.65
3.71,3.84,3.84,3.69
3.87,4.15,4.28,3.84
4.02,4.34,4.42,4.02
4.34,4.50,4.55,4.31
4.55,4.49,4.80,4.45
4.52,4.19,4.64,4.11
4.19,4.16,4.19,3.98
3.99,3.85,4.01,3.82
3.83,3.51,3.83,3.47
3.53,3.37,3.53,3.20
3.37,3.48,3.51,3.37
3.38,3.50,3.50,3.37
3.52,3.50,3.64,3.48
3.57,3.48,3.57,3.45
3.52,3.45,3.52,3.39
3.37,3.49,3.49,3.35
3.50,3.32,3.50,3.32
3.40,3.36,3.48,3.32
3.32,3.27,3.32,3.20
3.27,3.27,3.30,3.27
3.32,3.43,3.43,3.26
3.44,3.43,3.48,3.37
3.43,3.31,3.43,3.30
3.34,3.30,3.35,3.20
3.30,3.37,3.50,3.28
3.47,3.28,3.49,3.28
3.20,3.19,3.29,3.10
3.18,3.17,3.18,3.13
3.19,3.15,3.19,3.09
3.07,3.06,3.12,3.01
3.11,3.19,3.19,3.01
3.05,3.19,3.19,3.00
3.47,3.32,3.47,3.22
3.32,3.15,3.32,3.13
3.23,3.16,3.23,3.15
3.15,3.05,3.15,3.00
3.00,3.05,3.10,3.00
3.09,2.96,3.09,2.93
2.83,2.94,2.94,2.83
2.89,2.91,3.10,2.60
2.93,2.93,3.01,2.70
3.07,2.91,3.07,2.91
2.92,2.90,2.99,2.90
2.87,2.85,2.87,2.65
2.71,2.75,2.75,2.70
2.78,2.72,2.78,2.72
2.75,2.69,2.75,2.69
2.70,2.73,2.73,2.70
2.71,2.71,2.71,2.67
2.70,2.72,2.73,2.66
2.74,2.76,2.85,2.66
2.76,2.78,2.82,2.74
2.82,2.80,2.82,2.73
2.74,2.80,2.90,2.74
2.75,2.65,2.75,2.65
2.65,2.52,2.65,2.50
2.60,2.53,2.60,2.50
2.57,2.84,2.92,2.57
2.89,2.82,2.89,2.79
2.61,2.93,3.00,2.61
3.00,3.00,3.14,3.00
3.08,3.20,3.25,3.00
3.22,3.19,3.25,3.03
3.16,3.14,3.22,2.91
3.18,2.87,3.18,2.87
2.88,2.93,2.97,2.88
3.14,2.87,3.14,2.87
2.91,2.91,3.01,2.87
3.08,2.82,3.19,2.82
2.82,2.81,3.00,2.81
