SINO,Sino-Global Shipping America,NASDAQ
3.31,3.50,3.50,3.29
3.32,3.52,3.52,3.32
3.35,3.51,3.51,3.35
3.51,3.60,3.72,3.51
3.46,3.37,3.70,3.37
3.40,3.38,3.42,3.38
3.58,3.33,3.58,3.33
3.44,3.32,3.44,3.32
3.33,3.33,3.33,3.33
3.69,3.52,3.70,3.34
3.52,3.52,3.52,3.52
3.41,3.63,3.63,3.33
3.42,3.30,3.46,3.30
3.37,3.30,3.50,3.30
3.32,3.32,3.32,3.32
3.49,3.49,3.49,3.49
3.45,3.40,3.45,3.40
3.39,3.39,3.39,3.39
3.22,2.90,3.39,2.86
3.00,2.96,3.11,2.96
3.13,2.96,3.13,2.91
3.14,3.12,3.15,3.12
3.00,2.86,3.00,2.86
2.86,2.86,2.86,2.84
2.86,2.86,2.86,2.86
2.84,2.99,3.00,2.77
2.99,2.99,2.99,2.99
2.99,2.99,2.99,2.85
3.01,3.04,3.10,2.99
3.10,3.06,3.10,3.06
3.06,3.06,3.06,3.06
3.01,3.00,3.01,3.00
3.46,3.36,3.46,3.36
3.34,3.24,3.34,3.24
3.13,3.06,3.13,2.82
3.06,3.06,3.06,3.06
3.02,3.00,3.05,3.00
3.03,3.03,3.03,3.03
3.03,3.03,3.03,3.03
2.56,2.81,3.02,2.56
2.56,3.03,3.03,2.56
2.85,2.85,2.85,2.85
3.01,3.03,3.03,2.98
2.85,3.15,3.38,2.85
3.31,3.25,3.31,3.10
3.51,3.48,3.60,3.29
3.32,3.36,3.36,3.32
3.36,3.18,3.36,3.18
3.60,4.30,4.47,3.55
4.50,4.20,4.95,3.99
4.26,4.27,4.80,4.23
4.20,3.85,4.20,3.77
3.62,3.62,3.94,3.62
3.56,4.18,4.18,3.56
4.24,4.30,4.38,4.07
4.20,4.24,4.30,4.20
4.17,4.00,4.30,3.89
4.95,3.92,4.95,3.92
3.93,4.13,4.36,3.87
4.19,4.00,4.20,4.00
4.20,4.09,4.25,4.00
3.90,3.88,3.99,3.77
3.81,3.78,3.85,3.70
3.78,3.78,3.91,3.34
3.60,3.60,3.60,3.60
3.50,3.69,3.83,3.50
3.90,3.68,3.90,3.60
3.68,3.51,3.71,3.51
3.59,3.64,3.70,3.50
3.59,3.63,3.72,3.58
3.76,3.63,3.76,3.52
3.55,3.55,3.68,3.55
3.51,3.55,3.55,3.40
3.55,3.55,3.55,3.40
3.57,3.50,3.57,3.30
3.40,3.40,3.46,3.40
3.49,3.50,3.50,3.40
3.55,3.48,3.55,3.42
3.49,3.40,3.49,3.40
3.43,3.40,3.55,3.40
3.45,3.56,3.65,3.45
3.35,3.57,3.57,3.24
3.33,3.35,3.36,3.33
3.40,3.40,3.40,3.39
3.50,3.54,3.54,3.36
3.34,3.33,3.51,3.11
3.32,3.25,3.32,2.67
3.32,3.18,3.32,3.05
3.02,3.06,3.06,3.02
3.13,3.02,3.13,3.02
2.88,3.16,3.19,2.88
3.00,3.06,3.10,2.98
3.18,2.97,3.18,2.97
2.91,3.00,3.01,2.91
3.17,3.07,3.18,3.07
2.92,2.91,3.09,2.91
2.91,2.91,2.94,2.91
2.90,2.85,2.90,2.85
2.80,2.64,2.80,2.60
2.64,2.67,2.68,2.60
2.92,2.84,2.92,2.84
2.80,2.93,2.93,2.61
2.94,3.04,3.05,2.94
3.01,3.03,3.03,2.83
3.05,3.22,3.29,3.05
3.30,3.06,3.30,3.06
3.10,3.06,3.10,3.06
3.27,3.07,3.28,3.06
3.27,3.11,3.27,3.06
3.06,3.06,3.24,3.06
3.06,3.06,3.19,3.06
3.08,2.99,3.25,2.99
2.86,2.85,3.00,2.77
2.85,2.85,2.85,2.85
2.86,2.99,3.16,2.77
2.78,2.81,3.10,2.68
2.74,2.80,2.81,2.74
2.71,2.71,2.96,2.71
2.71,2.71,2.71,2.71
2.56,2.55,2.56,2.55
2.60,2.71,2.86,2.60
2.64,2.30,2.64,2.11
2.35,2.42,2.51,2.35
2.38,2.35,2.50,2.30
2.30,2.40,2.40,2.30
2.40,2.40,2.40,2.40
2.48,2.49,2.49,2.48
2.50,2.40,2.50,2.40
2.40,2.23,2.40,2.18
2.31,2.31,2.44,2.31
2.31,2.36,2.36,2.12
2.32,2.35,2.35,2.31
2.35,2.35,2.35,2.35
2.40,2.38,2.40,2.35
2.13,2.33,2.33,2.11
2.27,2.34,2.39,2.27
2.36,2.38,2.38,2.36
2.38,2.38,2.38,2.38
2.21,2.46,2.47,2.11
2.46,2.46,2.46,2.46
2.33,2.33,2.33,2.31
2.31,2.30,2.45,2.30
2.43,2.34,2.45,2.34
2.33,2.39,2.44,2.33
2.34,2.21,2.34,2.13
2.38,2.38,2.40,2.38
2.14,2.40,2.43,2.14
2.40,2.28,2.40,2.25
2.30,2.40,2.40,2.30
2.40,2.40,2.41,2.30
2.44,2.65,2.65,2.44
2.61,2.51,2.61,2.48
2.50,2.40,2.65,2.40
2.64,2.40,2.64,2.38
2.50,2.59,2.59,2.50
2.57,2.43,2.59,2.40
2.43,2.58,2.59,2.43
2.60,2.60,2.60,2.57
2.63,2.63,2.64,2.60
2.63,2.63,2.63,2.63
2.45,2.62,2.62,2.39
2.44,2.45,2.51,2.26
2.43,2.36,2.43,2.36
2.36,2.34,2.44,2.30
2.45,2.45,2.45,2.45
2.40,2.28,2.40,2.28
2.39,2.48,2.48,2.39
2.46,2.45,2.50,2.45
2.35,2.35,2.35,2.35
2.49,2.49,2.49,2.49
2.48,2.40,2.50,2.36
2.41,2.47,2.48,2.39
2.50,2.60,2.64,2.50
2.60,2.60,2.60,2.60
2.60,2.59,2.60,2.59
2.50,2.51,2.59,2.35
2.36,2.50,2.55,2.35
2.46,2.46,2.46,2.46
2.30,2.42,2.55,2.29
2.30,2.34,2.50,2.30
2.32,2.37,2.56,2.32
2.33,2.28,2.54,2.26
2.28,2.28,2.28,2.28
2.31,2.49,2.54,2.31
2.50,2.32,2.53,2.32
2.59,2.49,2.59,2.49
2.38,2.41,2.49,2.38
2.41,2.41,2.41,2.41
2.32,2.52,2.56,2.30
2.48,2.39,2.48,2.34
2.39,2.30,2.39,2.30
2.30,2.40,2.40,2.26
2.40,2.40,2.40,2.40
2.29,2.39,2.39,2.29
2.28,2.31,2.39,2.28
2.31,2.31,2.31,2.31
2.31,2.40,2.40,2.24
2.35,2.39,2.39,2.23
2.26,2.40,2.40,2.26
2.39,2.29,2.50,2.29
2.29,2.29,2.29,2.29
2.25,2.25,2.27,2.23
2.33,2.33,2.33,2.33
2.36,2.36,2.36,2.36
2.36,2.36,2.36,2.36
2.26,2.23,2.26,2.23
2.23,2.23,2.23,2.23
2.21,2.18,2.22,2.12
2.10,2.26,2.28,2.10
2.27,2.27,2.27,2.27
2.23,2.34,2.35,2.23
2.34,2.26,2.34,2.26
2.11,2.31,2.60,2.10
2.54,2.48,2.65,2.42
2.40,2.43,2.65,2.23
2.35,2.47,2.81,2.33
2.54,2.55,2.55,2.25
2.55,3.15,3.36,2.55
3.19,3.16,3.25,3.03
3.17,3.12,3.18,3.04
3.00,2.53,3.10,2.53
2.60,2.92,2.92,2.60
3.10,2.90,3.10,2.80
2.85,2.70,2.97,2.70
2.87,2.78,3.10,2.74
2.71,2.77,2.78,2.70
2.79,3.02,3.14,2.68
3.02,2.64,3.02,2.60
2.69,2.30,2.72,2.20
2.26,2.30,2.48,2.22
2.30,2.36,2.36,2.30
2.31,2.15,2.34,2.13
2.25,2.42,2.44,2.17
2.42,2.41,2.42,2.29
2.42,2.27,2.42,2.25
2.26,2.25,2.38,2.25
2.36,2.38,2.38,2.36
2.48,2.32,2.48,2.25
2.27,2.26,2.40,2.25
2.30,2.49,2.49,2.26
2.49,2.49,2.49,2.49
2.43,2.48,2.48,2.42
2.53,2.53,2.53,2.53
2.53,2.31,2.53,2.31
2.49,2.35,2.49,2.35
2.30,2.26,2.46,2.26
2.40,2.39,2.40,2.26
2.26,2.35,2.43,2.25
2.39,2.17,2.50,2.17
2.42,2.40,2.59,2.18
2.28,2.39,2.39,2.28
2.35,2.38,2.47,2.25
2.43,2.44,2.52,2.38
