CFR,Cullen/Frost Bankers,NASDAQ
50.32,50.09,50.45,49.93
50.00,50.04,50.23,49.63
49.93,50.35,50.59,49.55
50.11,51.42,51.71,49.94
51.35,51.20,51.72,50.88
51.62,50.62,51.70,50.52
50.39,50.16,50.55,49.84
50.49,51.19,51.38,49.93
51.00,51.81,52.04,51.00
51.75,51.61,52.09,51.02
51.50,52.21,52.48,51.40
51.86,52.15,52.44,51.35
52.08,52.34,53.20,51.97
52.16,51.44,52.71,51.18
51.87,51.45,51.87,50.68
51.50,51.71,53.11,51.27
51.56,52.63,52.77,51.39
52.87,52.44,53.18,51.91
52.48,51.32,52.48,51.32
51.60,51.70,51.97,51.31
51.90,52.18,52.41,51.34
52.05,51.51,52.08,51.20
51.22,51.00,51.68,50.91
51.13,51.60,52.02,50.48
51.52,50.93,51.63,50.93
51.28,51.23,51.71,50.76
51.06,51.72,52.17,51.02
51.76,52.13,52.23,51.50
51.72,52.26,52.26,51.56
52.60,53.04,53.04,52.15
53.04,52.69,53.29,52.32
52.82,52.89,53.04,52.63
52.93,53.49,53.67,52.80
53.28,53.82,53.99,53.28
53.57,53.65,53.95,53.40
53.94,54.42,54.75,53.72
53.56,53.93,53.97,52.74
54.04,54.15,54.22,53.51
54.08,54.09,54.28,53.78
54.11,54.30,54.54,54.04
54.48,54.20,54.76,54.06
54.17,54.17,54.50,53.96
54.42,54.99,55.00,54.13
54.95,54.95,55.28,54.73
54.02,54.28,54.95,53.95
54.41,55.21,55.53,54.22
55.06,55.59,55.59,54.80
55.32,54.91,55.73,54.61
55.03,55.16,55.25,54.63
55.16,55.79,55.82,54.80
55.80,56.20,56.39,55.71
56.07,55.91,56.32,55.61
56.16,56.02,56.30,55.48
55.58,56.49,56.59,55.58
56.62,56.70,56.70,55.86
56.24,56.01,56.63,55.94
56.47,55.95,57.14,55.91
56.25,55.50,56.34,55.21
55.72,55.67,55.77,55.03
55.81,55.89,56.20,55.58
55.57,55.80,56.45,55.48
55.87,55.96,56.07,55.33
56.24,56.35,56.39,55.84
56.21,57.04,57.29,56.21
57.07,56.69,57.37,56.43
56.58,56.92,57.19,56.27
56.93,57.00,57.02,56.53
56.99,57.01,57.26,56.75
56.94,56.95,57.15,56.60
57.16,57.91,57.97,57.10
57.97,57.25,58.03,57.22
57.21,56.38,57.31,55.33
56.07,56.80,57.07,55.82
57.13,57.79,57.79,56.75
57.91,58.61,58.80,57.59
58.14,59.36,59.46,57.69
59.27,59.44,59.73,59.00
59.52,58.52,59.71,58.31
58.11,57.80,58.79,57.64
58.23,57.94,59.00,57.66
58.74,59.62,60.00,58.31
59.54,59.36,60.78,59.34
59.75,59.69,59.99,59.22
59.13,59.22,59.42,58.59
58.72,58.86,59.55,58.45
58.61,56.93,59.07,53.59
56.92,56.52,57.59,55.95
58.69,58.55,59.59,57.68
57.91,59.27,59.99,57.91
59.60,59.52,59.74,58.74
59.51,58.74,59.51,58.68
58.36,57.47,58.43,57.13
57.63,57.94,58.08,56.50
58.24,56.36,58.60,56.23
56.20,56.44,57.22,55.67
55.48,54.32,56.03,53.63
54.05,55.21,55.43,53.85
54.90,54.27,55.30,54.21
53.37,54.53,54.66,52.88
54.58,54.63,55.20,54.19
55.37,55.67,55.71,54.51
55.59,54.88,55.75,54.68
54.66,53.56,54.87,53.53
53.68,54.73,54.77,53.37
54.74,54.40,54.95,54.00
53.61,52.42,53.69,52.29
52.65,52.03,53.06,52.01
52.26,52.88,52.98,51.76
53.04,52.05,53.18,51.89
52.66,53.22,53.31,52.45
52.80,53.41,53.47,52.50
53.67,53.08,54.01,52.96
53.57,54.29,54.37,53.27
53.93,54.37,54.56,53.87
54.39,54.38,54.67,53.74
54.31,54.34,54.62,53.86
54.75,54.16,54.94,53.93
54.07,53.46,54.74,53.42
53.39,53.14,53.82,53.00
53.05,52.51,53.24,52.38
52.70,53.07,53.38,52.59
53.26,53.46,53.64,52.81
52.85,52.08,52.89,51.94
52.01,51.40,52.55,51.39
51.56,50.93,51.73,50.04
51.14,50.68,51.14,50.34
52.30,51.15,52.30,50.82
51.46,52.92,52.92,51.42
53.24,52.87,53.53,52.28
52.68,53.19,53.26,52.54
52.97,52.84,53.34,52.57
53.35,54.32,54.44,53.35
54.09,53.51,54.16,52.80
53.53,53.23,53.53,52.45
53.09,51.53,53.09,51.41
51.67,51.28,51.73,50.90
50.83,51.78,51.81,50.59
52.36,50.61,52.65,50.54
51.19,51.84,51.90,50.62
51.65,52.35,52.73,51.35
52.50,53.15,53.26,52.19
53.56,53.51,54.25,53.46
53.58,54.10,55.14,53.58
54.57,55.61,56.00,54.57
55.27,55.21,55.83,54.86
55.93,55.93,55.95,55.46
55.60,55.71,56.65,55.56
55.71,55.81,55.97,55.37
55.45,55.37,55.62,55.06
54.87,54.29,55.01,53.56
54.72,54.84,54.90,54.19
54.44,54.63,55.25,54.26
53.72,53.18,53.85,53.08
52.85,52.95,53.22,52.31
52.94,52.26,53.01,52.26
52.12,52.64,52.72,51.98
