WEX,WEX Inc. common stock,NASDAQ
32.35,33.32,33.39,32.35
33.18,32.88,33.31,32.27
33.01,32.83,33.25,31.98
32.75,32.23,32.90,31.70
32.23,32.13,32.23,31.79
32.05,32.26,32.41,31.69
32.12,31.91,32.37,31.56
31.92,33.13,33.34,31.65
33.15,33.00,33.25,32.85
33.11,32.82,33.11,32.34
32.97,33.51,33.53,32.84
33.11,32.61,33.38,32.37
32.75,32.19,33.08,32.18
32.18,31.00,32.36,30.87
31.39,30.73,31.64,30.68
30.50,29.54,30.53,29.51
29.35,29.28,29.38,28.85
29.28,29.45,29.67,28.97
29.59,29.36,29.69,29.05
29.34,29.72,30.05,29.06
29.83,29.92,30.20,29.69
29.66,29.90,30.08,29.59
29.59,29.07,29.90,29.05
29.09,29.00,29.09,28.23
28.89,28.76,29.08,28.14
29.06,28.50,29.22,28.34
28.49,27.98,28.50,27.74
28.00,29.05,29.08,27.71
28.81,29.25,29.25,28.76
29.17,29.84,29.87,28.78
29.87,29.77,30.00,29.55
29.66,30.52,30.91,29.59
30.45,30.48,30.66,30.26
30.48,30.15,30.55,30.10
30.02,29.99,30.08,29.28
29.99,29.47,29.99,29.39
28.99,28.26,28.99,28.03
28.20,28.32,28.43,27.63
28.41,29.45,29.46,28.23
29.64,29.84,29.99,29.28
29.98,30.06,30.27,29.83
30.22,30.53,30.62,30.01
30.52,31.12,31.30,30.51
31.03,30.84,31.23,30.82
30.84,30.71,31.13,30.48
30.72,30.85,31.05,30.50
30.67,31.00,31.07,30.62
31.20,31.10,31.23,30.63
30.96,31.10,31.23,30.45
31.04,30.53,31.04,30.01
30.50,31.34,31.49,30.31
31.25,31.36,31.56,31.21
31.40,31.40,31.77,31.16
31.09,31.62,31.65,31.01
31.54,31.61,31.64,31.16
31.40,31.16,31.58,31.11
31.96,31.25,31.96,31.21
31.26,31.30,31.64,31.24
31.36,30.85,31.47,30.54
30.79,31.08,31.20,30.38
30.89,30.12,31.32,30.11
30.37,30.43,30.70,30.06
30.43,31.04,31.16,30.43
31.14,31.62,31.66,30.79
31.36,31.29,31.82,31.07
31.26,30.76,31.33,30.68
30.79,30.69,30.85,30.18
30.79,30.67,30.85,30.22
30.69,30.72,30.96,30.33
30.92,32.61,32.72,30.52
32.75,34.08,34.28,32.71
34.08,34.30,34.46,34.04
34.08,34.30,34.54,34.02
33.36,34.31,34.36,33.21
34.30,34.40,34.48,34.04
34.01,35.13,35.22,33.98
35.01,35.53,35.60,34.89
35.60,35.55,35.97,35.35
35.16,34.49,35.42,34.32
34.82,34.17,34.98,33.96
34.31,34.95,34.95,33.87
35.06,33.97,35.34,33.87
33.90,34.34,34.44,33.90
33.81,32.85,33.81,32.45
33.62,33.60,33.97,33.11
33.47,32.92,34.04,31.36
32.76,32.17,32.85,31.70
33.34,33.68,33.76,32.98
33.41,33.58,34.24,33.25
33.67,34.51,34.68,33.46
34.31,34.16,34.82,33.86
33.89,32.65,33.94,32.27
32.85,32.56,33.16,31.95
33.01,33.01,33.33,32.75
32.76,32.83,33.07,32.50
32.12,32.12,32.59,31.44
31.73,31.86,32.30,31.34
31.74,31.53,31.94,31.23
30.69,30.89,31.37,30.11
30.96,30.98,32.12,30.72
31.75,31.72,31.75,31.14
31.64,31.40,31.78,31.25
31.19,30.76,31.48,30.76
30.85,31.58,31.61,30.25
31.43,32.06,32.20,31.43
31.08,30.21,31.51,30.13
30.40,29.66,30.42,29.58
29.77,29.42,29.77,29.14
29.58,29.60,30.09,29.29
30.12,30.34,30.43,29.88
29.90,31.11,31.11,29.88
31.47,31.21,31.64,31.03
31.31,31.99,32.09,31.24
31.86,32.34,32.64,31.73
32.40,32.59,32.96,32.26
32.52,31.80,32.52,31.62
32.28,31.31,32.28,31.00
31.44,31.01,31.97,30.97
31.01,31.32,31.66,30.75
31.13,31.05,31.59,30.90
31.24,31.30,31.64,31.07
31.42,31.12,31.70,31.09
30.68,29.76,30.72,29.57
29.81,29.70,30.09,29.46
29.65,29.51,29.69,28.79
29.67,29.18,29.69,29.00
29.69,28.73,29.92,28.58
28.92,30.09,30.09,28.82
30.42,31.26,31.37,30.38
31.19,32.08,32.08,31.13
31.94,31.68,32.20,31.41
32.14,32.68,32.76,31.83
32.51,32.58,32.83,32.21
32.58,32.47,32.68,32.00
32.26,31.58,32.30,31.29
31.61,31.64,31.88,31.04
31.33,31.82,31.83,30.95
31.96,31.20,31.96,31.15
31.61,32.65,32.75,31.46
32.59,34.29,34.32,32.47
34.44,35.21,35.22,34.23
35.56,33.32,35.56,32.88
33.25,33.45,33.61,32.99
33.82,33.27,34.02,32.68
32.96,34.99,35.53,32.73
35.75,36.10,36.20,33.48
35.84,35.80,36.06,35.40
35.84,35.81,36.09,35.57
35.50,35.42,35.99,35.31
35.04,35.44,35.49,34.31
35.63,36.29,36.31,35.56
35.79,34.95,36.00,34.78
34.00,33.19,34.12,32.80
32.30,32.75,32.87,32.28
32.54,32.51,32.69,32.09
32.26,32.38,32.91,32.04
32.81,33.33,33.62,32.56
33.33,33.77,33.89,32.88
33.54,32.77,33.55,32.73
32.54,32.87,32.92,32.17
32.99,32.20,33.11,32.02
31.79,31.66,32.04,31.09
31.35,32.35,32.44,31.35
32.38,32.50,33.23,32.38
32.83,32.93,32.98,31.97
32.76,32.54,33.03,32.54
32.36,32.11,32.53,31.58
32.50,33.20,33.31,31.95
33.25,33.56,33.64,32.85
33.93,34.01,34.18,33.72
33.84,32.91,33.84,32.85
33.03,32.91,33.15,32.69
33.38,33.03,33.61,32.85
33.05,32.82,33.14,32.55
33.16,33.64,33.84,32.91
33.61,33.59,33.92,33.37
33.39,33.82,34.20,33.15
33.67,33.33,33.70,32.66
33.50,33.40,33.69,32.94
33.47,34.08,34.14,33.25
34.15,34.25,34.67,33.89
34.05,34.29,34.45,33.72
33.95,33.96,34.46,33.65
34.42,35.33,35.33,34.24
35.31,35.02,35.31,34.68
35.21,36.00,36.13,34.37
35.72,35.82,35.99,35.52
36.14,35.71,36.58,35.39
35.99,35.90,35.99,35.52
35.69,35.87,36.20,35.41
36.36,36.39,36.39,36.02
36.20,36.30,36.58,36.03
36.56,36.00,36.57,35.86
35.91,36.36,36.51,35.50
36.35,36.79,37.04,36.26
36.57,36.73,36.83,36.14
36.94,37.58,37.73,36.72
37.62,37.95,37.99,37.50
38.37,37.94,38.48,37.87
37.97,38.21,38.25,37.75
37.63,37.78,38.65,37.45
37.92,37.89,38.24,37.83
38.19,37.85,38.79,37.36
37.88,38.11,38.33,37.87
38.37,38.34,38.80,38.11
38.05,38.30,38.72,37.93
37.97,37.49,38.16,37.20
37.74,37.32,37.92,37.04
