IWR,iShares Russell Mid-Cap ETF,NASDAQ
83.34,83.74,83.88,83.18
83.58,84.14,84.17,83.40
84.19,84.54,84.65,84.08
84.45,84.88,84.99,84.07
84.65,85.25,85.28,84.41
85.58,85.29,85.73,84.95
84.73,84.31,84.82,83.89
84.61,85.22,85.34,83.97
84.97,85.38,85.50,84.94
85.28,84.26,85.43,84.02
84.37,85.31,85.37,84.24
84.64,84.53,84.69,83.83
84.65,83.29,85.15,83.27
83.32,81.52,83.32,81.40
82.20,81.85,82.40,81.42
81.80,81.52,82.29,81.26
81.25,81.71,81.83,80.54
81.93,80.79,82.11,80.25
80.98,79.67,81.76,79.56
80.00,81.12,81.18,79.89
81.39,82.37,82.52,81.05
81.95,81.82,82.32,81.53
81.13,79.00,81.17,78.93
78.93,79.20,79.24,77.34
79.11,78.69,79.80,78.49
79.65,79.76,80.31,78.92
79.49,79.57,80.02,78.80
79.48,80.68,80.68,79.01
79.79,80.78,80.87,79.47
81.65,82.32,82.43,81.25
82.76,82.86,82.99,82.37
82.82,83.44,83.46,82.66
83.26,83.73,84.03,83.06
84.20,83.82,84.23,83.60
83.56,82.56,83.76,82.45
82.95,83.38,83.43,82.60
82.17,83.59,83.61,81.94
83.58,83.70,83.86,83.03
84.00,85.02,85.07,84.00
85.35,85.46,85.82,85.24
85.77,85.60,86.17,85.40
85.70,85.72,85.96,85.28
86.26,87.03,87.14,86.06
87.11,87.22,87.36,86.98
86.86,87.30,87.71,86.82
87.25,87.90,88.02,87.22
87.39,88.19,88.25,87.25
88.65,88.40,88.68,88.01
88.30,88.19,88.36,87.49
88.41,89.19,89.23,88.23
89.44,89.94,90.21,89.44
89.88,89.41,90.02,89.29
88.67,88.67,89.92,88.46
87.95,89.59,89.69,87.95
89.69,90.23,90.29,89.33
89.63,89.48,89.87,89.32
90.08,88.88,90.24,88.82
89.06,88.89,89.55,88.43
89.40,89.68,89.77,89.28
89.70,89.75,90.09,89.26
89.42,89.25,89.95,89.16
89.90,90.23,90.51,89.61
90.60,91.59,91.59,90.46
91.29,91.91,92.04,91.11
91.73,91.27,91.83,90.77
90.82,91.32,91.42,90.32
91.46,92.05,92.10,91.22
92.26,92.29,92.46,92.04
92.17,92.41,92.52,91.71
92.88,93.66,93.70,92.69
93.51,93.66,93.94,93.38
93.31,92.14,93.58,91.62
91.74,92.01,92.41,90.92
92.53,93.35,93.41,92.39
93.40,93.53,93.67,92.94
92.74,94.57,94.64,92.39
94.70,95.42,95.54,94.30
95.52,95.14,95.95,95.08
94.75,92.51,95.06,92.42
93.14,93.08,93.50,92.33
93.81,94.57,94.71,93.54
94.65,92.63,94.72,92.62
93.19,94.18,94.27,93.02
92.74,91.54,92.82,91.06
90.58,90.56,91.79,89.75
90.06,87.60,102.71,35.00
87.01,85.58,88.12,84.42
89.23,90.01,90.09,88.84
88.94,89.94,91.10,88.85
90.43,91.80,91.81,90.35
91.55,90.77,92.14,90.57
89.99,88.66,90.14,87.90
89.04,88.80,89.61,86.81
89.87,87.32,90.03,87.07
86.72,86.63,87.79,85.16
84.33,82.86,84.82,82.79
81.40,84.45,84.81,81.07
84.08,83.46,84.88,83.37
81.21,83.64,83.65,80.41
84.27,83.69,85.45,83.38
85.63,87.01,87.02,85.09
86.79,85.87,87.04,85.38
85.06,83.73,86.17,83.68
84.05,86.20,86.20,83.77
86.35,86.77,86.93,85.87
84.64,83.24,85.66,82.95
83.61,81.63,83.87,81.58
81.69,82.38,82.49,80.62
82.90,82.50,84.40,82.09
84.05,85.28,85.33,83.95
84.36,85.96,86.07,84.25
87.06,86.29,87.63,86.13
87.02,88.43,88.54,86.80
87.88,88.22,88.74,87.60
88.63,88.11,88.76,87.25
88.31,88.09,88.49,87.76
89.23,87.55,89.37,87.12
87.55,85.68,88.09,85.55
85.64,85.57,86.23,84.56
85.04,83.96,85.29,83.86
84.31,84.84,85.05,83.48
84.97,84.40,85.20,84.12
82.94,81.37,83.20,80.85
81.17,80.43,82.24,80.33
80.33,80.16,80.82,78.47
80.22,79.26,80.45,78.87
80.71,79.32,81.16,78.62
79.46,82.20,82.22,79.25
83.00,83.03,83.33,82.03
83.04,83.86,83.86,82.76
83.34,83.45,84.08,82.78
84.59,85.19,85.45,84.31
84.98,85.01,85.36,84.32
85.10,85.00,85.14,83.70
84.32,82.34,84.50,82.15
82.48,82.93,83.18,81.80
81.76,84.14,84.26,81.60
84.71,82.98,84.95,82.71
84.02,85.13,85.43,83.98
84.72,86.22,86.27,84.65
86.41,87.65,87.65,86.08
88.38,87.00,88.38,86.77
86.78,86.21,87.15,85.85
86.83,85.68,87.00,84.82
84.44,86.00,86.26,84.38
87.63,87.74,87.92,86.88
87.50,87.12,87.66,86.68
87.54,87.94,87.97,87.09
87.20,87.61,87.83,87.05
86.59,87.29,87.61,86.18
87.95,88.04,88.13,87.40
86.97,87.07,87.63,86.45
85.32,84.37,85.47,84.18
82.60,83.77,84.17,82.55
83.60,83.63,84.22,83.56
83.04,83.70,83.97,82.76
84.33,85.09,85.63,84.26
84.92,85.37,85.78,84.46
84.83,83.86,85.21,83.58
83.51,83.87,83.90,82.93
84.34,83.24,84.66,83.24
82.07,82.00,82.66,81.33
81.33,82.41,82.65,80.89
82.75,81.83,83.14,81.65
82.65,83.54,83.61,81.11
83.22,82.17,83.56,82.15
81.96,82.17,82.73,81.39
83.56,84.87,84.99,83.28
85.02,86.04,86.14,84.86
87.12,87.19,87.50,86.51
86.75,85.98,86.88,85.92
86.12,86.56,86.96,86.12
87.62,86.78,87.64,86.46
86.93,87.16,87.35,86.70
88.01,88.46,88.54,87.96
88.27,88.41,88.89,87.80
88.12,88.76,88.81,87.75
88.44,88.53,88.69,88.16
89.02,88.78,89.03,88.25
89.05,90.24,90.41,88.77
90.15,89.83,90.48,89.51
89.57,89.12,90.22,88.87
87.96,87.93,89.02,87.69
89.12,90.08,90.16,89.02
90.08,89.77,90.26,89.61
89.97,90.49,90.64,88.83
90.21,90.45,90.82,89.96
91.03,90.37,91.63,89.83
90.98,90.67,91.20,90.12
90.28,89.84,90.88,89.35
90.81,91.78,92.02,90.64
91.67,91.23,91.89,90.87
91.62,91.21,91.68,90.61
91.22,91.97,92.26,91.03
91.95,92.13,92.51,91.94
91.96,92.53,92.74,91.23
93.00,93.26,93.80,92.79
93.16,92.83,93.39,92.28
93.57,92.92,93.61,92.22
92.94,93.14,93.34,92.73
92.13,91.74,92.90,91.27
92.00,92.80,93.22,92.00
93.15,92.87,93.81,92.14
93.01,93.42,93.42,92.86
93.92,93.81,94.69,93.70
93.28,93.63,93.98,92.88
93.03,93.61,93.66,92.66
94.39,93.48,94.39,92.99
93.24,93.81,94.00,93.24
94.37,93.76,94.86,93.25
94.63,94.63,94.85,94.13
94.78,94.89,94.94,93.76
96.20,96.69,96.78,95.89
96.76,97.24,97.49,96.64
96.99,97.20,97.27,96.59
97.44,96.19,97.60,95.81
96.24,96.83,96.83,95.47
95.77,96.76,96.98,95.67
96.07,95.37,96.59,94.96
95.86,95.44,96.25,95.33
94.65,93.76,94.87,93.21
93.85,94.02,94.40,93.55
95.11,95.36,95.87,95.07
95.19,95.86,95.94,94.81
95.46,96.26,96.34,95.20
95.09,95.05,95.34,94.65
95.61,96.85,96.85,95.58
96.10,96.29,96.60,95.87
95.48,96.11,96.25,94.87
95.12,95.53,96.06,94.96
97.13,97.55,97.74,97.01
97.63,98.96,98.99,97.63
98.71,99.53,99.68,98.58
99.39,99.55,99.70,99.11
100.60,99.57,100.72,99.47
99.80,99.49,100.00,98.99
100.10,99.80,100.15,99.39
100.15,100.55,100.63,99.80
101.08,100.36,101.08,100.32
100.59,100.30,100.86,100.06
100.22,99.83,100.79,99.69
99.98,100.62,100.64,99.56
100.56,101.04,101.24,100.52
101.26,101.41,101.57,100.80
101.80,102.23,102.31,101.66
101.92,101.99,102.09,101.71
101.92,101.76,102.09,101.57
101.46,101.80,101.85,101.06
101.89,101.59,102.13,101.41
101.85,102.04,102.12,101.76
101.98,101.93,102.19,101.78
101.71,101.75,101.98,101.55
102.41,102.84,103.32,102.41
102.97,102.08,103.19,101.41
101.78,102.60,102.72,101.64
102.74,102.38,102.90,102.20
102.69,102.26,102.89,101.31
101.78,102.39,102.60,101.35
102.97,102.87,103.15,102.48
103.68,103.72,103.81,103.21
103.85,103.64,103.95,103.42
103.62,104.27,104.33,103.36
104.10,104.79,104.84,104.10
104.84,103.24,104.84,102.98
102.87,102.64,103.09,101.97
103.35,102.59,103.55,102.49
102.58,103.34,103.55,102.57
102.77,103.25,103.29,102.44
103.50,104.22,104.40,103.42
104.25,104.74,104.94,104.19
104.92,102.89,105.13,102.73
103.32,103.79,104.14,103.09
104.47,105.25,105.46,104.45
105.07,105.04,105.53,104.91
105.15,105.46,105.62,104.33
105.53,105.98,106.05,105.24
106.30,106.74,107.16,106.25
106.88,107.21,107.25,106.48
106.95,106.91,107.29,106.51
106.29,107.43,107.51,106.22
106.84,108.30,108.38,106.84
108.33,108.67,108.73,108.24
108.32,108.23,108.59,108.00
108.66,108.97,109.17,108.55
108.67,109.43,109.58,108.67
109.76,109.40,109.76,109.06
108.20,106.66,108.72,106.47
106.50,105.47,106.96,104.44
105.44,105.52,106.21,104.49
106.19,107.40,107.43,106.09
108.00,107.67,108.09,107.08
108.11,105.76,108.15,105.59
