KLAC,KLA-Tencor Corporation - Common Stock,NASDAQ
36.60,36.92,37.37,36.57
36.85,36.51,36.93,36.27
36.40,36.37,36.83,36.27
36.21,36.57,36.64,35.73
36.47,37.12,37.18,36.34
37.23,36.96,37.41,36.35
36.70,35.67,36.76,35.30
35.89,36.09,36.27,34.95
35.73,35.00,35.95,34.81
34.93,33.34,35.24,33.27
33.48,33.64,33.77,33.20
33.30,33.23,33.34,32.62
33.35,32.85,33.90,32.76
32.23,30.86,32.38,30.72
30.79,30.96,31.40,30.78
30.72,30.67,31.32,30.66
30.56,30.85,31.20,30.16
30.90,29.38,30.98,28.93
29.73,28.20,29.75,27.80
28.45,29.19,29.20,28.30
29.14,29.10,29.39,28.69
28.95,29.29,29.41,28.72
29.24,28.31,29.44,28.12
28.47,28.79,28.96,28.06
28.79,28.72,29.31,28.30
29.11,29.17,29.54,28.76
29.15,28.99,29.50,28.70
28.92,29.48,29.65,28.63
29.10,29.67,30.12,28.76
30.12,30.82,30.83,29.78
30.90,30.43,30.96,30.05
30.27,30.25,30.27,29.67
30.45,30.58,30.73,30.10
30.79,30.33,30.82,30.18
30.02,28.89,30.15,28.80
29.11,29.09,29.50,28.90
28.49,28.90,28.93,27.98
28.92,29.13,29.14,28.44
29.39,30.14,30.16,29.37
30.48,30.26,30.70,30.19
30.35,30.23,30.72,30.08
30.18,30.03,30.44,29.62
30.20,30.29,30.63,29.96
30.38,30.13,30.48,30.11
29.93,29.75,30.10,29.58
29.68,30.13,30.20,29.64
29.98,29.99,30.16,29.58
30.04,29.45,30.09,29.31
28.67,28.09,28.73,27.70
28.18,29.01,29.06,28.08
29.21,29.42,29.47,29.00
29.32,29.09,29.79,28.87
29.48,28.79,29.53,28.49
28.68,29.77,29.85,28.57
29.70,31.09,31.20,29.62
30.73,30.66,31.29,30.44
31.09,30.88,31.46,30.84
31.17,30.41,31.40,30.25
30.60,30.61,30.90,30.44
30.83,30.88,31.06,30.53
30.55,30.93,31.32,30.49
31.29,31.11,32.17,30.69
31.51,32.11,32.20,31.41
31.93,31.94,32.13,31.74
31.71,31.69,31.95,31.35
31.63,31.09,31.63,30.92
31.11,31.52,31.56,30.95
31.60,31.66,31.95,31.37
31.69,31.98,32.02,31.41
32.62,33.29,33.36,32.51
33.22,33.19,33.41,32.96
33.13,33.38,33.43,32.70
33.34,33.26,33.94,32.54
33.51,33.45,33.87,33.12
33.71,33.44,33.85,32.88
33.15,34.45,34.55,32.61
34.39,34.48,34.53,33.80
34.56,34.61,34.94,34.40
34.41,33.66,34.82,33.60
33.83,33.60,34.16,33.35
33.75,34.69,34.78,33.75
35.75,34.06,36.07,34.04
34.39,35.30,35.50,34.26
34.87,33.89,34.98,33.20
33.67,33.04,34.78,32.69
32.90,31.90,35.00,29.97
31.68,31.14,32.20,30.25
32.39,32.69,32.96,31.99
32.44,32.67,33.29,32.09
32.77,33.22,33.25,32.61
33.00,32.12,33.14,31.98
31.82,30.98,31.93,30.58
31.08,31.57,31.69,30.58
32.00,30.55,32.09,30.50
30.53,30.70,31.14,30.00
30.31,29.86,30.48,29.48
29.20,30.23,30.86,29.07
29.88,29.51,30.23,29.44
28.87,29.75,29.78,28.44
30.22,29.58,30.60,29.54
30.32,31.26,31.30,30.09
31.25,30.77,31.25,30.32
30.54,29.93,31.05,29.85
30.05,30.85,30.85,29.73
30.92,31.63,31.74,30.91
30.68,29.92,31.33,29.70
29.96,28.41,30.19,28.31
28.42,28.35,28.60,27.72
28.47,28.08,29.10,27.96
28.63,29.02,29.19,28.45
28.62,29.16,29.44,28.56
29.56,29.30,29.90,29.26
29.55,30.39,30.48,29.38
30.25,30.26,30.56,29.79
30.37,30.40,30.48,29.58
30.43,30.80,30.85,30.28
31.17,31.55,32.30,31.16
31.63,30.78,32.00,30.62
30.84,30.91,31.36,30.32
30.77,29.79,30.82,29.67
29.78,29.88,30.30,29.13
29.93,30.01,30.40,29.44
29.37,28.27,29.37,28.09
28.30,27.88,28.64,27.79
27.79,27.16,27.99,26.69
27.32,27.21,27.49,26.73
27.77,27.30,27.99,27.02
27.18,28.66,28.69,27.18
28.90,28.70,29.00,27.91
29.36,29.80,30.05,29.17
29.82,29.51,30.25,29.29
30.07,31.27,31.57,29.90
31.36,30.54,31.99,30.22
30.73,30.52,30.75,30.06
30.58,29.23,30.62,29.21
29.47,30.04,30.09,29.39
29.44,30.46,30.50,28.94
30.63,29.71,30.77,29.69
30.11,30.83,31.08,29.98
30.71,31.19,31.26,30.31
31.15,31.83,31.88,30.61
32.00,31.57,32.18,31.23
31.43,30.91,31.74,30.76
31.16,30.82,31.70,30.19
30.62,31.67,31.87,29.89
32.02,32.26,32.49,31.70
32.19,32.37,32.42,31.70
32.39,32.70,32.77,32.07
32.37,32.52,32.90,32.16
32.02,32.30,32.67,31.74
32.57,32.52,32.58,31.93
32.00,31.43,32.00,31.06
30.66,29.78,30.90,29.55
29.00,29.12,29.78,28.61
29.45,29.10,29.91,29.09
28.89,29.05,29.51,28.70
29.39,29.73,29.98,29.14
29.60,30.28,30.49,29.37
30.20,29.93,30.43,29.56
29.90,29.72,30.06,29.31
29.86,29.01,30.14,28.99
28.53,28.60,29.02,28.33
28.40,29.04,29.11,27.91
29.22,28.60,29.31,28.42
28.83,29.13,29.22,27.85
28.92,28.41,29.24,28.41
28.19,28.01,28.60,27.75
28.59,28.99,29.32,28.43
28.97,29.77,29.80,28.88
30.27,30.35,30.46,29.62
29.64,28.66,29.85,28.49
28.84,28.76,29.10,28.27
29.19,28.91,29.23,28.59
29.02,28.43,29.08,27.94
28.83,29.29,29.50,28.83
29.14,29.81,30.17,28.90
29.59,30.01,30.09,29.34
29.82,31.08,31.21,29.82
31.19,31.05,31.35,30.77
31.14,31.55,31.62,30.83
31.49,32.29,32.33,31.32
32.02,32.01,32.46,31.60
31.63,32.81,33.38,31.44
33.09,33.45,33.69,33.04
33.43,33.81,34.06,33.20
34.05,34.90,34.99,33.60
34.78,35.12,35.32,34.66
35.28,35.23,35.70,34.68
35.46,35.01,35.74,34.67
34.85,34.24,35.00,34.00
34.68,35.16,35.27,34.58
35.16,34.70,35.18,34.23
34.80,35.00,35.18,34.32
34.10,34.45,34.55,33.01
34.41,34.52,35.13,34.20
34.30,34.69,34.91,34.15
34.85,34.96,35.15,34.56
34.81,34.96,35.29,34.67
35.24,35.67,35.71,34.70
35.73,35.65,35.75,35.14
35.20,35.16,36.21,34.81
35.32,35.59,35.80,35.02
35.74,35.90,36.08,35.52
36.00,35.99,36.20,35.74
36.22,36.81,37.06,36.16
36.63,35.99,36.68,35.78
35.69,36.56,36.58,35.56
35.78,35.48,36.19,35.41
35.44,35.72,35.86,35.12
35.77,35.56,35.99,35.27
35.76,35.86,35.91,35.15
35.72,36.08,36.11,35.52
36.66,37.81,37.81,36.47
37.81,37.57,38.14,37.37
37.32,37.92,38.19,37.25
37.96,37.42,38.13,37.23
37.29,37.38,37.54,36.65
36.19,36.96,37.07,36.05
36.53,36.68,37.27,36.12
36.86,36.66,37.20,36.63
36.25,35.92,36.83,35.74
35.88,35.80,36.31,35.62
36.25,36.53,37.04,36.16
36.51,36.74,36.98,36.37
36.41,37.07,37.13,36.33
36.60,36.46,36.78,36.25
36.91,37.52,37.64,36.71
37.18,37.19,37.54,37.15
36.98,37.27,37.35,36.70
36.77,36.67,36.91,36.50
37.29,38.40,38.54,37.27
38.58,39.46,39.61,38.49
39.41,40.16,40.21,39.32
40.00,39.81,40.03,39.53
40.38,39.66,40.44,39.62
39.76,40.03,40.04,39.59
40.14,39.82,40.29,39.74
39.95,39.48,39.95,39.40
39.75,38.97,39.80,38.91
39.06,39.20,39.48,38.97
39.09,39.23,39.53,38.79
39.27,39.68,39.69,39.13
39.64,39.83,40.03,39.64
40.00,39.63,40.00,39.38
39.79,39.63,39.87,39.58
39.60,39.68,39.69,39.33
39.55,39.58,39.71,39.42
39.42,39.73,39.97,39.08
39.72,39.63,39.84,39.15
39.74,39.49,39.77,39.18
39.50,39.20,39.50,39.02
39.14,38.64,39.19,38.43
38.58,38.75,39.40,38.06
38.70,38.48,39.00,38.26
38.14,37.90,38.20,37.46
37.92,38.20,38.55,37.83
38.05,37.69,38.09,36.90
37.49,38.65,38.69,37.34
38.73,38.56,38.95,38.46
38.89,38.99,39.07,38.63
39.58,39.75,40.12,39.26
41.84,42.11,42.75,41.28
42.30,42.37,42.95,41.98
42.34,41.61,42.34,41.48
41.66,42.13,42.88,40.88
42.23,41.83,42.45,41.72
42.16,43.11,43.38,41.97
42.96,43.67,43.75,42.72
43.66,44.53,44.62,43.25
44.45,44.68,45.00,44.36
45.26,43.69,45.99,43.02
43.55,44.08,44.36,43.01
44.29,45.09,45.28,44.29
44.73,45.16,45.43,44.63
44.98,44.89,45.16,44.26
44.90,45.63,45.93,44.71
45.66,46.16,46.48,45.61
46.10,46.20,46.20,45.37
46.05,46.18,46.23,45.61
45.76,46.17,46.25,45.09
46.07,46.93,46.96,45.94
47.13,48.18,48.43,47.06
48.00,48.24,48.39,47.75
48.78,48.82,48.95,48.33
48.68,49.53,49.80,48.50
49.73,49.89,49.98,49.04
49.00,47.57,49.10,47.39
47.37,47.11,47.94,46.37
47.18,47.78,48.00,46.80
48.05,48.96,49.04,47.78
49.10,48.82,49.47,48.06
49.00,47.95,49.26,47.81
47.98,49.68,49.93,47.92
50.21,51.15,51.83,49.96
50.94,51.21,51.35,50.35
51.25,49.25,51.30,48.37
49.32,49.79,50.34,48.52
49.55,47.50,49.60,47.27
46.68,45.77,46.74,45.36
45.46,46.13,46.48,45.21
45.60,45.85,46.13,45.20
44.72,45.58,46.00,44.04
45.29,44.39,46.00,44.11
45.29,45.15,46.21,44.91
45.57,44.78,45.75,44.52
45.47,45.96,46.38,45.38
46.01,45.56,46.01,45.15
45.35,46.12,46.30,44.95
46.58,47.19,47.47,46.01
47.40,46.86,47.82,46.84
47.09,47.30,47.78,46.76
47.09,47.54,47.71,46.64
47.91,47.62,48.09,47.13
47.64,47.32,47.81,46.67
47.38,46.80,47.76,46.57
47.12,46.43,47.18,46.05
46.67,46.16,47.06,45.97
46.37,46.17,46.61,45.48
45.80,44.06,45.89,43.66
44.35,43.70,44.48,43.28
43.73,43.42,43.88,42.95
43.20,42.36,43.20,42.09
42.54,42.41,42.72,41.90
41.99,42.48,42.66,41.60
42.55,42.80,42.99,41.95
42.11,41.58,42.41,41.38
41.55,41.78,42.10,41.46
44.04,44.63,44.68,43.81
44.21,42.60,44.34,42.43
42.59,42.66,43.03,42.27
42.59,43.95,43.98,42.57
44.11,44.07,44.46,43.71
43.69,43.36,43.77,42.34
43.52,43.90,44.94,43.30
44.06,43.68,44.31,43.25
43.73,43.05,44.06,42.66
44.18,43.83,44.79,42.54
43.47,44.52,45.51,43.06
45.18,44.96,46.18,44.72
45.00,45.01,45.25,44.51
45.22,45.01,45.42,44.71
44.63,44.30,44.98,43.85
43.96,44.89,45.13,43.57
44.85,44.43,45.06,44.23
44.32,43.48,44.87,43.35
43.33,42.59,43.35,41.67
42.63,42.83,43.09,42.42
41.55,41.21,42.83,40.20
41.10,41.20,41.44,40.57
40.43,40.70,40.96,40.13
40.91,40.59,41.05,40.50
40.53,41.08,41.35,40.15
40.92,41.34,41.51,40.66
41.28,41.62,41.95,41.25
42.04,43.10,43.14,42.03
42.85,41.36,43.43,41.23
41.58,41.72,42.32,41.48
41.16,40.72,41.44,40.67
40.70,40.56,40.97,40.47
40.69,41.12,41.59,40.69
40.95,40.35,41.04,40.21
40.52,40.87,41.22,40.19
40.64,39.95,40.68,39.56
40.24,39.66,40.36,39.56
40.13,40.62,40.77,40.02
40.07,39.55,40.24,39.44
39.70,38.39,39.74,38.19
38.93,38.10,38.97,37.96
37.87,38.18,38.41,37.85
38.29,38.97,39.19,37.86
38.86,38.85,39.32,38.69
38.29,39.46,39.52,38.03
39.49,39.03,39.93,38.64
38.93,39.80,40.03,38.60
39.87,40.14,40.15,39.50
40.22,39.74,40.53,39.66
39.92,40.48,40.72,39.77
40.53,41.45,41.63,40.21
41.24,40.61,41.36,40.40
40.35,39.74,40.35,39.49
40.35,42.53,42.95,40.35
42.01,42.25,42.43,41.62
42.49,42.29,43.81,42.03
41.38,41.31,42.73,40.60
41.54,41.63,42.31,41.11
41.80,40.75,42.45,40.59
41.34,40.95,41.35,40.29
40.64,40.53,40.87,39.92
40.89,42.44,42.47,40.89
42.29,42.40,42.86,42.28
42.40,42.99,43.22,41.88
42.97,44.11,44.41,42.94
43.45,44.04,44.21,43.33
44.06,43.71,44.60,43.67
43.30,41.77,43.42,41.62
41.61,41.71,42.95,40.90
40.23,39.82,41.71,39.45
39.84,39.92,40.34,39.21
39.37,38.36,39.67,38.22
38.55,39.08,39.14,37.64
38.42,36.66,38.53,36.62
37.43,36.20,38.11,35.18
35.59,34.23,36.09,33.95
34.86,36.19,36.25,34.35
35.83,35.36,36.33,34.74
35.23,36.07,36.59,34.92
36.24,35.93,36.53,35.27
36.11,36.97,37.05,35.90
36.67,36.29,36.89,35.70
36.34,36.19,37.10,35.86
35.13,34.21,35.27,33.99
33.99,33.67,35.00,33.60
34.31,33.82,34.55,33.58
34.08,35.49,35.49,33.79
35.35,35.48,35.78,34.68
35.28,34.48,35.68,34.25
34.57,35.47,35.50,33.96
35.90,36.88,36.89,35.81
36.62,36.64,36.90,36.00
36.93,36.68,37.72,36.35
36.84,36.07,36.91,36.03
35.46,34.82,35.77,34.73
33.32,34.25,34.32,33.20
34.73,35.78,36.01,34.36
35.67,35.37,36.47,34.96
35.19,35.46,36.34,34.86
34.98,36.41,36.41,34.98
36.50,37.71,37.82,36.41
38.00,38.71,39.07,37.46
38.98,39.13,39.37,38.58
39.33,39.35,39.76,38.91
38.66,38.77,39.01,37.86
38.94,38.33,39.21,38.24
38.53,38.16,39.44,37.99
37.19,37.08,37.44,36.28
36.99,37.73,38.10,36.53
38.20,39.69,39.79,37.67
40.22,40.04,40.97,39.80
39.91,38.86,40.43,38.74
39.64,39.03,39.87,38.26
38.78,38.28,39.18,38.15
38.06,37.23,38.65,36.95
36.71,38.77,38.77,36.62
38.76,40.15,40.24,38.05
40.04,40.08,40.36,39.41
40.19,41.54,42.16,40.03
42.26,42.91,43.20,41.86
42.56,42.91,43.17,42.38
43.18,43.83,44.59,43.17
43.42,43.76,44.08,43.42
44.26,43.85,44.26,43.07
43.70,43.23,43.99,42.83
43.18,43.75,43.94,42.67
43.65,43.22,44.33,43.05
42.71,42.54,42.82,41.57
43.17,43.30,43.90,42.79
43.78,44.82,45.00,43.68
44.99,44.82,45.70,44.28
45.83,45.21,45.83,44.41
46.52,47.31,48.00,46.52
45.94,47.35,47.57,45.78
46.78,47.09,47.67,46.73
45.49,45.20,46.19,45.16
45.72,45.72,46.04,45.25
46.24,47.26,47.32,45.06
46.87,47.48,47.62,46.22
47.67,47.29,47.67,46.36
47.77,47.81,48.00,46.78
46.26,45.49,46.37,45.38
46.19,46.35,46.74,45.37
46.97,48.45,48.62,46.73
48.14,47.80,48.75,47.38
47.70,48.42,48.75,47.47
47.84,47.54,48.66,47.44
47.37,45.49,47.37,44.85
45.72,44.39,45.93,44.22
43.99,44.26,44.47,43.34
44.18,43.31,44.48,43.21
42.99,42.51,43.17,42.30
42.55,42.08,43.22,42.08
43.37,43.52,43.76,43.13
43.45,43.30,43.64,42.77
44.81,46.10,46.25,44.18
46.09,47.23,47.35,45.61
47.67,46.95,48.07,46.92
47.96,48.69,48.71,47.29
48.47,49.15,49.39,48.46
49.14,49.05,49.23,48.22
48.66,48.05,49.31,47.95
47.83,49.00,49.26,47.34
48.23,47.59,48.49,46.96
47.92,46.83,48.24,46.56
46.75,46.22,46.99,45.88
47.83,45.96,47.83,45.78
46.35,46.04,46.71,45.67
46.05,45.19,46.56,45.06
46.12,47.81,47.90,46.12
47.58,46.91,47.81,46.23
47.04,48.14,48.28,46.82
48.29,48.51,48.64,47.67
48.39,48.84,49.25,48.36
48.87,48.37,49.15,48.30
48.50,48.78,48.85,48.28
48.72,48.25,49.08,48.23
48.72,47.46,49.29,47.39
47.38,46.91,47.64,46.88
46.85,47.52,47.57,46.75
47.49,47.73,48.20,47.17
47.98,48.18,48.68,47.81
48.73,48.57,49.27,48.43
48.49,49.32,49.75,48.44
49.39,48.80,49.53,48.73
48.55,47.90,48.78,47.69
48.49,48.53,49.00,48.42
48.92,50.02,50.28,48.70
50.02,51.03,51.45,50.02
51.79,51.50,52.00,50.82
51.31,50.57,51.50,50.55
50.77,51.26,51.33,50.31
50.98,51.24,51.50,50.53
51.26,50.26,52.11,50.03
51.45,52.33,53.05,50.91
51.51,51.07,51.95,50.88
51.75,51.11,51.78,50.50
51.81,51.70,52.15,51.21
51.81,51.53,51.99,51.47
52.12,51.98,52.29,51.72
51.65,50.83,51.69,50.78
50.66,51.10,51.19,50.39
50.96,51.32,51.72,50.94
51.50,50.77,51.50,50.55
50.13,49.41,50.35,49.21
49.76,49.12,50.10,48.44
49.09,49.60,49.63,48.91
49.82,49.33,50.38,49.26
49.14,50.68,50.84,49.03
51.00,50.17,51.13,49.91
48.96,48.21,49.28,48.03
48.12,48.30,48.49,47.98
48.44,48.55,48.75,47.96
48.63,47.75,48.98,47.64
47.67,48.25,48.75,47.29
48.34,49.06,49.30,48.14
49.09,48.39,49.30,48.23
48.53,48.08,48.87,47.89
47.95,47.75,48.27,47.64
47.63,47.00,47.70,46.58
46.79,47.33,47.48,46.66
47.53,47.63,47.81,47.19
47.90,47.95,48.03,47.53
48.11,49.46,49.55,48.10
49.29,49.82,49.96,48.94
50.00,50.58,50.64,49.72
50.52,50.65,51.43,50.50
50.80,51.88,52.08,50.78
51.79,51.99,52.05,51.22
51.93,52.36,52.56,51.74
52.04,52.69,52.81,51.84
52.82,52.68,52.93,52.36
52.38,52.28,52.74,52.06
52.41,52.88,52.92,52.03
53.00,54.08,54.11,52.99
54.13,54.44,55.03,53.84
54.95,54.05,55.15,53.55
53.63,54.10,54.19,53.26
54.35,54.42,54.82,53.91
54.21,54.67,54.95,53.91
54.57,53.95,54.79,53.73
53.65,53.14,53.87,52.80
52.91,53.66,53.74,52.85
53.04,53.28,53.49,52.61
53.24,52.06,53.43,51.86
52.54,53.20,53.56,52.43
53.50,53.73,54.19,52.67
53.72,52.72,53.75,52.72
52.91,52.68,53.13,52.14
52.98,53.48,53.95,52.84
53.19,53.49,53.63,52.41
53.49,53.37,54.51,52.93
53.50,52.63,53.60,52.48
52.29,51.89,52.30,51.31
51.99,51.63,52.29,51.24
52.40,53.20,53.22,52.27
53.42,55.11,55.43,53.42
52.88,52.29,53.00,51.28
52.27,52.13,52.37,51.83
52.21,52.23,52.85,51.85
51.85,51.86,52.07,51.33
51.89,50.82,51.89,50.59
50.46,49.86,50.62,49.61
49.53,49.73,49.91,49.40
49.30,49.90,50.13,48.82
49.13,50.03,50.37,48.93
50.07,50.00,50.38,49.55
49.94,50.03,50.55,49.89
49.48,49.98,50.14,49.15
49.90,49.64,50.29,49.50
48.83,47.11,48.91,47.08
47.11,46.24,47.48,46.24
46.32,45.56,46.70,45.55
45.71,46.20,46.27,45.39
46.29,46.00,46.34,45.82
45.71,45.90,45.97,44.77
46.13,45.74,46.13,45.27
45.78,46.15,46.49,45.70
46.74,46.84,47.14,46.38
46.40,45.97,46.53,45.86
45.86,45.83,46.08,45.00
45.10,44.56,45.44,44.26
44.71,44.65,45.32,44.06
44.75,44.97,45.39,44.56
45.35,46.53,46.56,45.26
46.95,45.94,47.07,45.89
45.89,47.33,47.38,45.69
47.89,46.99,48.15,46.93
47.13,47.65,47.66,46.75
47.53,47.44,48.39,47.23
47.53,47.31,47.82,46.79
47.50,48.31,48.32,47.35
48.17,49.42,49.48,48.03
49.68,49.55,50.00,49.27
49.75,49.75,50.15,49.30
49.56,48.42,49.80,48.24
48.58,48.49,48.96,48.30
48.08,47.06,48.09,46.75
47.26,47.46,47.66,46.76
47.85,48.11,48.33,47.57
47.91,47.50,48.00,46.90
48.50,49.25,49.46,48.42
49.07,48.95,49.50,48.56
48.87,48.96,49.09,48.62
48.60,48.80,49.17,48.16
48.26,46.06,48.38,45.85
45.99,45.62,46.08,45.05
44.93,45.49,46.82,44.77
45.63,45.54,46.23,45.13
45.16,45.62,45.90,44.79
45.63,45.71,46.31,45.52
