IOT,Income Opportunity Realty Investors,NASDAQ
8.40,8.00,8.40,8.00
7.65,7.65,7.65,7.65
6.75,6.40,6.75,6.01
6.46,6.45,6.67,6.45
6.59,6.59,6.59,6.57
6.59,6.59,6.59,6.59
6.58,6.58,6.58,6.58
6.63,6.55,6.63,6.55
6.55,6.55,6.55,6.55
6.58,6.40,6.58,6.40
6.40,6.56,6.72,6.40
6.42,6.60,6.91,6.42
6.60,6.60,6.60,6.60
6.59,6.44,6.59,6.44
6.44,6.44,6.44,6.44
6.44,6.44,6.44,6.44
6.44,6.59,6.59,6.44
6.40,6.20,6.40,6.20
6.20,6.20,6.20,6.20
6.20,6.20,6.20,6.20
6.00,5.80,6.00,5.53
5.80,5.80,5.80,5.80
5.90,5.90,5.90,5.90
6.00,5.97,6.00,5.97
5.80,5.62,5.80,5.29
5.65,5.65,5.65,5.65
5.98,5.79,5.98,5.79
5.79,5.79,5.79,5.79
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
5.39,5.39,5.39,5.01
5.39,5.39,5.39,5.39
5.25,5.25,5.25,5.25
5.72,5.72,5.72,5.72
5.50,5.88,5.88,5.50
6.00,6.26,6.26,6.00
6.76,6.76,6.76,6.76
7.05,7.05,7.05,7.05
6.65,5.51,6.65,5.51
5.51,5.51,5.51,5.51
6.06,6.06,6.06,6.06
6.06,6.06,6.06,6.06
5.75,6.05,6.18,5.46
6.05,6.05,6.05,6.05
6.05,6.05,6.05,6.05
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
7.00,6.50,7.00,6.50
5.80,5.80,5.80,5.80
5.80,5.80,5.80,5.80
5.80,5.80,5.80,5.80
5.55,5.55,5.55,5.55
5.55,5.55,5.55,5.55
5.60,5.60,5.60,5.60
5.60,5.60,5.60,5.60
5.57,5.10,5.91,5.08
5.50,5.95,5.95,5.50
5.95,5.95,5.95,5.95
5.95,5.95,5.95,5.95
5.95,5.95,5.95,5.95
5.31,5.49,5.49,5.15
5.10,5.26,5.29,5.10
5.26,5.26,5.26,5.26
5.16,5.16,5.16,5.16
5.65,5.67,5.67,5.28
5.67,5.67,5.67,5.67
5.54,5.66,5.66,5.50
5.66,5.66,5.66,5.66
5.70,5.70,5.70,5.70
5.70,5.70,5.70,5.70
5.70,5.70,5.70,5.70
5.30,5.49,5.49,5.30
5.49,5.49,5.49,5.49
5.49,5.49,5.49,5.49
5.49,5.49,5.49,5.49
5.86,5.86,5.86,5.86
5.86,5.86,5.86,5.86
5.86,5.86,5.86,5.86
5.60,5.60,5.60,5.60
6.00,6.19,6.38,6.00
6.19,6.19,6.19,6.19
6.19,6.19,6.19,6.19
6.77,5.42,6.77,5.10
5.50,5.50,5.50,5.50
5.85,5.85,5.85,5.85
5.85,5.85,5.85,5.85
5.85,5.85,5.85,5.85
5.85,5.85,5.85,5.85
6.16,6.58,6.58,6.16
6.58,6.58,6.58,6.58
6.22,6.22,6.22,6.22
6.18,5.59,6.19,5.08
5.59,5.59,5.59,5.59
5.59,5.59,5.59,5.59
5.60,5.93,5.93,5.60
5.93,5.93,5.93,5.93
5.93,5.93,5.93,5.93
5.93,5.93,5.93,5.93
5.94,6.45,6.53,5.94
6.78,6.05,6.78,6.00
6.00,6.25,6.25,6.00
6.15,6.03,6.15,5.80
6.03,6.03,6.03,6.03
6.01,6.01,6.01,6.01
6.36,6.00,6.36,5.70
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
5.60,5.60,5.60,5.60
5.60,5.60,5.60,5.60
5.60,5.60,5.60,5.60
5.30,5.30,5.30,5.30
5.30,5.30,5.30,5.30
5.55,5.55,5.55,5.55
5.80,5.99,5.99,5.80
5.99,5.99,5.99,5.99
5.99,5.99,5.99,5.99
5.99,5.99,5.99,5.99
5.99,5.99,5.99,5.99
5.99,5.99,5.99,5.99
5.99,5.99,5.99,5.99
5.99,5.99,5.99,5.99
5.99,5.99,5.99,5.99
5.99,5.99,5.99,5.99
5.99,5.99,5.99,5.99
5.70,5.60,5.70,5.60
5.85,5.85,5.85,5.85
5.85,5.85,5.85,5.85
5.85,5.85,5.85,5.85
5.85,5.85,5.85,5.85
5.85,5.85,5.85,5.85
5.85,5.85,5.85,5.85
6.07,6.45,6.45,6.07
6.60,6.60,6.60,6.60
6.60,6.60,6.60,6.60
6.35,6.35,6.35,6.35
6.35,6.35,6.35,6.35
6.35,6.35,6.35,6.35
6.20,6.00,6.20,5.87
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
5.85,5.85,5.85,5.85
5.60,4.12,5.60,4.12
5.23,5.24,5.24,5.21
5.24,5.24,5.24,5.24
4.99,4.98,4.99,4.98
4.82,5.03,5.03,4.82
5.10,5.10,5.10,5.10
5.10,5.10,5.10,5.10
5.10,5.10,5.10,5.10
5.10,5.10,5.10,5.10
4.85,4.59,4.85,4.59
4.34,4.68,4.68,4.34
4.68,4.68,4.68,4.68
4.68,4.68,4.68,4.68
4.43,4.43,4.43,4.43
4.54,4.54,4.54,4.54
4.54,4.54,4.54,4.54
4.60,4.60,4.60,4.60
4.60,4.60,4.60,4.60
4.60,4.60,4.60,4.60
