RRGB,Red Robin Gourmet Burgers,NASDAQ
18.11,17.75,18.14,17.65
17.67,17.50,17.74,17.26
17.43,17.28,17.58,16.98
17.30,17.23,17.56,16.88
17.21,17.14,17.40,16.87
17.18,17.27,17.48,17.13
17.20,17.27,17.45,17.02
17.27,17.40,17.45,17.05
17.40,17.53,17.69,17.27
17.59,18.08,18.10,17.50
18.12,19.03,19.18,17.90
19.00,19.21,19.75,18.87
19.18,19.08,19.44,18.70
19.01,18.53,19.09,18.51
18.72,18.50,18.89,18.35
18.38,18.46,18.69,18.38
18.37,18.47,18.93,18.28
18.59,18.48,18.70,18.20
18.50,18.43,18.75,18.31
18.51,19.18,19.24,18.28
19.25,19.11,19.25,18.86
19.10,19.00,19.11,18.79
18.92,18.50,19.05,18.35
18.60,18.75,18.91,18.13
18.77,18.77,19.14,18.61
18.90,19.08,19.15,18.73
19.00,19.28,19.28,18.80
19.16,19.46,19.48,18.89
19.38,19.93,19.93,19.36
20.14,20.32,20.65,19.86
20.36,19.34,20.52,19.29
19.38,19.15,19.46,19.04
19.04,20.02,20.08,19.00
20.05,20.74,20.77,19.74
20.74,20.09,21.29,19.91
20.09,20.11,20.38,19.92
19.86,19.86,20.00,19.45
20.22,19.83,20.60,19.79
20.02,20.55,20.71,19.81
20.57,21.43,21.57,20.49
21.37,21.61,21.98,21.32
21.59,22.19,22.19,21.13
22.20,23.17,23.20,21.67
23.18,23.32,23.55,22.92
23.07,23.06,23.52,22.90
23.12,23.55,24.23,22.80
23.48,23.96,23.99,23.03
24.92,24.81,25.87,24.66
24.94,24.97,25.00,24.50
25.00,25.34,25.41,24.74
25.46,25.62,25.82,24.95
25.62,25.49,25.82,25.43
25.63,26.24,26.39,25.34
26.12,25.75,26.33,25.74
25.70,25.59,25.74,25.10
25.43,25.66,25.73,25.13
25.68,25.03,25.70,24.92
25.07,24.71,25.50,24.65
24.82,24.82,24.82,24.54
24.75,24.60,25.16,24.38
24.47,24.44,25.00,24.44
24.62,24.54,24.73,24.30
24.50,25.18,25.18,24.31
24.99,25.14,25.35,24.65
25.04,26.34,26.43,25.04
26.25,26.36,26.55,25.83
26.43,26.69,26.71,25.81
27.71,27.40,29.10,27.25
27.26,27.21,27.70,26.95
27.56,28.10,28.48,27.49
28.16,28.55,28.55,28.16
28.51,27.78,28.94,27.74
27.80,26.27,28.10,26.15
25.90,25.26,25.98,24.57
25.35,25.38,25.53,24.57
26.18,27.47,27.68,26.18
27.33,27.17,27.47,26.63
27.20,26.93,27.74,26.71
26.84,25.69,27.09,25.52
25.39,24.36,25.45,24.03
24.54,24.50,24.88,24.20
24.53,24.41,25.06,24.34
24.60,25.50,25.78,24.60
25.24,24.65,25.49,24.55
24.40,24.69,25.35,23.52
24.53,23.86,24.90,22.92
23.86,23.86,24.45,22.67
24.93,24.21,24.94,23.95
24.08,25.73,26.10,24.08
25.93,26.31,26.47,25.49
26.16,26.00,26.52,25.84
25.86,25.66,26.07,25.37
25.90,25.74,26.03,24.98
25.93,25.48,26.27,25.36
25.34,25.15,25.44,24.68
24.54,23.56,24.94,23.56
18.92,20.22,20.88,18.47
20.43,20.12,20.66,19.72
19.86,19.66,19.86,19.06
19.72,19.63,20.42,19.55
20.07,20.39,20.44,19.88
20.35,20.61,20.80,20.17
20.46,19.10,20.46,19.10
19.48,19.52,19.70,19.01
19.58,19.97,20.15,19.58
19.60,19.20,19.86,19.13
18.87,17.77,18.87,17.73
17.77,17.40,18.07,16.85
17.60,18.05,18.25,17.54
18.35,18.90,19.29,18.35
18.75,19.30,19.33,18.43
19.51,19.12,19.65,18.82
19.20,19.71,19.76,18.99
19.51,19.41,19.60,19.04
19.43,19.47,19.66,19.17
19.61,19.86,20.05,19.61
20.16,19.26,20.27,19.05
19.36,18.28,19.64,18.22
18.21,18.30,18.63,17.96
18.22,17.89,18.56,17.80
17.96,18.61,18.64,17.96
18.62,18.57,18.89,18.41
18.26,17.87,18.77,17.75
17.83,17.16,18.07,17.05
17.13,17.58,18.07,16.93
17.96,19.10,19.45,17.93
19.34,17.93,19.34,17.72
18.05,18.69,18.78,17.69
18.84,18.74,18.92,18.40
18.70,19.94,20.01,18.70
19.91,20.38,20.97,19.74
20.59,20.47,20.61,20.02
20.37,20.85,21.20,20.01
20.80,21.03,21.19,20.28
20.83,20.44,20.90,20.35
20.44,20.63,20.67,20.16
20.34,20.66,20.69,20.00
20.85,20.84,21.34,20.76
21.10,21.80,22.00,20.92
21.68,22.17,22.30,20.50
22.15,22.04,22.63,21.65
22.25,21.97,22.32,21.81
22.03,21.64,22.37,21.52
21.88,21.69,21.88,20.57
21.37,21.34,21.51,20.78
21.72,21.90,22.39,21.25
21.92,21.52,21.93,21.25
21.57,21.38,21.64,21.22
21.17,21.13,21.50,21.10
20.98,20.95,21.08,20.26
21.08,20.95,21.21,20.80
20.66,20.61,20.81,20.19
20.18,19.80,20.53,19.51
19.48,19.67,19.84,19.30
19.48,18.60,19.90,18.26
18.42,17.75,18.42,17.55
17.99,18.14,18.46,17.62
18.14,18.43,18.80,17.91
18.37,17.79,18.46,17.46
17.68,18.02,18.12,17.68
18.04,17.47,18.25,17.46
17.37,17.29,18.06,17.27
17.14,17.74,17.84,17.03
17.79,17.82,17.92,17.53
18.00,18.59,18.67,17.68
18.46,18.40,18.82,18.24
18.43,18.53,18.68,18.08
18.87,19.16,19.70,18.76
19.22,19.53,19.71,18.82
19.81,19.75,20.20,19.25
19.72,19.25,19.72,19.16
19.32,19.48,19.57,19.20
19.77,19.34,19.84,19.11
19.44,19.23,19.54,18.92
19.40,19.64,19.73,19.15
19.56,19.42,19.78,19.38
19.32,19.65,19.81,19.27
19.68,19.08,19.95,18.78
19.33,18.87,19.43,18.52
18.87,19.27,19.35,18.58
19.19,19.01,19.47,18.89
18.94,18.93,19.07,18.71
18.78,18.81,19.23,18.63
19.09,19.42,19.54,18.94
19.48,19.61,20.03,19.08
19.71,19.94,20.01,19.16
19.82,20.06,20.25,19.82
20.25,19.61,20.41,19.47
19.85,19.77,20.01,19.35
19.77,19.58,20.03,19.32
19.83,20.03,20.18,19.58
20.05,20.21,20.21,19.80
20.39,20.81,21.08,20.31
20.88,21.22,21.38,20.88
21.26,21.77,21.90,21.13
21.63,22.13,22.46,21.44
22.30,22.27,22.59,22.20
22.31,21.91,22.31,21.73
22.19,21.74,22.31,21.73
21.78,21.89,22.06,21.62
21.56,20.99,21.97,20.84
21.15,21.03,21.23,20.90
21.19,21.56,21.78,21.02
21.65,22.27,22.37,21.65
22.43,22.61,22.90,22.35
22.40,21.79,22.40,21.70
21.50,21.00,21.50,20.65
21.22,20.49,21.37,20.43
20.42,20.30,20.63,20.19
20.30,20.35,20.54,20.08
20.60,20.00,20.68,19.15
19.94,19.85,20.13,19.46
19.88,20.26,20.27,19.72
17.35,18.65,18.78,17.33
18.43,18.60,18.94,18.22
18.64,18.48,18.90,18.32
18.75,19.11,19.18,18.25
18.90,18.57,19.24,18.54
18.50,18.66,18.77,18.42
18.78,18.40,18.91,18.36
18.36,17.95,18.81,17.85
17.95,18.25,18.43,17.92
18.55,18.43,18.87,18.34
18.43,18.68,18.73,18.23
18.65,18.72,18.78,18.36
18.47,18.62,18.82,18.40
18.81,18.95,19.50,18.80
18.80,18.94,19.03,18.60
18.82,18.92,19.18,18.68
18.72,18.53,18.81,18.41
18.83,18.60,18.85,18.38
18.60,19.49,19.60,18.60
19.37,20.11,20.20,19.24
20.01,20.04,20.34,19.76
20.24,20.56,20.68,20.08
20.63,20.58,21.23,20.54
20.71,20.18,20.79,20.11
20.18,20.07,20.18,19.71
20.18,20.15,20.41,19.80
20.19,20.23,20.31,19.95
20.24,20.08,20.65,20.05
20.06,20.84,20.96,20.00
20.82,21.13,21.21,20.70
21.26,21.25,21.49,21.17
21.37,21.88,22.00,21.27
21.98,22.04,22.15,21.88
22.02,21.69,22.23,21.65
21.27,21.89,22.06,21.20
21.88,21.77,21.95,21.68
21.86,21.67,21.94,21.66
21.66,21.55,21.78,21.46
21.45,21.47,21.77,21.33
21.65,21.64,21.93,21.52
21.75,20.78,21.91,20.36
20.70,20.71,21.01,20.47
20.75,21.78,21.99,20.75
21.78,22.69,22.70,21.52
22.82,22.36,22.98,22.25
22.44,22.20,22.64,22.13
22.46,21.98,22.46,21.75
21.92,21.98,22.09,21.78
21.92,21.90,22.02,21.75
21.78,21.71,21.87,21.44
21.67,21.51,21.67,21.25
21.31,21.40,21.53,21.05
21.59,21.22,21.59,21.10
21.42,21.19,21.64,21.05
21.24,20.99,21.31,20.84
21.10,21.15,21.29,20.77
21.19,20.99,21.24,20.89
21.00,20.65,21.00,20.51
20.85,20.64,20.88,20.23
20.82,21.20,21.25,20.50
21.15,20.94,21.30,20.87
21.02,20.89,21.12,20.56
20.84,20.64,20.84,20.52
20.74,20.90,21.10,20.74
20.77,20.98,20.98,20.54
20.98,20.98,21.18,20.71
20.89,21.24,21.57,20.82
21.14,21.23,21.46,21.06
21.18,20.98,21.41,20.92
20.93,20.69,20.95,20.66
20.78,21.02,21.21,20.61
21.05,21.12,21.26,20.96
23.74,23.76,24.41,23.21
23.58,23.48,24.50,23.46
23.42,22.55,23.50,22.33
22.78,22.83,23.01,22.10
23.27,23.56,24.01,23.23
23.81,23.86,23.93,23.57
24.23,23.55,24.47,23.52
23.60,23.44,23.79,23.31
23.65,23.82,24.30,23.65
23.78,23.88,24.06,23.72
23.93,23.70,24.61,23.67
