WRLD,World Acceptance Corporation - Common Stock,NASDAQ
36.46,36.04,37.09,35.91
35.87,36.87,36.93,35.78
36.92,36.75,36.92,36.44
36.80,37.59,37.69,36.14
37.71,38.24,38.59,36.81
38.37,38.25,38.60,37.84
37.87,38.39,38.92,37.00
38.68,38.78,38.99,38.00
38.86,38.97,39.25,38.55
39.10,38.58,39.10,38.28
38.57,39.49,39.60,37.75
39.27,39.51,39.78,38.32
39.49,40.77,41.26,39.33
40.85,39.00,41.21,38.40
39.05,38.28,39.65,38.17
38.20,37.93,38.94,37.61
37.79,37.94,38.52,37.51
41.18,40.18,41.50,39.19
40.50,40.39,41.30,40.11
40.42,40.43,40.90,39.83
40.59,41.61,42.00,40.38
41.32,40.35,42.17,40.11
40.11,38.08,40.14,38.08
38.00,37.64,38.00,36.50
37.64,37.39,38.00,36.89
37.79,37.87,38.09,37.18
37.64,37.94,37.99,37.34
37.67,39.31,39.53,37.66
39.02,39.43,39.43,38.67
39.97,40.29,40.33,39.58
40.60,40.74,41.20,40.53
40.81,41.20,41.20,40.12
41.21,41.21,41.50,41.10
41.58,41.14,41.98,41.05
40.85,38.78,40.87,38.46
38.92,40.75,40.90,38.83
40.25,40.76,41.00,40.15
40.78,41.79,42.00,40.14
40.45,39.64,41.45,39.60
39.84,39.80,40.73,39.60
40.05,39.79,40.24,39.61
39.72,39.64,39.92,39.26
39.75,40.53,40.63,39.75
40.79,41.60,41.64,40.79
41.54,42.19,43.51,41.54
42.40,41.84,42.79,41.65
41.51,42.70,43.00,41.51
43.00,43.65,43.83,42.52
43.77,42.09,44.10,41.93
42.18,40.82,42.50,40.37
40.90,41.64,42.09,40.73
41.60,41.99,42.33,41.50
42.02,37.90,42.02,37.84
37.64,36.56,37.70,36.37
36.66,36.57,37.63,35.67
36.31,36.47,37.01,36.03
36.60,36.90,37.83,36.58
37.18,37.20,37.83,37.00
37.46,37.18,37.70,36.90
37.13,36.86,37.39,36.58
36.60,36.08,36.73,35.76
36.23,36.64,36.90,36.00
36.98,35.91,36.98,35.53
35.70,35.02,35.79,34.63
