JKH,iShares Morningstar Mid-Cap Growth ETF,NASDAQ
76.43,76.74,76.85,76.43
76.71,77.24,77.25,76.71
77.39,77.62,77.71,77.38
77.46,77.65,77.65,77.00
77.33,78.07,78.07,77.33
77.83,78.02,78.02,77.73
77.38,76.83,77.38,76.44
76.99,77.43,77.43,76.46
77.64,77.73,77.73,77.38
76.76,76.56,76.76,76.36
76.65,77.13,77.22,76.65
76.45,76.44,76.65,75.99
76.50,75.46,76.65,75.33
75.32,73.63,75.32,73.54
74.24,74.07,74.35,73.71
73.50,73.57,74.23,73.41
73.57,73.84,73.84,72.99
74.04,73.15,74.09,72.51
73.40,72.17,73.96,72.16
72.78,73.52,73.52,72.68
73.64,74.42,74.51,73.45
74.07,74.17,74.36,74.00
73.16,71.47,73.17,71.47
71.47,71.58,71.59,69.91
71.46,71.50,72.06,70.94
72.07,72.48,72.69,71.53
72.04,72.13,72.31,71.52
71.67,73.20,73.25,71.67
72.30,73.51,73.51,72.30
74.27,74.85,74.85,74.20
75.21,75.41,75.41,75.11
75.38,75.89,75.92,75.37
75.83,76.36,76.45,75.83
76.62,76.31,76.62,76.01
76.09,75.25,76.09,75.11
75.73,75.77,76.06,75.61
74.66,76.06,76.06,74.66
75.95,76.37,76.37,75.95
76.76,77.87,77.89,76.76
78.12,78.44,78.67,78.12
78.68,78.51,79.04,78.48
78.58,78.52,78.81,78.26
79.00,79.71,79.71,79.00
79.73,79.73,79.87,79.59
79.59,79.86,80.23,79.59
79.88,80.47,80.53,79.88
80.24,80.73,80.78,80.07
80.99,80.92,80.99,80.62
80.67,80.56,80.70,80.12
80.66,81.39,81.39,80.64
81.73,81.72,81.93,81.53
81.72,81.33,81.72,81.22
80.60,80.60,81.66,80.46
79.98,81.42,81.51,79.98
81.50,81.98,81.98,81.33
81.75,81.50,81.84,81.36
81.86,81.03,82.10,80.96
81.36,80.77,81.36,80.53
81.29,81.53,81.66,81.29
81.71,81.77,81.82,81.31
81.46,81.46,81.96,81.46
82.45,82.20,82.54,81.64
82.86,83.26,83.37,82.86
83.04,83.43,83.59,83.00
83.43,82.95,83.43,82.63
82.26,83.06,83.11,82.24
83.28,83.71,83.71,83.28
83.91,83.94,84.18,83.81
83.97,84.23,84.25,83.67
84.67,85.33,85.33,84.63
85.29,85.51,85.73,85.16
85.27,84.49,85.33,83.82
84.17,83.80,84.26,83.00
84.31,85.05,85.05,84.31
85.02,85.07,85.07,84.63
84.38,85.92,85.96,83.94
86.04,86.72,86.78,85.75
86.79,86.65,87.02,86.58
86.22,84.61,86.67,84.56
84.95,84.75,85.02,84.48
85.46,85.85,85.92,85.40
85.71,84.50,85.82,84.50
84.95,85.56,85.61,84.69
84.57,83.26,84.57,82.89
82.55,82.51,83.31,81.70
81.97,79.62,82.54,76.47
78.93,77.48,79.68,77.20
81.29,81.42,81.58,80.86
80.90,81.46,82.42,80.90
81.72,83.05,83.05,81.72
83.06,82.75,83.83,82.31
81.81,80.18,81.81,79.95
80.95,80.66,81.28,78.99
81.61,79.65,81.82,79.44
79.20,78.95,79.85,77.81
77.14,75.73,77.15,75.51
74.47,77.08,77.28,74.28
76.53,76.27,77.39,76.27
74.55,76.17,76.44,73.47
77.56,76.60,78.01,76.43
78.38,79.55,79.55,78.37
79.48,78.63,79.55,78.18
77.91,77.00,78.74,77.00
77.12,79.00,79.00,77.12
79.45,79.88,80.05,79.09
78.88,76.76,79.16,76.67
77.01,75.27,77.36,75.27
75.26,75.48,75.52,74.20
76.35,75.70,77.01,75.52
76.70,78.18,78.19,76.70
77.47,79.22,79.22,77.47
80.15,79.29,80.61,79.29
79.82,81.17,81.17,79.82
80.72,81.10,81.62,80.61
81.67,80.94,81.67,80.42
81.22,81.05,81.42,80.79
81.91,80.59,81.97,80.25
80.64,78.86,80.64,78.86
78.81,78.89,79.31,78.06
78.33,77.50,78.51,77.47
77.39,78.15,78.54,77.39
78.29,77.99,78.65,77.67
76.80,75.23,76.80,74.84
75.76,74.66,76.00,74.66
74.54,74.59,74.71,72.87
74.59,74.05,74.66,73.62
75.22,74.06,75.57,73.63
74.22,76.45,76.45,74.22
77.03,76.85,77.06,76.30
76.99,77.33,77.33,76.73
77.05,76.89,77.56,76.50
78.15,78.32,78.50,77.80
78.31,78.50,78.80,78.05
78.43,78.55,78.59,77.57
77.44,76.13,77.44,76.10
76.57,76.59,76.76,76.00
75.85,77.61,77.71,75.79
78.31,76.53,78.31,76.43
77.82,78.52,78.68,77.82
78.86,79.65,79.67,78.63
79.91,80.66,80.66,79.65
80.93,79.65,80.95,79.56
79.36,78.87,79.36,78.85
