RFG,Guggenheim S&P Midcap 400 Pure Growth ETF,NASDAQ
58.86,59.26,59.42,58.86
59.22,59.66,59.70,59.00
59.61,60.08,60.10,59.61
60.01,60.14,60.23,59.58
60.00,60.57,60.57,59.92
60.85,60.32,60.96,60.03
59.92,59.45,59.92,59.10
59.71,60.25,60.27,59.13
60.04,60.14,60.45,59.95
60.11,59.25,60.14,59.04
59.39,59.84,59.89,59.26
59.41,59.19,59.49,58.71
59.30,58.12,59.52,58.00
57.95,56.78,58.00,56.70
57.21,56.85,57.36,56.52
56.73,56.81,57.22,56.30
56.53,56.83,56.96,56.10
57.13,56.58,57.13,56.05
56.74,55.63,57.32,55.54
55.42,56.57,56.57,55.42
56.65,57.51,57.61,56.59
57.40,57.30,57.60,56.91
56.71,54.95,56.71,54.95
54.93,55.01,55.03,53.65
54.96,54.73,55.53,54.73
55.54,55.64,55.94,54.99
55.54,55.56,55.98,54.22
55.39,56.69,56.69,55.39
56.01,57.03,57.03,55.82
57.73,58.05,58.05,57.43
58.35,58.39,58.41,57.99
58.40,58.72,58.74,58.29
58.57,58.80,58.85,58.32
59.10,58.65,59.10,58.63
58.54,57.68,58.54,57.60
57.98,58.45,58.45,57.98
57.57,58.57,58.60,57.36
58.53,58.80,58.84,58.53
59.23,60.12,60.13,59.23
60.63,60.87,61.10,60.52
61.20,61.17,61.69,61.05
61.39,61.38,61.54,61.09
62.04,62.42,62.50,61.78
62.54,62.73,62.82,62.51
62.56,62.73,63.13,62.45
62.80,63.12,63.16,62.75
62.82,63.43,63.53,62.74
63.83,63.64,63.83,63.24
63.68,63.45,63.68,62.81
63.73,63.97,64.01,63.45
64.38,64.49,64.75,64.14
64.69,64.09,65.32,64.00
63.30,63.30,64.31,63.19
62.92,64.21,64.29,62.70
64.38,64.73,64.76,64.09
64.55,64.03,64.60,64.00
64.85,63.50,65.02,63.50
63.75,63.54,64.10,63.17
63.86,64.16,64.19,63.80
64.30,64.24,64.58,63.91
64.00,63.72,64.56,63.72
64.40,64.64,64.89,64.27
65.05,66.04,66.05,65.00
65.75,66.29,66.40,65.73
66.24,65.69,66.26,65.32
65.44,65.72,65.85,64.84
65.77,66.19,66.23,65.37
66.36,66.31,66.50,66.18
66.25,66.55,66.56,65.92
66.93,67.47,67.50,66.82
67.41,67.51,67.79,67.29
67.27,66.64,67.51,66.10
66.37,66.16,66.68,65.21
66.51,66.82,66.88,66.20
66.90,67.16,67.16,66.52
66.55,68.35,68.46,66.34
68.37,68.96,68.96,68.14
69.00,68.85,69.40,68.79
68.43,66.95,68.72,66.81
67.30,66.67,67.43,66.40
67.11,67.54,67.74,66.95
67.73,66.00,67.76,66.00
66.41,67.20,67.25,66.26
66.15,65.13,66.17,64.33
64.65,64.45,65.73,63.25
64.06,62.10,64.71,30.00
61.57,60.33,62.32,59.46
63.63,63.78,64.25,62.72
63.17,63.93,64.80,63.17
64.26,65.65,65.76,64.26
65.60,65.20,66.40,65.01
64.60,63.51,64.60,62.98
63.78,63.40,64.06,61.63
64.26,62.48,64.47,62.25
62.04,61.60,62.62,60.64
60.05,59.04,60.39,58.84
58.02,60.12,60.69,57.27
60.11,59.72,60.68,59.71
58.47,59.84,59.89,57.18
60.29,59.83,61.28,59.60
61.35,62.36,62.36,61.12
62.40,61.51,62.51,61.18
60.61,59.72,61.54,59.70
59.87,61.26,61.28,59.44
61.82,61.81,62.02,61.18
60.25,59.37,61.41,59.30
59.44,57.71,59.66,57.71
57.70,57.89,57.95,56.60
58.45,58.32,59.67,58.11
59.70,60.42,60.46,59.52
59.68,61.09,61.09,59.68
61.76,61.47,62.50,61.39
62.04,62.92,63.01,61.75
62.67,62.69,63.12,62.24
63.02,62.34,63.02,61.89
62.75,62.37,62.75,62.19
63.36,61.67,63.36,61.26
61.65,60.26,62.21,60.26
60.32,60.43,60.84,59.54
59.92,59.06,60.03,59.00
59.25,59.96,60.19,59.01
60.09,59.59,60.34,59.48
58.59,57.12,58.59,56.88
56.86,56.83,57.88,56.70
56.69,56.77,57.00,55.22
57.01,56.35,57.21,56.07
57.43,56.10,57.89,55.82
56.26,58.17,58.26,56.26
58.01,58.74,59.02,58.01
58.83,59.51,59.51,58.72
59.32,59.01,59.58,58.62
59.81,60.57,60.67,59.60
60.47,60.54,60.86,60.10
60.71,60.82,60.92,59.86
60.19,58.69,60.25,58.69
59.11,58.91,59.11,58.28
57.99,59.99,59.99,57.87
60.29,59.14,60.43,59.06
60.27,60.85,60.90,60.27
60.73,62.09,62.09,60.73
