HIHO,Highway Holdings Limited - Common Stock,NASDAQ
2.01,1.81,2.02,1.81
1.85,1.90,1.90,1.70
1.94,1.91,2.02,1.91
1.92,1.93,1.93,1.91
1.92,1.93,1.93,1.92
2.00,2.23,2.38,2.00
2.27,2.24,2.48,2.24
2.17,2.30,2.30,2.17
2.30,2.28,2.30,2.16
2.20,2.25,2.36,2.16
2.17,2.11,2.18,2.11
2.01,1.94,2.24,1.94
1.87,1.85,2.01,1.85
1.82,1.75,1.85,1.61
1.95,2.02,2.40,1.90
1.95,1.86,1.98,1.76
1.82,1.88,1.95,1.82
1.86,1.80,1.86,1.80
1.82,1.78,1.88,1.75
1.82,2.03,2.19,1.82
2.36,2.11,2.36,2.05
2.26,2.11,2.26,2.11
2.24,2.09,2.24,2.09
2.09,2.13,2.20,2.09
2.01,1.93,2.07,1.92
1.82,1.84,1.93,1.82
1.84,1.90,1.90,1.84
1.84,1.82,1.90,1.82
1.88,1.88,1.88,1.88
2.20,2.15,2.28,2.10
2.25,2.30,2.38,2.13
2.35,2.64,2.66,2.35
2.71,2.49,2.71,2.40
2.54,2.70,2.81,2.54
2.80,2.62,2.80,2.49
2.44,2.70,2.75,2.44
2.75,2.69,2.75,2.58
2.72,2.88,2.88,2.58
2.63,2.57,2.85,2.50
2.65,2.32,2.65,2.31
2.32,2.44,2.78,2.31
2.44,2.16,2.49,2.08
2.17,2.31,2.39,2.11
2.55,2.57,2.60,2.50
2.60,2.62,2.68,2.59
2.70,2.65,2.71,2.60
2.65,2.53,2.65,2.42
2.58,2.50,2.70,2.49
2.46,2.50,2.56,2.45
2.48,2.45,2.60,2.45
2.50,2.31,2.53,2.23
2.35,2.30,2.49,2.26
2.31,2.26,2.35,2.20
2.39,2.46,2.46,2.35
2.50,2.46,2.50,2.44
2.49,2.49,2.55,2.49
2.50,2.69,2.69,2.50
2.69,2.63,2.69,2.60
2.51,2.50,2.59,2.35
2.50,2.55,2.55,2.40
2.51,2.52,2.52,2.50
2.45,2.55,2.55,2.39
2.42,2.47,2.50,2.42
2.45,2.47,2.55,2.45
2.54,2.52,2.55,2.48
2.50,2.55,2.55,2.50
2.46,2.46,2.52,2.46
2.50,2.55,2.57,2.50
2.56,2.58,2.58,2.56
2.60,2.52,2.60,2.52
2.52,2.58,2.58,2.51
2.58,2.53,2.58,2.52
2.50,2.45,2.53,2.43
2.42,2.39,2.42,2.39
2.39,2.39,2.39,2.33
2.41,2.47,2.47,2.40
2.40,2.44,2.47,2.40
2.69,3.26,3.45,2.62
3.06,2.80,3.25,2.71
2.85,2.85,2.94,2.80
2.85,3.05,3.05,2.85
3.05,3.00,3.24,3.00
2.75,2.33,2.80,2.31
2.54,2.40,2.54,2.29
2.36,2.36,2.44,2.35
2.40,2.28,2.42,2.28
2.26,2.41,2.41,2.26
2.31,2.35,2.40,2.31
2.39,2.38,2.39,2.35
2.33,2.38,2.38,2.25
2.25,2.36,2.36,2.20
2.30,2.31,2.38,2.22
2.48,2.46,2.60,2.45
2.55,2.51,2.55,2.46
2.45,2.40,2.50,2.40
2.32,2.24,2.45,2.20
2.20,2.20,2.25,2.16
2.17,2.23,2.39,2.17
2.30,2.24,2.33,2.15
2.28,2.33,2.34,2.28
2.35,2.35,2.35,2.35
2.40,2.35,2.40,2.35
2.26,2.23,2.33,2.15
2.19,2.19,2.25,2.12
2.17,2.17,2.17,2.17
2.17,2.20,2.20,2.16
2.20,2.29,2.42,2.18
2.34,2.30,2.42,2.29
2.39,2.39,2.40,2.35
2.39,2.40,2.40,2.39
2.40,2.42,2.42,2.40
2.40,2.40,2.40,2.40
2.30,2.49,2.49,2.27
2.32,2.47,2.47,2.31
2.40,2.47,2.49,2.39
2.35,2.44,2.44,2.31
2.33,2.44,2.44,2.32
2.32,2.38,2.40,2.21
2.31,2.24,2.31,2.21
2.24,1.94,2.24,1.80
1.82,1.80,1.92,1.72
1.87,1.75,1.89,1.75
1.75,1.81,1.83,1.73
1.84,2.00,2.09,1.82
2.03,1.86,2.03,1.81
1.84,1.80,1.95,1.80
1.74,1.82,1.90,1.74
1.86,1.89,1.95,1.86
1.90,1.90,1.90,1.83
1.90,1.90,1.90,1.90
1.89,1.88,1.89,1.81
1.85,1.81,1.87,1.80
