FVE,Five Star Quality Care,NASDAQ
3.55,3.70,3.70,3.47
3.74,3.61,3.74,3.51
3.67,3.73,3.78,3.60
3.78,3.85,3.85,3.67
3.85,3.66,3.88,3.61
3.66,3.61,3.75,3.59
3.63,3.56,3.68,3.50
3.51,3.54,3.59,3.49
3.54,3.49,3.55,3.49
3.52,3.50,3.52,3.41
3.48,3.32,3.50,3.30
3.32,3.20,3.32,3.20
3.20,3.22,3.28,3.19
3.24,3.17,3.24,3.16
3.20,3.19,3.20,3.10
3.19,3.20,3.30,3.19
3.22,3.20,3.28,3.18
3.19,3.20,3.33,3.15
3.20,3.16,3.26,3.16
3.16,3.18,3.22,3.16
3.20,3.20,3.23,3.20
3.23,3.20,3.29,3.20
3.21,3.20,3.23,3.19
3.18,3.20,3.21,3.15
3.23,3.20,3.25,3.20
3.26,3.18,3.26,3.15
3.22,3.22,3.22,3.16
3.28,3.32,3.35,3.24
3.25,3.48,3.53,3.25
3.42,3.29,3.48,3.20
3.25,3.32,3.37,3.25
3.26,3.00,3.30,2.82
2.95,3.07,3.10,2.95
3.12,3.00,3.12,2.97
3.04,3.01,3.10,2.96
2.98,3.01,3.03,2.95
3.00,2.98,3.00,2.95
2.97,3.05,3.05,2.75
3.11,3.04,3.16,3.03
3.19,3.12,3.19,3.07
3.16,3.11,3.16,3.05
3.08,3.06,3.10,3.04
3.09,3.09,3.10,3.02
3.07,3.07,3.10,3.05
3.11,3.10,3.19,3.08
3.21,3.11,3.21,3.06
3.11,3.10,3.13,3.07
3.16,3.18,3.18,3.02
3.20,3.13,3.20,3.10
3.15,3.13,3.16,3.05
3.14,3.01,3.14,3.00
2.95,3.02,3.09,2.95
2.98,2.98,3.04,2.97
2.96,3.02,3.05,2.96
3.01,3.00,3.05,2.98
3.01,3.10,3.10,3.01
3.07,3.11,3.12,3.06
3.08,3.11,3.12,3.00
3.12,3.07,3.12,3.05
3.04,3.05,3.07,3.02
3.03,3.05,3.05,3.00
3.10,3.04,3.10,2.98
3.10,3.00,3.10,2.92
3.02,2.94,3.02,2.90
2.97,2.95,2.97,2.85
2.97,2.86,2.97,2.86
2.85,2.88,2.92,2.81
2.92,3.01,3.05,2.92
2.98,3.03,3.04,2.98
3.05,3.07,3.09,3.00
3.10,3.02,3.10,2.99
3.01,3.05,3.05,2.98
3.00,3.02,3.09,2.97
3.06,3.10,3.10,2.99
3.05,3.01,3.09,3.01
2.95,3.01,3.05,2.95
3.02,3.00,3.05,2.99
3.00,3.01,3.01,2.94
2.96,2.95,3.00,2.95
2.99,2.98,3.00,2.94
2.95,2.97,3.00,2.95
2.99,2.96,3.00,2.87
2.94,2.97,3.08,2.92
3.18,3.18,3.29,3.11
3.19,3.10,3.26,3.05
3.11,3.09,3.17,3.01
3.05,3.08,3.10,3.00
3.21,3.17,3.21,3.12
3.17,3.17,3.20,3.10
3.19,3.27,3.28,3.15
3.26,3.30,3.30,3.20
3.20,3.23,3.30,3.16
3.46,3.51,3.70,3.30
3.57,3.52,3.63,3.40
3.49,3.53,3.59,3.49
3.40,3.36,3.44,3.30
3.41,3.37,3.41,3.20
3.33,3.49,3.57,3.32
3.39,3.37,3.42,3.29
3.43,3.49,3.54,3.37
3.57,3.51,3.57,3.44
3.53,3.55,3.64,3.45
3.52,3.54,3.62,3.49
3.59,3.64,3.64,3.43
3.61,3.57,3.67,3.51
3.47,3.42,3.58,3.41
3.42,3.37,3.50,3.36
3.34,3.35,3.43,3.29
3.28,3.34,3.37,3.28
3.49,3.42,3.49,3.33
3.28,3.39,3.40,3.28
3.45,3.56,3.64,3.44
3.73,3.77,3.80,3.66
3.76,3.51,3.77,3.45
3.59,3.48,3.59,3.45
3.46,3.34,3.46,3.30
3.33,3.22,3.43,3.17
3.22,3.16,3.29,3.11
3.12,3.10,3.18,3.03
3.05,3.03,3.12,3.00
3.08,3.13,3.26,3.02
3.10,3.06,3.15,3.03
3.07,3.02,3.07,2.94
3.03,3.02,3.05,2.96
2.99,3.05,3.07,2.93
3.05,2.95,3.11,2.91
3.04,2.84,3.04,2.81
2.84,2.92,2.93,2.72
2.94,3.03,3.07,2.74
3.03,3.12,3.15,2.99
3.11,3.08,3.15,2.82
3.09,3.09,3.13,3.02
3.09,3.06,3.10,3.02
3.05,3.05,3.07,3.02
3.05,2.86,3.05,2.85
2.85,2.90,2.94,2.85
