MDY,SPDR MidCap Trust Series I,NASDAQ
133.07,133.95,134.27,133.04
133.70,134.29,134.31,133.06
134.42,135.02,135.24,134.32
134.77,135.66,135.82,134.16
135.47,136.51,136.54,135.13
137.11,136.24,137.18,135.87
135.52,134.69,135.68,134.04
135.20,136.41,136.52,134.27
136.01,136.67,136.91,135.87
136.54,134.84,136.88,134.46
135.12,136.56,136.62,135.07
135.53,135.49,135.79,134.24
135.71,133.73,136.36,133.46
133.66,130.92,133.84,130.72
131.94,131.32,132.10,130.53
131.09,130.82,132.09,130.37
130.46,131.01,131.24,129.23
131.29,129.37,131.35,128.34
129.52,127.50,130.92,127.45
127.80,129.40,129.49,127.78
129.71,131.22,131.59,129.19
130.71,130.61,131.35,130.01
129.57,126.33,129.59,126.33
126.38,126.68,126.69,123.76
126.53,125.76,127.45,125.38
127.31,127.35,128.16,126.02
127.05,127.32,128.04,125.87
127.08,129.08,129.13,126.33
127.71,129.89,129.97,127.38
131.38,132.10,132.20,130.47
132.58,133.04,133.16,132.18
133.03,134.02,134.02,132.87
133.75,134.26,134.74,133.33
135.00,134.45,135.10,134.09
134.14,132.63,134.43,132.56
133.09,133.83,134.12,132.86
132.14,134.14,134.24,131.68
134.20,133.95,134.39,133.13
134.64,136.42,136.50,134.61
136.99,137.35,137.91,136.81
138.05,137.99,138.78,137.56
138.22,138.03,138.62,137.50
138.75,139.99,140.06,138.53
139.96,140.26,140.50,139.95
139.84,140.30,141.19,139.84
140.37,141.44,141.59,140.34
140.79,142.07,142.24,140.43
142.82,142.48,142.82,141.43
142.34,142.13,142.62,141.02
142.64,143.78,143.80,142.12
144.19,144.80,145.36,144.17
144.90,144.12,145.16,143.93
142.18,142.18,144.22,141.94
141.24,143.93,144.10,141.14
144.02,145.22,145.22,143.43
144.45,143.89,144.82,143.78
144.99,142.93,145.26,142.82
143.23,142.65,143.92,142.08
143.43,143.91,143.95,142.48
143.96,144.15,144.78,143.30
143.66,143.16,144.64,142.91
144.19,144.69,145.16,143.56
145.20,146.94,146.95,144.96
146.36,147.66,147.89,146.36
147.47,146.63,147.53,145.81
146.10,146.36,146.99,145.10
146.60,147.85,147.85,145.90
147.92,148.04,148.15,147.36
147.82,148.57,148.65,147.10
149.43,150.75,150.80,148.99
150.57,150.72,151.37,150.38
150.20,148.86,150.73,147.90
148.33,148.40,149.37,146.71
149.07,150.35,150.39,148.71
150.34,150.82,151.08,149.94
149.62,152.62,152.83,149.09
152.83,154.03,154.26,152.17
154.07,153.62,154.80,153.31
152.86,149.76,153.78,149.61
150.59,150.19,151.10,149.45
151.29,152.45,152.73,150.57
152.59,149.13,153.02,149.13
150.10,151.68,151.86,149.95
149.65,147.37,149.65,146.70
146.16,145.85,147.93,144.90
145.00,141.00,146.53,122.05
140.18,137.40,141.46,135.76
143.24,144.50,144.57,142.56
143.05,144.95,146.69,142.70
145.63,148.25,148.32,145.61
147.83,146.89,148.94,146.37
145.98,143.45,146.04,142.31
144.20,143.61,145.19,140.10
145.30,141.65,145.66,141.02
140.80,140.17,142.29,138.02
136.60,134.24,137.51,134.07
131.96,136.30,137.02,131.44
135.50,134.97,137.24,134.80
131.82,134.76,134.95,129.73
135.27,135.08,137.88,134.50
138.03,140.24,140.24,137.23
139.91,138.61,140.19,137.82
137.42,135.10,139.04,134.95
135.81,138.55,138.57,134.83
138.92,139.58,139.81,137.94
136.48,133.88,139.54,133.49
134.49,131.23,134.70,131.02
131.26,131.79,132.11,129.12
132.62,132.21,135.22,131.66
134.65,136.50,136.52,134.32
135.04,137.76,137.95,134.93
139.46,138.58,140.67,138.23
139.52,141.62,141.98,139.15
140.88,141.28,142.16,140.38
141.85,140.95,141.98,139.61
141.03,139.86,141.22,139.77
142.15,139.37,142.42,138.65
139.49,136.47,140.64,136.28
136.20,136.08,137.39,134.47
135.17,133.73,135.67,133.59
134.19,135.25,135.80,133.10
135.30,134.85,136.17,134.10
132.76,130.19,132.80,129.48
129.75,129.16,131.94,128.90
129.08,128.37,129.54,125.60
128.99,127.42,129.27,126.83
129.33,126.95,130.52,126.09
127.35,131.52,131.57,127.24
132.94,132.87,133.49,131.31
132.81,134.32,134.32,132.49
133.79,133.59,134.86,132.52
135.28,136.80,137.25,134.93
136.41,136.55,137.24,135.42
136.61,136.40,136.75,134.45
135.47,131.94,135.69,131.75
132.41,132.77,133.11,130.82
131.00,134.72,134.90,130.60
135.70,132.70,135.75,132.34
134.41,136.57,136.87,134.40
135.99,138.51,138.63,135.65
138.99,141.12,141.12,138.46
142.08,140.21,142.23,139.77
140.02,138.38,140.44,137.76
139.42,137.70,139.60,135.99
135.74,137.95,138.53,135.46
140.34,140.64,140.84,139.33
140.09,139.66,140.71,138.65
140.31,141.25,141.25,139.81
140.16,140.52,141.05,139.75
138.69,140.10,140.62,138.12
141.17,141.46,141.69,140.34
140.14,139.79,140.77,138.81
137.12,134.96,137.20,134.80
132.42,134.15,134.76,132.27
133.76,133.58,134.54,133.44
132.60,133.65,134.31,132.03
135.01,135.89,136.92,134.55
135.64,136.23,137.21,134.69
135.53,133.93,136.19,133.48
133.51,133.94,133.95,132.22
134.76,132.55,135.20,132.55
130.77,130.48,131.87,129.45
129.54,131.52,131.96,128.78
131.90,130.65,132.76,130.44
131.93,133.49,133.59,129.47
132.81,131.24,133.62,131.17
130.91,131.11,132.24,129.97
133.10,135.59,135.67,133.04
135.61,137.36,137.49,135.40
139.24,139.23,139.81,138.33
138.85,137.33,138.90,137.14
137.57,138.21,138.90,137.55
139.91,138.59,139.93,137.91
138.74,138.94,139.47,138.35
140.54,141.43,141.61,140.32
141.15,141.40,142.27,140.60
141.18,142.11,142.33,140.34
141.70,141.66,142.20,141.06
142.07,141.69,142.12,140.65
142.27,144.03,144.27,141.56
143.97,143.24,144.48,142.95
143.00,142.07,143.97,141.51
141.17,141.08,142.99,140.63
142.88,144.42,144.57,142.81
144.42,144.42,145.05,143.61
144.76,145.35,145.66,142.73
145.00,145.44,146.03,144.67
146.27,145.59,147.50,144.87
146.85,145.97,147.03,145.06
145.48,144.46,146.41,143.58
146.03,147.41,147.77,145.59
147.19,146.34,147.61,145.71
147.08,146.28,147.12,145.26
146.30,147.31,147.75,145.66
147.21,147.56,148.23,147.06
147.17,148.06,148.46,145.88
148.89,149.46,150.33,148.42
149.25,148.89,149.82,147.96
150.06,148.89,150.13,147.78
149.10,149.17,149.72,148.68
147.81,147.15,149.23,146.30
147.67,148.95,149.62,147.59
149.44,148.70,150.48,147.42
149.16,149.73,149.91,148.72
150.64,150.67,152.13,150.52
149.86,150.45,151.44,149.14
149.63,150.38,150.47,148.83
151.29,150.18,151.51,149.42
