BDSI,BioDelivery Sciences International,NASDAQ
3.96,4.00,4.00,3.82
3.98,3.92,3.98,3.91
3.92,3.94,4.02,3.92
3.95,4.00,4.05,3.94
4.00,4.22,4.25,4.00
4.29,4.11,4.29,4.09
4.25,4.05,4.25,4.02
4.06,4.15,4.18,4.03
4.15,4.16,4.20,4.11
4.17,4.06,4.18,4.01
4.04,4.00,4.06,3.94
3.97,3.98,4.07,3.95
4.01,3.90,4.01,3.89
3.92,3.79,3.94,3.79
3.81,3.68,3.85,3.66
3.70,3.55,3.73,3.55
3.55,3.58,3.64,3.51
3.60,3.56,3.61,3.55
3.58,3.54,3.65,3.52
3.55,3.47,3.60,3.46
3.47,3.79,4.07,3.47
3.77,3.60,3.77,3.60
3.60,3.50,3.65,3.50
3.52,3.45,3.52,3.35
3.50,3.48,3.56,3.39
3.52,3.52,3.56,3.50
3.52,3.45,3.54,3.36
3.44,3.62,3.64,3.44
3.62,3.60,3.62,3.44
3.69,3.34,3.72,3.26
3.36,3.36,3.58,3.28
3.32,3.42,3.48,3.29
3.43,3.36,3.48,3.33
3.36,3.43,3.44,3.30
3.44,3.41,3.44,3.33
3.39,3.43,3.45,3.31
3.51,3.56,3.57,3.44
3.69,3.79,3.83,3.51
3.79,3.88,3.90,3.79
3.87,3.97,3.97,3.81
3.98,3.86,3.98,3.80
3.85,3.86,3.86,3.64
3.86,3.87,3.92,3.70
3.88,3.92,3.94,3.80
3.90,3.90,3.94,3.88
3.90,3.84,3.92,3.77
3.84,3.91,3.95,3.81
3.95,4.14,4.20,3.91
4.22,4.31,4.43,4.21
4.30,4.08,4.44,4.01
4.10,4.11,4.14,4.00
4.14,4.05,4.14,3.94
4.11,4.00,4.11,3.90
4.03,3.90,4.22,3.88
3.96,3.96,3.98,3.87
3.96,4.04,4.10,3.95
4.04,3.96,4.04,3.96
3.98,4.03,4.10,3.98
4.01,3.86,4.01,3.85
3.80,3.74,3.94,3.70
3.73,3.83,3.87,3.70
N/A,N/A,N/A,N/A
3.80,3.95,3.95,3.75
3.94,3.90,3.94,3.83
3.87,3.89,3.92,3.84
3.86,3.81,3.90,3.81
3.81,3.78,3.87,3.75
3.85,3.83,3.86,3.79
3.79,3.92,3.92,3.78
4.00,4.12,4.18,3.97
4.15,4.11,4.15,4.08
4.10,4.12,4.15,4.06
4.17,4.21,4.27,4.10
3.90,3.63,3.97,3.51
3.68,3.56,3.69,3.54
