ROSG,Rosetta Genomics Ltd. - ordinary shares,NASDAQ
1.70,1.69,1.82,1.69
1.75,1.87,1.87,1.75
1.87,1.90,1.90,1.82
1.95,1.97,1.99,1.94
1.97,1.97,1.97,1.97
1.99,1.87,1.99,1.81
1.87,1.85,1.87,1.85
2.05,3.09,3.48,1.99
2.14,2.10,2.25,2.06
2.15,2.00,2.17,1.99
2.00,1.99,2.04,1.92
1.99,1.90,1.99,1.88
1.90,1.84,1.91,1.80
1.89,1.79,1.89,1.75
1.86,1.78,1.86,1.74
1.77,1.72,1.80,1.71
1.74,1.71,1.74,1.71
1.72,1.71,1.77,1.70
1.77,1.69,1.79,1.69
1.70,1.68,1.71,1.62
1.66,1.69,1.72,1.66
1.75,1.69,1.75,1.68
1.66,1.63,1.67,1.61
1.63,1.69,1.78,1.63
1.69,1.65,1.74,1.64
1.64,1.61,1.67,1.59
1.61,1.62,1.62,1.61
1.64,1.62,1.64,1.61
1.62,1.60,1.65,1.60
1.68,1.67,1.70,1.59
1.68,1.71,1.74,1.68
1.72,1.74,1.75,1.72
1.75,1.73,1.75,1.70
1.75,1.73,1.75,1.71
1.73,1.68,1.73,1.68
1.75,1.72,1.75,1.69
1.74,1.68,1.74,1.62
1.73,1.64,1.73,1.63
1.63,1.63,1.63,1.60
1.62,1.65,1.70,1.62
1.69,1.89,1.99,1.65
1.89,1.82,1.90,1.80
1.89,1.80,1.91,1.77
1.85,2.11,2.20,1.85
2.12,1.98,2.17,1.96
1.99,2.08,2.10,1.99
2.08,2.03,2.08,2.02
2.00,2.00,2.08,1.99
1.99,2.05,2.15,1.99
2.05,2.09,2.10,2.05
2.10,2.04,2.10,2.04
2.01,2.01,2.03,1.98
1.94,1.94,2.04,1.88
2.00,2.09,2.10,1.91
2.15,2.12,2.15,2.04
2.15,2.10,2.15,2.10
2.09,2.05,2.17,1.93
2.02,1.98,2.07,1.95
2.15,2.31,2.35,2.04
2.27,2.38,2.48,2.17
2.30,2.16,2.35,2.10
2.15,2.20,2.25,2.15
2.28,2.28,2.37,2.25
2.24,2.22,2.28,2.18
2.29,2.28,2.30,2.20
2.35,2.29,2.40,2.28
2.33,2.29,2.35,2.29
2.39,2.29,2.39,2.29
2.23,2.26,2.35,2.23
2.32,2.30,2.34,2.28
2.36,2.26,2.36,2.17
2.34,2.30,2.34,2.22
2.30,2.25,2.30,2.20
2.30,2.32,2.35,2.24
2.35,2.20,2.35,2.13
2.13,2.15,2.19,2.13
2.17,2.17,2.25,2.15
2.23,2.18,2.24,2.18
2.18,2.14,2.20,2.05
2.20,2.10,2.20,2.10
2.10,1.92,2.25,1.90
2.00,1.89,2.00,1.80
1.90,1.98,1.99,1.90
1.92,1.87,1.98,1.84
1.92,1.82,1.96,1.80
1.78,1.71,1.84,1.62
1.68,1.74,1.84,1.68
1.79,1.85,1.92,1.79
1.88,1.94,1.98,1.88
1.92,1.93,1.98,1.92
1.93,1.86,1.94,1.80
1.90,1.80,1.97,1.80
1.85,1.72,1.85,1.70
1.79,1.83,1.95,1.77
1.83,1.70,1.83,1.65
1.74,1.71,1.77,1.65
1.70,1.74,1.74,1.65
1.81,1.67,1.82,1.66
1.69,1.69,1.70,1.58
1.78,1.88,1.88,1.76
1.88,1.78,1.88,1.65
1.87,1.83,1.87,1.72
1.81,1.81,1.85,1.80
1.70,1.80,1.82,1.70
1.85,1.84,1.87,1.80
1.79,1.85,1.85,1.75
1.85,1.86,1.98,1.84
1.84,1.77,1.84,1.75
1.77,1.76,1.83,1.76
1.75,1.73,1.75,1.67
1.77,1.75,1.77,1.75
1.75,1.70,1.76,1.70
1.73,1.76,1.76,1.68
1.71,1.63,1.71,1.62
1.63,1.66,1.66,1.63
1.65,1.70,1.70,1.61
1.69,1.68,1.79,1.67
1.72,1.59,1.78,1.59
1.59,1.60,1.63,1.57
1.60,1.57,1.60,1.57
1.64,1.62,1.64,1.56
1.61,1.61,1.70,1.61
1.59,1.62,1.62,1.55
1.56,1.59,1.61,1.56
1.57,1.48,1.57,1.41
1.47,1.50,1.52,1.47
1.55,1.50,1.55,1.48
1.54,1.53,1.54,1.41
1.55,1.48,1.55,1.47
1.50,1.62,1.66,1.50
1.58,1.58,1.58,1.58
1.66,1.62,1.66,1.58
1.65,1.61,1.70,1.60
1.58,1.58,1.60,1.58
1.61,1.61,1.61,1.60
1.67,1.61,1.68,1.61
1.61,1.61,1.63,1.53
1.61,1.63,1.67,1.61
