GD,General Dynamics Corporation Common Stock,NASDAQ
68.51,69.19,69.19,68.17
69.29,69.30,69.78,68.81
69.03,69.24,69.36,68.75
69.09,69.44,69.50,68.73
69.43,69.44,69.70,68.91
69.83,70.73,70.75,69.66
70.27,70.30,70.65,69.85
70.17,71.07,71.49,69.96
70.87,71.10,71.24,70.31
71.08,70.61,71.08,69.85
70.49,70.69,70.83,70.02
70.12,69.36,70.29,68.35
69.27,68.14,69.72,67.73
68.10,67.02,68.77,66.94
68.68,67.86,69.04,67.85
67.57,68.72,69.40,67.43
68.75,67.23,68.75,65.92
67.61,67.60,68.25,67.04
67.41,66.85,67.73,66.72
67.22,69.43,69.58,66.79
69.43,70.03,70.21,68.66
69.82,70.12,70.39,69.51
69.64,68.16,69.98,68.06
68.07,66.66,68.38,65.30
66.72,66.35,67.53,65.91
66.95,68.04,68.56,66.55
68.05,67.64,68.34,67.42
67.46,67.80,67.85,66.55
67.33,67.95,68.28,66.38
68.37,69.85,69.85,68.13
69.76,70.10,70.10,69.10
69.86,71.78,71.99,69.59
71.64,72.61,73.10,71.43
72.62,72.57,72.97,71.74
72.28,71.81,72.88,71.53
71.83,72.60,72.74,71.71
72.10,72.20,72.24,70.81
72.39,72.55,72.74,71.59
72.54,73.91,74.13,72.54
74.65,73.98,74.65,73.41
74.25,72.83,74.33,72.65
71.95,72.94,73.04,71.09
72.88,73.73,73.78,72.53
73.40,73.65,73.92,73.10
73.38,73.68,74.09,72.65
73.47,73.94,74.31,73.38
73.50,74.15,74.22,72.75
74.15,73.76,74.15,73.01
73.72,73.66,73.74,72.96
73.67,73.71,73.98,73.26
73.91,74.98,75.00,73.59
74.86,75.24,75.50,74.79
75.49,75.49,76.24,75.24
75.23,75.66,75.82,74.59
75.88,76.94,76.96,75.79
76.74,75.74,76.76,75.60
76.34,76.22,76.96,75.73
76.50,76.92,77.05,76.15
77.35,78.48,78.62,77.17
78.48,77.49,78.48,77.07
77.34,77.20,77.79,76.98
