DIN,DineEquity,NASDAQ
24.77,24.62,24.77,24.12
24.64,24.12,24.64,23.65
23.93,23.20,24.12,23.08
23.24,23.15,23.36,22.66
23.08,22.69,23.13,22.61
22.80,22.90,23.24,22.70
22.72,22.51,23.25,22.45
22.61,22.38,22.61,22.13
22.46,23.70,23.96,22.22
23.82,23.11,23.82,23.00
23.19,23.77,23.90,23.11
23.42,24.42,24.56,23.42
24.35,24.51,24.86,24.30
24.25,24.33,24.75,24.22
24.47,24.21,24.57,23.83
23.98,23.27,24.01,23.24
23.10,23.13,23.37,22.81
23.25,22.54,23.33,22.43
22.61,22.74,23.23,22.61
22.85,23.91,24.00,22.83
23.91,24.01,24.36,23.74
23.90,24.40,24.52,23.90
24.03,23.90,24.42,23.80
23.91,23.90,24.02,23.62
23.87,24.02,24.98,23.87
24.37,25.35,25.43,24.32
25.27,26.99,27.08,24.83
26.62,28.60,28.78,26.62
28.24,27.80,28.64,27.67
28.33,28.88,29.17,28.23
29.13,28.23,29.78,28.12
28.06,28.12,28.35,27.86
28.08,28.08,28.22,27.65
28.30,28.21,28.47,27.91
28.04,28.46,28.74,28.04
28.55,28.51,28.55,27.89
28.11,29.25,29.32,27.96
29.36,29.34,29.50,29.18
29.28,29.32,29.74,29.08
29.34,29.62,29.81,29.16
30.79,33.29,34.33,30.79
32.59,34.49,34.90,31.80
34.81,35.14,35.93,34.81
34.91,34.64,35.02,34.31
34.21,34.19,34.75,33.87
34.13,34.46,34.80,34.09
34.29,34.75,35.11,34.16
34.95,35.37,35.73,34.82
35.21,35.47,35.61,35.21
35.56,35.64,35.97,35.20
35.90,37.28,37.54,35.75
38.63,39.63,39.89,38.11
38.92,38.92,39.92,38.87
38.58,40.10,40.68,38.58
40.12,40.36,40.51,39.41
40.10,40.09,41.15,39.97
40.71,39.81,41.12,39.75
40.06,40.20,40.74,39.87
40.82,39.99,40.89,39.69
40.18,39.84,40.32,39.63
39.38,39.53,40.67,39.11
39.97,39.16,41.03,38.83
39.35,39.80,40.59,39.35
39.62,39.96,40.14,39.13
39.56,41.86,42.20,39.56
42.01,41.97,42.96,41.52
42.03,42.90,43.04,41.20
43.05,42.27,43.40,42.07
42.27,42.19,42.52,41.65
42.57,43.21,43.31,42.54
43.23,42.67,43.64,42.58
43.15,43.69,44.61,42.80
43.39,43.66,44.57,42.85
43.94,44.17,44.38,43.07
44.10,44.74,44.99,43.88
44.68,47.38,48.17,44.55
