OXY,Occidental Petroleum Corporation Common Stock,NASDAQ
82.66,83.10,83.51,82.20
83.18,82.50,83.23,82.03
82.40,83.49,83.87,81.83
82.95,82.87,83.63,82.37
82.52,83.72,83.78,81.53
84.15,82.96,84.83,82.30
81.80,80.16,82.17,79.91
80.34,79.63,80.70,78.60
79.15,80.25,80.43,79.12
80.04,78.92,80.27,78.35
78.65,79.36,79.43,78.25
78.60,78.21,78.60,76.81
78.15,76.01,78.51,75.89
76.59,76.10,78.16,75.72
77.03,77.65,78.53,76.80
76.21,76.66,77.97,76.21
76.70,76.43,77.20,75.39
77.46,77.50,78.82,74.38
78.14,78.34,79.82,77.75
79.09,79.83,79.92,78.95
80.11,80.78,80.93,79.21
80.66,80.13,81.13,79.64
79.43,76.44,79.43,76.30
76.38,76.71,77.16,74.27
76.77,76.30,78.58,76.02
77.40,77.91,78.90,76.48
78.41,78.39,78.92,77.10
78.46,80.46,80.52,77.75
79.21,79.80,79.90,78.29
81.00,81.18,81.46,79.88
81.18,80.94,81.44,79.86
80.62,80.99,81.18,79.79
80.77,81.51,82.00,80.58
82.00,80.01,82.12,79.84
80.10,79.01,80.42,78.89
79.77,79.55,79.95,78.77
77.99,79.03,79.18,77.04
79.53,79.85,80.10,78.67
80.26,80.75,81.12,80.14
81.23,81.20,81.86,80.90
81.53,81.03,82.07,80.84
80.92,81.25,81.85,80.83
81.96,81.94,82.24,81.33
81.77,81.49,82.08,81.03
80.90,81.49,82.37,80.80
81.34,81.97,82.23,80.99
81.65,81.86,82.45,81.44
82.38,81.84,82.49,81.43
81.46,81.06,81.64,80.17
81.58,82.37,82.45,80.93
82.65,83.21,83.74,82.52
82.88,82.51,83.29,81.53
82.58,82.58,83.19,81.84
81.54,82.57,82.84,81.26
82.57,83.32,83.46,81.94
82.87,82.95,83.55,82.36
83.74,81.51,83.95,81.41
81.92,81.73,82.06,81.14
82.24,84.14,84.46,81.94
84.70,84.27,84.81,84.00
84.36,84.54,85.05,83.89
85.25,86.60,86.97,85.25
87.01,88.41,88.74,86.81
88.08,88.49,88.80,87.88
88.05,86.30,88.08,86.00
85.77,86.58,86.78,84.70
86.61,86.56,87.08,85.59
86.71,86.79,87.01,86.31
86.34,85.69,86.66,84.74
86.17,86.16,86.19,85.00
86.04,86.47,86.93,85.31
85.79,85.06,86.60,84.59
84.16,84.69,84.82,83.40
85.59,86.59,87.55,85.39
86.45,85.88,87.22,85.11
85.05,85.30,85.42,84.21
85.45,87.48,87.52,84.58
87.66,87.41,88.78,87.18
86.82,84.35,87.54,84.04
84.87,84.90,85.32,83.87
84.93,86.25,86.61,84.72
86.64,88.66,90.43,86.42
89.17,89.99,90.99,88.98
88.01,86.54,88.10,85.25
85.02,82.88,85.27,82.34
82.34,80.42,83.64,74.20
80.27,80.61,81.61,77.78
83.23,84.16,85.29,82.63
83.08,83.03,84.54,82.64
83.18,84.75,85.00,83.18
84.39,83.42,84.80,83.23
82.73,81.96,83.25,80.28
82.07,80.53,82.57,79.32
82.00,80.93,82.77,80.57
80.50,79.54,80.99,78.17
77.62,77.66,79.60,76.61
76.08,79.41,79.72,75.63
79.50,77.90,79.64,77.77
76.00,78.94,79.03,74.90
79.91,78.18,80.40,77.93
80.00,82.43,82.52,79.70
82.41,82.51,83.88,81.62
81.50,80.07,83.45,80.00
80.73,81.85,81.93,79.42
81.94,82.92,83.42,80.20
80.78,78.42,81.77,77.59
78.80,78.74,80.45,78.49
78.54,80.09,80.30,78.09
81.31,79.97,81.96,79.39
81.35,83.49,83.65,81.15
82.51,85.01,85.11,82.25
85.74,84.71,87.20,84.61
85.54,86.74,87.06,85.18
86.06,87.08,87.78,85.45
87.38,86.62,87.61,85.54
86.67,86.98,87.55,86.18
88.12,85.80,88.84,85.10
86.04,83.66,86.35,83.39
83.19,83.81,84.64,82.70
83.57,81.46,83.99,81.08
81.92,81.73,82.69,80.59
82.16,80.91,82.49,80.64
80.52,78.52,80.52,77.84
78.73,77.15,79.49,77.07
77.37,76.75,78.06,75.44
76.90,76.37,77.82,75.71
77.07,77.00,78.41,76.06
77.41,79.58,79.62,77.26
80.59,80.91,81.26,79.88
80.79,81.11,81.48,80.45
80.81,80.91,81.79,80.30
81.91,82.30,82.67,81.63
81.81,82.07,82.69,81.35
82.61,82.10,82.67,80.27
81.72,79.38,81.72,78.88
79.69,79.52,80.44,78.92
78.50,80.95,81.17,78.50
81.35,80.05,81.87,79.48
81.34,82.12,82.63,80.87
81.76,82.14,82.17,80.69
82.18,82.92,83.18,82.03
83.01,79.94,83.01,79.38
79.97,78.88,80.50,78.48
79.49,77.69,79.80,77.20
77.08,77.93,78.39,76.86
79.60,80.19,80.89,79.26
79.38,78.67,79.90,78.55
78.55,78.79,79.56,78.37
78.11,77.60,78.36,77.02
76.81,76.33,77.36,75.35
77.10,76.95,77.42,76.44
75.87,77.81,78.14,75.85
76.02,76.34,77.00,75.90
75.51,76.46,77.25,75.50
76.14,75.39,76.80,75.30
75.14,75.90,76.02,73.90
76.80,76.83,77.15,75.86
76.41,75.62,76.53,75.12
75.39,75.39,75.70,74.26
74.76,75.06,75.80,74.47
75.27,75.57,76.39,75.11
74.64,74.02,75.26,73.76
73.68,72.90,73.68,72.16
73.53,72.23,74.12,72.13
72.71,75.42,75.56,72.47
75.02,73.79,75.25,73.76
73.49,73.08,74.25,72.84
74.42,76.86,77.00,74.42
76.75,77.84,77.84,76.36
78.34,78.32,78.92,77.48
77.59,76.45,77.60,75.94
76.02,77.22,77.30,76.02
78.22,77.57,78.79,77.42
77.77,78.20,79.13,77.77
79.04,78.61,79.26,78.34
78.62,78.37,79.16,78.05
77.69,78.14,78.43,77.50
77.97,76.45,78.25,76.08
76.77,76.20,77.02,75.79
76.37,77.23,77.60,76.23
77.50,76.92,77.51,75.91
77.01,75.94,77.94,75.71
75.38,74.57,75.38,74.04
75.18,76.30,76.44,74.77
76.09,74.81,76.35,74.66
75.13,75.51,75.69,73.86
74.98,76.63,76.95,74.77
77.26,78.30,78.71,77.13
79.11,80.77,81.99,78.90
80.12,80.59,81.72,80.12
81.24,82.46,82.73,81.07
82.30,82.93,83.41,82.22
83.11,82.39,83.31,81.21
82.67,83.18,83.39,81.99
83.01,83.72,83.89,83.00
83.45,83.23,84.00,82.10
83.88,84.29,84.94,83.77
84.35,84.91,85.50,84.14
85.39,84.94,85.48,84.22
84.78,85.45,85.92,84.44
83.95,81.20,84.42,80.06
81.16,80.97,81.45,79.59
81.44,78.80,81.45,78.05
79.32,79.58,79.85,78.65
80.33,80.06,81.00,80.00
79.53,79.04,79.61,78.72
78.28,79.41,79.48,77.78
80.08,78.87,80.12,78.78
78.64,78.63,79.14,78.21
79.76,79.83,80.73,79.54
80.44,81.51,82.23,80.35
81.98,81.72,82.42,80.08
83.08,84.49,84.82,82.98
84.23,84.23,84.87,83.50
83.42,84.27,84.49,83.30
84.27,84.01,85.47,83.56
84.20,84.60,84.74,82.97
84.04,87.77,88.41,83.83
87.06,87.46,88.23,86.52
87.21,87.75,88.60,86.85
86.66,85.17,86.79,84.24
85.08,85.65,85.90,84.63
86.88,87.32,88.42,86.77
87.26,88.19,88.27,86.75
87.88,88.47,88.90,86.69
87.11,88.08,88.37,86.86
88.72,88.94,89.12,87.95
88.46,87.65,89.12,87.45
87.40,88.98,89.30,87.16
88.15,88.17,89.49,87.48
89.27,90.25,90.73,88.90
90.33,90.74,91.07,90.03
90.59,91.74,91.94,90.45
91.31,93.05,93.43,91.15
94.04,92.72,94.94,92.68
92.37,90.89,93.17,90.36
91.41,91.07,91.63,90.32
92.61,93.04,93.20,91.77
94.16,93.88,95.76,93.55
94.16,94.10,94.90,93.51
93.62,94.80,94.92,93.62
94.72,94.84,94.96,93.42
94.93,95.20,95.67,94.40
95.43,95.47,95.75,94.45
95.58,96.63,97.13,95.42
96.60,97.76,97.90,96.31
97.77,97.44,98.02,97.25
96.89,96.87,97.51,96.61
97.09,97.70,98.13,96.92
98.15,99.03,99.57,97.73
98.89,97.61,99.29,97.50
97.61,98.10,98.68,97.35
98.79,98.00,99.15,97.85
98.38,96.66,98.50,94.29
96.22,97.02,97.59,95.36
97.28,96.46,97.57,95.85
96.62,96.19,97.16,95.58
95.62,95.79,96.40,95.05
96.35,96.92,97.23,95.69
98.00,97.50,98.23,97.03
97.79,96.42,97.85,95.71
96.24,97.32,97.47,95.88
97.15,98.55,98.76,97.00
98.77,98.27,98.99,97.82
97.38,96.41,97.89,95.93
97.63,97.97,98.33,96.65
97.60,97.18,98.00,96.85
97.11,97.15,97.28,95.80
95.95,96.94,97.25,94.02
97.34,96.97,98.20,95.64
96.70,93.81,97.18,93.70
94.06,96.68,96.70,93.25
97.79,98.93,99.75,97.52
98.73,98.66,99.14,98.18
98.53,98.18,98.53,96.12
98.47,97.51,98.56,96.98
97.59,97.54,98.07,97.04
97.83,97.76,98.22,96.86
97.26,97.25,98.45,96.27
97.22,98.93,98.97,96.56
98.48,99.74,101.00,97.75
99.86,101.25,101.38,99.50
101.14,103.07,104.99,100.67
103.61,105.02,105.33,102.98
104.16,105.85,106.25,104.12
107.10,107.37,107.56,105.27
104.41,102.14,106.77,101.59
102.55,102.96,104.99,102.55
103.94,101.76,104.40,101.50
102.39,103.10,103.29,101.66
103.32,101.97,103.97,101.24
104.12,100.22,104.48,100.06
100.47,100.79,101.33,99.45
101.71,103.41,103.56,101.21
103.11,103.15,103.78,101.67
103.93,103.53,105.82,103.36
103.66,100.92,103.66,100.69
101.22,100.87,102.65,100.70
99.93,97.43,99.94,96.80
96.62,98.75,99.16,96.31
97.88,99.02,99.46,97.16
96.12,97.97,98.77,95.04
97.64,95.93,98.70,94.73
97.65,97.86,98.70,96.87
99.16,98.33,101.21,97.55
99.58,100.98,101.54,99.37
100.51,100.16,101.64,99.85
100.18,100.10,100.73,99.40
100.43,99.79,100.81,99.52
99.90,100.85,101.78,99.45
100.84,100.87,102.48,100.60
100.74,103.79,103.83,100.50
104.31,103.76,105.00,102.97
104.08,104.49,105.77,103.95
105.88,104.30,105.99,103.86
104.38,103.52,105.08,103.42
102.28,102.73,104.17,101.57
103.46,101.04,103.46,100.75
100.66,101.13,101.69,99.81
102.00,103.72,104.14,101.88
103.92,100.42,104.00,100.18
99.68,96.90,99.81,96.50
