ZBH,Zimmer Biomet Holdings,NASDAQ
59.31,60.02,60.14,59.31
61.32,61.92,61.98,60.65
62.06,61.90,62.12,61.47
62.85,63.32,63.70,62.16
61.81,61.99,62.84,61.10
62.40,63.36,63.81,62.20
63.20,62.14,63.56,61.73
62.26,62.55,62.79,61.73
62.40,62.73,62.87,62.15
62.49,61.75,62.69,61.45
61.94,63.71,63.74,61.90
63.70,62.53,64.77,62.04
62.53,61.35,63.00,61.19
62.10,60.59,63.01,60.56
61.22,60.84,62.15,60.53
60.68,60.66,61.16,60.42
60.47,59.88,60.47,58.89
58.25,56.85,59.28,56.53
56.94,56.32,56.97,55.35
56.46,57.03,57.09,55.57
57.11,58.30,58.52,56.95
58.17,57.13,58.17,57.06
56.59,55.62,56.88,55.57
55.50,55.43,55.59,54.72
55.21,55.42,56.31,55.21
55.89,56.08,56.53,55.57
56.01,56.68,57.22,55.90
56.42,57.60,57.94,56.42
57.05,57.24,57.43,56.56
57.47,58.36,58.36,57.34
58.42,58.34,58.54,58.02
58.12,58.40,58.49,57.99
58.29,58.10,58.62,57.65
58.10,58.14,58.31,57.73
57.94,57.38,58.02,57.02
57.47,57.44,57.91,57.21
57.07,57.24,57.32,56.48
57.22,57.33,57.76,57.00
57.43,58.23,58.57,57.28
58.44,59.06,59.32,58.23
59.00,59.04,59.24,58.72
59.15,58.78,59.15,58.50
58.87,60.10,60.30,58.79
60.13,59.55,60.52,59.51
59.18,59.11,59.48,59.04
58.94,58.86,59.07,58.50
58.65,57.03,58.76,56.10
57.44,59.24,59.30,57.44
58.98,58.24,59.35,58.01
58.45,57.81,58.65,57.39
57.84,57.64,58.00,57.41
57.63,57.44,57.79,57.33
56.97,56.97,57.58,56.23
57.01,58.20,58.27,56.82
58.27,58.46,58.61,57.57
58.19,58.05,58.63,57.96
58.35,57.48,58.35,57.46
57.70,57.31,57.98,57.15
57.39,58.61,58.68,57.34
58.54,59.03,59.11,58.28
58.90,59.20,59.43,58.71
59.42,59.99,59.99,59.33
60.09,59.50,60.26,59.35
59.27,58.95,59.66,58.80
58.83,59.08,59.45,58.50
58.88,59.08,59.23,58.60
