URE,ProShares Ultra Real Estate,NASDAQ
48.66,48.21,49.16,48.04
48.00,49.40,49.40,47.97
48.11,48.18,49.57,47.78
48.24,50.11,50.92,48.24
50.50,49.98,51.11,49.40
50.26,49.97,50.61,49.39
50.57,50.17,50.79,50.08
49.40,49.46,49.76,48.99
49.05,48.59,49.30,47.97
48.95,47.93,49.29,47.08
47.79,48.00,48.42,47.62
48.42,48.77,49.68,48.21
49.47,49.43,49.71,48.87
49.50,49.37,49.61,48.56
50.26,51.78,51.92,50.11
52.00,52.82,53.43,51.40
52.42,52.28,52.82,51.47
52.70,48.54,52.71,47.74
48.66,49.66,49.67,48.50
49.11,48.87,49.70,48.58
48.31,47.94,49.10,47.49
48.26,46.95,48.69,46.90
46.49,43.93,46.52,43.27
44.09,44.63,45.16,43.88
46.01,45.21,46.16,45.12
45.00,45.69,45.90,44.31
45.42,45.96,46.21,45.37
44.82,45.25,45.38,44.75
45.90,46.98,47.04,45.90
46.46,46.72,47.08,46.28
46.16,46.63,46.88,45.42
45.66,46.25,46.87,45.66
47.32,47.03,47.50,46.20
47.29,48.33,48.44,47.04
47.73,48.44,48.67,47.52
48.32,48.53,48.82,47.43
49.46,48.78,49.60,48.65
48.78,47.30,49.03,46.75
47.62,46.49,47.90,46.29
46.60,47.20,47.70,46.54
47.69,47.45,48.01,47.20
47.50,46.64,48.41,46.17
46.50,45.64,47.10,45.50
45.82,45.77,46.18,45.23
45.92,46.43,46.54,45.66
46.81,47.54,47.82,46.47
47.91,48.52,48.64,47.72
48.33,49.23,49.80,48.33
49.30,48.93,49.52,48.82
48.71,49.90,49.97,48.48
50.23,50.21,50.40,49.55
50.23,50.57,50.66,49.91
50.69,50.73,51.08,50.39
50.70,50.62,51.18,50.40
51.10,52.22,52.37,51.00
52.49,50.29,52.60,49.82
49.96,50.79,50.90,49.89
50.66,50.11,51.07,49.97
50.37,50.03,50.78,49.20
49.74,50.06,50.30,49.08
50.31,49.87,50.66,49.19
50.56,50.34,50.70,49.94
50.30,50.57,50.94,50.08
50.57,51.32,51.35,50.36
51.38,52.24,52.29,50.95
52.28,50.85,52.29,50.50
50.77,50.93,51.74,50.54
51.50,51.25,51.50,50.88
51.34,51.70,52.22,51.05
51.36,52.73,52.80,51.19
53.15,53.10,53.43,52.40
53.92,54.57,54.80,53.43
54.69,52.76,55.09,52.56
53.11,54.17,54.52,53.04
54.81,54.64,54.92,53.50
54.50,54.64,55.25,54.42
54.40,54.95,55.09,54.09
54.94,53.91,55.04,53.60
54.11,55.03,55.25,53.98
55.13,55.47,55.75,55.07
55.27,55.64,55.72,55.08
55.24,55.94,56.25,55.22
55.88,56.71,56.87,55.56
56.98,56.68,57.08,56.04
56.24,56.28,56.72,55.75
56.87,56.77,57.49,56.21
56.58,56.90,57.22,56.57
57.08,57.33,57.51,56.80
56.49,56.29,57.44,55.96
56.10,55.25,56.60,54.59
55.14,54.64,55.55,53.75
55.15,56.67,56.70,55.03
57.45,59.12,59.12,57.40
59.40,55.88,59.40,55.82
55.65,54.94,56.08,54.57
56.10,56.44,56.57,55.73
56.59,55.48,56.68,54.92
55.89,54.67,56.21,54.09
54.97,56.19,56.70,54.86
56.04,56.27,56.78,55.37
55.40,54.55,55.40,54.44
54.26,55.80,55.97,54.10
55.02,54.99,55.36,54.46
52.66,54.21,54.93,52.28
54.24,52.72,54.35,52.00
53.86,53.53,54.12,52.74
54.35,54.50,54.94,54.06
55.54,55.73,56.13,55.21
55.72,54.75,55.79,54.56
54.39,53.68,54.47,53.00
54.29,54.24,54.54,53.11
54.64,54.90,55.35,54.20
55.01,54.79,55.36,54.54
54.74,55.33,55.48,53.79
55.76,56.51,56.69,55.41
56.44,57.33,57.41,56.34
58.02,57.67,58.37,57.13
58.07,57.64,58.13,57.40
57.41,57.70,58.15,57.38
58.16,57.57,58.21,57.35
57.77,56.40,57.77,55.90
56.86,55.49,57.26,55.20
55.67,55.40,56.38,55.15
55.01,55.18,55.76,54.97
55.66,55.08,55.87,54.81
54.66,56.53,56.72,54.59
56.79,57.89,57.92,56.72
56.84,56.67,56.91,56.00
56.88,57.53,57.62,56.80
58.54,58.87,58.98,57.71
59.30,59.71,59.76,58.42
59.90,60.29,60.63,59.29
60.70,61.45,61.79,60.13
61.55,61.95,62.16,61.00
62.25,63.42,63.79,62.02
63.62,62.85,63.62,61.35
63.28,62.72,63.68,61.87
62.69,61.88,63.27,60.53
61.78,61.24,61.98,60.69
60.40,61.01,62.02,60.25
62.13,60.26,62.13,59.90
60.28,60.91,61.10,59.80
61.29,62.67,62.83,61.27
62.50,61.23,62.74,60.84
60.70,61.20,61.49,59.88
61.33,60.07,61.41,59.74
59.53,60.34,61.05,59.39
59.83,60.13,60.49,59.39
60.39,61.37,61.48,59.67
61.66,61.75,62.37,60.90
61.31,60.47,61.68,60.36
59.05,59.18,59.73,59.00
59.32,59.59,59.93,59.07
59.26,59.98,60.63,58.56
59.96,61.52,61.81,59.50
61.80,61.97,62.09,61.18
62.74,63.89,63.89,62.45
63.48,60.40,63.61,60.18
60.58,59.72,61.33,59.52
58.46,60.04,60.62,58.28
59.80,58.39,60.35,58.34
59.18,59.75,60.72,58.82
59.20,59.23,60.33,59.02
59.55,58.09,59.55,57.60
57.69,55.32,57.82,55.13
55.55,55.58,56.49,54.95
56.63,57.28,57.54,56.37
56.33,55.38,56.88,54.61
55.72,56.18,56.64,54.64
57.30,57.14,57.48,56.15
56.77,58.39,58.64,56.77
59.00,59.40,59.54,58.36
58.86,58.98,60.12,58.86
57.39,56.94,57.52,55.73
57.22,56.79,57.75,56.13
56.82,57.31,57.67,56.72
57.56,58.16,58.29,56.97
58.60,59.52,59.76,58.29
59.79,59.80,60.40,59.32
59.91,61.93,62.16,59.87
61.94,62.70,62.93,61.28
62.25,63.51,63.59,62.09
64.15,64.98,65.20,64.15
63.49,64.61,64.65,63.15
62.96,62.26,63.48,62.05
61.75,62.53,64.17,61.69
63.17,61.52,63.17,61.46
61.89,60.22,61.92,59.80
60.59,61.43,61.44,59.95
61.11,60.47,61.23,59.50
61.03,62.44,62.49,60.86
62.80,63.29,63.38,62.21
63.93,64.20,64.87,63.86
64.40,64.79,65.00,63.84
63.54,63.39,64.23,63.07
63.54,63.41,63.86,62.50
62.81,59.96,62.87,59.86
59.95,59.82,60.96,58.72
58.51,59.85,59.94,57.11
61.18,58.33,61.21,57.47
57.45,54.87,58.23,54.72
54.96,54.25,55.03,51.45
53.04,48.84,53.29,48.80
50.03,46.87,50.55,45.36
43.64,39.00,45.00,39.00
40.16,46.07,46.14,39.37
44.06,43.77,48.07,43.19
44.39,48.14,49.72,43.87
49.44,47.93,50.10,47.44
48.53,51.30,51.32,48.31
50.07,50.84,51.49,49.22
51.64,51.04,52.24,50.20
47.65,46.61,48.55,45.58
45.05,44.76,47.33,44.56
46.71,44.92,46.91,43.75
45.30,47.17,47.25,44.50
47.08,48.22,48.49,46.05
48.74,46.13,49.67,45.32
45.25,47.51,47.76,43.86
48.84,50.44,50.60,48.66
50.34,50.98,51.55,48.88
51.84,52.02,52.44,50.68
51.92,50.22,52.32,49.88
48.18,47.83,49.66,47.67
44.43,47.56,47.98,44.43
49.15,51.01,51.07,47.72
50.15,50.10,51.49,49.70
48.78,47.20,49.70,46.50
45.52,47.57,47.57,45.51
47.97,47.88,48.20,46.71
48.29,48.47,49.16,46.75
49.55,50.01,50.03,48.75
50.41,50.88,51.00,48.90
48.86,48.88,49.78,48.56
48.85,48.68,49.99,48.49
48.35,43.58,48.38,43.45
41.11,41.29,42.90,40.14
41.32,42.03,42.27,40.62
42.58,43.17,43.24,41.38
44.78,43.88,45.38,43.42
44.05,41.72,44.52,41.62
43.32,42.95,43.52,41.73
41.71,40.69,42.86,40.67
40.10,36.88,41.32,36.88
35.96,39.51,39.78,34.60
39.79,39.08,39.79,36.00
38.97,41.18,41.36,38.27
41.76,38.82,41.91,38.75
40.37,42.60,42.68,40.28
41.80,41.03,42.40,40.74
41.91,42.38,43.55,41.14
41.94,41.85,42.50,40.30
42.74,43.84,44.08,42.53
43.36,41.75,43.36,41.47
41.73,44.55,44.91,41.56
44.35,43.45,45.09,43.15
43.34,43.95,44.04,41.99
44.97,46.54,46.58,44.82
46.85,49.03,49.11,46.41
48.30,47.52,48.43,47.15
48.51,48.30,48.67,46.81
51.15,52.51,53.13,49.97
51.33,52.92,52.97,51.33
51.76,51.62,52.97,50.90
48.58,48.12,50.48,47.95
49.27,49.97,50.68,48.39
51.07,51.16,51.50,48.51
50.29,50.35,50.55,48.80
50.45,50.40,51.55,49.11
50.81,51.70,51.86,48.97
49.38,47.20,49.97,46.97
48.15,47.23,48.55,46.57
48.34,49.56,49.80,47.72
48.93,47.65,49.02,47.29
47.24,48.48,49.10,46.97
47.43,47.48,49.04,47.38
47.23,45.79,47.50,45.38
46.30,46.37,46.47,45.40
44.77,44.12,44.96,43.56
43.94,43.70,44.47,43.18
43.09,41.20,43.09,41.20
41.00,41.69,43.07,40.96
44.19,43.46,44.43,42.79
43.70,43.21,43.81,42.79
45.48,47.25,47.34,45.23
46.97,46.32,47.16,45.69
47.14,46.53,47.96,46.36
47.84,47.14,48.19,46.60
47.14,47.18,47.61,46.41
46.48,48.18,48.33,46.20
47.74,45.89,47.74,45.68
46.30,47.55,48.05,46.18
46.61,46.01,46.69,45.35
46.33,45.13,47.28,44.62
44.69,45.58,46.38,44.47
46.43,46.81,47.27,46.07
47.52,47.78,48.52,47.15
48.21,46.68,48.21,46.55
47.94,49.55,49.75,47.93
49.31,49.79,50.02,48.93
49.97,51.08,51.54,49.96
51.35,51.45,51.60,50.80
51.43,51.91,52.51,50.94
51.81,50.65,51.89,50.59
50.98,51.46,51.73,50.73
51.33,51.00,52.17,51.00
52.69,51.63,53.71,51.00
51.30,50.40,51.30,50.05
50.37,51.23,51.39,49.66
51.40,50.89,51.75,50.60
51.21,50.72,51.39,50.50
51.82,51.93,52.39,51.73
51.68,52.75,52.90,51.50
52.75,52.25,52.90,51.52
51.70,52.51,52.52,51.22
53.29,53.11,53.88,52.83
53.18,53.77,54.17,53.01
54.21,54.49,54.80,53.81
54.37,55.01,55.04,53.98
55.14,55.38,55.77,54.72
54.74,55.91,56.03,54.57
55.91,57.33,57.53,55.45
57.90,58.08,58.75,57.76
57.55,58.29,58.57,57.29
57.31,57.25,57.52,56.75
57.84,57.85,58.04,57.06
58.50,58.73,58.96,58.22
58.85,58.98,59.09,58.50
60.11,60.68,60.75,59.63
60.20,60.11,60.63,59.71
59.91,59.98,60.30,59.66
60.00,59.95,60.34,59.11
59.92,59.15,60.23,58.56
58.22,58.21,58.84,57.90
59.40,59.49,59.72,58.74
59.17,58.37,59.30,57.65
58.65,57.72,58.74,57.36
57.97,58.75,58.96,57.70
58.90,58.91,59.14,58.22
59.10,57.48,59.10,57.03
57.30,56.50,57.72,56.41
56.32,57.88,57.93,56.32
58.20,58.09,58.45,57.38
57.33,57.93,58.20,56.55
57.95,57.19,58.36,56.91
57.30,56.93,58.03,56.74
57.33,57.62,57.77,56.97
57.22,57.58,58.03,57.22
57.33,58.49,58.54,57.08
57.22,56.95,58.00,56.75
57.26,57.53,57.54,56.29
57.66,57.10,57.78,56.80
57.11,57.68,58.02,56.92
57.88,58.35,58.69,57.76
59.14,60.63,60.80,58.92
60.74,60.24,61.18,59.66
60.47,60.28,60.60,59.79
60.33,60.85,60.94,60.24
60.79,61.64,62.10,60.43
61.01,61.27,61.68,60.88
61.28,60.78,61.41,60.76
60.06,59.30,60.10,58.55
59.04,59.87,60.29,58.73
60.67,61.00,61.31,60.30
61.00,61.01,61.72,60.81
61.06,60.70,61.06,59.67
59.91,60.78,60.91,59.40
