SNMX,Senomyx,NASDAQ
3.89,3.86,3.89,3.65
3.87,3.87,3.91,3.67
3.61,3.78,3.91,3.57
3.71,4.00,4.00,3.71
3.91,4.20,4.20,3.91
4.14,4.22,4.26,3.97
4.12,4.26,4.27,4.12
4.28,4.41,4.42,4.23
4.33,4.40,4.43,4.26
4.45,4.16,4.45,4.13
4.28,4.31,4.60,4.16
4.30,4.29,4.33,4.20
4.22,4.10,4.22,4.06
4.10,4.18,4.27,4.01
4.17,3.98,4.17,3.91
3.91,3.86,3.96,3.67
4.21,3.72,4.21,3.30
3.70,3.79,3.80,3.57
3.90,3.91,4.24,3.77
4.18,4.25,4.45,4.05
4.33,4.30,4.33,4.00
4.34,4.23,4.35,4.16
4.05,3.82,4.13,3.70
3.81,3.75,3.91,3.59
3.74,3.61,3.82,3.61
3.71,3.59,3.71,3.55
3.49,3.57,3.65,3.49
3.50,3.17,3.61,3.17
2.78,2.50,2.80,2.47
2.57,2.55,2.64,2.51
2.59,2.58,2.60,2.47
2.58,2.60,2.64,2.53
2.59,2.57,2.63,2.55
2.49,2.48,2.49,2.40
2.50,2.60,2.60,2.45
2.58,2.67,2.67,2.51
2.63,2.63,2.63,2.55
2.60,2.66,2.67,2.56
2.65,2.61,2.67,2.51
2.58,2.59,2.66,2.54
2.59,2.60,2.63,2.57
2.63,2.57,2.63,2.52
2.57,2.62,2.65,2.57
2.65,2.75,2.75,2.60
2.75,2.74,2.75,2.65
2.70,2.82,2.84,2.68
2.85,2.85,2.89,2.76
2.88,2.81,2.89,2.76
2.79,2.79,2.84,2.75
2.79,2.82,2.89,2.74
2.86,2.83,2.87,2.76
2.85,2.86,2.87,2.79
2.90,2.90,2.90,2.80
2.89,2.95,2.95,2.85
2.95,3.00,3.04,2.94
3.02,3.09,3.10,2.97
3.07,3.24,3.35,3.02
3.27,3.23,3.30,3.10
3.21,3.31,3.36,3.07
3.29,3.32,3.41,3.12
3.31,3.28,3.31,3.24
3.31,3.34,3.38,3.21
3.34,3.33,3.41,3.19
3.28,3.30,3.34,3.23
3.28,3.36,3.37,3.24
3.36,3.49,3.66,3.27
3.50,3.45,3.55,3.37
3.41,3.25,3.49,3.21
3.25,3.17,3.27,3.17
3.20,3.28,3.41,3.20
3.29,3.33,3.42,3.26
3.31,3.36,3.43,3.14
3.37,3.32,3.39,3.20
3.30,3.32,3.35,3.24
3.35,3.46,3.53,3.30
3.40,3.46,3.52,3.34
3.42,3.49,3.50,3.40
3.61,4.19,4.19,3.53
4.12,4.19,4.28,4.07
4.19,4.10,4.19,4.03
4.12,4.17,4.25,3.93
4.16,4.27,4.27,4.13
4.26,4.33,4.47,4.21
4.31,4.31,4.39,4.22
4.30,4.37,4.39,4.03
4.30,4.18,4.36,4.15
4.17,3.88,4.17,3.80
4.14,3.99,4.14,3.92
4.01,4.11,4.13,3.93
4.14,4.16,4.26,4.09
4.18,4.14,4.22,4.06
4.14,4.05,4.14,3.95
4.08,4.06,4.15,3.82
4.06,4.03,4.16,3.99
3.98,3.96,4.03,3.82
3.82,3.68,3.89,3.59
3.58,3.65,3.67,3.40
3.65,3.76,3.94,3.57
3.76,3.65,3.80,3.45
3.65,3.66,3.87,3.62
3.80,3.85,3.91,3.67
3.92,3.92,4.02,3.82
3.92,3.69,3.96,3.66
3.77,3.85,3.96,3.72
3.83,3.92,3.95,3.78
3.84,3.79,3.97,3.79
3.90,4.05,4.10,3.77
4.02,4.06,4.06,3.82
4.05,3.86,4.05,3.86
3.87,3.84,3.90,3.62
3.77,3.93,3.98,3.74
3.98,3.92,3.98,3.76
3.81,3.90,3.96,3.81
3.95,3.88,3.95,3.79
3.83,3.91,3.98,3.72
3.89,4.02,4.04,3.79
4.05,3.95,4.09,3.90
3.96,4.01,4.04,3.90
3.99,3.98,4.04,3.90
4.18,3.98,4.23,3.89
3.98,4.31,4.37,3.92
4.26,4.17,4.26,4.13
4.11,3.99,4.19,3.92
4.00,3.79,4.08,3.77
3.80,3.88,3.96,3.60
3.92,4.02,4.05,3.86
4.06,3.90,4.10,3.85
3.91,4.04,4.05,3.90
4.04,4.09,4.15,3.95
4.09,4.11,4.12,4.00
4.09,4.13,4.18,4.03
4.18,4.19,4.20,4.14
4.17,4.30,4.40,4.12
4.29,4.20,4.31,4.10
4.16,4.02,4.16,4.01
4.04,4.08,4.11,4.00
4.03,4.17,4.21,4.01
4.20,4.13,4.24,4.11
4.19,4.28,4.36,4.19
4.27,4.38,4.45,4.27
4.41,4.65,4.65,4.39
4.68,4.54,4.73,4.46
4.51,4.45,4.62,4.44
4.51,4.40,4.53,4.37
4.31,4.46,4.59,4.31
4.52,4.39,4.58,4.34
4.39,4.35,4.42,4.29
4.37,4.22,4.39,4.15
4.19,3.99,4.19,3.95
3.96,3.93,4.00,3.79
3.96,4.00,4.06,3.93
3.96,3.85,3.99,3.82
3.81,3.73,3.90,3.70
3.70,3.77,3.89,3.67
3.75,3.74,3.79,3.65
3.71,3.81,3.85,3.71
4.16,4.04,4.24,3.98
4.02,4.06,4.14,3.94
4.04,3.89,4.09,3.82
3.87,4.02,4.03,3.79
4.05,3.90,4.10,3.90
3.85,3.95,3.97,3.81
3.95,3.99,4.03,3.91
3.99,4.04,4.11,3.97
4.08,4.00,4.11,3.94
4.00,4.09,4.24,3.99
4.08,4.07,4.11,3.95
4.13,4.02,4.13,4.01
4.02,4.04,4.09,3.90
4.08,4.08,4.10,4.01
4.10,4.06,4.10,3.94
4.06,4.07,4.10,4.02
4.09,4.06,4.09,3.94
4.06,4.09,4.14,4.03
4.10,4.07,4.13,4.05
4.04,3.98,4.04,3.96
3.98,4.01,4.02,3.91
3.99,4.02,4.04,3.90
4.06,4.10,4.11,3.96
4.09,4.22,4.24,4.06
4.22,4.14,4.22,4.12
4.12,4.25,4.30,4.07
4.24,4.21,4.39,4.15
4.26,4.35,4.35,4.23
4.35,4.27,4.38,4.25
4.29,4.24,4.35,4.17
4.22,4.01,4.22,3.94
4.06,3.98,4.06,3.95
4.01,4.02,4.02,3.98
4.02,3.95,4.03,3.95
3.95,4.14,4.18,3.93
4.15,4.21,4.21,4.04
4.21,4.36,4.48,4.18
4.35,4.44,4.46,4.29
4.40,4.38,4.40,4.33
4.33,4.39,4.41,4.30
4.42,4.67,4.68,4.33
4.57,4.74,4.75,4.57
4.78,4.92,4.96,4.64
4.94,5.54,5.69,4.94
5.49,5.51,5.82,5.30
5.56,5.08,5.60,5.04
5.07,4.88,5.13,4.76
4.90,5.16,5.26,4.89
5.25,5.26,5.47,4.91
5.23,5.26,5.35,5.19
5.22,5.14,5.26,4.96
5.15,5.21,5.27,5.07
5.22,5.00,5.42,4.97
5.03,4.87,5.05,4.81
4.96,4.95,5.04,4.83
4.97,4.88,4.97,4.83
4.95,5.09,5.32,4.92
5.10,5.33,5.35,5.01
5.29,5.48,5.55,5.26
5.33,5.39,5.49,5.32
5.42,5.47,5.54,5.25
5.42,5.57,5.75,5.33
5.51,5.64,5.75,5.51
5.69,5.37,5.69,5.35
5.32,5.08,5.32,5.02
5.11,5.09,5.23,4.96
5.14,5.39,5.41,5.10
5.39,5.50,5.56,5.09
5.43,5.19,5.53,5.15
5.10,5.18,5.25,5.01
5.23,5.55,5.58,5.23
5.48,5.50,5.68,5.48
5.45,5.67,5.75,5.45
5.65,5.64,5.75,5.59
5.70,5.71,5.80,5.63
5.70,5.70,5.88,5.65
5.64,5.68,5.70,5.40
5.65,5.74,5.85,5.63
5.80,5.84,5.87,5.68
5.87,6.09,6.17,5.87
6.17,6.65,6.72,6.17
6.59,6.72,6.90,6.34
6.77,6.61,6.77,6.55
6.66,7.69,7.92,6.66
7.60,7.15,7.80,7.08
7.17,7.00,7.19,6.81
7.02,7.18,7.42,6.95
7.58,7.31,7.64,6.69
7.38,7.49,7.59,7.36
7.53,7.46,7.53,7.29
7.44,7.60,7.65,7.44
7.55,7.70,7.71,7.44
7.74,7.64,7.74,7.50
7.68,7.69,7.75,7.65
7.71,7.67,7.72,7.53
7.63,7.13,7.65,7.11
7.20,7.18,7.51,7.14
7.02,6.72,7.17,6.62
6.73,6.92,6.96,6.55
6.96,6.96,7.11,6.73
6.95,6.98,7.03,6.75
6.98,7.06,7.16,6.85
7.08,6.80,7.19,6.76
6.86,6.72,7.10,6.64
6.70,6.64,6.97,6.61
6.66,6.79,6.86,6.61
6.74,6.62,6.77,6.56
6.58,5.97,6.58,5.92
5.92,6.20,6.35,5.84
6.25,6.18,6.50,6.17
6.16,6.60,6.67,6.14
6.58,6.40,6.58,6.23
6.39,6.43,6.56,6.33
6.47,6.31,6.48,6.23
6.27,5.90,6.27,5.82
5.93,5.95,6.15,5.83
6.05,6.28,6.37,6.05
6.23,6.67,6.73,6.22
6.63,6.42,6.91,6.35
6.44,6.23,6.55,6.05
6.22,6.57,6.82,6.22
6.54,6.69,6.70,6.37
6.62,6.78,7.14,6.62
6.69,6.66,6.86,6.62
6.60,6.55,6.76,6.38
6.57,6.68,6.84,6.49
6.60,6.29,6.66,6.25
6.30,6.50,6.64,6.30
6.51,6.93,6.93,6.50
6.95,7.29,7.29,6.80
7.14,6.98,7.45,6.95
7.02,6.61,7.02,6.60
6.65,6.81,6.97,6.45
6.82,7.11,7.20,6.77
7.19,7.25,7.46,7.04
7.20,6.55,7.20,6.40
6.52,6.63,6.89,6.40
6.50,7.01,7.11,6.30
7.03,6.71,7.10,6.56
6.71,6.50,6.75,6.37
6.49,6.57,6.65,6.40
6.58,6.39,6.69,6.36
6.60,6.06,6.69,6.04
6.02,5.95,6.16,5.88
6.14,5.97,6.14,5.91
5.78,5.77,5.92,5.77
5.75,5.66,5.78,5.51
5.80,5.67,5.94,5.62
5.77,5.86,6.05,5.72
6.00,5.83,6.01,5.66
5.82,5.96,6.02,5.81
5.92,5.84,5.97,5.78
5.89,5.89,6.00,5.82
