ALGT,Allegiant Travel Company - Common Stock,NASDAQ
47.18,48.01,48.09,47.17
47.80,49.68,49.80,47.80
49.50,49.75,50.00,49.50
49.71,49.61,50.33,49.24
49.36,49.04,49.62,48.76
49.50,49.24,49.53,48.89
49.18,49.49,49.77,48.71
49.56,49.75,49.90,49.07
49.80,50.21,50.27,49.76
50.39,50.16,50.45,49.74
50.49,51.19,51.36,50.22
49.28,49.89,50.27,49.03
49.94,51.18,51.54,49.91
51.24,50.40,51.45,50.23
50.79,50.99,51.42,50.14
51.70,51.46,53.45,50.23
51.46,53.35,53.82,51.45
52.83,52.20,53.52,51.70
52.57,51.20,52.75,50.98
51.30,51.20,52.12,51.11
51.07,51.99,52.63,51.07
52.00,52.30,53.25,51.49
51.81,50.07,52.00,49.86
49.99,50.27,51.20,49.74
50.50,51.19,51.83,50.12
51.80,52.96,53.98,51.80
52.70,52.18,53.80,51.74
51.93,52.63,53.06,51.80
52.38,53.45,53.70,52.07
53.75,53.57,53.99,53.24
53.52,52.62,53.57,51.69
52.75,52.91,53.06,51.50
52.98,53.36,53.96,52.98
53.61,52.38,53.64,52.35
52.21,51.92,52.89,50.32
51.86,51.95,52.20,51.52
51.40,52.20,52.33,50.66
52.38,52.14,52.48,51.41
52.15,53.00,53.36,52.15
52.89,53.02,53.07,52.76
52.85,52.62,53.73,51.44
52.67,53.03,53.17,52.23
53.03,52.91,53.93,52.18
52.53,54.31,54.54,52.49
54.04,52.00,55.74,51.64
52.21,54.47,55.00,52.20
54.00,54.32,54.42,53.37
54.59,54.54,54.98,53.88
54.33,54.77,54.95,53.96
54.61,54.03,55.07,53.40
53.94,54.38,54.65,53.47
54.27,54.50,54.71,54.17
54.75,54.58,54.95,54.23
54.46,55.56,56.55,54.43
55.58,57.74,58.03,55.58
57.31,58.06,58.21,57.31
58.08,56.98,59.04,56.96
57.19,56.57,59.00,56.48
56.63,57.89,58.75,56.63
57.90,58.25,58.64,57.08
58.32,57.86,58.92,57.75
N/A,N/A,N/A,N/A
56.69,55.21,57.03,54.89
55.00,54.20,55.23,53.80
53.88,54.95,55.40,53.11
54.98,55.20,56.42,54.88
55.05,53.73,55.32,53.03
54.16,55.66,56.32,54.16
55.75,55.27,56.05,54.37
55.70,56.42,56.64,55.66
56.70,57.21,57.63,56.65
57.30,56.56,57.83,55.67
56.24,56.17,56.95,54.95
56.38,50.85,56.90,50.39
51.67,51.05,52.52,50.61
50.57,51.44,51.72,49.50
52.95,53.77,54.64,52.65
53.54,52.62,53.90,52.47
52.64,51.51,53.71,51.47
51.77,51.62,52.21,50.90
51.83,52.16,52.25,51.45
51.90,51.43,53.22,51.43
51.48,52.04,52.61,51.48
51.50,50.34,51.97,49.96
49.91,51.02,52.55,49.86
50.95,50.14,51.96,47.84
49.69,49.38,51.50,48.28
50.68,51.67,51.96,50.68
51.17,51.18,51.73,50.20
50.33,52.52,52.81,50.33
52.58,51.63,53.29,51.37
51.36,51.10,51.90,50.46
51.28,52.48,52.57,50.63
52.74,51.15,52.74,50.77
50.70,50.69,51.04,49.59
49.86,50.50,51.54,49.51
50.00,51.89,53.86,49.63
51.77,50.46,52.03,50.21
49.70,53.16,53.45,48.75
53.49,55.01,56.28,52.87
55.94,55.63,56.17,55.13
55.68,55.29,56.12,54.66
55.15,52.83,55.15,52.81
53.20,54.43,54.54,52.83
54.99,54.10,55.32,53.99
53.36,50.00,53.36,49.91
50.01,48.37,50.41,48.15
48.35,47.66,49.02,47.26
48.10,47.73,48.65,47.53
48.47,49.36,49.94,48.33
49.13,50.32,50.49,48.84
50.57,49.91,51.58,49.73
50.19,48.64,50.73,48.06
48.20,47.65,48.83,47.53
47.55,46.23,47.61,46.16
46.01,45.79,46.42,45.74
46.29,44.76,46.30,44.70
44.77,44.10,45.61,44.07
44.05,43.77,44.96,43.71
43.60,43.19,44.46,43.18
43.22,43.07,43.89,42.76
42.91,43.00,43.47,42.42
42.43,42.22,43.29,42.04
42.31,42.69,44.03,42.31
43.13,43.29,44.97,42.07
43.38,43.21,43.55,42.21
43.59,42.56,44.37,42.11
42.87,44.98,45.15,42.87
45.12,43.83,45.40,43.33
43.80,44.98,45.07,43.60
44.66,44.04,45.21,43.90
44.36,44.90,45.04,44.01
44.90,46.11,46.31,44.84
46.11,45.98,46.23,45.09
45.63,45.58,45.93,45.36
45.50,45.28,45.75,43.63
44.87,46.16,46.37,44.04
45.75,43.58,46.07,42.87
42.90,43.28,44.79,42.73
43.12,43.83,44.13,42.74
44.09,44.80,44.94,43.91
45.03,44.22,45.43,43.83
44.08,43.88,44.36,43.50
44.17,43.62,44.46,43.12
43.11,44.39,44.48,43.10
44.87,45.25,45.88,44.81
44.92,43.94,45.25,43.69
44.00,42.72,44.01,42.44
42.42,40.83,43.36,40.80
40.77,40.67,40.95,39.76
40.88,42.69,42.80,40.10
42.15,43.50,44.26,42.15
42.72,41.95,43.29,41.87
41.41,42.04,43.02,41.08
