WPPGY,WPP plc - American Depositary Shares each representing five Ordinary Shares,NASDAQ
49.60,49.42,49.84,49.38
48.88,48.66,48.88,48.25
48.43,48.91,48.95,48.39
48.87,48.89,49.04,48.60
49.79,50.10,50.13,49.61
50.02,49.75,50.02,49.43
49.10,49.08,49.38,48.81
49.53,49.70,49.80,49.17
49.62,49.57,49.86,49.46
49.82,49.08,49.94,48.68
48.59,48.99,49.09,48.59
49.10,49.15,49.30,48.76
49.35,48.83,49.48,48.56
48.27,47.06,48.38,46.51
48.41,48.39,48.67,48.15
47.44,47.46,47.81,47.24
47.49,47.61,47.64,47.11
47.72,47.10,47.75,46.70
46.63,46.10,47.00,45.96
46.42,46.79,46.82,46.33
46.74,47.12,47.21,46.55
47.72,47.80,47.99,47.36
47.00,45.80,47.09,45.74
45.20,45.02,45.25,43.97
44.59,44.30,44.95,44.30
45.25,45.57,45.95,44.68
45.75,45.37,45.87,45.22
46.06,46.69,46.83,45.89
46.28,46.61,46.87,46.11
46.36,47.21,47.21,45.98
47.69,47.37,47.85,47.01
46.78,47.29,47.36,46.78
46.19,46.45,46.55,46.09
46.59,46.39,46.78,46.32
46.22,45.87,46.39,45.81
45.51,45.60,45.87,45.40
45.50,45.91,45.91,45.16
45.48,45.75,46.15,45.28
46.01,46.68,46.72,45.91
47.14,47.07,47.26,46.86
47.22,47.48,47.78,47.18
47.51,46.88,47.65,46.73
47.79,48.77,49.00,47.61
48.46,48.37,48.52,48.00
47.76,48.10,48.25,47.72
48.30,48.69,48.89,48.30
48.94,49.01,49.13,48.72
50.19,50.44,50.75,49.98
49.82,49.38,49.97,49.09
49.78,49.95,50.17,49.76
49.66,49.30,49.76,49.13
49.06,48.95,49.23,48.63
48.85,48.32,48.85,48.01
47.59,48.48,48.50,47.59
48.33,48.57,48.68,48.26
47.67,47.68,47.94,47.37
48.21,47.57,48.40,47.57
48.91,49.30,49.71,48.91
50.42,50.15,50.57,49.95
50.96,50.78,51.44,50.64
51.39,51.55,51.85,51.28
52.63,51.84,52.80,51.80
51.95,52.45,52.55,51.77
52.82,53.00,53.16,52.58
52.81,52.71,53.09,52.45
52.20,52.63,52.77,51.92
52.89,53.08,53.23,52.71
52.92,52.94,53.04,52.65
53.32,53.10,53.47,52.91
54.27,54.51,54.65,54.10
55.11,54.85,55.18,54.73
54.90,54.74,55.26,54.45
54.17,54.56,54.63,54.03
56.36,55.95,56.68,55.71
56.20,56.00,56.41,55.82
55.51,56.14,56.14,55.31
56.23,57.03,57.14,56.17
56.67,56.07,56.75,55.96
54.97,53.87,55.19,53.67
51.93,51.57,51.93,50.81
52.88,53.83,53.97,52.56
53.65,52.83,53.94,52.70
52.81,53.71,53.74,52.81
52.04,51.59,52.04,51.22
50.52,50.43,50.91,50.34
50.83,48.64,51.06,46.10
