ISRL,Isramco,NASDAQ
73.96,72.81,74.00,71.50
75.00,72.50,75.00,72.50
71.50,69.65,71.65,69.65
69.26,69.49,71.00,68.16
70.97,68.74,71.40,68.26
70.74,70.74,70.74,70.74
70.74,70.74,70.74,70.74
68.62,69.63,71.03,68.62
69.80,70.00,70.00,69.80
71.07,68.15,71.07,68.15
70.21,70.46,70.46,68.51
69.00,69.00,69.00,69.00
68.40,68.75,68.75,68.25
68.75,68.75,68.75,68.75
68.03,68.03,68.03,68.03
68.00,63.90,68.00,63.90
63.51,63.51,63.51,63.51
62.94,63.23,64.60,62.94
63.70,65.58,65.58,63.70
67.99,67.69,67.99,65.47
63.45,63.45,63.45,63.45
61.22,61.00,62.00,61.00
53.51,53.51,53.51,53.51
59.00,59.00,59.00,59.00
58.80,55.23,58.80,55.23
54.22,56.50,56.50,53.53
53.24,53.49,53.49,52.00
53.00,52.55,53.00,52.20
52.55,49.00,52.55,49.00
51.44,49.15,51.48,49.15
49.00,49.91,49.91,49.00
49.91,49.47,49.91,49.47
52.00,57.89,57.89,49.00
56.41,57.95,58.00,56.41
59.90,63.94,63.94,53.40
64.85,64.85,64.85,64.85
64.85,64.85,64.85,64.85
62.75,56.04,62.75,56.04
55.79,56.10,56.10,55.79
61.25,61.25,61.25,61.25
61.10,63.03,63.10,59.99
59.42,59.42,59.42,59.42
62.84,62.84,62.84,62.79
58.52,58.52,58.52,58.52
62.80,59.83,62.80,59.83
63.00,66.83,68.79,60.54
69.96,74.39,74.44,69.96
73.50,74.62,79.20,73.50
71.51,80.10,80.10,71.51
76.00,70.96,78.00,68.00
68.93,71.31,74.46,67.64
71.00,70.96,71.00,70.96
70.90,70.90,70.90,70.90
73.99,73.99,73.99,73.99
74.00,74.00,74.00,74.00
74.00,74.00,74.00,74.00
69.88,66.70,70.00,65.24
72.00,70.68,72.00,70.68
70.70,67.96,70.70,67.10
69.00,69.00,69.00,67.37
65.86,65.55,66.02,65.55
70.68,69.69,70.68,65.33
69.27,70.50,70.50,66.36
