BLV,Vanguard Long-Term Bond ETF,NASDAQ
76.06,76.54,76.54,76.00
76.31,76.50,76.72,76.30
76.72,76.01,76.73,75.90
76.21,76.15,76.39,76.04
76.13,76.24,76.43,75.90
76.29,76.19,76.34,76.05
76.55,76.65,76.92,76.47
76.72,76.13,77.12,76.07
76.25,76.89,76.96,76.14
nan,76.95,nan,nan
76.84,77.07,77.07,76.47
77.26,77.51,77.70,77.08
77.80,77.99,78.14,77.34
77.87,77.88,78.02,77.60
77.27,77.32,77.75,77.19
77.79,77.51,77.79,77.30
77.58,77.35,77.69,76.54
77.58,77.08,77.58,76.89
77.43,77.68,77.94,77.35
77.49,76.98,77.49,76.83
77.10,77.30,77.32,77.01
76.84,76.66,77.02,76.51
77.09,77.33,77.50,76.83
77.04,77.13,77.69,76.96
77.46,77.37,77.46,76.62
77.21,76.86,77.48,76.77
76.88,76.19,77.09,76.07
76.27,75.90,76.30,75.60
nan,76.18,nan,nan
75.95,76.28,76.45,75.85
76.15,75.79,76.26,75.69
75.98,75.66,75.99,75.13
75.77,75.92,76.00,75.59
75.93,76.01,76.10,75.78
76.16,76.66,76.76,76.16
76.82,76.90,76.97,76.46
77.38,77.10,77.38,76.76
77.21,77.50,77.66,77.21
77.25,77.10,77.30,76.90
77.10,77.26,77.26,76.86
77.13,77.03,77.18,76.87
77.19,77.44,77.52,76.98
77.20,76.62,77.41,76.45
76.72,76.57,76.87,76.54
76.85,76.65,76.85,76.47
76.53,76.69,76.74,76.30
76.46,76.53,76.80,76.34
76.58,77.07,77.23,76.58
77.11,77.11,77.23,76.84
77.34,77.58,77.68,77.32
77.88,77.98,78.07,77.75
78.04,77.74,78.14,77.72
77.58,77.86,78.05,77.58
77.91,77.75,78.07,77.67
77.72,77.62,77.84,77.51
76.99,76.59,77.16,76.52
76.72,76.39,76.72,76.08
76.20,76.53,76.61,76.20
76.49,76.38,76.49,76.20
76.45,76.52,76.52,76.11
76.59,76.93,76.93,76.59
nan,76.50,nan,nan
76.03,75.51,76.03,75.37
75.90,75.64,75.90,75.53
