OPTT,Ocean Power Technologies,NASDAQ
9.13,9.25,9.25,8.83
9.17,9.39,9.61,9.17
9.28,9.44,9.59,9.05
9.35,9.10,9.43,9.10
9.07,9.16,9.19,8.86
9.39,9.29,9.67,9.05
9.32,9.09,9.44,9.01
9.08,8.94,9.29,8.25
8.86,9.01,9.19,8.64
9.04,8.67,9.10,8.55
8.85,8.36,8.89,8.21
8.45,8.02,8.51,7.82
8.01,7.60,8.38,7.36
7.63,6.94,7.63,6.90
7.10,7.03,7.49,7.01
7.02,6.84,7.13,6.82
6.85,6.64,6.93,6.61
6.66,6.40,6.77,6.38
6.41,6.01,6.51,6.00
6.07,6.54,6.60,6.00
6.51,6.74,6.76,6.51
6.79,6.74,6.91,6.60
6.67,6.29,6.71,6.29
6.29,6.38,6.44,6.01
6.36,6.20,6.43,6.14
6.28,6.23,6.45,6.22
6.22,6.26,6.32,6.20
6.33,6.60,6.64,6.21
6.52,6.84,6.85,6.30
6.95,7.42,7.45,6.90
7.55,7.39,7.69,7.27
7.37,7.12,7.37,7.02
7.04,7.07,7.13,6.83
7.22,7.17,7.24,6.95
7.26,6.90,7.26,6.58
7.00,6.68,7.00,6.61
6.62,6.74,6.84,6.50
6.74,6.71,6.99,6.59
6.73,6.36,6.81,6.36
6.46,6.60,6.71,6.40
6.71,6.80,7.05,6.71
6.80,6.77,6.86,6.73
6.77,6.92,6.97,6.77
6.96,6.92,7.10,6.92
6.92,7.05,7.16,6.92
7.06,7.06,7.10,6.87
7.06,6.97,7.10,6.96
7.00,6.83,7.13,6.70
6.85,6.62,6.93,6.52
6.70,6.57,6.74,6.53
6.70,6.77,6.90,6.48
6.92,6.84,6.92,6.65
6.62,6.62,6.87,6.59
6.50,6.68,6.79,6.50
6.65,6.70,6.75,6.58
6.66,6.89,6.98,6.66
6.94,6.80,7.03,6.72
6.78,6.87,6.98,6.70
6.87,6.86,7.00,6.72
6.86,7.00,7.00,6.82
6.91,7.07,7.10,6.83
7.11,7.09,7.11,6.92
7.06,7.05,7.15,6.77
6.95,6.99,7.05,6.87
6.91,6.85,6.98,6.85
6.80,6.76,6.86,6.75
6.76,6.85,6.99,6.76
6.84,7.00,7.00,6.83
6.89,6.89,6.93,6.77
6.91,6.99,7.00,6.75
6.89,6.99,7.00,6.83
7.00,7.05,7.05,6.81
7.06,7.02,7.11,6.87
7.15,6.92,7.15,6.91
6.85,6.90,6.95,6.81
6.88,7.20,7.33,6.56
7.23,7.05,7.48,6.90
7.02,6.96,7.23,6.90
6.93,6.87,7.00,6.85
6.90,6.73,6.90,6.57
6.85,7.03,7.08,6.72
7.00,6.84,7.00,6.72
6.92,7.09,7.15,6.85
7.07,6.92,7.07,6.86
6.88,6.88,6.97,6.68
6.80,6.73,7.20,6.40
6.64,6.25,6.70,6.01
6.70,6.45,6.70,6.32
6.45,6.46,6.51,6.25
6.42,6.58,6.60,6.42
6.60,6.47,6.60,6.41
6.40,6.24,6.44,6.12
6.24,6.03,6.29,5.88
6.05,5.71,6.09,5.71
5.69,5.58,5.80,5.40
5.40,5.25,5.57,5.25
5.27,5.51,5.52,5.25
5.43,5.55,5.81,5.32
5.46,5.56,5.74,5.30
5.60,5.64,5.81,5.60
5.82,5.90,5.95,5.72
5.90,5.84,5.90,5.80
5.68,5.74,5.85,5.58
5.65,5.70,5.82,5.62
5.70,5.59,5.70,5.50
5.50,5.60,5.68,5.50
5.60,5.57,5.67,5.56
5.54,5.03,5.59,4.91
5.11,5.10,5.30,5.01
5.25,5.43,5.50,5.25
5.35,5.46,5.64,5.35
5.54,5.25,5.54,5.10
5.29,5.50,5.59,5.29
5.42,5.48,5.49,5.31
5.36,5.48,5.50,5.36
5.53,5.45,5.53,5.38
5.63,5.26,5.63,5.26
5.33,5.28,5.33,5.21
5.25,5.53,5.59,5.25
5.57,5.55,5.74,5.41
5.55,5.50,5.65,5.44
5.54,5.62,5.75,5.50
5.66,5.37,5.69,5.23
5.31,5.18,5.31,5.08
5.14,5.02,5.35,4.93
5.12,5.14,5.21,4.96
5.03,4.97,5.41,4.82
4.92,5.08,5.10,4.92
5.21,5.13,5.21,5.00
5.18,5.08,5.19,5.05
5.05,5.16,5.25,5.05
5.07,5.08,5.39,5.03
5.04,5.34,5.34,5.04
5.30,5.35,5.48,5.17
5.44,5.29,5.49,5.20
5.29,5.27,5.34,5.08
5.27,5.40,5.59,5.20
5.38,5.42,5.51,5.30
5.43,5.63,5.80,5.43
5.66,6.05,6.14,5.61
6.07,6.18,6.28,6.07
6.24,5.58,6.24,5.57
5.58,5.69,5.92,5.55
5.70,5.77,5.84,5.55
5.66,5.52,5.75,5.47
5.56,5.28,5.57,5.20
5.23,5.31,5.47,5.21
5.40,5.48,5.70,5.40
5.50,5.33,5.52,5.33
5.27,5.22,5.40,5.20
5.24,5.36,5.69,5.20
5.28,5.40,5.55,5.28
5.40,5.19,5.42,5.11
5.13,5.06,5.20,5.01
5.09,5.04,5.14,4.97
