NBL,Noble Energy Inc. Common Stock,NASDAQ
72.45,73.22,73.84,72.45
73.43,75.12,75.39,72.85
75.17,75.83,76.40,74.85
75.44,74.81,75.64,73.82
74.29,75.27,75.32,73.31
76.09,75.61,76.83,74.66
75.34,76.07,77.41,74.97
76.22,76.75,77.09,74.74
76.32,77.62,77.77,76.23
77.76,77.70,78.48,76.45
77.62,79.04,79.19,76.91
78.25,77.61,78.25,76.70
77.78,77.29,78.73,76.06
76.96,76.32,78.54,76.08
76.91,78.19,78.91,76.91
77.31,76.52,78.32,76.13
76.76,75.00,77.07,73.83
75.80,74.56,76.52,73.52
75.15,73.94,76.39,73.56
74.64,75.82,75.82,74.36
75.89,77.15,77.32,74.79
76.75,76.71,77.28,76.12
75.82,72.71,75.82,72.53
72.52,73.05,73.24,70.82
73.25,72.60,73.71,72.00
73.64,74.43,75.64,73.45
73.80,73.28,74.02,72.63
73.28,75.00,75.07,73.01
74.02,74.37,74.59,73.27
75.28,76.89,77.10,75.28
77.26,76.44,77.42,75.79
74.25,75.33,75.96,74.21
74.96,74.76,75.78,74.39
74.74,72.48,74.84,72.32
71.98,70.94,72.54,70.70
70.16,70.99,72.20,69.96
69.85,71.27,71.49,69.27
71.51,72.64,72.87,70.97
73.32,73.35,73.78,72.93
73.61,73.06,74.43,72.72
73.39,72.81,73.86,72.42
72.98,72.22,73.55,71.50
72.78,73.23,73.68,72.63
73.47,72.98,73.60,72.73
72.70,73.25,73.60,72.51
73.38,73.55,73.76,72.91
73.25,73.47,73.70,72.97
73.96,74.02,74.15,73.12
73.76,73.22,73.87,72.39
73.68,74.07,74.10,73.07
74.44,76.16,76.62,74.44
75.83,74.39,76.41,74.23
73.19,73.19,74.97,72.47
72.33,72.28,72.43,71.50
72.26,71.72,72.58,71.28
71.41,72.05,72.37,70.81
72.71,70.18,72.71,70.13
70.22,69.19,70.42,68.38
69.81,71.29,71.33,69.48
70.81,71.64,71.95,70.25
71.73,73.00,73.60,71.68
73.88,75.28,75.44,73.75
75.57,76.99,77.88,75.30
76.56,75.90,76.82,75.68
75.56,75.87,76.66,75.00
75.29,76.13,76.27,74.45
76.58,76.88,77.18,76.21
76.62,76.53,77.25,76.10
76.49,76.60,76.93,75.47
77.17,78.16,78.23,76.50
78.54,78.31,78.59,77.77
77.64,77.30,78.25,76.56
76.51,77.32,77.49,76.16
77.95,78.66,79.10,77.93
78.54,78.40,78.88,77.94
77.54,79.33,79.78,77.36
79.22,80.65,80.66,78.76
80.56,80.73,81.50,80.12
80.09,78.22,80.69,78.07
79.04,78.91,79.46,78.09
78.49,78.25,79.96,75.57
78.34,76.40,78.68,75.54
76.46,77.88,78.46,76.24
76.74,76.89,77.29,75.62
75.80,74.93,76.06,74.42
74.29,72.35,75.08,69.59
72.00,70.80,73.02,69.86
74.41,73.07,74.44,71.94
72.06,68.55,72.66,68.30
68.92,70.13,70.31,67.70
69.84,68.92,70.58,68.72
68.41,67.05,68.66,65.74
67.47,65.93,67.96,64.99
66.97,65.29,67.45,65.10
64.70,64.09,65.10,62.47
62.00,60.36,62.19,60.20
59.56,61.12,61.17,58.40
61.17,59.61,61.17,59.58
58.12,58.63,58.73,57.10
59.40,60.25,61.01,59.40
61.82,61.68,63.09,61.35
61.77,59.49,62.02,59.13
59.04,56.23,59.04,56.23
56.82,60.15,60.15,56.50
62.08,63.41,63.67,61.20
62.32,60.60,64.12,60.30
61.39,60.16,61.74,59.94
60.21,60.89,60.97,59.40
61.54,61.07,62.56,60.55
62.45,63.90,63.99,62.42
63.27,63.98,64.00,62.72
64.85,63.68,65.23,63.26
64.70,66.45,66.56,64.31
65.90,66.20,66.67,64.86
66.05,66.10,66.27,65.43
66.07,65.98,66.21,65.01
66.75,65.29,67.37,64.80
65.24,63.06,65.30,62.77
62.97,62.41,63.23,62.14
62.12,61.95,62.86,61.59
62.18,62.90,63.57,61.37
63.07,61.79,63.21,61.67
60.46,60.27,61.03,59.93
60.29,60.33,61.29,59.91
60.21,61.20,61.83,59.22
61.44,61.88,62.48,61.12
63.06,62.86,63.88,62.19
62.74,65.55,65.56,62.74
66.28,66.41,66.78,64.75
66.50,65.71,66.56,64.95
65.51,66.31,66.36,65.36
67.69,66.90,67.78,66.74
66.45,66.66,67.50,65.70
66.74,67.37,67.57,65.93
66.70,65.61,66.76,65.26
65.90,66.01,66.33,65.16
65.19,67.56,67.70,65.19
67.80,66.07,67.82,65.65
67.51,67.78,68.20,66.96
67.45,67.37,67.66,66.01
67.38,68.18,68.43,67.38
68.41,67.46,68.82,66.89
67.43,67.58,68.35,67.14
69.20,68.15,69.84,67.36
67.56,67.06,68.64,66.55
68.11,68.94,69.12,67.39
68.98,69.01,69.97,68.70
68.93,68.89,69.48,68.26
68.13,69.60,69.73,67.89
68.73,69.00,69.62,67.98
69.48,69.60,69.75,68.61
68.85,69.00,69.24,68.15
67.73,67.02,68.19,66.58
65.92,66.48,67.01,65.80
66.07,67.15,67.51,65.96
66.83,66.73,67.35,66.10
67.47,69.60,70.13,67.19
69.41,68.92,69.53,68.16
68.59,67.99,68.64,67.57
67.42,67.10,67.92,66.60
67.33,67.37,68.22,67.33
65.98,65.49,66.33,65.27
65.15,65.04,65.33,63.80
65.55,64.54,65.55,64.03
65.01,67.24,67.36,63.89
68.62,68.56,70.64,68.32
68.37,69.78,70.85,67.59
71.30,71.18,71.61,70.50
71.23,72.67,72.76,70.80
72.67,74.39,74.50,72.67
74.06,73.08,74.34,72.86
73.32,73.19,73.94,72.93
74.49,74.23,74.70,73.37
74.86,75.18,75.50,74.38
75.64,76.89,77.09,75.52
76.66,77.09,77.63,76.43
76.49,77.00,77.13,75.98
76.81,75.60,76.85,75.25
75.05,74.06,75.34,73.77
73.97,75.02,75.27,73.72
75.14,75.01,75.44,74.35
75.22,74.26,75.99,74.12
73.39,73.67,74.24,72.74
74.61,75.45,75.80,74.39
75.54,74.97,75.80,74.97
75.52,75.21,75.52,73.64
75.01,75.52,75.86,74.57
76.04,75.09,76.56,73.91
75.96,75.76,76.17,75.07
75.80,75.74,76.59,75.27
76.67,77.20,77.41,76.28
76.87,76.74,77.44,76.58
77.23,76.46,77.49,76.10
