UYG,ProShares Ultra Financials,NASDAQ
5.71,5.83,5.85,5.71
5.81,5.95,5.97,5.79
5.95,5.98,6.02,5.89
6.00,6.20,6.26,5.97
6.14,6.15,6.21,6.07
6.25,6.16,6.26,6.10
6.08,6.00,6.13,5.93
6.01,6.13,6.18,5.93
6.10,6.19,6.23,6.08
6.13,5.99,6.15,5.97
5.94,6.12,6.14,5.90
6.06,6.10,6.15,5.97
6.09,5.81,6.17,5.76
5.76,5.47,5.83,5.41
5.59,5.52,5.63,5.40
5.44,5.35,5.62,5.33
5.39,5.58,5.60,5.32
5.66,5.50,5.67,5.38
5.57,5.43,5.66,5.41
5.50,5.58,5.61,5.49
5.61,5.69,5.72,5.56
5.65,5.57,5.69,5.53
5.48,5.12,5.48,5.12
5.18,5.23,5.25,4.93
5.24,5.04,5.26,5.03
5.17,5.12,5.20,5.00
5.14,5.21,5.30,5.08
5.22,5.23,5.28,5.12
5.13,5.25,5.25,5.08
5.33,5.47,5.49,5.28
5.54,5.52,5.56,5.47
5.46,5.58,5.62,5.46
5.51,5.62,5.67,5.51
5.68,5.74,5.81,5.65
5.72,5.56,5.79,5.54
5.59,5.73,5.75,5.58
5.62,5.71,5.72,5.54
5.72,5.77,5.81,5.66
5.80,5.80,5.83,5.75
5.83,5.85,5.93,5.83
5.85,5.84,5.93,5.81
5.87,5.93,5.95,5.85
6.00,6.16,6.18,5.98
6.18,6.21,6.24,6.17
6.14,6.24,6.33,6.12
6.32,6.37,6.45,6.30
6.35,6.48,6.49,6.34
6.58,6.44,6.59,6.40
6.38,6.44,6.47,6.31
6.49,6.60,6.61,6.45
6.67,6.75,6.80,6.66
6.73,6.69,6.76,6.63
6.59,6.59,6.75,6.55
6.48,6.67,6.69,6.46
6.71,6.76,6.78,6.64
6.70,6.77,6.83,6.69
6.87,6.82,7.10,6.82
6.89,6.83,7.01,6.77
6.93,6.86,6.94,6.78
6.85,6.78,6.91,6.75
6.71,6.79,6.86,6.70
6.90,6.90,6.94,6.82
6.98,7.06,7.06,6.94
7.04,7.21,7.24,7.02
7.22,7.13,7.29,7.06
7.09,7.25,7.27,7.04
7.30,7.30,7.33,7.22
7.35,7.36,7.41,7.32
7.34,7.38,7.41,7.29
7.56,7.75,7.75,7.53
77.67,76.67,77.90,76.29
75.99,71.65,76.20,69.73
70.05,72.83,73.20,69.99
73.88,74.71,74.82,73.00
74.88,74.29,76.05,72.84
73.06,75.39,75.71,72.35
