RYU,Guggenheim S&P 500 Equal Weight Utilities ETF,NASDAQ
47.33,47.42,47.42,47.10
47.17,46.92,47.18,46.70
46.86,46.87,47.06,46.86
46.76,46.66,46.76,46.62
46.38,46.25,46.38,46.25
46.80,46.85,46.85,46.80
46.73,46.58,46.81,46.55
46.64,46.86,46.86,46.63
46.87,46.89,47.01,46.86
46.60,46.41,46.71,46.13
46.50,47.00,47.00,46.50
46.73,46.73,46.73,46.73
45.85,45.97,45.97,45.71
45.50,44.95,45.50,44.95
45.37,45.37,45.37,45.37
45.17,45.23,45.23,45.15
44.62,44.80,44.80,44.62
44.64,44.86,44.86,44.64
44.64,44.44,44.68,44.44
44.62,44.79,44.79,44.62
44.87,45.11,45.11,44.87
45.11,45.11,45.11,45.11
44.61,43.90,44.61,43.88
43.47,43.10,43.52,43.03
43.94,43.48,43.94,43.48
43.68,43.76,43.85,43.68
43.62,43.39,43.62,43.39
43.56,43.56,43.56,43.56
43.41,43.41,43.41,43.41
44.14,44.23,44.23,44.14
44.58,44.58,44.58,44.58
44.58,44.58,44.58,44.58
45.38,45.38,45.38,45.38
45.32,45.15,45.32,45.15
44.74,44.67,44.88,44.67
44.57,44.76,44.76,44.53
44.56,44.64,44.64,44.56
44.42,44.42,44.42,44.42
44.95,44.96,45.00,44.95
45.21,45.08,45.25,45.08
45.13,45.15,45.31,45.13
45.05,45.00,45.06,45.00
45.28,45.60,45.60,45.28
45.80,45.79,45.80,45.78
45.79,45.79,45.79,45.79
45.92,45.79,45.94,45.79
45.79,45.79,45.79,45.79
45.80,45.80,45.80,45.80
45.79,45.69,45.79,45.63
45.69,45.69,45.69,45.69
46.38,46.44,46.44,46.38
46.55,46.44,46.55,46.44
45.91,45.91,46.20,45.76
45.77,45.79,45.79,45.74
45.82,45.88,45.97,45.77
47.04,45.68,47.04,45.67
45.82,45.20,45.83,45.20
45.22,45.27,45.36,45.22
45.74,45.74,45.74,45.74
45.84,45.78,45.84,45.78
45.84,45.61,45.84,45.61
46.05,46.22,46.22,46.05
46.31,46.55,46.55,46.31
46.52,46.81,46.87,46.52
46.44,46.38,46.44,46.31
46.19,46.34,46.34,46.16
46.49,46.39,46.49,46.18
46.79,46.72,46.79,46.72
46.72,46.72,46.72,46.72
46.55,46.55,46.59,46.55
46.46,46.77,46.77,46.46
46.58,46.19,46.58,46.17
46.21,46.21,46.21,46.21
46.76,46.71,46.76,46.49
46.68,46.68,46.68,46.68
46.61,46.86,46.90,46.61
47.11,47.15,47.15,47.11
47.30,47.13,47.30,47.12
46.97,46.97,46.97,46.97
46.40,46.72,46.72,46.28
46.83,46.86,46.97,46.81
47.16,47.04,47.16,47.04
47.02,47.56,47.56,47.02
46.88,46.50,46.88,46.50
46.38,46.30,46.49,46.30
46.01,45.10,46.04,39.59
44.19,44.50,45.01,44.19
45.21,45.48,45.85,45.21
45.85,46.17,46.54,45.85
46.19,46.71,46.71,46.19
46.71,46.71,46.71,46.71
46.24,46.24,46.24,46.24
46.55,46.32,46.55,45.72
46.57,45.87,46.66,45.87
45.87,45.87,45.87,45.87
44.13,44.40,44.40,44.13
43.78,43.79,43.79,43.50
43.79,43.79,43.79,43.79
42.95,43.50,43.50,42.95
44.47,44.27,44.50,44.21
44.78,44.78,44.79,44.54
44.78,44.78,44.78,44.78
44.32,44.55,44.55,44.32
44.39,44.66,44.66,44.38
45.22,45.19,45.22,45.07
44.69,44.11,44.69,44.11
44.25,44.25,44.25,44.25
44.00,44.20,44.20,44.00
44.50,44.50,44.50,44.50
45.15,45.30,45.30,45.15
45.32,45.25,45.32,45.25
45.25,45.25,45.25,45.25
46.42,46.42,46.42,46.42
46.94,46.75,46.94,46.75
46.84,46.98,46.98,46.53
46.96,46.62,46.96,46.58
47.20,46.51,47.20,46.51
46.35,46.35,46.35,46.35
45.44,44.92,45.44,44.77
44.96,45.00,45.00,44.96
44.56,44.70,44.70,44.50
45.26,45.26,45.26,45.26
44.50,44.12,44.50,44.06
44.12,44.12,44.12,44.12
43.68,43.59,43.77,43.54
43.61,43.67,43.71,43.51
44.07,44.07,44.07,44.07
45.09,45.43,45.43,45.09
45.43,45.43,45.43,45.43
45.99,45.99,45.99,45.99
45.84,45.84,45.84,45.84
46.50,46.50,46.50,46.50
46.50,46.39,46.51,46.39
46.58,46.63,46.63,46.24
46.13,45.84,46.13,45.84
46.27,46.30,46.31,46.17
45.96,46.84,46.84,45.96
46.79,46.17,46.79,46.17
47.03,47.15,47.15,47.03
47.22,47.10,47.25,47.10
47.61,47.61,47.61,47.61
47.95,48.29,48.31,47.95
48.12,47.95,48.12,47.95
48.18,47.42,48.18,47.42
47.00,47.13,47.13,46.97
47.89,47.98,48.00,47.89
47.93,47.90,48.10,47.90
47.88,47.90,47.90,47.58
47.85,47.99,47.99,47.85
47.88,48.06,48.06,47.88
48.21,48.32,48.35,48.21
48.17,48.33,48.34,47.61
47.92,47.50,47.92,47.50
47.25,47.41,47.47,47.10
47.63,47.56,47.65,47.46
47.30,47.51,47.61,47.04
48.02,48.09,48.24,48.02
47.98,47.96,48.02,47.96
47.06,47.12,47.20,47.06
46.86,46.86,46.86,46.86
47.48,47.51,47.51,47.48
46.89,47.28,47.57,46.89
46.88,47.45,47.48,46.88
47.34,47.22,47.39,47.22
47.49,48.03,48.03,47.49
47.98,47.48,47.98,47.48
47.28,47.45,47.77,47.09
48.00,48.59,48.66,48.00
48.77,48.67,48.77,48.51
48.95,48.96,48.97,48.95
49.05,48.83,49.07,48.83
48.69,48.69,48.69,48.69
49.03,49.11,49.11,49.03
48.97,49.00,49.00,48.93
49.44,49.22,49.44,49.20
49.26,49.26,49.26,49.26
49.07,49.14,49.14,49.04
49.06,48.74,49.06,48.74
48.49,48.38,48.56,48.29
48.40,49.17,49.17,48.40
49.01,48.98,49.17,48.96
49.13,49.36,49.36,49.08
49.19,48.77,49.19,48.76
49.37,49.49,49.55,49.37
49.86,49.75,49.86,49.51
49.67,49.80,49.85,49.64
49.58,49.91,49.91,49.58
49.69,49.61,49.73,49.61
49.79,49.82,49.82,49.75
50.19,49.65,50.19,49.65
50.28,50.47,50.48,50.25
50.18,50.18,50.18,50.18
50.19,50.25,50.25,50.19
50.25,50.34,50.38,50.04
50.35,50.35,50.35,50.35
50.28,50.18,50.30,50.06
50.69,50.51,50.69,50.40
50.61,50.56,50.61,50.56
50.53,50.33,50.53,50.27
50.81,50.83,50.83,50.81
50.58,50.70,50.84,50.47
50.73,50.95,51.06,50.73
51.17,50.57,51.17,50.52
51.00,50.52,51.00,50.39
50.59,50.66,50.67,50.58
50.42,50.39,50.42,50.37
49.81,49.93,49.93,49.70
50.31,50.05,50.31,50.05
50.08,50.19,50.19,50.08
50.66,50.01,50.66,49.97
50.44,50.60,50.60,50.44
50.66,50.50,50.66,50.43
50.83,51.02,51.08,50.83
50.93,50.95,50.97,50.91
50.79,50.85,50.89,50.75
51.07,50.63,51.07,50.63
50.72,50.51,50.72,50.30
50.44,50.47,50.47,50.44
50.24,49.97,50.24,49.94
50.29,50.21,50.51,50.21
49.73,49.47,49.73,49.14
49.58,49.59,49.69,49.50
49.89,50.05,50.06,49.89
