POPE,Pope Resources - Limited Partnership,NASDAQ
24.50,24.22,24.52,23.32
24.25,25.00,25.00,24.25
24.54,24.95,24.99,24.54
25.00,24.70,25.00,24.70
24.74,24.75,24.75,24.72
24.95,24.78,24.95,24.76
24.70,24.70,24.70,24.70
24.63,24.62,24.70,24.62
24.70,24.53,24.99,24.53
24.50,24.46,24.53,24.46
24.31,24.80,24.88,24.27
24.21,24.52,24.52,24.20
24.65,24.93,24.95,24.65
24.94,24.62,24.94,24.62
24.05,23.94,24.05,23.94
24.03,24.30,24.40,24.00
24.62,24.36,24.65,24.36
24.40,24.40,24.40,24.40
24.40,24.40,24.40,24.40
23.61,24.11,24.40,23.61
24.39,24.46,24.46,24.29
24.00,24.35,24.35,24.00
24.35,24.34,24.35,24.34
24.17,23.80,24.20,23.79
23.88,23.65,23.88,23.65
23.70,23.80,23.80,23.70
23.77,23.81,23.81,23.77
23.75,23.57,23.79,23.42
23.96,23.58,23.97,23.58
23.93,24.70,24.85,23.93
24.55,24.09,24.56,23.40
24.02,24.04,24.04,23.99
23.76,23.90,23.90,23.75
23.86,24.00,24.00,23.86
23.90,24.53,24.70,23.90
24.21,24.02,24.29,23.90
23.97,23.95,24.18,23.95
23.90,23.97,24.28,23.90
23.99,24.05,24.05,23.93
24.25,24.75,24.96,24.25
24.56,24.88,24.96,24.56
24.88,25.08,25.38,24.88
25.41,25.20,25.41,25.07
25.20,25.32,25.39,25.09
25.38,25.34,25.43,25.21
25.35,25.30,25.45,25.25
25.31,25.42,25.42,25.19
25.43,25.25,25.45,25.23
25.43,26.26,26.45,25.43
25.49,26.90,27.09,25.49
26.41,28.89,28.89,26.41
27.73,28.50,28.78,27.73
28.50,27.38,28.50,27.38
27.72,26.50,27.72,26.50
26.68,25.95,26.75,25.76
25.95,26.10,26.10,25.92
25.49,25.61,27.74,25.49
25.86,26.27,26.27,25.86
26.67,25.80,26.67,25.26
26.02,25.71,27.19,25.71
25.75,25.91,26.79,25.40
25.72,25.75,26.73,25.41
26.05,26.30,26.57,25.61
26.48,27.54,27.98,26.48
27.57,27.52,27.57,27.25
27.44,28.00,28.00,27.44
28.14,28.23,28.25,27.37
27.52,28.04,28.26,27.46
27.56,27.82,28.00,27.50
28.00,28.00,28.00,28.00
27.04,28.00,28.24,27.04
27.57,27.04,27.57,27.04
27.42,26.87,27.50,26.87
27.22,27.00,27.25,27.00
27.22,27.25,27.49,27.01
27.00,27.00,27.16,27.00
27.25,27.27,27.65,26.95
27.62,27.77,27.77,27.50
27.14,27.55,28.09,27.14
27.59,27.85,28.03,27.56
27.98,28.00,28.09,27.85
28.09,28.09,28.21,28.09
27.95,28.85,28.90,27.59
28.50,28.50,28.85,28.44
28.00,28.50,28.50,28.00
28.07,27.98,28.07,27.40
27.82,28.00,28.00,27.51
28.00,28.00,28.79,28.00
27.48,27.98,27.98,26.64
28.03,27.96,28.04,27.96
28.01,28.01,28.01,28.01
27.60,27.77,27.77,27.60
28.05,27.80,28.47,27.77
28.25,27.85,28.25,27.85
27.95,27.90,28.22,27.77
27.97,27.12,28.31,26.45
26.88,27.90,28.37,26.88
28.00,28.10,28.10,27.99
27.86,26.66,27.86,26.52
27.92,26.26,27.92,26.26
26.73,26.80,26.98,26.26
26.48,26.83,26.83,26.48
26.26,26.85,26.90,26.26
27.11,27.14,27.14,27.11
27.00,27.25,27.85,26.99
27.25,27.25,27.25,27.25
27.25,27.20,27.25,27.20
27.00,27.50,27.50,27.00
27.35,27.45,27.82,27.00
27.50,28.01,28.30,27.40
28.01,28.01,28.01,28.01
27.49,27.77,27.81,27.49
27.82,27.75,27.90,27.50
27.50,28.10,28.28,27.50
27.71,27.71,28.20,27.71
27.80,27.50,27.80,27.50
27.80,27.65,27.80,26.44
28.00,27.60,28.00,27.58
27.62,26.81,27.62,26.80
26.75,26.50,26.75,26.50
26.50,25.95,26.50,25.77
25.75,25.66,25.89,25.52
25.50,25.30,25.50,25.02
25.21,25.73,25.73,25.21
25.71,25.76,25.81,25.02
25.60,24.55,25.60,24.35
25.12,24.56,25.89,24.00
24.50,24.75,24.75,24.15
25.00,25.00,25.00,24.45
24.41,24.95,24.95,24.41
24.58,24.65,25.93,24.58
25.66,25.68,25.86,25.17
25.59,25.55,25.95,25.02
25.00,24.85,25.00,24.79
24.80,24.69,24.80,24.35
24.69,24.50,24.69,24.50
24.45,24.50,24.50,24.45
24.55,24.67,24.68,24.55
24.16,25.22,25.87,24.16
25.75,27.19,27.96,25.69
26.00,25.21,26.95,25.21
25.21,25.50,25.50,25.10
25.50,25.50,25.50,25.50
25.50,25.03,25.50,25.03
25.00,24.70,25.00,24.65
25.00,25.00,25.00,24.98
25.00,24.90,25.28,24.90
25.03,25.41,25.41,25.00
26.20,25.50,26.90,25.29
25.31,25.00,25.31,24.99
25.00,25.23,25.35,24.75
24.77,25.15,25.30,24.75
24.83,24.92,26.00,24.81
24.76,25.25,25.25,24.76
25.00,25.00,25.06,24.76
25.00,25.05,25.50,25.00
25.11,25.68,25.74,25.11
25.13,25.25,25.50,25.13
25.25,25.25,25.25,25.25
25.27,25.26,25.27,25.25
25.99,25.31,25.99,25.31
25.28,27.00,27.00,25.28
26.50,26.50,27.00,26.50
26.51,26.48,26.51,26.48
26.34,26.33,26.34,26.33
26.27,26.40,26.40,26.27
26.49,26.72,26.75,26.49
26.57,26.57,26.57,26.57
26.57,26.50,26.57,26.50
26.96,26.82,26.96,25.82
26.67,26.78,26.95,26.65
26.77,26.75,26.77,26.69
26.96,26.96,26.96,26.91
26.76,26.85,26.85,26.76
26.86,26.45,26.88,26.45
26.35,26.66,26.66,26.35
26.50,26.50,26.50,26.50
26.28,26.80,26.80,26.28
26.90,26.96,26.96,26.87
26.51,26.50,26.51,26.50
26.50,27.99,28.00,26.50
27.87,27.66,27.87,27.65
27.66,27.66,27.66,27.66
27.66,27.66,27.66,27.66
26.55,27.69,27.69,26.55
26.75,27.10,27.10,26.75
27.25,27.25,27.25,27.25
27.96,27.10,27.98,27.03
26.62,27.82,27.82,26.62
27.48,27.50,27.50,27.48
27.07,28.31,28.50,27.07
28.31,28.31,28.31,28.31
28.30,28.30,28.31,27.31
28.54,28.73,28.73,28.26
28.75,29.99,30.50,28.75
30.25,30.00,30.25,29.75
30.01,31.72,31.96,30.01
31.28,31.28,31.28,31.28
31.28,32.00,32.44,31.25
31.96,30.86,31.96,30.73
29.52,29.09,29.75,29.09
29.69,30.55,30.55,29.04
30.55,30.55,30.55,30.55
29.05,30.50,30.50,29.05
30.00,30.18,30.18,29.98
30.18,30.18,30.18,30.18
29.83,30.80,30.80,29.83
30.80,29.75,30.80,29.27
30.80,31.07,32.00,30.80
31.50,31.99,31.99,31.07
32.00,32.99,33.46,30.99
31.05,33.50,33.88,31.05
32.25,33.05,33.31,32.25
32.65,32.32,33.15,32.32
32.01,31.50,32.18,31.40
32.40,33.25,34.31,32.40
34.15,33.50,34.15,33.25
33.00,33.00,33.00,33.00
32.50,32.50,32.50,32.50
32.00,31.50,32.40,30.70
32.15,33.93,35.50,32.15
33.75,35.02,35.36,33.75
35.00,35.00,35.00,35.00
34.49,35.50,36.05,33.54
34.51,34.26,34.53,34.26
34.00,33.50,34.00,33.50
33.50,35.09,35.50,33.50
35.44,34.91,35.44,34.91
34.45,34.55,34.55,34.45
34.48,33.76,36.65,33.76
34.00,34.00,34.00,34.00
34.36,33.99,34.36,33.99
34.00,34.13,34.87,33.89
34.80,34.91,35.48,34.75
34.98,33.66,35.10,33.66
33.88,33.70,33.88,33.70
34.97,33.90,34.97,33.90
33.90,33.90,33.90,33.90
33.90,33.95,33.95,33.50
34.92,34.47,34.92,34.47
34.00,34.88,35.00,34.00
34.60,34.82,35.50,34.60
34.75,36.25,36.42,34.04
35.97,36.10,37.50,35.97
36.50,36.98,37.50,36.30
37.39,37.68,38.00,36.25
37.73,36.30,38.00,36.30
36.40,36.20,36.50,36.15
36.25,37.71,38.61,35.50
37.37,37.27,37.47,37.12
37.18,37.04,37.18,36.74
36.10,36.80,36.80,35.62
36.59,36.53,37.40,35.64
36.53,36.53,36.53,36.53
36.92,37.98,38.00,36.63
36.52,39.47,39.50,36.52
38.47,38.74,39.87,38.47
38.46,36.52,38.46,36.52
36.95,36.75,36.95,36.75
36.99,36.52,36.99,36.52
36.75,36.98,37.00,36.75
36.54,36.52,36.54,36.52
36.01,35.70,36.34,35.52
35.70,35.30,35.75,35.30
35.46,35.11,35.46,35.02
38.48,38.30,40.90,37.00
38.50,38.24,38.50,37.98
37.77,37.21,37.77,36.75
37.07,37.85,37.85,36.66
37.99,38.40,38.40,37.99
38.50,38.50,39.50,37.92
37.93,38.23,38.63,37.88
38.50,38.43,38.93,38.37
38.07,38.21,40.26,38.04
38.00,40.49,41.50,37.54
40.21,40.80,41.00,40.01
40.80,39.22,40.80,39.22
40.56,41.03,42.62,40.56
41.39,42.75,43.48,41.00
42.70,40.73,42.70,40.73
41.59,41.06,41.59,41.06
41.72,42.00,44.28,40.93
42.99,42.87,43.01,42.47
42.75,42.90,45.00,42.02
42.90,42.90,42.90,42.90
42.11,45.00,45.87,42.11
44.87,42.39,44.87,42.39
43.14,42.02,43.14,42.02
42.07,42.02,42.50,42.00
42.87,44.75,45.03,42.87
44.19,43.17,44.37,42.57
43.50,43.50,43.50,41.06
43.50,43.50,43.53,43.50
42.00,44.75,44.85,41.66
44.01,44.43,44.68,42.87
44.35,44.35,44.35,44.35
43.15,43.95,43.95,41.40
43.60,43.60,43.60,43.60
42.16,42.00,43.47,41.70
42.01,42.57,42.97,41.68
43.16,42.20,43.16,41.81
41.76,40.53,42.20,40.16
40.59,40.21,40.59,40.21
41.65,41.70,41.70,41.65
42.20,43.97,44.00,42.20
43.66,44.00,44.62,42.61
42.28,45.00,45.00,42.28
42.75,45.18,46.00,42.75
45.74,45.00,46.23,45.00
44.00,44.95,44.95,43.20
44.95,44.55,44.95,44.55
43.90,47.05,47.85,43.90
47.49,46.15,47.83,46.03
47.75,46.75,48.00,46.00
46.75,46.75,46.75,46.75
46.75,48.50,49.00,46.75
48.05,45.50,48.05,44.65
45.89,46.00,46.00,45.05
43.30,45.13,45.98,42.09
44.03,44.99,44.99,44.03
44.97,47.00,47.00,44.53
46.96,45.89,47.00,45.74
45.00,45.21,46.09,45.00
45.96,44.75,45.96,44.75
44.65,44.57,45.20,44.57
44.64,44.90,44.98,44.53
45.50,44.53,45.50,44.53
44.03,44.21,44.21,44.02
44.20,44.00,44.50,42.80
43.06,43.02,44.40,42.92
43.58,42.44,43.60,42.44
42.69,43.51,45.00,42.69
43.51,45.95,47.97,43.51
44.97,44.90,46.00,44.90
