BTI,British American Tobacco  Industries,NASDAQ
65.03,65.21,65.41,64.99
64.92,65.14,65.14,64.53
64.89,64.93,65.43,64.64
65.12,65.37,65.42,65.03
65.37,65.01,65.44,64.80
65.27,65.17,65.64,64.95
64.94,65.51,65.53,64.94
66.05,65.91,66.06,65.64
65.77,66.03,66.19,65.63
66.65,66.50,66.74,66.20
67.77,68.01,68.50,67.72
67.87,67.96,68.11,67.44
67.71,67.00,67.99,66.36
66.03,65.71,66.48,65.45
65.43,65.85,66.11,65.34
65.40,65.74,66.46,65.29
66.70,67.01,67.21,66.56
66.92,66.01,66.92,65.77
66.69,66.54,67.05,65.96
65.84,66.07,66.07,65.26
66.00,66.96,67.25,65.75
66.33,66.52,66.59,66.09
66.27,65.00,66.38,64.82
64.47,64.48,64.69,63.59
65.36,65.08,65.87,64.97
64.90,65.46,65.94,64.50
65.04,65.11,65.71,64.60
65.47,67.10,67.60,65.24
67.61,67.55,67.97,67.37
66.40,67.10,67.39,66.30
67.59,67.60,67.70,67.14
67.58,68.15,68.23,67.44
68.20,69.01,69.02,68.05
68.09,68.24,68.43,67.88
68.23,68.50,68.62,67.83
68.77,68.70,69.35,68.60
66.39,67.32,67.45,66.17
67.41,67.90,68.30,67.33
68.18,68.40,68.50,67.86
68.16,68.54,68.60,67.97
69.51,69.38,69.51,69.17
69.95,70.11,70.14,69.20
69.51,70.59,70.75,69.46
70.37,70.31,70.64,69.66
69.00,69.05,69.39,68.84
66.59,67.34,67.51,66.40
67.37,67.55,67.60,66.89
67.78,67.85,67.99,67.45
66.75,66.93,67.08,66.33
67.42,67.91,68.10,67.36
68.93,68.30,68.93,68.25
68.73,69.01,69.01,68.49
67.96,67.34,67.97,66.82
67.40,68.49,68.49,67.27
67.69,68.33,68.36,67.49
67.20,67.39,67.51,66.77
67.70,67.23,68.03,67.23
67.54,67.65,67.93,67.46
68.54,68.10,68.61,68.10
68.96,68.70,69.06,68.62
68.97,68.90,69.22,68.67
69.24,70.14,70.15,69.22
70.20,70.39,70.50,70.11
69.26,69.71,69.97,68.98
69.12,69.20,69.65,69.12
68.16,68.32,68.42,66.44
68.63,68.80,68.80,68.22
69.25,69.78,69.93,69.16
69.79,69.66,69.79,69.01
69.30,69.10,69.41,68.71
67.56,67.60,68.09,67.30
67.20,66.67,67.33,66.08
66.02,67.10,67.14,66.02
67.98,68.20,68.23,67.76
67.65,67.39,67.85,67.33
66.92,67.20,67.20,66.64
67.28,67.57,67.89,67.18
67.62,67.51,68.09,67.51
66.52,65.40,67.01,65.38
64.99,64.30,65.03,63.83
63.96,64.59,64.59,63.62
63.28,63.45,63.55,62.89
63.48,63.35,63.87,62.97
63.80,63.31,63.80,63.21
62.55,62.25,62.75,62.01
62.04,60.83,62.35,57.31
60.22,59.60,60.63,58.77
61.55,62.00,62.29,61.30
60.83,61.72,62.32,60.60
61.90,61.68,62.05,61.33
61.29,60.65,61.43,60.46
60.31,59.79,60.41,59.11
59.75,59.70,59.88,58.58
59.56,58.52,59.64,57.64
58.13,58.64,58.75,57.66
57.36,57.00,57.78,56.28
56.38,57.75,57.91,56.29
57.92,57.35,58.28,57.34
56.65,56.82,57.02,56.00
58.20,57.00,58.54,56.98
58.42,59.09,59.20,58.22
59.31,58.55,59.39,58.47
60.32,61.14,62.12,60.19
61.69,62.48,62.48,61.46
63.03,62.61,63.18,62.30
62.00,61.30,62.40,60.96
61.76,61.15,62.18,61.06
61.08,62.18,62.18,60.95
62.19,62.00,62.74,61.55
62.84,63.69,63.75,62.78
62.76,63.28,63.32,62.46
64.15,64.05,65.83,63.84
64.52,64.70,64.95,64.38
64.75,65.15,65.32,64.49
64.92,65.80,65.88,64.77
64.67,64.35,64.74,64.30
