CACI,CACI International,NASDAQ
48.96,49.58,50.13,48.96
49.57,48.61,49.61,48.36
48.42,48.51,48.97,48.21
48.34,47.82,48.41,47.49
47.56,47.60,47.67,47.05
47.75,47.61,47.75,47.31
47.22,47.78,47.96,47.22
47.96,48.15,48.20,47.55
47.95,48.63,48.78,47.75
48.72,48.53,48.81,47.97
48.46,49.34,49.34,48.46
49.21,48.82,49.21,47.75
48.96,48.19,49.77,48.19
48.32,47.41,48.37,47.23
47.50,47.40,48.25,46.49
47.13,47.61,47.66,46.53
47.28,48.52,48.57,47.20
48.72,47.88,48.81,47.74
48.19,47.97,49.22,47.69
47.97,48.01,48.11,47.37
47.83,47.10,47.94,46.40
46.99,47.37,47.37,46.85
47.27,46.42,47.27,46.41
46.51,47.07,47.11,45.93
47.00,46.49,47.37,46.47
46.46,46.27,46.90,45.98
46.10,46.62,46.65,45.36
46.34,45.97,46.62,45.42
45.52,46.24,46.30,45.49
46.40,46.65,46.77,46.12
46.90,47.09,47.09,46.63
47.18,47.82,47.93,46.92
47.87,47.94,48.23,47.66
47.90,48.24,48.32,47.80
48.24,48.34,48.46,48.01
48.55,48.89,49.09,48.26
48.24,49.33,49.39,48.24
49.27,49.56,49.87,48.85
49.61,49.93,50.25,49.61
50.13,49.80,50.15,49.56
49.74,50.32,50.61,49.68
50.58,50.44,50.95,50.32
50.82,51.54,51.72,50.82
51.54,51.05,51.56,51.00
50.90,51.25,51.50,50.89
51.29,51.20,51.55,50.99
51.00,51.26,51.31,50.76
51.25,50.53,51.25,50.14
50.18,50.34,50.66,50.02
50.48,51.13,51.17,50.42
51.31,52.37,52.92,51.29
52.23,52.05,52.37,51.77
52.27,52.24,52.43,51.68
52.00,51.76,52.63,51.45
51.61,51.60,51.63,50.82
51.39,50.38,51.45,50.27
50.67,50.45,50.81,50.22
50.65,50.75,50.91,50.46
50.95,50.30,51.02,50.18
50.24,49.80,50.53,49.51
49.52,48.85,49.77,48.84
49.06,48.88,49.16,48.60
48.90,48.90,49.08,48.16
48.86,49.43,49.57,48.72
49.24,48.99,49.51,48.74
48.81,48.43,48.99,48.34
48.55,48.60,48.79,48.08
48.50,49.70,49.93,48.40
49.70,49.17,49.70,48.90
49.55,49.98,50.01,49.42
49.73,49.79,49.91,49.59
49.81,49.07,50.11,48.99
49.04,48.90,49.08,48.29
48.94,49.50,49.56,48.58
49.37,50.43,50.60,49.24
50.06,50.75,50.87,49.81
50.93,51.00,51.41,50.76
51.07,51.00,51.29,50.66
50.66,51.26,51.93,50.66
51.39,50.51,51.39,50.17
48.28,47.93,49.65,47.74
47.80,47.43,48.19,47.03
47.71,48.36,48.40,47.71
47.97,47.82,48.13,47.37
47.50,47.85,48.29,47.36
47.74,47.18,48.57,46.88
47.23,47.16,48.06,46.40
48.88,48.02,49.22,47.50
47.52,47.97,48.60,47.52
47.95,48.71,48.98,47.78
48.47,49.10,49.31,48.45
48.75,48.39,49.04,47.92
48.71,49.22,49.31,48.16
49.59,48.66,49.81,48.61
48.67,48.45,49.10,48.15
47.96,47.50,48.22,47.50
47.05,46.50,47.83,45.85
46.33,45.71,46.35,45.55
45.23,45.08,45.24,43.00
45.25,45.78,45.94,45.16
46.41,46.62,46.69,46.12
46.67,46.24,46.88,46.23
46.06,45.93,46.72,45.93
45.91,45.96,46.04,45.16
46.20,46.73,46.98,45.79
46.28,45.29,46.28,45.24
45.53,44.73,45.53,44.68
44.86,44.72,44.86,44.03
44.92,44.20,45.13,44.02
44.01,45.10,45.16,43.99
44.80,45.59,45.62,44.71
45.85,45.50,46.03,45.37
45.46,46.05,46.13,45.20
45.71,45.97,46.38,45.48
46.18,45.90,46.50,45.87
45.68,45.08,45.97,45.03
45.43,44.45,45.69,44.19
44.60,43.51,45.04,43.49
43.44,42.97,43.60,42.70
42.67,42.37,43.07,42.29
42.32,42.62,42.95,42.15
42.60,42.40,42.64,42.33
42.00,41.62,42.24,41.44
41.93,42.48,43.16,41.69
42.58,41.99,42.73,41.85
42.13,41.72,42.13,41.66
42.06,40.58,42.08,40.45
40.58,41.23,41.30,40.00
41.44,43.11,43.16,41.44
43.11,43.41,43.46,42.82
43.20,43.61,43.73,43.11
43.96,44.17,44.18,43.59
44.03,44.37,44.42,43.86
44.28,44.20,44.40,43.61
43.91,43.49,44.14,43.16
43.42,44.32,44.45,43.42
43.87,44.43,44.48,43.32
44.61,44.48,44.83,43.92
44.72,46.13,46.28,44.70
45.81,47.17,47.67,45.78
47.27,47.82,47.85,47.04
47.96,47.81,48.70,47.77
47.80,47.37,47.95,47.22
47.46,47.23,47.79,46.57
46.74,47.02,47.29,46.46
47.49,47.86,47.92,47.04
47.61,47.62,47.96,46.91
47.69,48.55,48.67,47.69
48.39,48.17,48.60,47.60
47.68,48.02,48.06,46.94
48.14,48.19,48.53,48.00
47.82,45.89,47.95,45.82
44.86,43.41,45.43,43.15
42.74,42.54,42.95,42.44
42.48,41.45,42.50,41.37
41.22,40.36,41.38,40.15
40.83,40.75,41.40,40.51
40.70,43.44,43.68,40.36
43.24,42.50,43.97,41.88
42.34,42.89,42.96,42.07
43.28,41.92,43.28,41.87
41.56,41.94,42.05,41.23
41.51,41.85,41.99,41.20
42.04,41.77,42.46,41.67
42.02,41.91,42.02,41.34
42.01,42.10,42.54,41.86
41.89,40.81,41.93,40.71
41.27,42.15,42.33,41.20
42.07,42.12,42.17,41.42
42.39,42.99,43.03,42.10
42.93,42.13,42.94,42.04
42.25,42.33,42.71,41.91
42.76,42.62,43.05,42.40
42.73,43.16,43.34,42.66
43.38,44.03,44.16,43.18
43.83,43.29,44.21,43.20
43.01,43.36,43.54,42.21
43.09,42.74,43.26,42.62
43.04,43.03,43.45,42.84
43.02,43.92,44.00,42.73
43.88,43.78,43.95,43.30
43.69,43.21,44.06,43.00
43.00,42.64,43.50,42.55
43.08,43.87,43.90,43.05
43.95,43.73,44.12,43.49
43.73,44.30,44.38,43.32
44.07,44.67,44.99,44.03
45.00,45.26,45.38,44.40
45.35,45.67,45.69,45.16
45.64,44.40,45.76,44.26
44.74,45.11,45.14,44.42
45.00,45.00,45.18,44.76
45.34,43.98,45.34,43.94
43.86,44.25,44.48,43.61
44.31,44.81,45.09,44.06
44.84,44.97,45.19,44.39
45.06,45.36,45.48,44.72
45.44,45.32,45.44,45.00
45.28,45.15,45.83,44.98
45.23,45.69,45.71,44.91
45.05,45.00,45.60,44.65
