SGRP,SPAR Group,NASDAQ
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.84,0.84,0.84,0.84
0.80,0.80,0.80,0.80
0.87,0.87,0.87,0.87
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.86,0.91,0.91,0.86
0.91,0.91,0.91,0.91
0.91,0.91,0.91,0.91
0.91,0.91,0.91,0.91
1.00,1.00,1.00,1.00
1.09,1.10,1.10,1.09
1.10,1.10,1.10,1.10
1.09,1.09,1.09,1.09
1.09,1.10,1.10,0.85
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
0.81,0.95,0.96,0.80
0.89,0.89,0.89,0.89
0.95,1.00,1.00,0.95
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
0.87,0.82,0.87,0.76
0.88,0.89,0.89,0.88
0.91,0.90,0.91,0.90
0.94,0.96,0.96,0.94
0.98,0.98,0.98,0.98
0.98,0.98,0.98,0.98
1.00,1.00,1.00,1.00
0.98,0.98,0.98,0.98
0.98,0.98,0.98,0.98
0.98,0.98,0.98,0.98
0.98,0.98,0.98,0.83
0.96,0.97,0.97,0.95
0.97,0.97,0.97,0.97
0.97,0.97,0.97,0.97
0.97,0.97,0.97,0.97
1.00,1.00,1.00,1.00
1.05,0.94,1.05,0.82
0.94,0.85,0.94,0.85
0.85,0.85,0.85,0.85
0.99,0.95,1.00,0.86
0.87,0.86,0.88,0.85
0.86,0.86,0.86,0.86
0.88,0.88,0.88,0.88
0.86,0.85,0.86,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.90,0.85,0.90,0.85
0.86,0.86,0.86,0.86
0.86,0.86,0.86,0.86
0.81,0.79,0.81,0.79
0.79,0.79,0.79,0.79
0.85,0.85,0.85,0.85
0.84,0.84,0.84,0.84
0.84,0.83,0.84,0.82
0.82,0.81,0.82,0.81
0.80,0.85,0.85,0.80
0.80,0.82,0.82,0.79
0.84,0.79,0.84,0.79
0.85,0.79,0.95,0.79
0.86,0.86,0.86,0.86
0.90,0.90,0.90,0.90
0.80,0.79,0.91,0.79
0.79,0.79,0.79,0.79
0.79,0.80,0.80,0.79
0.80,0.80,0.80,0.80
0.82,0.90,0.90,0.82
0.85,0.80,0.89,0.80
0.80,0.79,0.80,0.79
0.79,0.79,0.79,0.79
0.79,0.79,0.79,0.79
0.79,0.79,0.79,0.79
0.79,0.79,0.79,0.66
0.69,0.80,0.80,0.67
0.75,0.75,0.75,0.75
0.86,0.86,0.86,0.86
0.86,0.86,0.86,0.86
0.71,0.84,0.85,0.71
0.85,0.87,0.87,0.84
0.80,0.75,0.80,0.75
0.89,0.89,0.89,0.89
0.88,0.88,0.88,0.75
0.75,0.88,0.88,0.75
0.89,0.89,0.90,0.89
0.94,0.94,0.97,0.94
0.94,0.85,0.94,0.79
0.86,0.83,0.90,0.75
0.83,1.00,1.00,0.79
1.00,1.00,1.00,0.90
0.97,0.83,0.97,0.82
0.87,0.92,0.92,0.77
0.90,0.90,0.91,0.90
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.92,0.91,0.92,0.90
0.91,0.93,0.93,0.91
0.93,0.93,0.93,0.93
0.93,0.93,0.93,0.93
0.93,0.93,0.93,0.93
0.93,0.93,0.93,0.93
0.93,0.93,0.93,0.93
0.93,0.93,0.93,0.93
0.91,0.90,0.91,0.90
0.90,0.90,0.90,0.90
0.45,0.85,0.91,0.45
