IJH,iShares Core S&P Mid-Cap ETF,NASDAQ
73.16,73.63,73.79,73.11
73.45,73.85,73.86,73.14
73.88,74.24,74.32,73.84
74.16,74.61,74.65,73.75
74.43,75.08,75.08,74.28
75.38,74.94,75.42,74.70
74.51,74.00,74.58,73.68
74.31,74.93,75.03,73.82
74.76,75.15,75.25,74.70
75.09,74.15,75.25,73.92
74.29,75.04,75.12,74.26
74.48,74.50,74.64,73.80
74.62,73.56,74.93,73.39
73.50,71.99,73.57,71.88
72.50,72.11,72.61,71.76
72.10,71.87,72.61,71.69
71.72,71.97,72.15,71.00
72.19,71.05,72.20,70.54
71.18,70.07,71.96,70.04
70.22,71.11,71.17,70.19
71.33,72.15,72.31,71.01
71.88,71.84,72.21,71.46
71.21,69.50,71.24,69.45
69.44,69.67,69.71,68.05
69.56,69.11,70.04,68.93
70.01,69.93,70.47,69.28
69.82,69.95,70.38,69.19
69.89,70.89,70.97,69.46
70.21,71.34,71.46,70.02
72.22,72.66,72.67,71.72
72.89,73.15,73.20,72.67
73.13,73.69,73.69,73.05
73.51,73.86,74.06,73.30
74.18,73.93,74.28,73.72
73.80,72.86,73.88,72.86
73.15,73.61,73.73,73.05
72.66,73.79,73.80,72.39
73.83,73.72,73.88,73.22
74.05,75.02,75.06,74.04
75.32,75.55,75.83,75.22
75.84,75.89,76.32,75.65
75.96,75.92,76.21,75.60
76.32,76.98,77.01,76.18
77.00,77.16,77.25,76.95
76.90,77.13,77.65,76.89
77.23,77.79,77.86,77.17
77.46,78.18,78.21,77.22
78.50,78.34,78.50,77.77
78.30,78.18,78.40,77.53
78.45,79.07,79.07,78.15
79.29,79.65,79.94,79.27
79.67,79.26,79.82,79.15
78.39,78.39,79.52,78.25
77.93,79.34,79.46,77.84
79.44,80.04,80.05,79.09
79.69,79.34,79.85,79.29
79.75,78.68,79.90,78.56
78.80,78.47,79.15,78.17
78.85,79.16,79.18,78.75
79.30,79.29,79.63,78.84
79.04,78.70,79.55,78.62
79.32,79.57,79.85,78.97
79.88,80.83,80.84,79.74
80.53,81.27,81.35,80.53
81.09,80.63,81.16,80.21
80.36,80.58,80.71,79.84
80.66,81.27,81.29,80.27
81.40,81.45,81.50,81.07
81.35,81.76,81.78,80.93
82.19,82.96,82.96,81.96
82.86,82.92,83.28,82.75
82.64,81.89,82.91,81.36
81.62,81.64,82.17,80.71
82.01,82.69,82.72,81.81
82.75,83.01,83.12,82.49
82.34,83.95,84.07,82.03
84.07,84.69,84.87,83.73
84.76,84.49,85.16,84.35
84.05,82.42,84.61,82.30
82.88,82.62,83.13,82.23
83.28,83.90,84.04,82.87
83.97,82.15,84.18,82.12
82.57,83.40,83.53,82.50
82.34,81.10,82.34,80.70
80.41,80.26,81.37,79.71
79.76,77.50,80.88,30.67
77.14,75.51,77.81,74.66
78.79,79.52,79.52,78.41
78.68,79.70,80.69,78.50
80.13,81.58,81.61,80.10
81.40,80.81,81.94,80.52
80.17,78.90,80.33,78.30
79.37,78.96,79.86,77.05
79.91,77.86,80.12,77.58
77.49,77.15,78.26,75.93
75.14,73.87,75.64,73.78
72.58,74.99,75.37,72.31
74.55,74.23,75.49,74.16
72.48,74.11,74.21,71.35
74.47,74.31,75.84,73.98
75.98,77.14,77.14,75.48
76.96,76.33,77.16,75.82
75.50,74.24,76.50,74.22
74.72,76.30,76.30,74.20
76.42,76.79,76.91,75.90
75.03,73.72,75.80,73.43
73.78,72.19,74.08,72.09
72.19,72.54,72.65,71.04
72.92,72.78,74.38,72.42
74.11,75.15,75.15,73.80
74.27,75.89,75.91,74.25
76.68,76.22,77.40,76.06
76.72,77.93,78.11,76.58
77.48,77.67,78.23,77.23
78.05,77.55,78.11,76.82
77.79,77.50,77.93,77.13
78.46,76.86,78.55,76.48
76.96,75.28,77.59,75.18
74.95,74.87,75.58,74.00
74.39,73.63,74.65,73.51
73.83,74.51,74.70,73.24
74.51,74.19,74.90,73.80
73.08,71.70,73.08,71.21
71.40,71.12,72.59,70.94
70.97,70.56,71.28,69.09
70.94,70.09,71.10,69.77
71.16,69.91,71.79,69.37
70.07,72.33,72.38,69.98
73.10,73.06,73.43,72.26
73.10,73.84,73.90,72.89
73.55,73.53,74.17,72.91
74.42,75.23,75.52,74.25
75.05,75.16,75.49,74.52
75.35,74.99,75.35,73.99
74.57,72.64,74.64,72.50
72.82,73.00,73.23,71.99
72.12,74.10,74.20,71.88
74.56,73.04,74.74,72.82
73.95,75.16,75.29,73.94
74.83,76.19,76.27,74.66
76.45,77.56,77.63,76.21
78.22,77.05,78.29,76.92
76.98,76.13,77.26,75.80
76.72,75.75,76.81,74.83
74.76,75.91,76.22,74.54
77.14,77.43,77.49,76.67
77.26,76.90,77.41,76.30
77.23,77.66,77.69,76.93
77.08,77.35,77.61,76.89
76.35,77.10,77.36,76.01
77.65,77.89,77.97,77.22
77.31,76.92,77.45,76.39
75.50,74.27,75.56,74.18
72.80,73.82,74.14,72.79
73.62,73.52,74.02,73.44
72.99,73.63,73.90,72.65
74.24,74.78,75.34,74.03
74.65,74.99,75.48,74.13
74.59,73.71,74.94,73.45
73.47,73.71,73.71,72.76
74.10,72.92,74.38,72.92
72.02,71.81,72.56,71.22
71.20,72.38,72.60,70.86
72.59,71.96,73.02,71.78
72.61,73.49,73.50,71.25
73.05,72.16,73.50,72.16
72.05,72.20,72.76,71.51
73.26,74.62,74.64,73.21
74.66,75.55,75.65,74.49
76.57,76.64,76.93,76.13
76.42,75.58,76.44,75.47
75.75,76.08,76.43,75.75
76.97,76.24,76.98,75.90
76.35,76.46,76.74,76.15
77.31,77.83,77.92,77.21
77.65,77.92,78.29,77.36
77.69,78.21,78.33,77.24
78.02,77.97,78.25,77.64
78.33,78.12,78.36,77.56
78.46,79.41,79.55,78.07
79.38,79.05,79.67,78.84
78.84,78.35,79.41,78.05
77.85,77.83,78.85,77.55
78.58,79.40,79.47,78.50
79.41,79.38,79.74,78.95
79.58,79.95,80.07,78.45
79.73,79.98,80.29,79.54
