KSU,Kansas City Southern Common Stock,NASDAQ
33.49,33.65,33.87,33.42
33.64,34.31,34.44,33.50
33.24,32.05,33.59,31.87
32.04,32.41,32.80,31.80
32.29,33.86,34.02,32.29
34.13,34.01,34.24,33.41
33.63,33.52,33.86,33.23
33.69,33.53,33.76,33.00
33.51,33.42,33.86,33.17
33.24,32.92,33.38,32.55
32.96,32.78,32.97,32.61
32.23,32.19,32.36,31.40
32.14,31.52,32.86,31.51
31.06,31.01,31.90,30.97
31.43,30.79,31.43,30.78
30.72,31.13,31.27,30.36
30.96,31.35,31.46,30.72
31.40,31.19,32.00,31.19
31.32,29.70,31.56,29.54
29.87,30.78,30.88,29.87
30.79,30.79,31.03,30.52
30.64,31.12,31.40,30.40
30.87,29.86,30.87,29.79
29.96,30.27,30.38,29.52
30.25,29.96,30.76,29.77
30.52,30.33,30.67,30.07
30.23,30.44,30.61,30.09
30.42,31.93,32.34,30.42
31.60,32.39,32.84,31.17
32.81,33.08,33.32,32.28
33.27,33.06,33.40,32.60
33.15,33.15,33.17,32.79
33.01,33.92,34.03,33.01
34.00,34.87,34.93,33.87
34.82,34.39,35.03,34.19
34.42,34.32,34.67,34.04
33.78,34.99,35.07,33.34
35.00,34.30,35.00,34.08
34.44,35.41,35.50,34.44
35.52,35.11,35.88,35.07
35.06,34.68,35.24,34.52
34.82,34.88,35.06,34.63
35.09,35.45,35.61,35.06
35.39,35.55,35.81,35.03
35.26,35.89,36.30,35.26
36.45,35.99,36.82,35.69
36.06,36.00,36.44,35.77
36.20,35.75,36.22,35.67
35.75,35.57,35.83,35.38
35.79,36.33,36.33,35.70
36.20,36.10,36.54,35.93
36.02,35.91,36.91,35.77
35.75,35.75,36.07,35.16
35.42,36.17,36.29,35.30
36.18,35.94,36.23,35.44
35.77,35.76,35.96,35.36
36.11,35.57,36.59,35.53
35.80,36.20,36.39,35.61
36.30,36.43,36.81,36.18
36.40,36.54,36.74,36.26
36.46,36.17,36.71,35.87
36.51,36.54,36.89,36.30
36.78,37.09,37.36,36.56
37.16,37.15,37.19,36.68
37.21,36.95,37.23,36.60
36.62,38.14,38.22,36.51
38.39,38.37,38.45,37.89
38.42,37.95,38.42,37.72
38.00,38.23,38.29,37.46
38.54,38.90,39.00,38.43
38.85,39.07,39.69,38.74
38.97,38.18,39.10,37.47
37.93,37.34,38.02,36.92
37.62,37.80,38.24,37.58
37.87,37.92,38.26,37.73
37.40,37.96,38.08,36.73
37.91,38.28,38.36,37.60
38.14,39.26,39.48,38.14
39.60,40.10,41.37,39.40
40.49,39.41,40.51,38.76
39.93,41.41,41.87,39.89
41.35,40.55,42.11,40.50
40.89,41.78,42.32,40.89
41.46,39.74,41.46,39.44
39.15,39.24,40.12,37.80
39.23,37.70,39.84,34.61
37.31,35.93,37.91,35.50
38.01,38.72,38.76,37.61
38.11,39.09,39.66,38.11
39.34,40.68,40.89,39.24
40.66,40.22,41.43,39.94
39.77,38.85,39.85,38.47
39.01,37.78,39.34,37.25
38.38,37.62,39.24,37.25
37.45,36.55,37.79,35.51
35.15,33.77,35.45,33.69
33.00,34.88,35.41,32.61
35.90,35.99,36.48,35.14
34.69,36.05,36.17,34.18
36.87,36.79,37.54,36.35
37.86,38.80,38.80,37.16
38.81,38.17,39.17,37.64
37.99,38.08,39.31,37.60
38.29,39.40,39.40,38.06
39.42,38.84,40.06,38.28
37.66,36.75,38.25,36.45
36.98,36.06,37.70,36.06
36.27,36.47,36.89,35.46
36.90,36.88,38.34,36.63
37.72,38.45,38.78,37.67
37.68,39.22,39.49,37.62
39.71,39.24,40.39,39.16
39.40,40.43,40.49,39.27
40.00,40.81,41.69,40.00
41.19,41.20,41.37,39.59
41.30,41.11,41.48,40.88
41.70,40.78,41.99,40.43
40.98,38.58,41.08,38.46
38.77,38.76,38.95,37.82
38.37,38.12,39.04,37.66
38.50,39.29,39.39,37.85
38.98,38.63,39.40,38.50
37.87,37.15,37.97,36.75
36.96,36.35,37.65,36.19
36.54,36.10,37.05,34.64
36.30,34.94,36.50,34.71
35.76,34.38,35.90,34.12
34.38,36.27,36.35,34.38
36.83,37.14,37.22,36.27
37.09,37.24,37.61,36.83
37.20,37.08,37.68,36.55
37.79,37.41,38.09,36.96
37.50,36.27,37.50,35.29
36.21,37.05,37.20,35.62
36.69,34.72,36.71,34.57
34.78,34.46,35.11,33.76
33.80,35.49,35.59,33.76
35.87,36.00,37.07,35.70
36.64,37.45,37.80,36.64
37.37,38.35,38.48,37.27
38.51,39.45,39.51,38.18
36.77,37.15,39.48,36.74
37.08,36.72,37.52,36.61
37.17,36.71,37.29,36.13
