KOOL,Cesca Therapeutics Inc. - Common Stock,NASDAQ
3.20,3.22,3.29,3.16
3.24,3.20,3.24,3.17
3.22,3.20,3.25,3.18
3.21,3.23,3.33,3.20
3.34,3.19,3.34,3.15
3.18,3.20,3.27,3.15
3.15,3.18,3.20,3.13
3.10,3.09,3.16,3.07
3.07,3.00,3.09,2.90
2.94,2.97,3.00,2.89
2.88,3.04,3.05,2.88
3.00,3.03,3.04,2.94
3.00,3.16,3.16,2.94
3.10,3.00,3.10,2.94
3.02,2.95,3.02,2.87
2.95,2.90,3.00,2.90
3.10,3.00,3.10,2.95
3.00,2.95,3.00,2.90
2.93,2.76,2.99,2.61
2.74,2.75,2.80,2.73
2.73,2.70,2.74,2.65
2.70,2.81,2.84,2.70
2.89,2.85,2.98,2.77
2.78,2.92,2.94,2.77
2.93,2.88,2.98,2.80
2.86,2.87,2.91,2.81
2.85,2.84,2.90,2.80
2.83,2.58,2.83,2.45
2.61,2.55,2.64,2.48
2.50,2.60,2.62,2.48
2.61,2.66,2.67,2.57
2.76,2.75,2.76,2.49
2.67,2.78,2.79,2.56
2.78,2.74,2.82,2.53
2.74,2.69,2.74,2.59
2.66,2.68,2.71,2.62
2.71,2.69,2.71,2.65
2.67,2.65,2.70,2.59
2.61,2.65,2.65,2.60
2.62,2.58,2.64,2.49
2.55,2.56,2.60,2.46
2.56,2.53,2.63,2.45
2.51,2.48,2.54,2.45
2.46,2.45,2.52,2.31
2.42,2.41,2.46,2.35
2.39,2.41,2.41,2.38
2.38,2.32,2.47,2.32
2.55,2.64,2.82,2.38
2.75,3.05,3.23,2.75
3.25,3.22,3.25,3.05
3.20,3.43,3.60,3.17
3.58,3.76,3.79,3.45
3.75,3.60,3.75,3.45
3.60,3.40,3.60,3.31
3.58,3.52,3.58,3.34
3.63,3.82,3.95,3.56
3.79,3.75,3.91,3.60
3.75,3.71,3.77,3.53
3.63,3.23,3.69,3.22
3.39,3.31,3.39,3.26
3.31,3.41,3.42,3.26
3.44,3.59,3.60,3.35
3.50,3.47,3.58,3.35
3.54,3.67,3.67,3.40
3.70,3.61,3.70,3.50
3.59,3.72,3.73,3.56
3.65,3.42,3.66,3.42
3.43,3.35,3.48,3.30
3.34,3.42,3.49,3.32
3.46,3.46,3.51,3.32
3.43,3.36,3.43,3.30
3.40,3.44,3.60,3.40
3.44,3.61,3.64,3.39
3.60,3.50,3.63,3.40
3.54,3.58,3.65,3.45
3.61,3.55,3.62,3.50
3.60,3.60,3.67,3.52
3.60,3.68,3.70,3.60
3.74,3.67,3.74,3.53
3.73,3.55,3.73,3.52
3.52,3.55,3.57,3.45
3.60,3.53,3.60,3.51
3.67,3.49,3.67,3.48
3.45,3.10,3.45,2.85
3.10,2.97,3.20,2.86
2.97,2.88,2.97,2.84
2.83,2.83,2.88,2.78
2.81,3.02,3.03,2.77
2.99,2.93,3.03,2.87
2.94,2.73,2.94,2.65
2.77,2.71,2.80,2.56
2.70,2.71,2.74,2.57
2.70,2.82,2.86,2.66
2.79,2.73,2.79,2.67
2.76,2.68,2.78,2.54
2.66,2.57,2.70,2.51
2.55,2.62,2.68,2.55
2.25,2.25,2.34,2.05
2.46,2.24,2.46,2.20
2.24,2.24,2.27,2.22
2.30,2.22,2.34,2.20
2.30,2.10,2.30,2.08
2.10,2.15,2.20,2.10
2.15,2.09,2.19,2.09
2.06,1.99,2.07,1.96
2.00,2.03,2.08,1.99
2.05,1.99,2.05,1.97
2.00,2.05,2.06,2.00
2.05,2.12,2.17,2.04
2.12,2.07,2.14,2.07
2.08,2.05,2.08,2.02
2.04,1.97,2.07,1.95
1.99,2.00,2.02,1.96
1.99,1.97,2.00,1.95
1.98,2.07,2.07,1.95
2.13,2.18,2.42,2.13
2.15,2.09,2.15,2.03
2.09,2.19,2.20,2.03
2.21,2.20,2.30,2.13
2.21,2.19,2.26,2.13
2.23,2.24,2.24,2.16
2.25,2.23,2.25,2.20
2.24,2.18,2.24,2.18
2.18,2.26,2.26,2.13
2.26,2.22,2.30,2.20
2.25,2.25,2.40,2.22
2.25,2.31,2.31,2.21
2.32,2.28,2.32,2.23
2.27,2.28,2.36,2.18
2.27,2.31,2.36,2.26
2.35,2.26,2.35,2.24
2.28,2.26,2.29,2.23
2.29,2.33,2.38,2.21
2.37,2.37,2.49,2.32
2.39,2.45,2.48,2.39
2.48,2.46,2.58,2.40
2.48,2.42,2.50,2.41
2.44,2.47,2.51,2.35
2.45,2.42,2.49,2.37
2.39,2.42,2.48,2.36
2.39,2.40,2.48,2.38
2.29,2.24,2.37,2.21
2.22,2.31,2.33,2.11
2.30,2.33,2.33,2.26
2.33,2.25,2.38,2.23
2.22,2.31,2.31,2.22
2.30,2.27,2.32,2.26
2.26,2.20,2.30,2.20
2.20,2.25,2.27,2.16
2.24,2.24,2.27,2.21
2.25,2.19,2.25,2.17
2.19,2.19,2.23,2.19
2.17,2.18,2.20,2.13
2.18,2.23,2.26,2.15
2.24,2.26,2.29,2.22
2.27,2.26,2.30,2.25
2.28,2.26,2.29,2.25
2.27,2.29,2.30,2.25
2.30,2.25,2.33,2.25
2.41,2.16,2.50,2.15
2.15,2.15,2.18,2.10
2.13,2.08,2.14,2.01
2.08,2.05,2.11,2.02
2.06,2.02,2.07,2.02
2.02,2.04,2.08,1.99
2.05,2.07,2.11,2.05
2.07,2.01,2.07,1.98
2.02,2.02,2.03,1.86
1.99,1.98,2.00,1.96
1.97,1.91,1.97,1.86
1.93,1.96,1.97,1.85
1.95,1.91,1.95,1.91
1.92,1.98,1.98,1.92
1.95,2.04,2.04,1.95
2.03,1.97,2.03,1.91
1.98,2.03,2.03,1.94
2.03,2.02,2.03,1.97
2.01,1.98,2.01,1.97
2.00,1.98,2.01,1.96
2.00,2.01,2.02,1.95
2.00,2.03,2.06,2.00
2.01,2.04,2.06,2.01
2.04,2.04,2.05,2.01
2.04,2.02,2.05,1.99
2.00,2.05,2.05,1.95
2.05,2.09,2.09,2.02
2.08,2.12,2.13,2.06
2.10,2.13,2.17,2.10
2.14,2.10,2.15,2.09
2.12,2.13,2.15,2.10
2.10,2.08,2.13,2.05
2.05,2.06,2.10,2.05
2.10,2.04,2.10,1.99
2.05,2.08,2.10,2.04
2.08,2.09,2.14,2.08
2.11,2.06,2.12,2.04
2.03,2.05,2.05,1.99
2.03,2.00,2.05,1.96
2.00,2.04,2.08,2.00
2.04,1.98,2.05,1.96
2.03,1.99,2.04,1.96
1.99,1.92,2.03,1.87
1.92,1.90,1.99,1.88
1.90,1.81,1.90,1.78
