GOOG,Alphabet Inc. - Class C Capital Stock,NASDAQ
626.95,626.75,629.51,624.24
627.18,623.99,627.84,621.54
625.86,608.26,625.86,606.36
609.40,594.10,610.00,592.65
592.00,602.02,603.25,589.11
604.46,601.11,604.46,594.04
597.65,590.48,598.16,588.00
576.49,587.09,588.38,573.90
583.90,589.85,594.20,582.81
593.34,580.00,593.56,578.04
581.20,587.62,590.42,576.29
585.98,580.41,585.98,575.29
583.44,582.98,586.82,572.25
564.50,550.01,570.60,534.86
546.59,540.00,549.88,535.51
537.97,542.42,549.60,536.29
541.27,542.10,547.65,535.31
544.49,534.29,547.00,530.60
538.49,529.94,540.99,525.61
534.60,533.02,535.81,530.30
534.96,531.12,534.96,527.61
528.67,540.82,542.10,528.23
537.00,526.78,538.00,525.56
528.40,531.29,533.50,522.46
532.50,533.47,542.00,531.53
539.54,536.44,541.53,535.07
534.07,534.45,537.79,527.69
533.32,536.40,540.49,529.50
532.97,533.12,537.15,530.50
536.87,541.30,544.13,534.30
542.00,538.21,543.40,537.61
537.54,543.22,545.01,536.14
540.53,540.76,544.03,539.70
547.35,542.80,547.50,541.00
543.00,535.07,543.63,532.29
533.98,531.47,538.44,530.51
527.12,526.43,528.49,520.00
527.42,526.80,531.75,523.48
529.20,532.69,533.29,527.74
535.48,541.06,545.66,535.01
542.36,545.32,548.12,539.25
546.50,554.59,556.13,546.20
561.35,564.21,567.67,559.90
564.78,562.48,565.18,561.01
559.85,560.19,564.66,556.50
563.76,576.45,578.50,562.21
574.26,581.14,586.21,574.20
588.14,579.54,588.28,579.16
566.68,563.18,569.45,556.00
561.83,565.20,568.42,560.76
568.30,565.56,571.45,564.25
564.72,566.40,568.44,562.96
560.00,560.00,568.00,557.28
556.11,557.50,566.85,554.28
557.04,549.00,558.31,542.00
545.51,557.33,559.85,539.70
559.02,562.88,572.00,558.66
565.27,562.69,567.39,560.02
563.00,562.45,564.72,560.57
562.83,566.71,567.63,560.28
565.05,567.12,569.74,562.81
571.35,568.80,573.45,565.55
570.90,571.01,574.88,569.00
569.46,568.22,570.89,565.40
567.30,563.54,568.75,561.86
563.32,567.49,569.85,560.05
567.49,566.22,568.77,564.00
567.35,572.73,574.00,566.22
572.53,586.77,588.88,571.13
590.06,589.00,592.34,584.01
592.17,595.30,597.84,588.29
563.00,550.15,568.81,549.63
548.75,550.10,553.99,545.00
554.17,555.04,559.66,551.06
556.46,554.30,560.25,552.16
552.00,547.06,552.50,543.35
547.25,544.99,549.32,542.27
544.97,531.64,544.99,529.21
528.95,529.06,538.33,527.23
532.10,529.19,534.83,521.03
533.37,532.00,536.50,526.67
531.13,525.70,537.68,525.44
526.50,530.60,532.92,525.08
526.52,506.37,526.74,504.21
500.98,509.76,515.72,500.47
508.75,498.67,517.52,460.00
499.97,493.14,505.32,481.33
513.97,521.65,522.82,512.60
515.67,509.05,519.88,508.22
512.04,505.39,512.04,502.00
516.50,510.88,522.00,510.37
509.77,507.53,510.99,496.25
506.78,507.97,508.36,498.35
510.00,498.37,510.97,497.07
496.26,494.43,499.44,487.74
485.07,475.01,485.58,473.80
469.06,472.05,485.00,464.40
480.73,477.16,489.79,476.80
468.15,477.07,477.45,464.01
482.07,475.47,489.76,475.00
484.95,490.46,492.31,481.05
492.74,485.63,493.45,483.00
480.43,482.37,491.06,480.12
486.68,493.37,493.87,481.46
495.11,505.60,508.00,494.70
499.72,498.72,509.25,496.70
499.06,485.52,500.91,483.15
487.85,484.78,488.84,477.54
487.22,474.02,488.88,472.00
480.37,487.01,488.50,475.84
482.50,488.50,488.71,481.62
494.48,483.19,494.50,483.19
483.08,497.99,500.40,482.18
496.17,501.27,504.00,496.11
503.45,500.08,505.87,496.69
502.51,500.03,503.47,498.13
499.90,488.56,500.97,484.89
489.90,486.25,496.60,485.73
486.89,482.05,486.89,478.16
479.66,475.10,482.75,473.26
477.06,472.68,477.65,470.56
472.59,472.08,477.55,469.01
463.44,454.26,464.55,451.12
454.96,444.95,457.83,444.72
445.29,439.49,448.40,433.63
441.62,436.55,442.28,436.00
444.00,436.07,447.67,433.63
438.31,450.20,451.29,435.38
453.55,456.56,457.33,449.66
471.96,467.49,473.26,462.78
472.37,475.83,479.44,471.08
482.25,489.20,492.99,480.28
489.88,491.34,493.83,486.46
491.73,494.02,494.70,482.68
469.12,459.61,470.56,459.52
461.01,466.18,469.65,457.52
461.03,481.59,482.99,460.60
484.00,477.50,485.70,475.43
483.23,484.81,488.98,482.48
480.77,490.06,490.59,480.01
489.09,488.97,490.75,484.88
490.58,492.63,497.50,490.17
494.94,484.35,495.25,482.67
485.95,484.99,488.88,479.33
479.65,484.85,487.36,479.14
488.99,490.41,493.28,486.94
490.50,489.83,492.46,486.76
492.18,506.32,507.00,491.05
505.89,508.10,508.60,503.56
505.40,500.22,505.74,496.05
502.25,505.35,505.50,501.36
502.35,503.71,506.00,498.57
497.73,491.74,498.00,491.50
483.94,492.01,494.75,482.51
489.00,486.35,491.19,486.01
483.68,485.59,489.87,480.50
488.53,490.52,494.70,486.03
490.44,482.15,490.87,481.55
481.01,467.97,482.51,467.25
467.97,462.02,471.59,461.02
461.50,464.07,468.25,457.73
457.70,451.39,458.37,450.92
450.00,454.62,457.81,450.00
456.06,450.98,457.26,450.44
452.56,458.83,459.99,447.65
459.15,452.69,459.76,452.42
450.11,450.02,454.87,448.00
454.98,460.33,464.94,452.50
462.84,463.18,464.43,460.31
470.52,470.30,471.88,467.44
464.50,464.40,467.59,463.02
465.19,470.58,472.50,464.51
477.83,476.18,480.40,470.58
479.02,476.14,479.79,475.08
480.90,482.27,484.35,479.53
482.01,480.43,484.75,480.08
479.95,480.64,481.89,478.50
479.95,481.06,482.45,479.41
483.75,490.15,491.20,481.18
492.50,508.28,510.41,492.06
509.68,513.46,519.98,508.91
512.86,516.00,517.78,511.68
514.61,513.48,519.69,511.30
521.74,527.29,527.83,518.26
528.85,530.41,536.85,528.85
533.48,527.17,533.59,518.45
527.85,527.69,532.94,524.71
529.16,525.79,531.87,518.92
530.00,525.62,530.62,523.00
524.95,522.35,528.25,518.85
528.38,538.23,540.00,526.55
539.26,534.35,539.95,529.94
536.21,530.01,537.20,529.14
532.77,536.35,537.60,527.62
538.48,538.84,544.60,537.17
540.12,541.39,545.99,537.79
547.00,543.30,547.49,542.33
544.18,540.93,545.25,537.11
599.27,601.45,601.64,591.60
600.55,617.71,619.69,600.55
608.85,607.83,614.82,602.86
608.14,607.98,617.38,607.50
611.51,611.99,616.00,606.00
611.92,612.53,614.82,610.05
615.59,616.50,624.74,614.97
613.10,618.60,621.23,611.03
615.77,616.47,620.00,612.33
620.05,618.58,621.00,613.30
617.07,613.70,619.00,612.99
615.73,615.00,620.66,611.21
618.67,615.60,620.00,614.58
617.50,620.18,621.83,613.50
624.64,624.27,629.92,622.10
623.18,625.08,625.49,621.11
624.02,626.77,629.49,623.13
630.00,624.82,630.85,620.51
622.08,622.88,623.00,617.51
619.70,617.19,619.85,614.21
613.99,603.29,616.90,601.21
603.08,595.47,604.00,594.05
592.76,583.72,597.89,583.45
585.00,583.55,589.50,581.37
589.00,596.56,599.98,588.56
597.00,590.83,597.89,590.34
587.47,591.22,593.44,582.75
587.01,583.01,589.01,578.20
587.31,594.97,596.60,587.05
590.46,590.00,592.98,587.00
589.17,582.11,589.80,579.95
574.32,555.71,574.32,553.31
563.00,564.35,571.57,562.40
568.66,571.82,573.33,565.35
569.45,573.00,576.48,568.00
580.57,578.36,582.00,576.61
591.27,587.14,593.00,586.00
591.97,590.54,592.52,583.69
593.88,591.50,595.58,589.00
593.14,592.21,593.99,590.29
597.12,594.62,603.00,594.09
597.09,594.91,598.29,592.48
594.20,590.30,596.45,589.15
592.85,591.71,593.77,588.07
591.00,590.80,592.56,587.67
594.65,595.06,597.88,588.66
598.57,603.07,604.72,597.61
604.00,605.49,607.00,603.28
605.34,604.23,606.00,602.03
602.74,602.38,603.78,599.50
602.05,598.92,603.87,598.01
602.00,601.00,602.41,598.92
598.00,598.86,601.33,597.39
596.74,593.97,598.42,592.03
596.48,604.35,605.59,596.48
605.62,602.12,606.18,600.12
600.07,609.07,610.33,600.05
610.68,613.50,618.43,610.05
615.91,616.44,618.25,610.13
614.80,614.21,615.39,608.56
617.71,616.01,618.80,614.50
619.35,616.87,619.35,614.77
616.97,616.69,619.67,614.16
617.40,624.18,624.27,617.08
626.06,639.63,641.99,625.27
642.12,631.75,642.96,629.66
632.21,626.77,634.08,623.29
639.58,611.83,641.73,611.36
607.57,611.08,612.49,601.23
608.20,619.91,620.69,606.52
620.33,616.50,622.49,615.28
617.89,616.79,619.70,613.25
619.07,600.99,620.36,599.76
603.60,600.36,604.47,595.55
604.49,611.04,613.35,603.11
611.00,612.00,614.34,607.53
609.48,610.15,611.45,606.13
610.15,610.98,611.44,606.61
610.16,614.29,618.39,609.21
614.93,618.38,619.63,614.51
616.87,616.50,619.45,612.34
613.90,616.44,617.50,611.56
613.79,624.50,625.00,613.00
623.34,628.15,629.64,620.04
627.32,624.15,630.09,623.10
625.63,624.22,626.50,622.10
621.25,625.26,627.25,620.28
626.00,630.08,631.18,624.18
620.03,610.21,624.93,607.77
610.33,611.32,614.70,604.00
611.39,608.82,613.09,601.35
611.86,610.04,614.72,609.50
610.00,613.40,616.49,608.01
617.78,600.76,619.22,599.30
599.80,600.79,606.00,595.19
606.38,609.56,611.49,605.00
608.33,600.62,608.98,600.20
600.55,591.66,603.69,587.00
592.93,592.31,597.98,590.20
591.00,591.77,594.51,585.75
585.44,580.30,586.62,579.45
578.22,576.71,580.00,573.33
572.80,569.99,578.29,568.02
557.50,569.56,571.00,555.50
568.01,557.10,569.79,551.28
564.48,561.36,569.00,560.54
