LTBR,Lightbridge Corporation - Common Stock,NASDAQ
6.33,6.50,6.50,6.28
6.64,7.10,7.15,6.64
7.15,7.80,7.86,7.10
7.95,7.39,8.00,7.31
7.45,7.51,7.92,7.40
7.98,7.50,7.98,7.50
7.88,7.69,7.88,7.58
7.80,7.78,7.81,7.69
7.78,7.56,7.78,7.51
7.55,7.52,7.59,7.45
7.50,7.39,7.65,7.25
7.45,7.06,7.45,7.01
7.20,6.91,7.21,6.91
7.00,6.44,7.05,6.20
6.60,6.45,6.76,6.45
6.43,6.19,6.43,6.02
6.20,6.12,6.30,6.00
6.65,7.12,7.19,6.44
7.20,7.98,8.05,7.13
8.20,7.56,8.30,7.48
7.40,7.79,8.26,7.40
7.75,7.90,8.08,7.75
7.88,7.36,7.88,7.20
7.55,7.12,7.55,7.12
7.25,7.03,7.77,7.03
7.03,6.60,7.07,6.50
6.70,6.63,6.72,6.51
6.77,6.76,6.89,6.52
6.51,7.77,7.77,6.51
7.85,7.72,7.92,7.00
7.78,7.65,7.89,7.39
7.80,7.43,7.83,7.43
7.28,7.09,7.50,7.05
7.20,7.33,7.36,7.18
7.47,8.00,8.00,7.33
8.00,7.88,8.00,7.75
7.95,7.75,8.00,7.71
7.70,7.80,7.84,7.50
7.80,7.65,7.88,7.60
7.55,7.52,7.64,7.50
7.65,7.69,7.90,7.55
7.95,8.52,8.80,7.71
8.60,8.88,8.95,8.52
8.95,8.78,8.96,8.66
8.78,8.45,8.80,8.44
8.45,8.72,9.00,8.45
8.89,8.46,8.89,8.45
8.81,8.75,8.81,8.57
9.00,8.90,9.00,8.62
8.90,8.55,9.00,8.50
8.82,8.83,8.83,8.55
9.00,8.65,9.00,8.50
8.43,8.43,8.60,8.10
8.29,8.52,8.67,8.20
8.50,8.41,8.75,8.11
8.41,8.18,8.41,8.11
8.10,8.25,8.52,8.08
8.30,8.04,8.35,7.91
8.00,7.89,8.12,7.83
7.89,7.84,7.89,7.55
7.84,8.15,8.50,7.80
8.20,8.20,8.28,8.20
8.05,8.10,8.42,8.05
8.10,8.07,8.10,7.75
7.96,7.87,8.00,7.87
7.76,7.79,7.87,7.63
7.81,7.29,8.09,7.02
7.11,6.67,7.38,6.60
6.68,6.61,7.15,6.60
6.65,6.77,6.99,6.65
6.77,6.89,7.23,6.70
6.81,6.92,6.98,6.80
6.86,6.59,6.90,6.53
6.60,6.70,6.76,6.30
6.64,6.49,6.64,6.40
6.45,6.45,6.50,6.36
6.38,6.23,6.69,6.11
6.16,6.13,6.23,6.05
6.11,6.53,6.65,6.11
6.53,6.60,6.71,6.50
7.19,7.06,7.39,6.55
7.10,7.05,7.25,6.45
7.06,6.96,7.24,6.70
6.81,6.37,6.81,6.35
6.25,6.15,6.26,6.05
6.28,6.15,6.50,6.15
6.11,6.30,6.37,6.11
7.56,6.87,7.56,6.40
6.87,6.89,6.99,6.50
6.76,6.91,6.94,6.70
6.77,6.46,6.85,6.46
6.46,6.31,6.49,6.23
6.54,6.20,6.54,6.20
6.20,6.21,6.44,6.20
6.15,5.75,6.16,5.60
5.80,5.55,5.83,5.50
5.55,5.67,5.83,5.41
5.68,5.72,5.79,5.64
5.61,5.45,5.61,5.38
5.45,5.45,5.59,5.40
5.46,6.16,6.22,5.46
6.21,6.19,6.21,5.98
6.19,6.15,6.19,6.00
6.09,5.95,6.15,5.90
5.88,5.92,5.95,5.61
5.89,6.10,6.14,5.83
6.00,5.98,6.06,5.83
5.97,5.66,5.99,5.63
5.50,5.50,5.73,5.45
5.65,5.59,5.65,5.50
5.50,5.41,5.60,5.26
5.45,5.50,5.56,5.43
5.39,5.56,5.90,5.39
5.45,5.47,5.59,5.34
5.43,5.86,5.91,5.42
5.86,5.95,5.95,5.61
5.99,5.84,5.99,5.80
5.92,5.91,5.92,5.61
5.93,9.49,9.49,5.91
10.70,8.02,11.15,7.98
7.85,7.79,8.29,7.46
7.86,7.63,8.54,7.58
7.45,8.00,8.00,7.07
8.14,8.20,8.74,8.00
8.13,7.66,8.13,7.60
7.60,7.42,7.70,7.35
7.37,7.02,7.48,6.78
7.10,7.34,7.58,7.03
7.47,7.18,7.54,7.17
7.03,7.20,7.27,7.01
7.08,7.15,7.41,7.05
7.15,8.04,8.08,7.07
8.00,7.78,8.08,7.55
7.92,8.48,8.50,7.61
