MSM,MSC Industrial Direct Company,NASDAQ
47.32,47.53,47.72,46.77
48.12,49.03,49.03,48.01
49.19,49.39,50.00,48.98
46.93,47.69,48.59,46.33
47.99,47.77,48.78,47.42
48.14,47.14,48.17,46.96
46.75,46.07,46.91,45.98
46.32,46.83,46.92,46.23
46.49,46.76,46.95,46.49
46.62,46.65,47.03,46.49
46.57,46.88,47.24,46.35
46.55,45.68,46.89,45.59
45.60,45.23,45.70,44.81
45.19,44.26,45.36,44.14
44.59,44.29,44.59,43.62
44.10,43.88,44.62,43.78
43.76,44.61,44.62,43.66
44.57,43.72,44.63,43.40
43.87,43.19,44.33,43.19
43.44,44.11,44.11,43.35
44.04,45.58,45.75,43.99
45.24,44.92,45.44,44.66
44.53,43.44,44.62,43.40
43.31,43.48,43.51,42.65
43.35,43.26,43.64,42.89
43.59,43.46,44.00,43.19
43.16,43.81,43.85,42.76
43.77,44.31,44.32,43.18
43.62,44.90,44.96,43.48
45.15,45.62,45.66,44.88
45.93,46.23,46.61,45.56
46.23,46.30,46.85,46.13
46.21,46.58,46.79,45.99
46.66,46.87,46.96,46.50
46.62,46.21,46.98,46.16
46.45,46.38,46.46,45.98
45.62,45.84,45.91,45.45
45.98,45.57,45.98,45.48
45.70,46.58,46.58,45.56
46.80,46.74,46.80,46.36
46.75,46.91,47.68,46.50
47.11,47.04,47.61,46.98
47.37,47.89,47.92,46.99
47.85,48.05,48.07,47.79
48.00,47.67,48.31,47.55
47.51,48.21,48.33,47.42
47.88,48.45,48.49,47.88
48.46,48.66,48.67,47.91
48.47,49.07,49.13,48.19
49.02,49.38,49.46,48.93
49.41,49.94,50.08,49.41
50.04,50.28,50.63,49.90
49.60,49.60,50.44,49.39
49.39,50.50,50.68,49.39
50.60,51.40,51.47,50.24
50.99,50.27,51.23,50.03
50.93,50.79,51.62,50.58
51.06,51.04,51.47,50.87
51.09,51.15,51.31,50.98
51.25,51.13,51.74,50.88
51.14,50.72,51.37,50.63
51.10,51.29,51.47,50.75
51.24,52.76,52.76,51.22
52.56,53.20,54.06,52.16
56.02,57.47,57.96,55.21
56.91,56.87,57.81,55.16
57.15,55.40,57.15,54.98
55.47,55.04,55.59,54.79
55.08,55.98,55.99,55.08
56.00,55.93,56.13,55.64
55.82,55.19,55.82,55.01
55.16,55.82,55.97,54.76
55.49,55.71,55.87,55.16
55.90,55.70,55.98,55.44
55.87,55.58,55.90,55.12
55.07,56.45,56.71,55.01
56.24,56.47,56.70,56.12
56.50,56.69,57.00,56.31
56.50,54.99,56.66,54.90
55.40,55.50,55.75,54.84
55.96,56.29,56.51,55.58
56.30,54.49,56.60,54.47
54.80,56.10,56.30,54.67
55.21,53.37,55.21,52.98
52.93,52.77,53.13,52.37
52.50,52.34,53.43,50.50
52.34,51.02,52.57,50.53
53.59,53.30,53.59,52.67
52.82,53.70,54.26,52.77
53.87,54.87,55.03,53.25
54.60,53.92,54.80,53.58
53.56,53.32,54.23,52.72
53.59,53.43,53.77,52.09
53.85,53.38,54.60,53.28
53.35,51.79,53.60,51.45
50.78,49.56,51.09,49.18
48.75,50.40,50.73,48.51
50.12,49.98,50.67,49.93
49.03,49.78,49.93,48.29
50.20,50.25,50.96,49.90
51.35,51.77,51.86,50.80
51.54,51.74,52.42,51.36
51.31,51.14,52.19,51.07
51.32,52.38,52.38,51.10
52.62,52.76,52.96,51.98
51.39,50.62,52.41,50.45
50.83,49.60,50.91,49.54
49.64,49.87,49.94,48.48
50.03,50.06,50.66,49.72
50.87,52.00,52.07,50.87
51.70,52.43,53.00,51.64
52.96,52.51,53.33,52.35
52.90,53.34,53.39,52.57
52.87,52.99,53.48,52.47
53.30,52.70,53.30,52.31
52.84,52.76,52.98,52.66
53.28,52.39,53.42,52.14
52.25,50.78,52.49,50.72
50.66,51.30,51.57,50.07
51.23,51.18,51.69,50.57
51.34,51.78,52.17,50.80
51.81,52.51,52.86,51.57
51.82,50.33,51.87,50.06
50.33,50.66,51.42,50.23
50.61,49.64,51.95,46.00
49.62,48.04,49.62,47.90
48.41,47.36,49.22,46.97
47.43,48.30,48.51,47.20
48.39,48.93,48.98,48.19
48.74,49.10,49.25,48.38
48.98,49.05,49.26,48.25
49.65,49.41,49.89,49.02
49.37,49.82,49.92,48.95
49.70,49.74,49.89,48.87
49.50,47.71,49.50,47.61
47.86,48.03,48.10,47.46
47.58,48.61,48.74,47.48
49.00,48.13,49.18,48.01
48.65,49.91,50.07,48.65
49.86,50.65,50.69,49.73
50.70,50.69,51.09,50.45
51.09,50.84,51.50,50.40
50.90,50.10,51.07,49.74
50.39,50.03,50.69,49.37
49.40,50.39,50.83,49.19
51.05,51.74,51.82,50.69
51.49,51.34,51.80,50.68
51.54,51.54,51.86,51.21
51.27,51.62,51.70,50.90
51.14,51.37,51.48,50.77
51.51,51.82,51.87,51.32
51.21,50.23,51.27,50.22
49.26,48.37,49.26,48.28
47.43,48.37,48.62,47.14
48.17,48.12,48.61,47.76
47.75,48.31,48.55,47.41
48.71,49.41,49.92,48.45
49.31,49.37,49.66,48.77
49.13,48.19,49.28,48.13
48.06,47.62,48.06,46.77
47.84,47.01,48.18,46.58
46.33,45.26,46.48,45.26
44.80,44.93,45.07,44.19
45.05,45.14,45.58,44.81
45.44,46.09,46.14,44.58
45.78,44.85,46.03,44.77
44.69,44.57,44.93,44.34
45.31,47.32,47.81,45.11
47.40,48.80,49.14,47.40
49.48,49.03,49.60,48.68
48.72,48.30,48.80,48.06
48.27,48.82,48.92,48.27
49.43,48.67,49.43,48.49
48.68,48.96,49.15,48.53
49.47,50.06,50.29,49.31
49.83,51.00,51.32,49.83
50.76,51.83,51.96,50.57
51.57,51.61,51.90,51.36
51.78,52.54,52.91,51.50
52.55,52.82,53.10,52.39
52.89,52.79,53.60,52.48
52.51,52.24,53.24,52.02
51.79,52.13,52.87,51.44
52.64,53.63,54.03,52.64
53.61,53.20,53.63,53.04
53.51,53.74,53.96,52.49
53.44,53.77,54.34,53.39
54.30,54.04,54.65,53.05
54.44,54.51,54.85,54.13
54.29,54.00,54.81,53.72
54.52,54.66,54.96,54.23
54.79,54.87,55.31,54.40
55.23,54.60,55.23,54.10
54.50,55.17,55.33,54.39
55.29,55.46,55.76,55.20
55.18,55.06,55.34,54.57
55.29,55.62,56.29,54.97
55.41,54.68,55.76,54.56
55.13,54.98,55.23,54.52
55.00,54.91,55.00,54.24
54.21,54.52,55.28,53.91
55.30,55.88,56.25,54.83
55.83,57.40,57.52,55.83
57.73,58.43,59.12,57.32
58.50,58.06,58.82,57.93
57.75,58.10,58.62,57.59
57.56,58.03,58.10,57.50
58.30,58.00,58.47,57.75
56.67,56.94,57.59,56.60
57.22,56.89,57.54,56.49
57.44,57.92,57.98,57.11
57.85,57.89,58.05,57.32
58.62,58.37,58.81,58.20
58.32,58.75,58.76,58.04
58.54,58.31,58.54,57.93
58.37,58.22,58.72,58.08
58.30,58.54,58.62,57.87
58.00,58.24,58.56,57.70
57.85,57.64,58.36,57.52
57.90,57.72,58.42,57.60
57.33,57.14,57.74,56.79
57.27,57.30,57.50,56.81
57.91,58.44,59.13,57.91
58.22,58.52,58.65,57.94
58.22,60.22,60.23,58.10
59.09,60.29,60.53,59.03
60.66,61.02,61.33,60.66
60.64,60.85,61.05,60.52
60.54,60.39,60.54,59.68
59.88,60.14,60.79,59.59
60.97,61.89,62.03,60.97
61.87,63.16,63.22,61.68
62.92,63.81,63.95,62.65
63.68,63.59,63.88,63.33
64.09,64.01,64.65,63.90
64.12,63.75,64.48,63.61
64.17,63.93,64.17,63.67
64.01,64.83,64.89,63.88
64.90,64.23,64.90,64.16
64.35,64.37,64.61,64.00
64.37,64.14,65.11,64.11
64.22,65.29,65.30,64.17
65.34,65.19,65.98,65.12
65.32,65.49,65.76,64.99
65.68,65.76,65.83,65.61
65.94,65.81,66.13,65.58
65.92,65.78,66.36,65.75
65.50,65.28,65.78,64.67
65.35,64.98,65.47,64.82
65.16,65.22,65.50,65.02
65.11,65.75,66.12,64.99
