BWEN,Broadwind Energy,NASDAQ
81.90,81.20,84.70,79.80
81.20,78.10,81.70,77.30
75.40,70.50,76.90,69.50
70.60,74.30,76.80,70.60
74.20,73.40,77.50,73.00
73.70,71.90,74.30,70.60
70.80,71.00,71.80,69.10
71.60,70.10,72.50,69.80
67.90,63.70,70.00,63.40
nan,58.70,nan,nan
59.00,58.90,61.00,58.30
59.00,58.30,59.80,57.60
58.50,57.10,59.50,56.70
57.00,54.60,58.12,54.10
55.50,56.40,57.00,51.80
56.00,54.10,56.40,53.85
54.22,59.00,59.20,53.80
60.30,59.30,61.50,57.70
59.70,56.90,59.80,56.80
57.10,59.10,59.80,56.95
59.00,58.84,60.30,58.20
59.50,57.50,59.80,55.90
56.70,54.70,58.00,54.50
54.30,50.90,54.30,48.00
51.10,53.00,54.90,51.00
53.90,50.30,53.90,50.00
49.90,53.10,53.10,49.70
52.70,52.70,53.10,51.60
nan,52.90,nan,nan
53.00,50.80,53.00,50.00
51.10,51.50,51.80,50.50
51.60,51.00,51.60,50.00
51.00,50.20,51.00,49.90
50.20,48.70,50.90,48.60
48.70,49.50,50.40,48.30
49.90,50.40,50.50,49.70
49.70,49.80,50.00,49.00
49.90,49.50,49.90,49.00
49.90,48.70,50.40,48.25
48.90,49.20,50.00,48.50
49.40,49.70,51.30,49.10
49.90,50.90,51.00,49.90
51.40,52.40,52.70,50.10
52.40,51.10,53.20,49.70
53.00,54.40,55.90,52.50
54.90,53.90,55.50,52.80
54.00,56.80,57.10,53.00
55.00,44.70,55.80,44.40
45.20,41.10,45.40,40.90
42.20,42.20,42.80,41.40
42.50,41.30,42.90,41.30
41.50,41.10,41.70,40.50
41.50,42.70,42.70,41.50
42.10,42.90,43.10,41.50
43.00,45.60,46.00,43.00
45.70,46.20,46.50,44.70
46.00,45.30,46.50,44.90
45.30,46.40,47.20,43.10
47.30,46.20,48.00,45.00
46.40,45.40,46.90,44.60
45.10,44.70,45.70,44.50
N/A,N/A,N/A,N/A
45.00,45.00,45.50,44.70
45.20,44.60,45.30,44.10
44.80,43.50,45.00,43.25
43.20,43.60,43.70,43.00
43.60,43.40,43.90,42.50
43.70,43.00,43.90,42.60
43.30,43.50,43.90,43.05
44.00,43.40,44.00,42.70
43.20,43.40,43.70,42.70
43.60,42.40,43.80,41.90
41.80,41.40,42.30,41.10
41.20,41.30,42.10,40.30
41.30,42.40,43.20,41.20
41.70,42.20,42.30,41.10
42.10,41.80,42.20,41.50
41.80,41.10,42.20,41.00
41.00,40.10,41.10,39.70
41.00,40.40,43.60,39.10
41.00,40.90,41.80,40.40
41.00,39.70,41.20,39.55
40.00,39.90,40.40,39.40
40.00,38.00,40.20,37.80
37.60,37.70,38.60,35.20
37.50,34.20,38.30,30.00
34.30,31.90,34.30,30.50
34.20,31.10,34.90,30.20
31.10,33.90,34.30,30.30
34.00,35.90,35.90,33.90
35.90,34.90,36.20,34.60
34.70,33.60,35.10,33.20
33.90,32.30,34.90,31.50
32.90,30.20,33.00,30.20
30.10,28.80,30.70,28.00
28.10,27.50,29.00,27.00
26.90,29.60,30.10,26.90
31.70,27.30,31.70,27.30
25.90,23.40,26.20,23.10
24.40,22.90,25.20,22.30
23.80,23.40,24.40,22.90
nan,22.10,nan,nan
22.50,22.20,24.20,21.50
22.50,25.60,25.60,22.40
25.50,25.20,25.50,23.00
24.70,25.70,25.90,23.50
26.10,23.80,27.50,23.70
23.90,23.50,25.00,22.90
24.00,22.90,24.60,22.60
23.30,23.50,24.10,22.80
23.30,23.40,24.10,23.00
23.70,24.30,24.70,23.40
24.30,25.40,26.10,23.50
25.00,27.20,28.20,24.70
27.60,25.70,28.10,25.10
25.70,26.80,26.80,25.00
26.90,26.30,27.80,25.80
26.30,24.00,26.30,23.70
24.10,23.40,24.40,23.00
23.30,22.90,23.90,22.80
23.00,23.20,24.20,22.70
23.10,24.00,24.40,22.90
23.40,24.90,25.50,22.80
24.90,28.00,30.50,24.90
