ESLT,Elbit Systems Ltd. - Ordinary Shares,NASDAQ
64.50,65.35,65.79,64.50
64.32,64.58,65.00,64.32
66.59,65.94,66.72,65.50
66.04,66.65,66.65,65.70
66.16,66.63,66.63,65.91
66.68,65.92,66.68,65.26
63.54,63.50,63.78,62.54
63.75,64.00,64.38,63.31
62.19,62.95,63.10,62.19
62.85,62.80,63.05,62.46
65.05,65.25,65.60,64.55
65.95,65.22,65.95,64.74
65.89,64.74,65.89,64.60
64.65,64.61,65.26,64.44
64.80,64.02,64.80,63.20
63.42,62.89,63.84,62.89
62.50,62.80,62.80,61.25
63.00,63.30,64.22,62.99
63.30,62.42,63.31,61.72
61.67,62.38,62.38,61.10
63.60,64.36,64.64,63.51
62.56,62.23,63.18,62.15
61.77,61.42,61.77,61.30
61.37,60.97,61.60,60.97
61.48,60.85,61.48,60.85
61.26,61.51,61.80,60.71
62.26,62.35,62.50,61.90
63.59,64.58,64.74,63.29
64.47,64.00,64.47,63.82
64.20,63.78,64.20,63.51
64.81,64.47,64.84,63.66
64.00,64.32,64.65,64.00
64.05,63.90,64.27,63.79
62.57,62.86,63.10,62.50
62.34,62.24,62.87,62.15
63.14,63.09,63.44,62.72
61.50,61.97,62.07,61.25
62.10,62.02,62.30,61.51
62.11,63.05,63.05,62.11
62.21,61.83,62.32,61.83
61.26,61.42,61.74,61.10
59.99,60.49,60.50,59.46
60.53,60.58,60.69,60.31
59.79,59.27,59.96,59.20
59.79,59.50,59.79,59.28
61.00,61.19,61.42,60.52
61.76,62.71,62.71,61.70
62.80,62.56,63.12,62.30
63.62,63.50,63.72,63.09
63.99,64.06,64.20,63.39
64.30,64.89,65.50,63.96
63.55,64.72,64.98,63.03
64.60,63.85,64.60,63.60
63.72,64.19,64.38,63.51
62.83,63.05,63.27,62.41
63.85,64.34,64.78,63.85
65.13,64.95,65.50,64.51
65.00,65.00,65.36,64.76
65.16,64.82,65.39,64.80
65.17,65.05,65.29,64.90
64.05,64.01,64.29,63.55
N/A,N/A,N/A,N/A
65.00,65.14,65.69,64.72
64.91,65.35,65.70,64.91
65.00,64.61,65.28,64.61
64.31,64.89,65.00,64.30
65.00,64.90,65.00,64.77
64.25,64.57,64.90,64.25
64.33,64.39,65.17,64.33
65.10,65.10,65.11,64.56
64.59,65.11,65.51,64.39
64.67,64.10,65.00,64.10
64.10,63.89,64.17,63.42
64.20,64.01,64.40,63.82
64.06,63.98,64.06,63.50
64.00,64.16,64.48,63.71
64.50,64.02,64.50,64.00
64.11,63.65,65.12,63.51
63.00,62.16,63.00,61.93
61.79,61.00,61.94,61.00
61.45,61.25,61.64,61.03
61.44,61.65,61.83,61.00
61.99,61.65,61.99,61.17
61.00,60.10,61.00,60.00
59.88,59.09,59.88,59.00
59.59,57.74,59.59,55.27
58.00,56.58,58.39,56.12
60.07,59.74,61.09,59.51
59.76,59.44,59.80,58.95
59.32,58.87,59.64,58.63
58.64,57.92,58.64,57.26
57.60,57.32,57.87,56.98
57.49,57.67,57.90,56.99
57.78,57.00,58.19,56.60
56.09,56.61,56.75,55.85
55.82,54.64,55.83,54.64
54.28,55.35,55.35,54.27
53.51,53.27,54.26,53.24
51.46,52.20,52.20,50.49
51.24,49.61,51.62,49.50
51.09,52.19,52.20,51.09
52.00,51.95,52.16,51.35
49.21,48.95,49.80,48.92
49.01,50.36,50.36,49.01
50.60,50.89,51.30,50.60
50.32,49.35,50.49,49.30
49.18,48.50,49.40,48.50
49.44,49.75,49.95,49.34
49.96,49.55,50.31,48.99
50.35,50.84,50.84,49.96
49.89,51.00,51.02,49.81
51.10,50.80,51.32,50.69
50.78,51.62,51.79,50.52
51.00,50.93,51.07,50.10
51.00,50.56,51.00,50.03
50.83,50.13,50.83,49.87
52.00,51.61,52.17,51.47
52.51,52.02,53.00,51.83
53.00,52.49,53.00,52.46
52.05,52.00,52.40,51.94
52.36,52.36,52.61,51.98
52.23,51.89,52.23,51.77
51.32,50.72,51.34,50.60
50.85,50.28,50.99,50.27
50.70,50.01,50.70,49.77
50.00,50.09,50.40,49.81
50.34,49.29,50.40,49.29
49.00,49.65,49.75,49.00
49.76,50.72,50.92,49.76
50.27,50.32,50.71,49.47
50.50,50.61,50.70,50.35
51.19,51.56,51.71,50.96
50.42,50.77,51.10,50.42
50.68,50.87,51.09,50.38
51.04,49.78,51.04,49.78
49.90,50.18,50.40,49.34
49.68,49.97,50.15,49.48
50.48,49.78,50.59,49.67
50.47,51.30,51.49,50.47
50.87,51.81,51.97,50.87
51.68,52.44,52.59,51.68
53.35,53.49,54.01,53.28
53.85,53.48,54.43,53.48
56.44,54.81,56.44,54.54
54.52,55.01,55.13,54.52
55.48,55.12,55.48,54.06
54.38,54.30,54.50,54.06
55.26,55.21,55.49,55.01
55.75,55.24,55.75,55.20
55.02,55.31,55.38,54.87
55.29,55.07,55.35,55.00
54.60,54.40,54.77,53.61
53.32,52.46,53.32,52.08
52.34,51.99,52.76,51.89
51.74,52.10,52.99,51.74
52.61,52.79,54.12,52.53
50.91,51.87,52.00,50.85
51.62,51.91,52.00,51.33
52.00,51.39,52.05,51.33
51.32,51.48,51.61,51.07
51.46,50.74,51.59,50.51
50.55,50.20,50.55,49.56
49.70,50.07,50.61,49.35
50.03,49.90,50.03,49.55
49.60,50.35,50.41,49.37
50.43,50.19,50.51,50.02
49.77,49.35,49.77,49.20
50.10,50.58,50.60,49.62
50.48,50.62,50.90,50.48
50.94,51.30,51.68,50.81
51.36,50.38,51.42,50.33
50.55,50.94,51.15,50.55
51.24,50.97,51.24,50.75
50.88,51.26,51.59,50.81
51.33,51.30,51.65,50.76
51.35,50.66,51.35,50.35
51.08,51.25,51.40,51.08
51.32,51.00,51.55,51.00
51.45,51.26,51.59,51.03
51.66,52.61,52.81,51.66
52.75,52.15,52.78,52.15
52.16,51.90,52.37,51.89
51.87,52.16,52.22,51.87
52.63,53.03,53.15,52.50
53.03,53.18,53.58,52.52
53.12,52.95,53.13,52.80
52.60,53.01,53.10,52.60
53.57,53.03,53.57,52.90
53.11,53.11,53.49,52.90
55.00,54.23,55.00,54.03
55.11,55.75,55.86,55.11
55.65,55.71,56.23,55.51
55.71,55.16,55.82,54.64
55.10,55.47,55.47,54.95
55.07,55.14,55.45,55.03
54.40,54.47,54.50,53.96
54.97,54.68,54.97,54.40
54.01,54.25,54.38,54.01
53.89,54.24,54.25,53.89
52.97,53.51,53.70,52.97
52.05,51.99,52.38,51.50
52.18,53.10,53.46,52.18
54.00,52.84,54.00,52.80
52.72,52.99,53.27,52.72
54.12,54.44,54.57,54.12
54.17,54.06,54.37,53.75
53.49,53.22,53.49,52.81
53.36,53.96,53.96,52.81
54.00,54.13,54.32,53.52
54.08,53.41,54.55,53.41
52.53,53.16,53.45,52.53
52.85,52.47,52.85,52.37
53.20,53.01,53.50,53.00
52.83,53.20,53.30,52.83
52.79,52.98,53.00,52.79
52.79,51.55,52.79,51.55
51.82,52.00,52.00,51.50
50.61,50.22,51.17,50.20
50.02,49.82,50.24,49.56
50.25,49.37,50.25,49.32
49.13,48.86,49.69,48.85
48.75,48.95,49.32,48.75
49.54,49.45,49.78,49.45
49.42,50.08,50.15,49.42
49.90,49.60,49.96,49.41
49.50,49.30,49.68,49.27
49.50,49.79,49.87,49.41
48.48,48.65,48.74,48.01
47.79,47.07,47.79,46.99
46.68,46.80,47.08,46.66
47.25,47.75,47.98,47.21
47.58,47.63,47.83,47.21
47.52,47.74,47.81,47.52
49.00,48.50,49.00,48.20
49.40,48.22,49.58,48.16
48.36,48.75,48.89,48.32
48.47,47.85,48.47,47.77
47.85,48.07,48.07,47.66
50.00,49.70,50.12,49.66
50.11,49.92,50.20,49.65
51.05,51.32,51.32,51.00
51.73,51.78,52.48,51.67
51.52,51.88,52.00,51.52
53.50,52.95,53.50,52.70
52.84,51.81,52.84,51.51
51.57,51.29,51.65,51.20
51.80,52.11,52.11,51.55
51.79,50.78,51.79,50.71
