SNP,China Petroleum & Chemical Corporation Common Stock,NASDAQ
87.28,87.90,88.03,87.28
87.75,86.97,87.75,86.54
88.00,88.20,88.40,87.70
86.65,86.82,86.95,86.16
86.39,87.13,87.17,86.13
87.31,87.20,87.42,86.40
87.33,86.57,87.33,86.05
86.30,86.60,86.73,85.53
85.75,85.03,85.89,85.01
84.99,84.57,85.05,83.95
84.81,86.13,86.23,84.23
84.61,83.59,84.61,82.76
82.84,81.28,83.19,81.00
80.90,79.42,81.48,79.39
80.97,80.18,81.04,79.86
78.72,78.19,79.05,77.50
79.03,79.42,79.56,78.23
79.85,78.58,79.90,78.22
79.12,77.69,79.51,77.53
78.65,79.36,79.49,78.61
79.86,80.51,80.69,79.55
79.99,79.15,80.18,78.86
77.82,75.40,77.86,75.40
74.75,74.88,74.99,73.08
74.14,73.86,74.79,73.35
74.69,75.49,76.14,74.34
75.50,75.31,75.90,74.65
76.36,77.01,77.21,75.32
75.02,75.50,75.81,74.43
76.35,76.91,77.04,75.80
77.37,76.87,77.64,76.60
75.98,76.60,77.01,75.98
75.56,75.97,76.15,75.02
75.92,75.62,76.57,75.51
76.23,75.02,76.31,74.88
75.27,75.90,76.19,75.11
74.45,75.62,75.93,74.02
78.13,79.18,79.24,77.59
79.20,79.29,79.57,78.72
79.08,79.08,79.76,78.42
79.21,80.23,80.60,79.21
79.04,78.72,79.58,78.12
79.94,80.60,80.64,79.66
80.14,80.40,80.95,80.05
80.12,80.17,80.82,79.44
78.93,79.90,79.97,78.93
79.76,79.88,80.05,78.87
80.13,79.87,80.29,79.55
79.49,79.57,79.73,78.75
80.00,80.53,80.67,79.56
81.36,82.27,82.61,81.23
81.27,81.16,81.54,80.66
80.36,80.36,82.08,80.36
80.17,80.98,81.07,79.55
81.06,81.34,81.62,80.22
81.32,80.61,81.33,80.22
80.40,79.39,80.85,79.19
81.59,82.34,82.40,81.18
81.90,81.86,82.40,81.59
81.63,82.03,82.18,81.33
81.92,82.24,82.52,81.60
84.33,85.01,85.05,84.29
85.12,86.45,86.56,85.06
84.96,85.80,86.10,84.96
85.02,83.92,85.03,83.60
82.88,83.40,83.58,82.38
84.91,85.86,85.86,84.20
84.69,84.93,85.35,84.59
86.45,87.09,87.30,86.24
86.43,87.40,87.69,86.43
85.59,86.26,86.53,85.36
84.87,82.73,85.17,82.55
81.90,82.27,82.43,80.96
82.82,83.86,84.02,82.63
83.67,82.62,83.67,82.20
82.35,83.23,83.39,81.77
82.91,83.48,83.59,82.53
83.81,83.21,83.94,83.20
82.12,80.32,82.48,80.06
80.57,80.99,81.56,79.76
80.34,80.87,81.06,80.09
81.00,80.26,81.49,80.15
79.30,80.04,80.19,79.30
77.92,76.66,78.22,76.22
75.70,75.58,76.64,75.00
75.42,74.10,75.98,70.15
74.15,74.28,75.60,72.39
77.79,77.94,77.94,76.77
77.46,77.74,78.86,76.93
77.10,77.72,77.82,76.91
78.00,77.71,78.81,77.52
77.33,76.35,77.33,75.02
76.16,76.46,76.74,74.62
76.17,75.28,77.49,74.89
75.23,75.41,75.85,74.31
74.21,73.80,75.48,73.52
73.35,76.41,76.58,72.93
76.80,75.95,76.90,75.81
73.84,76.15,76.43,73.53
76.84,76.51,78.02,76.26
78.18,80.06,80.08,77.99
80.19,78.66,80.54,78.23
77.27,76.46,78.68,76.46
75.18,76.89,76.95,75.01
78.43,77.59,78.43,76.11
75.77,75.62,76.71,75.22
75.95,74.85,76.22,74.81
76.02,76.75,76.91,74.44
78.33,76.84,78.54,76.31
78.14,79.42,79.48,78.12
78.69,79.15,79.28,78.32
80.00,79.28,80.79,79.03
79.60,81.72,81.83,79.60
81.84,81.77,81.99,81.13
80.86,80.94,81.30,79.78
81.07,80.92,81.07,80.28
83.62,82.68,84.08,82.22
82.65,81.62,82.90,81.38
83.20,83.06,83.41,82.19
82.90,82.27,83.13,81.81
83.31,83.70,83.86,82.75
84.01,83.61,84.15,83.28
81.58,81.14,82.30,80.70
81.57,80.51,82.11,80.33
80.33,80.52,80.68,78.77
80.13,79.70,80.91,79.40
