FOSL,Fossil Group,NASDAQ
33.74,33.70,34.29,33.48
33.70,33.97,34.14,33.41
34.00,34.19,34.51,33.84
34.22,34.75,34.84,34.02
34.73,35.24,35.26,34.62
35.44,36.07,36.61,35.22
35.90,35.92,36.57,35.50
35.94,35.87,36.12,35.38
35.99,35.85,36.20,35.78
35.96,35.80,36.19,35.37
35.76,35.96,36.16,35.76
35.60,35.92,36.02,35.21
36.07,35.30,36.41,35.19
35.35,34.27,35.35,34.04
34.49,33.85,34.56,33.47
33.73,33.66,34.18,33.54
33.42,34.20,34.25,33.26
34.18,33.37,34.62,33.26
33.43,32.65,33.66,32.61
32.77,33.04,33.07,32.54
33.19,33.62,33.80,32.80
33.52,33.44,33.78,33.11
33.24,32.17,33.35,32.04
32.23,32.07,32.28,31.31
32.17,32.38,32.54,31.76
32.89,32.95,33.11,32.35
32.92,32.74,33.01,32.50
32.59,33.47,33.68,32.18
33.15,34.22,34.24,32.87
36.53,36.58,37.06,34.93
36.97,36.82,37.10,36.04
36.53,36.69,36.96,36.08
36.70,36.69,36.99,36.46
36.89,36.38,36.89,36.01
36.19,36.21,36.49,35.73
36.42,36.38,36.76,36.20
35.90,36.34,36.37,35.47
36.28,36.25,36.53,36.00
36.58,37.06,37.12,36.18
37.06,37.63,38.00,37.02
37.99,37.66,38.08,37.47
37.84,37.60,37.97,37.30
37.99,38.73,38.80,37.64
38.94,38.99,39.00,38.73
38.98,39.30,39.60,38.50
39.41,38.80,39.41,38.60
38.41,38.93,38.93,38.24
38.88,38.73,39.13,38.49
38.77,38.78,38.79,38.00
38.61,38.91,39.00,38.37
38.86,38.89,39.29,38.69
38.63,38.80,39.18,38.62
39.10,38.36,39.40,38.31
37.98,38.95,39.07,37.75
38.73,39.22,39.27,38.53
39.06,37.79,39.13,37.65
38.00,37.39,38.18,37.34
37.58,37.84,38.24,37.56
37.87,38.26,38.28,37.76
38.18,38.05,38.68,37.85
38.00,37.74,38.34,37.67
38.06,38.81,38.83,37.82
39.00,39.60,39.96,38.88
39.31,39.75,39.79,39.04
39.75,39.21,39.75,38.76
39.13,38.65,39.13,38.51
38.80,38.92,38.95,38.18
38.85,39.21,39.28,38.85
39.21,40.76,40.79,39.14
40.94,40.95,41.20,40.65
40.92,41.20,41.37,40.67
41.14,41.07,41.50,40.72
41.03,39.85,41.29,39.18
40.12,40.27,40.68,39.84
40.41,40.88,40.96,40.21
40.49,41.77,41.84,40.47
41.61,42.91,42.99,41.61
42.91,42.59,43.42,42.50
42.46,41.77,42.79,41.58
42.12,40.13,42.30,40.07
40.50,40.63,40.94,39.75
40.77,38.96,40.77,38.89
39.19,40.46,40.83,38.63
39.68,38.65,39.68,38.03
38.17,37.44,38.68,37.44
37.26,35.29,37.70,33.00
35.24,33.95,36.04,33.73
36.42,37.86,39.39,36.42
40.77,41.06,42.59,40.39
41.53,41.88,42.15,41.29
41.85,41.59,42.00,41.42
40.69,39.97,41.13,38.66
40.34,39.53,40.60,37.78
39.95,39.05,40.79,38.89
38.85,37.82,39.46,37.71
36.81,36.34,37.33,35.56
35.48,36.18,36.93,35.11
36.00,35.86,36.61,35.76
34.28,35.65,35.79,33.20
35.90,36.27,37.10,35.75
37.21,38.64,38.65,37.00
38.48,37.50,38.74,37.19
37.24,36.23,38.05,36.22
36.59,37.52,37.52,35.56
37.57,39.05,39.19,37.47
37.97,36.31,38.48,36.17
36.53,34.77,36.57,34.70
34.72,35.42,35.53,33.85
35.56,36.55,37.08,35.56
37.23,38.54,38.59,37.12
37.99,38.93,39.44,37.69
39.50,39.33,40.19,39.19
39.58,40.44,40.56,39.34
39.97,39.98,40.33,39.79
40.07,40.30,40.67,39.51
40.48,40.52,40.84,40.33
40.96,40.11,41.16,39.89
40.15,39.40,40.43,39.27
39.43,39.11,39.64,38.25
38.91,36.69,39.03,36.52
36.76,36.56,37.28,36.27
36.86,36.23,37.56,36.19
35.56,34.72,35.87,34.43
34.79,34.70,35.42,34.34
35.04,35.79,35.90,33.86
36.15,35.92,36.83,35.63
36.60,35.88,37.66,35.49
36.19,37.57,37.58,35.97
38.02,37.83,38.29,37.36
37.86,38.39,39.02,37.86
38.11,37.66,38.45,37.36
38.10,38.68,38.90,38.01
38.43,38.38,39.12,38.15
38.48,38.84,39.13,38.17
38.62,37.07,38.62,37.06
37.20,37.08,37.34,36.28
36.38,38.46,38.63,36.38
38.61,37.32,38.87,37.29
37.89,39.18,39.31,37.89
38.90,40.16,40.45,38.90
40.40,40.81,40.86,39.77
40.98,40.63,41.07,40.51
40.65,39.43,40.79,39.03
39.94,39.65,40.49,38.81
38.99,39.60,39.87,38.82
40.27,40.31,40.76,39.73
40.05,39.41,40.10,38.85
39.51,40.92,40.98,39.51
