CBR,Ciber,NASDAQ
3.50,3.56,3.57,3.42
3.54,3.45,3.58,3.45
3.48,3.41,3.55,3.40
3.38,3.44,3.48,3.35
3.44,3.50,3.54,3.43
3.53,3.60,3.62,3.50
3.55,3.45,3.62,3.43
3.48,3.60,3.63,3.45
3.58,3.73,3.77,3.54
3.68,3.62,3.78,3.54
3.59,3.72,3.74,3.56
3.67,3.57,3.74,3.52
3.57,3.58,3.68,3.55
3.56,3.42,3.61,3.39
3.52,3.58,3.60,3.40
3.58,3.57,3.60,3.50
3.53,3.55,3.60,3.45
3.55,3.47,3.55,3.33
3.47,3.23,3.47,3.21
3.20,3.41,3.47,3.20
3.48,3.47,3.50,3.38
3.46,3.39,3.49,3.37
3.36,3.28,3.42,3.22
3.30,3.38,3.42,3.24
3.39,3.25,3.39,3.25
3.30,3.27,3.34,3.22
3.25,3.21,3.36,3.19
3.19,3.30,3.32,3.16
3.25,3.24,3.28,3.20
3.27,3.39,3.39,3.22
3.41,3.44,3.49,3.38
3.43,3.47,3.51,3.43
3.46,3.82,3.83,3.46
3.74,3.80,3.84,3.69
3.75,3.68,3.82,3.34
3.70,3.64,3.71,3.54
3.57,3.74,3.74,3.55
3.75,3.73,3.78,3.66
3.77,3.66,3.78,3.63
3.66,3.81,3.82,3.62
3.83,3.88,3.89,3.77
3.91,3.95,4.00,3.88
3.99,4.06,4.06,3.90
4.07,4.13,4.24,4.07
4.11,4.11,4.17,3.94
4.10,4.23,4.23,4.07
4.22,4.09,4.22,4.08
4.12,4.12,4.14,4.08
4.11,4.01,4.18,4.00
4.02,3.92,4.04,3.86
3.92,4.00,4.09,3.92
4.01,3.88,4.03,3.88
3.91,4.16,4.20,3.83
4.09,4.18,4.20,3.97
4.17,4.17,4.20,4.08
4.16,3.97,4.18,3.96
3.99,3.99,4.17,3.92
4.01,3.96,4.06,3.96
3.98,4.00,4.07,3.88
4.01,4.05,4.08,3.99
4.02,3.74,4.02,3.73
3.78,3.74,3.82,3.72
3.75,4.14,4.14,3.75
4.12,4.10,4.13,4.05
4.24,4.22,4.30,4.15
4.23,4.16,4.25,4.11
4.20,4.14,4.20,4.10
4.17,3.95,4.19,3.86
3.90,4.04,4.05,3.90
4.08,4.19,4.23,4.03
4.19,4.28,4.29,4.19
4.28,4.14,4.41,4.14
4.18,4.18,4.22,4.07
4.19,4.20,4.22,4.11
4.19,4.19,4.20,4.11
4.11,4.14,4.16,4.02
4.14,4.18,4.19,4.12
4.16,4.13,4.16,4.07
4.09,4.01,4.27,3.98
4.03,3.96,4.10,3.96
4.01,4.26,4.27,3.93
4.24,3.97,4.26,3.96
3.99,4.07,4.09,3.89
3.99,3.86,4.12,3.79
3.86,3.38,3.88,3.38
3.79,3.31,3.97,3.29
3.30,2.93,3.50,2.93
3.20,3.34,3.42,3.18
3.30,3.39,3.40,3.13
3.40,3.51,3.53,3.32
3.54,3.41,3.54,3.39
3.38,3.39,3.42,3.32
3.43,3.63,3.67,3.19
3.70,3.38,3.70,3.37
3.36,3.37,3.42,3.29
3.32,3.04,3.32,3.04
3.01,3.07,3.24,2.96
3.07,2.93,3.49,2.93
2.87,2.87,2.91,2.78
2.95,2.87,3.12,2.87
3.02,3.09,3.10,2.90
3.07,2.98,3.07,2.93
3.00,2.82,3.00,2.82
2.85,2.91,2.99,2.82
2.91,3.01,3.07,2.90
2.98,2.91,2.98,2.87
2.94,2.80,2.98,2.79
2.83,2.60,2.86,2.55
2.63,2.55,2.73,2.51
2.61,2.77,2.78,2.58
2.71,2.80,2.82,2.68
2.87,2.84,2.89,2.77
2.89,2.82,2.92,2.77
2.79,2.93,3.03,2.79
2.99,3.00,3.01,2.90
3.03,2.92,3.03,2.88
2.97,2.82,2.99,2.75
2.83,2.78,2.88,2.77
2.78,2.80,2.86,2.71
2.76,2.69,2.82,2.69
2.78,2.93,3.05,2.76
3.03,2.87,3.03,2.85
2.79,2.71,2.84,2.69
2.72,2.77,2.91,2.72
2.80,2.84,2.91,2.76
2.88,2.69,2.88,2.69
2.81,2.55,2.81,2.55
2.57,2.57,2.63,2.52
2.62,2.79,2.80,2.61
2.78,2.86,2.87,2.74
2.84,2.80,2.89,2.74
2.85,2.93,2.93,2.79
2.92,2.89,2.95,2.86
2.89,2.86,2.93,2.85
2.84,2.68,2.86,2.68
2.70,2.74,2.75,2.61
2.68,2.84,2.86,2.66
2.86,2.83,2.86,2.75
2.88,2.85,2.93,2.82
2.85,3.13,3.17,2.85
3.16,3.22,3.23,3.06
3.27,3.31,3.37,3.20
3.33,3.40,3.48,3.23
3.46,3.24,3.46,3.18
3.18,3.33,3.35,3.18
3.35,3.34,3.43,3.30
3.30,3.37,3.41,3.20
3.38,3.37,3.43,3.25
3.34,3.50,3.52,3.28
3.43,3.44,3.51,3.29
3.49,3.34,3.49,3.30
3.30,3.26,3.42,3.26
3.17,3.02,3.22,3.02
3.00,2.97,3.10,2.88
2.94,3.00,3.05,2.89
3.15,3.00,3.15,2.95
3.05,3.09,3.12,3.04
3.10,3.11,3.18,3.04
3.09,2.90,3.11,2.90
2.89,2.93,2.95,2.89
2.95,2.65,3.00,2.65
2.60,2.73,2.79,2.60
2.69,2.85,2.87,2.60
2.88,2.75,2.88,2.71
2.81,2.83,2.83,2.64
2.80,2.85,2.86,2.77
2.84,2.74,2.84,2.68
2.81,2.84,2.85,2.76
2.86,2.80,2.88,2.78
2.85,2.82,2.90,2.79
2.79,2.72,2.82,2.71
2.72,2.63,2.72,2.61
2.68,2.61,2.71,2.60
2.62,2.66,2.70,2.62
2.70,2.76,2.79,2.69
2.76,2.69,2.81,2.69
2.67,2.70,2.75,2.67
2.68,2.69,2.75,2.65
2.74,2.78,2.80,2.68
2.78,2.80,2.83,2.71
2.79,2.83,2.85,2.78
2.90,2.92,2.97,2.87
2.90,2.88,2.94,2.87
2.95,3.06,3.07,2.94
3.07,3.08,3.08,2.97
3.11,3.11,3.11,2.97
3.12,3.05,3.15,3.05
3.10,3.01,3.16,3.01
3.06,3.11,3.15,3.06
3.09,3.04,3.16,2.99
3.03,3.15,3.15,3.03
3.15,3.18,3.18,3.09
3.19,3.22,3.26,3.15
3.21,3.36,3.36,3.18
3.35,3.17,3.40,3.12
3.14,3.12,3.17,3.03
3.13,3.28,3.33,3.09
3.26,3.30,3.30,3.19
3.36,3.37,3.39,3.25
3.37,3.54,3.54,3.35
3.46,3.55,3.58,3.42
3.57,3.70,3.73,3.53
3.70,3.70,3.74,3.60
3.71,3.52,3.72,3.49
3.56,3.67,3.68,3.55
3.62,3.71,3.75,3.57
3.65,3.65,3.70,3.60
3.68,3.56,3.68,3.47
3.54,3.67,3.69,3.49
3.68,3.60,3.77,3.56
3.64,3.63,3.70,3.53
3.62,3.47,3.65,3.43
3.47,3.53,3.64,3.47
3.52,3.50,3.56,3.47
3.50,3.44,3.52,3.35
3.45,3.39,3.46,3.35
3.39,3.52,3.53,3.35
3.45,3.39,3.52,3.35
3.33,3.32,3.37,3.30
3.37,3.44,3.45,3.32
3.42,3.31,3.42,3.28
3.31,3.33,3.41,3.29
3.37,3.40,3.47,3.36
3.40,3.47,3.51,3.35
3.45,3.32,3.48,3.28
3.28,3.30,3.33,3.23
3.33,3.47,3.49,3.31
3.44,3.39,3.44,3.39
3.36,3.39,3.43,3.29
3.34,3.36,3.45,3.30
3.45,3.41,3.48,3.37
3.40,3.42,3.43,3.38
3.39,3.46,3.47,3.34
3.46,3.60,3.60,3.35
3.62,3.55,3.65,3.52
3.57,3.66,3.74,3.54
3.70,3.73,3.73,3.61
3.73,3.79,3.80,3.63
3.79,3.76,3.80,3.76
3.77,3.77,3.79,3.75
3.75,4.00,4.15,3.75
4.00,4.06,4.06,3.94
4.05,4.10,4.15,3.99
4.13,4.19,4.20,4.11
