CGG,CGG,NASDAQ
22794.24,23101.44,23306.24,22794.24
23746.56,23592.96,23818.24,23418.88
23941.12,24012.80,24053.76,23828.48
24709.12,24954.88,24954.88,24448.00
25456.64,25671.68,25763.84,25313.28
27351.04,27330.56,27422.72,26880.00
25999.36,26060.80,26255.36,25866.24
26071.04,25958.40,26091.52,25569.28
26030.08,26460.16,26480.64,26030.08
27187.20,27054.08,27361.28,26900.48
27555.84,27914.24,27934.72,27473.92
26839.04,26552.32,26941.44,26245.12
26572.80,25866.24,26716.16,25692.16
25374.72,24852.48,25569.28,24760.32
25610.24,25354.24,25847.81,25292.80
24616.96,24729.60,25128.96,24432.64
25559.04,25518.08,25671.68,25149.44
26173.44,25292.80,26173.44,25026.56
25559.04,24954.88,25753.60,24903.68
26101.76,26234.88,26429.44,26060.80
27187.20,27422.72,27484.16,27002.88
27514.88,27463.68,27822.08,27217.92
25815.04,25354.24,25927.68,25354.24
24842.24,24760.32,25108.48,24033.28
23869.44,23992.32,24463.36,23664.64
25006.08,25272.32,25589.76,24770.56
25999.36,25856.00,26214.40,25600.00
25354.24,25620.48,25651.20,24872.96
24606.72,25077.76,25077.76,24473.60
24985.60,25456.64,25518.08,24739.84
25712.64,25651.20,25886.72,25507.84
25600.00,25825.28,25876.48,25528.32
25436.16,25774.08,25784.32,25231.36
26429.44,26234.88,26603.52,26183.68
26009.60,25415.68,26071.04,25323.52
25200.64,25241.60,25528.32,25016.32
24207.36,24811.52,24832.00,23982.08
24299.52,24627.20,24698.88,24033.28
25190.40,25569.28,25600.00,25057.28
26920.96,27443.20,27576.32,26890.24
27893.76,27893.76,28170.14,27760.64
28180.48,27832.32,28272.64,27504.64
27996.16,28149.76,28149.76,27852.80
28313.60,28057.60,28446.72,27965.44
27607.04,27811.84,27934.72,27607.04
28129.28,28467.20,28610.56,28129.28
28047.36,28293.12,28313.60,27842.56
28702.72,28815.36,28897.28,28559.36
27699.20,27822.08,27822.08,27473.92
28252.16,28313.60,28364.80,28098.56
28160.00,28252.16,28436.48,28160.00
27985.92,27463.68,28047.36,27299.84
27873.28,27760.64,27904.00,27617.28
27371.52,27760.64,27842.56,27248.64
28334.08,28549.12,28569.60,28067.84
27719.68,27832.32,28026.88,27545.60
28088.32,27791.36,28354.56,27709.44
28702.72,28712.96,28928.00,28508.16
28897.28,29061.12,29163.52,28897.28
28774.40,28620.80,28805.12,28549.12
28928.00,28999.68,29255.78,28866.56
30883.84,30914.56,31006.72,30597.12
30904.32,31436.80,31436.80,30627.84
31600.64,32122.88,32174.08,31528.96
31426.56,31375.36,31580.16,31293.44
30668.80,31303.68,31406.08,30504.96
31805.44,32215.04,32256.00,31744.00
31989.76,32010.24,32215.04,31928.32
32174.08,32000.00,32174.08,31600.64
32512.00,32911.36,32993.28,32276.48
32327.68,32307.20,32440.32,32163.84
31979.52,31508.48,32071.68,31232.00
30760.96,31426.56,31508.48,30760.96
32102.40,32296.96,32368.64,31969.28
32747.52,32890.88,33013.76,32583.68
32071.68,32512.00,32542.72,31774.72
32337.92,33249.28,33382.40,32225.28
33597.44,34027.52,34191.36,33576.96
32849.92,31836.16,33300.48,31672.32
31754.24,31477.76,31754.24,30842.88
32686.08,32829.44,33024.00,32563.20
31139.84,30781.44,31549.44,30484.48
31201.28,31549.44,31764.48,31037.44
30074.88,29317.12,30074.88,29112.32
26613.76,27166.72,27627.52,26480.64
27422.72,26050.56,27781.12,23992.32
25907.20,25579.52,26245.12,24862.72
28057.60,28477.44,28569.60,27893.76
27525.12,27637.76,28190.72,27320.32
27412.48,27351.04,27801.60,27207.68
27678.72,27637.76,27985.92,27463.68
26992.64,26357.76,27033.60,25937.92
26347.52,26132.48,26480.64,25446.40
26624.00,25446.40,26767.36,25313.28
25272.32,25528.32,25600.00,24842.34
23787.52,23838.72,24524.80,22947.84
24309.76,25313.28,25323.52,24207.36
24606.72,24248.32,24770.56,24176.64
21893.12,22835.20,22896.64,21800.96
23511.04,22978.56,23879.68,22906.88
24166.40,24565.76,24606.72,23715.84
23592.96,23132.16,23705.60,23040.00
21534.72,21329.92,22323.20,21329.92
20889.60,21473.28,21493.76,20787.20
21903.36,21985.28,21985.28,21555.20
20674.56,20172.80,20879.36,20008.96
20295.68,19886.08,20480.00,19834.88
19384.32,19200.00,19507.20,18831.36
19537.92,19200.00,19793.92,19087.36
19783.68,20162.56,20264.96,19691.52
19415.04,20101.12,20101.12,19404.80
20715.52,20828.16,21125.12,20633.60
20961.28,21504.00,21534.72,20817.92
21678.08,21770.24,22026.24,21606.40
21944.32,21729.28,21944.32,21432.32
21493.76,21504.00,21544.96,21340.16
22702.08,22251.52,22927.36,22108.16
22046.72,21678.08,22231.04,21626.88
21565.44,21504.00,21698.56,21022.72
20920.32,20449.28,21002.24,20346.88
20060.16,20336.64,20520.96,19855.36
20142.08,19875.84,20203.52,19814.40
19363.84,18810.88,19384.32,18693.12
18421.76,18216.96,18698.24,18196.48
18401.28,18503.68,18575.36,18083.84
19261.44,18933.76,19343.36,18769.92
19834.88,19558.40,20019.20,19302.40
19445.76,20121.60,20150.27,19435.52
20428.80,20510.72,20531.20,20172.80
20131.84,20541.44,20572.16,20090.88
20633.60,20910.08,20930.56,20572.16
21401.60,21534.72,21575.68,21288.96
20500.48,20920.32,21053.44,20439.04
20920.32,20715.52,20971.52,20305.92
20541.44,19978.24,20541.44,19947.52
20111.36,20101.12,20213.76,19793.92
19486.72,20193.28,20244.48,19345.92
20459.52,19763.20,20520.96,19660.80
20674.56,21012.48,21084.16,20664.32
21032.96,21708.80,21708.80,20858.88
21166.08,21248.00,21288.96,20951.04
21381.12,21073.92,21422.08,20920.32
20828.16,20848.64,20961.28,20736.00
20992.00,20940.80,21155.84,20715.52
19271.68,19824.64,19968.00,19271.68
19968.00,20172.80,20285.44,19896.32
20439.04,20408.32,20480.00,20172.80
20418.56,20469.76,20572.16,20172.80
20418.56,20316.16,20449.28,20213.76
20162.56,20480.00,20480.00,20070.40
20428.80,20449.28,20495.36,20285.44
20070.40,20060.16,20213.76,19732.48
19077.12,18606.08,19107.84,18565.12
18155.52,18227.20,18462.72,18155.52
18298.88,18104.32,18432.00,18104.32
18022.40,18053.12,18257.82,17930.24
18728.96,18810.88,18933.76,18565.12
18688.00,18728.96,18821.12,18503.68
18790.40,18298.88,18851.84,18135.04
17827.84,17735.68,17827.84,17592.32
17735.68,17561.60,17971.20,17561.60
17336.32,17367.04,17582.08,17223.68
16855.04,17131.52,17192.96,16814.08
17285.12,17182.72,17530.88,17121.28
17479.68,17756.16,17786.88,17100.80
17346.56,17042.12,17489.92,17042.12
16936.96,17131.52,17448.96,16875.52
17684.48,18165.76,18380.80,17592.32
19333.12,19445.76,19640.32,19251.20
20244.48,20541.44,20551.68,20142.08
19650.56,19394.56,19701.76,19333.12
19568.64,20029.44,20162.56,19568.64
20275.20,20203.52,20377.60,20080.64
20510.72,20613.12,20664.32,20387.84
22292.48,22323.20,22374.40,22097.92
21790.72,22077.44,22220.80,21565.44
21964.80,22200.32,22231.04,21893.12
22374.40,22261.76,22476.70,22108.16
22681.60,22702.08,22824.96,22548.48
22650.88,23040.00,23091.20,22579.20
23162.88,23060.48,23326.72,22855.68
22753.28,22722.56,22988.80,22568.96
21493.76,21452.80,21708.80,21350.40
21882.88,22394.88,22466.56,21882.88
22282.24,22005.76,22282.24,22005.76
22272.00,22302.72,22394.88,21821.44
22384.64,22405.12,22538.24,22210.56
22528.00,22364.16,22763.52,22190.08
23316.48,23511.04,23552.00,23019.52
23306.24,23121.92,23449.60,22947.84
23910.40,24401.92,24442.88,23848.96
24565.76,24842.24,24903.68,24565.76
24862.72,24115.20,24862.72,23951.36
23869.44,23869.44,24043.52,23787.52
23531.52,23214.08,23674.88,23121.92
23347.20,23562.24,23695.36,22999.04
25384.96,25661.44,25722.88,25251.84
26388.48,26327.04,26501.12,26122.24
26152.96,26030.08,26173.44,25651.20
25804.80,26101.76,26183.68,25774.08
25344.00,24821.76,25384.96,24688.64
25241.60,25743.36,25774.08,25241.60
26122.24,25958.40,26460.16,25815.04
26101.76,26204.16,26306.56,26019.84
26408.96,26234.88,26572.80,26173.44
25006.08,25098.24,25292.80,24934.40
24084.48,24064.00,24166.40,23715.84
24012.80,24094.72,24156.16,23797.76
23828.48,23848.96,23961.60,23767.04
24064.00,23971.84,24258.56,23797.76
24453.12,24504.32,24595.46,24320.00
24934.40,25313.28,25313.28,24760.32
26152.96,26849.28,26880.00,26152.96
26470.40,26439.68,26654.72,26214.40
26583.04,26470.40,26695.68,26316.80
28375.04,28262.40,28765.18,28057.60
27719.68,27637.76,27750.40,27109.89
27422.72,27801.60,27848.70,27330.56
27750.40,27494.40,27975.68,27330.56
28467.20,27729.92,28487.68,27729.92
27258.88,26183.68,27289.60,26091.52
25999.36,25907.20,26060.80,25487.36
25528.32,25579.52,25722.88,25415.68
24514.56,25098.24,25118.72,24483.84
24719.36,24903.68,25088.00,24524.80
23910.40,23910.40,24043.52,23695.36
24248.32,24565.76,24647.68,24248.32
25395.20,25774.08,25815.04,25344.00
24832.00,24924.16,24995.84,24576.00
23818.24,23808.00,24125.44,23705.60
25169.92,25159.68,25344.00,24852.48
26378.24,26890.24,27033.60,26347.52
27351.04,28026.88,28057.60,27320.32
27719.68,28067.84,28108.80,27627.52
29347.84,28692.48,29614.59,28682.24
28395.52,28303.36,28497.92,28149.76
28221.44,28190.72,28354.56,27781.12
28160.00,28180.48,28231.68,27893.86
28262.40,28405.76,28610.56,28231.68
28672.00,28405.76,28723.20,28282.88
28303.36,28231.68,28692.48,28119.04
28743.68,28528.64,28805.12,28139.52
29091.84,29624.32,29706.24,29061.12
29562.88,29235.20,29603.84,29132.80
29665.28,29470.72,29706.24,29470.72
31119.36,31098.88,31160.32,30689.28
30586.88,30720.00,30750.72,30289.92
30218.24,30443.52,30474.24,30197.86
30474.24,30371.84,30494.72,30259.20
30812.16,31262.72,31406.08,30781.44
31139.84,31344.64,31354.88,30986.24
31242.24,31324.16,31436.80,31191.04
31866.88,32051.20,32215.04,31856.64
32276.48,31651.84,32317.44,31367.27
31057.92,31672.32,31723.52,30996.48
31436.80,30760.96,31436.80,30597.22
30443.52,30156.80,30525.44,29860.56
29736.96,29941.76,29992.96,29565.03
30248.96,30720.00,30740.48,30167.04
31221.76,31703.04,31703.04,31170.56
32010.24,31969.28,32143.36,31549.44
31498.24,31856.64,31887.36,31293.44
30484.48,30371.84,30648.32,30269.44
30750.72,29921.28,30842.88,29829.12
29470.72,29163.52,29665.28,28948.48
30341.12,30443.52,30556.16,30197.76
29952.00,30074.88,30196.22,29900.80
30187.52,29859.84,30208.00,29429.76
31436.80,31928.32,31959.04,31375.36
32204.80,32163.84,32235.52,31928.32
31846.40,30883.84,31948.80,30791.68
31129.60,31180.80,31221.76,30965.76
32716.80,33310.72,33361.92,32655.36
33003.52,32870.40,33382.40,32716.80
33136.64,33341.44,33361.92,32819.20
33443.84,33361.92,33454.08,32952.32
33740.80,34068.48,34119.68,33740.80
34232.32,34099.20,34406.40,33945.60
34068.48,34088.96,34365.44,33812.48
32778.24,33044.48,33097.73,32614.40
33689.60,34447.36,34447.36,33587.20
32952.32,34048.00,34078.72,32952.32
33771.52,33454.08,33812.48,33321.98
33331.20,33730.56,33781.76,33331.20
33351.68,33024.00,33351.68,32471.04
33269.76,33597.44,33669.12,33187.84
33392.64,32901.12,33597.44,32747.52
32727.04,32768.00,33003.52,32440.32
33372.16,33536.00,33648.64,33198.08
36403.20,36966.40,37017.60,36403.20
38430.72,38021.12,38584.32,37703.68
38123.52,37734.40,38123.52,37314.46
37181.44,37007.36,37365.76,36853.76
37068.80,37345.28,37346.30,36853.76
39004.16,38533.12,39034.88,38103.04
38553.60,37826.56,38707.20,37601.28
37253.12,37734.40,37867.52,37109.76
37437.44,37058.56,37662.72,37007.36
35368.96,35256.32,35584.00,35184.64
34549.76,35409.92,35553.28,34549.76
35512.32,35701.76,35742.72,35000.32
33187.84,34959.36,35123.20,32870.40
34488.32,33228.80,34734.08,32890.88
35194.88,35635.20,35829.76,34662.40
37273.60,36464.64,37283.84,36372.48
37324.80,37283.84,37345.28,36812.80
37488.64,37468.16,37498.88,37079.04
36986.88,37120.00,37324.80,36956.16
37242.88,37611.52,37672.96,37160.96
37294.08,36956.16,37294.08,36894.72
36618.24,36874.24,37253.12,36608.00
36802.56,37335.04,37427.20,36689.92
37294.08,37212.16,37335.04,36966.40
37160.96,37058.56,37550.08,36966.40
36925.44,37109.76,37457.92,36853.76
37570.56,37488.64,37632.00,37335.04
37181.44,37514.04,37642.24,37150.72
37437.44,37478.40,37754.88,37335.04
36577.28,36485.12,36689.92,36218.88
36730.88,36505.60,36792.32,36362.24
36352.00,36024.32,36556.80,35880.96
35123.20,34877.44,35123.20,34703.36
35440.64,35072.00,35563.52,34928.64
33976.32,34099.20,34211.84,33792.00
33894.40,33966.08,34129.92,33761.28
33280.00,33525.76,33587.20,32849.92
