GML,SPDR S&P Emerging Latin America ETF,NASDAQ
80.67,82.85,83.02,80.67
83.01,82.70,83.06,82.13
83.04,83.22,83.62,82.45
83.08,82.85,85.50,82.14
82.41,83.31,84.03,82.41
84.15,82.80,84.15,82.24
82.08,81.77,82.99,81.25
82.77,82.00,83.29,81.01
81.94,81.00,81.94,80.75
80.21,79.88,80.85,79.50
80.64,80.99,81.06,80.26
80.09,78.70,80.12,78.01
78.01,75.29,78.75,75.29
74.65,74.31,75.50,73.88
74.74,74.09,76.00,73.78
73.65,73.18,74.42,72.54
71.95,72.30,72.75,71.12
73.08,72.13,73.08,70.85
73.51,70.75,73.61,70.46
71.33,73.68,73.68,71.33
74.57,74.55,74.88,73.47
74.58,73.95,74.75,73.66
72.95,69.62,72.95,69.62
69.19,69.57,69.57,65.03
70.00,68.84,70.32,68.59
70.87,71.42,72.39,70.53
71.06,71.10,71.54,70.53
70.96,72.98,73.14,70.96
71.81,72.69,72.69,71.27
74.33,74.45,74.45,73.27
75.49,75.00,75.49,74.31
76.98,75.78,76.98,74.68
75.75,75.84,76.18,74.95
76.70,75.37,76.70,75.27
75.09,73.78,75.09,73.20
74.19,73.64,74.19,73.34
71.77,74.24,74.24,71.77
74.73,75.02,75.07,73.77
76.01,75.85,77.11,75.09
77.17,76.84,77.41,76.25
77.66,77.25,78.40,76.70
77.61,77.20,77.61,76.57
77.97,78.81,78.88,77.97
78.28,78.54,79.04,78.19
77.42,79.42,79.79,77.42
79.99,79.98,80.44,79.47
80.22,80.13,80.22,79.37
80.28,79.98,80.34,79.77
79.04,79.43,79.99,78.65
79.23,80.19,80.19,79.11
80.85,80.33,80.91,80.00
80.19,79.49,80.20,78.70
78.42,78.42,83.77,78.00
77.60,78.60,78.91,76.90
79.01,79.72,79.72,78.91
79.15,78.59,79.59,78.58
79.55,77.79,79.94,77.79
78.44,77.95,78.44,77.06
77.97,79.40,79.50,77.97
79.83,79.94,80.40,79.56
79.90,80.69,80.76,79.90
81.50,82.01,82.32,81.50
83.01,82.98,90.67,82.43
82.54,83.30,83.52,82.54
83.47,82.15,83.51,81.95
81.40,82.84,83.03,81.39
82.55,83.44,83.44,82.55
82.66,83.09,83.49,82.66
82.42,82.86,83.02,82.06
83.85,83.65,83.85,83.20
83.65,82.97,83.87,82.97
82.99,82.06,82.99,80.77
80.04,81.03,81.15,79.80
81.52,81.57,81.93,81.24
81.62,80.85,81.62,80.18
80.83,81.35,81.47,79.68
81.03,81.81,81.84,80.69
82.10,81.62,82.53,81.45
80.68,78.21,80.70,78.21
78.84,78.94,79.11,77.47
80.75,80.96,81.22,79.95
81.09,80.41,81.13,80.00
80.91,79.86,81.09,79.22
77.99,76.32,78.44,76.01
75.00,74.86,75.96,72.80
74.08,71.90,75.24,66.22
71.45,71.16,72.52,67.67
