VOT,Vanguard Mid-Cap Growth ETF - DNQ,NASDAQ
55.53,55.28,55.67,55.00
55.92,55.49,55.92,55.00
55.58,55.54,55.58,55.28
54.81,54.45,55.14,54.17
54.72,55.12,55.32,54.64
55.40,55.23,55.77,54.73
55.35,55.61,55.61,55.12
55.96,56.00,56.53,55.90
55.73,56.10,56.28,55.44
55.90,56.33,56.34,55.62
56.79,56.23,56.79,56.00
56.14,56.61,56.66,56.14
57.00,56.60,57.18,56.26
57.09,57.17,57.22,56.82
57.19,57.25,57.25,56.50
58.04,58.27,58.30,57.88
58.59,58.61,58.67,58.25
58.56,58.72,58.74,58.29
58.96,58.31,59.10,58.08
58.45,58.77,58.77,57.89
58.16,58.88,59.00,58.03
58.55,57.78,58.61,57.60
58.24,57.88,58.34,57.82
57.48,56.97,57.60,56.63
57.10,57.27,57.48,56.94
57.99,58.20,58.45,57.96
58.15,58.74,58.77,57.99
58.56,59.15,59.15,58.41
58.30,58.36,58.53,58.01
58.83,59.63,59.64,58.83
59.14,59.25,59.47,59.04
59.05,59.18,59.31,58.42
58.51,58.87,59.14,58.46
59.85,60.12,60.21,59.76
60.24,60.92,60.95,60.21
60.77,61.34,61.43,60.73
61.24,61.41,61.49,61.10
62.18,61.31,62.18,61.27
61.47,61.20,61.56,60.92
61.75,61.36,61.75,61.10
61.58,61.86,61.91,61.32
62.32,61.69,62.32,61.64
61.79,61.70,62.01,61.53
61.72,61.53,62.33,61.40
61.65,62.09,62.09,61.28
62.22,62.36,62.46,61.97
62.45,62.49,62.59,62.07
62.80,62.98,63.00,62.60
63.14,62.92,63.14,62.77
62.97,62.79,62.97,62.68
62.44,62.40,62.45,61.92
62.62,62.25,62.62,62.16
62.38,62.52,62.64,62.38
62.51,62.56,62.75,62.48
62.52,62.30,62.53,62.23
62.97,63.01,63.37,62.82
63.37,62.46,63.37,62.06
62.30,62.85,62.93,62.14
63.02,62.65,63.02,62.48
62.92,62.55,62.92,61.89
62.27,62.73,62.83,61.92
63.19,63.10,63.23,62.89
63.73,63.58,63.73,63.16
63.63,63.60,63.75,63.42
63.42,64.00,64.02,63.37
63.95,64.42,64.42,63.91
64.37,63.32,64.37,63.13
63.05,62.74,63.05,62.22
63.17,62.64,63.32,62.55
62.74,63.17,63.25,62.58
62.97,62.96,62.98,62.44
63.19,63.80,63.88,63.15
63.78,64.03,64.14,63.69
64.07,62.90,64.21,62.70
63.13,63.62,63.80,63.09
64.04,64.53,64.73,64.04
64.44,64.46,64.78,64.23
64.50,64.83,64.90,64.10
64.91,65.26,65.28,64.73
65.58,65.58,66.02,65.45
65.68,65.82,65.83,65.37
65.70,65.57,65.90,65.31
65.29,66.10,66.15,65.15
65.91,66.65,66.69,65.75
66.74,67.08,67.09,66.72
66.87,66.66,66.94,66.51
67.13,67.23,67.34,66.99
67.13,67.37,67.51,67.00
67.51,67.31,67.55,67.04
66.63,65.50,66.90,65.37
65.42,64.86,65.68,64.08
64.89,65.04,65.37,64.34
65.48,66.33,66.34,65.48
66.81,66.40,66.82,65.98
66.73,65.09,66.73,64.92
64.91,65.64,65.91,64.91
66.28,66.90,67.00,66.27
66.98,66.65,66.98,66.18
66.93,65.78,67.04,65.33
65.87,66.18,66.38,65.41
66.02,65.88,66.10,65.52
65.01,64.66,65.17,64.48
64.20,65.24,65.43,64.19
64.85,65.05,65.42,64.49
63.35,64.49,64.85,62.88
64.12,63.62,64.90,63.19
64.59,64.33,64.78,64.13
65.36,64.43,65.36,64.29
65.35,65.64,65.72,65.23
65.68,65.29,65.77,65.21
65.20,65.47,65.66,64.65
66.12,66.33,66.44,65.40
66.60,66.76,67.16,66.40
66.97,66.29,67.03,66.26
66.37,67.05,67.06,65.99
67.58,67.66,67.80,67.32
