AVNW,Aviat Networks,NASDAQ
83.40,85.68,87.36,83.04
85.80,85.44,87.00,84.96
85.08,87.12,87.90,84.72
87.48,89.40,89.76,86.04
89.04,89.64,93.00,87.12
89.88,94.44,94.56,87.96
97.68,93.60,99.00,89.88
93.24,90.48,93.36,89.04
90.00,89.52,91.08,89.40
90.12,90.24,90.84,87.00
90.12,92.04,92.04,87.36
90.96,89.88,92.76,88.80
90.24,88.92,91.08,87.36
88.68,86.76,89.94,85.08
87.00,88.68,89.88,86.16
88.20,87.12,88.32,86.64
86.52,90.24,90.36,86.40
90.84,88.08,91.32,86.28
87.96,86.28,91.68,85.56
87.00,86.64,89.40,84.24
86.40,86.52,88.08,85.32
86.52,87.24,87.96,85.44
79.80,74.88,81.06,71.76
74.64,76.32,76.32,72.12
76.80,71.52,78.00,71.40
72.36,71.04,73.20,70.20
70.80,72.84,72.84,70.32
72.84,72.84,74.28,71.16
72.00,74.76,74.88,72.00
75.00,74.16,75.00,72.24
74.28,73.68,75.48,72.24
73.56,75.72,76.20,73.32
75.36,76.56,76.80,74.40
76.80,77.28,77.76,75.60
77.40,75.36,77.88,74.52
75.72,76.80,77.40,75.12
75.84,73.80,75.84,73.56
74.04,73.80,75.00,72.48
74.88,76.20,76.20,73.20
76.08,78.48,78.72,74.76
78.24,78.36,78.48,76.56
78.72,78.00,78.72,76.80
78.00,77.52,78.00,76.20
77.64,78.00,78.12,77.16
78.00,78.00,79.20,77.40
77.88,77.04,78.96,77.04
76.56,75.72,77.88,75.12
75.72,74.04,77.16,73.44
72.72,73.68,73.92,70.20
73.68,75.60,75.60,72.60
75.96,78.60,78.72,74.65
77.88,76.20,77.88,73.20
76.56,74.64,76.56,73.44
73.80,79.20,79.80,73.80
79.44,80.40,80.64,77.64
80.28,78.60,81.12,77.88
79.20,82.68,84.60,77.52
82.68,81.48,84.00,81.00
81.84,82.80,83.16,81.12
83.04,82.56,83.64,81.00
81.96,79.56,82.80,79.56
N/A,N/A,N/A,N/A
78.96,83.28,83.28,78.96
83.04,84.12,84.12,82.32
83.52,83.76,84.00,82.56
83.04,80.88,83.04,80.52
80.88,79.92,81.72,79.68
79.68,79.44,81.12,78.96
79.44,78.96,80.16,77.88
79.56,86.04,86.16,79.56
86.04,84.96,87.36,84.24
84.48,83.52,84.84,82.80
82.92,80.76,83.28,80.16
