UMDD,UltraPro MidCap400,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
80.06,83.08,83.08,80.06
80.33,82.08,82.08,80.33
88.26,89.22,89.37,87.01
90.21,91.12,91.12,89.94
91.18,91.58,91.75,91.18
92.38,93.91,94.28,91.95
95.20,94.02,95.20,93.68
93.65,90.10,93.90,90.10
91.22,92.88,93.20,90.70
88.90,93.22,93.34,88.23
93.44,93.20,93.71,91.31
94.44,98.05,98.05,94.44
99.53,100.25,101.18,99.16
101.38,101.47,103.09,100.73
101.97,101.63,102.55,100.46
103.20,105.80,106.00,102.77
105.97,106.52,106.94,105.82
105.56,106.83,108.49,105.56
106.80,109.24,109.45,106.73
107.78,110.79,110.94,106.89
112.33,111.49,112.33,109.33
111.20,110.91,111.65,108.17
111.88,114.51,114.53,110.99
115.65,117.02,118.34,115.65
117.12,115.50,117.54,115.20
111.72,111.72,116.58,111.14
109.61,115.79,116.24,109.53
116.04,118.69,118.78,114.70
117.15,115.63,117.72,115.63
118.27,113.31,118.65,113.12
114.23,112.71,115.38,111.48
114.48,115.71,115.73,114.14
116.75,115.91,117.74,114.61
115.15,113.84,117.05,113.84
116.53,117.41,118.55,114.79
118.92,122.90,122.99,118.58
121.51,124.85,125.44,121.51
123.90,122.22,124.45,120.70
120.87,121.61,122.33,118.53
122.08,124.94,124.98,120.49
125.29,125.59,125.92,124.35
125.10,127.00,127.07,123.79
129.15,132.74,132.80,128.58
132.19,132.56,134.24,131.77
131.24,127.61,132.40,125.26
126.36,126.48,128.97,122.23
128.27,131.43,131.47,127.28
131.54,132.90,133.25,130.65
129.53,137.57,137.97,128.25
138.18,141.27,141.84,136.24
141.15,139.64,143.28,139.30
137.86,129.84,140.40,129.43
131.77,130.65,132.73,128.83
133.74,136.36,137.23,132.20
136.92,128.19,137.94,128.19
130.20,134.19,134.69,129.80
128.83,122.88,128.83,121.26
119.70,118.79,123.95,116.58
117.07,107.28,120.44,90.75
105.05,99.03,107.90,96.22
111.64,114.07,114.31,110.04
110.68,115.31,118.97,109.96
116.96,123.32,123.32,116.88
122.41,119.50,124.79,118.48
117.28,110.96,117.28,108.71
112.90,111.83,114.96,103.64
115.80,106.62,116.03,105.90
105.29,103.77,108.05,98.95
95.91,90.26,97.17,90.26
85.77,94.53,96.03,85.00
93.27,91.65,96.62,91.51
85.37,91.31,91.69,81.19
92.44,91.99,97.72,91.10
98.30,102.36,102.44,96.80
101.75,99.19,102.35,97.52
96.22,91.18,100.03,91.14
93.50,98.33,98.42,91.10
99.33,100.68,101.21,97.31
94.00,88.38,96.81,87.52
89.38,82.70,89.88,82.70
83.01,84.25,84.58,79.06
86.00,85.03,90.51,83.98
90.10,93.05,93.18,89.11
91.24,96.09,96.25,91.03
99.33,97.40,101.74,96.81
99.62,104.13,104.61,98.97
102.35,103.20,105.00,101.36
104.54,102.34,104.54,100.00
102.74,101.96,103.56,101.02
106.04,99.84,106.28,98.67
101.01,93.47,102.28,93.10
93.00,93.27,95.40,89.72
90.94,87.83,91.94,87.83
86.77,91.01,91.89,85.42
91.38,90.07,92.38,88.92
85.77,80.59,85.92,79.38
80.06,78.77,83.43,78.62
78.54,77.23,79.29,72.36
78.89,75.69,78.93,74.85
79.02,74.86,80.97,73.84
76.18,82.68,82.96,76.18
85.38,85.37,85.67,83.07
85.47,88.09,88.17,84.87
86.94,86.67,89.30,85.60
90.24,92.99,93.86,89.43
91.98,92.60,93.79,90.57
92.26,92.32,92.89,88.44
90.56,83.17,90.61,82.99
84.82,84.68,85.00,82.00
82.79,88.39,88.55,82.75
90.07,84.41,90.29,83.72
88.48,91.80,92.28,88.48
90.62,95.93,96.01,90.19
96.77,101.06,101.20,95.87
103.53,98.97,104.59,98.55
98.39,95.03,98.77,94.03
97.55,93.92,97.70,90.74
89.68,94.55,95.26,89.68
98.31,99.89,100.35,97.45
99.10,97.75,99.50,96.28
98.73,100.97,100.97,98.73
98.69,99.29,100.39,98.69
95.73,99.04,99.38,94.63
99.94,101.70,101.97,99.80
98.54,97.93,100.02,96.00
92.21,87.92,92.21,87.55
82.76,86.41,87.20,82.76
85.61,85.06,86.81,84.88
83.29,85.32,86.19,82.54
87.91,89.58,91.22,87.29
88.30,90.22,92.00,87.19
89.15,86.08,89.93,84.79
84.82,85.63,85.63,82.62
87.00,83.05,88.08,83.05
79.92,79.24,81.65,77.47
77.14,80.92,81.56,76.00
82.02,79.52,83.16,79.22
81.61,84.49,84.74,77.54
84.45,80.25,84.63,80.10
79.50,80.10,81.75,78.03
84.35,88.07,88.21,83.63
88.45,91.52,91.90,87.86
95.86,95.52,96.54,93.94
94.24,91.50,94.47,91.15
92.15,93.04,94.65,92.02
96.66,93.77,96.66,92.75
94.30,94.69,95.83,93.82
97.76,99.70,100.15,97.76
98.72,99.77,101.65,98.20
99.00,101.12,101.61,97.78
100.63,100.17,101.47,99.09
101.44,100.98,101.77,99.07
102.28,105.93,106.44,101.29
105.85,104.32,106.82,103.84
103.63,101.79,105.67,101.16
99.66,99.54,103.38,98.60
103.29,106.62,106.81,103.28
106.67,106.50,107.73,104.89
107.31,108.71,109.22,102.81
107.82,108.61,110.04,107.17
110.82,109.28,113.38,107.66
111.80,109.51,112.26,108.12
109.62,106.46,110.82,105.00
110.39,113.07,113.70,109.18
112.79,110.73,113.56,109.39
112.00,110.42,112.00,108.22
110.60,112.70,113.78,109.32
112.58,113.39,114.54,112.38
112.48,114.75,115.36,109.64
116.58,117.64,119.61,115.44
117.33,116.21,118.48,114.72
118.39,116.55,118.39,113.99
116.96,118.24,118.24,115.96
114.08,112.35,117.18,110.43
113.36,116.38,117.74,113.36
117.73,115.84,119.80,112.94
117.06,118.27,118.48,116.30
120.59,120.46,123.28,120.02
118.00,119.85,121.64,116.94
117.85,119.84,119.89,116.18
121.94,119.30,122.38,117.52
118.31,120.05,121.00,118.30
122.34,119.83,124.22,117.75
123.33,123.72,124.70,121.44
124.08,124.95,125.04,116.00
129.70,131.77,132.03,128.82
131.87,134.34,135.08,131.75
133.90,134.33,134.58,132.17
135.46,129.88,135.62,128.29
130.40,133.18,133.23,127.86
129.18,132.52,133.27,128.80
130.22,126.53,132.06,125.47
129.28,127.46,131.06,127.46
124.00,120.73,125.40,119.00
121.33,122.76,123.53,121.21
126.75,127.83,130.20,126.75
127.02,129.07,129.64,125.28
127.67,132.04,132.46,127.02
127.44,127.68,128.66,125.00
130.57,135.34,135.47,130.48
132.28,132.00,134.89,131.83
130.26,132.57,133.21,127.58
128.77,130.21,132.22,127.95
136.46,138.28,138.53,135.93
138.53,143.60,143.60,138.44
142.08,146.36,147.03,142.08
145.96,146.35,147.03,144.64
151.09,146.54,151.12,146.50
148.63,146.32,149.51,145.43
149.23,147.74,149.23,145.38
148.44,152.43,152.90,148.14
153.00,150.94,153.83,150.94
152.54,150.55,153.25,149.76
150.44,149.52,154.50,148.72
149.35,153.15,153.17,148.74
153.51,154.24,155.80,152.13
155.38,154.78,155.71,152.70
157.16,158.31,158.60,155.94
159.09,159.49,160.79,158.82
160.26,158.81,160.36,158.43
157.08,158.95,159.41,155.40
159.35,158.37,159.66,157.03
159.57,159.61,160.25,159.24
159.94,160.03,161.50,159.40
158.78,157.25,159.70,157.00
161.04,163.01,165.69,161.04
164.26,157.80,164.26,154.59
157.33,160.86,160.97,156.40
161.81,159.51,162.79,159.00
161.62,157.79,161.62,153.44
155.05,161.00,162.00,153.08
163.60,162.75,164.20,162.18
165.69,165.94,166.90,164.75
166.37,165.17,166.37,164.51
165.35,168.94,168.94,164.63
168.72,172.64,172.64,168.47
172.85,164.78,172.85,164.78
162.05,161.07,164.37,157.68
163.40,159.96,164.01,159.96
160.39,164.01,165.01,160.39
162.70,164.32,164.32,161.17
165.07,168.65,170.65,165.07
170.49,170.99,172.00,169.90
169.50,161.64,169.50,161.03
163.92,165.27,168.25,162.71
169.33,172.69,173.76,169.00
171.75,172.00,175.14,170.36
171.82,174.00,174.00,167.70
173.65,176.27,176.45,172.68
178.71,180.55,182.30,178.33
181.00,183.36,183.58,179.68
182.44,182.21,183.18,180.94
180.71,184.32,185.34,180.32
183.24,190.18,190.66,183.24
191.44,193.05,193.46,190.50
191.48,190.65,192.25,189.78
193.15,195.01,195.99,193.00
194.13,197.50,198.27,193.40
199.09,197.65,199.12,196.05
192.49,184.08,194.16,183.45
184.39,176.18,184.74,172.29
176.40,176.03,180.14,171.01
89.30,93.39,93.39,89.13
95.17,94.05,95.64,92.74
95.03,89.21,95.03,88.50
89.21,90.57,92.02,89.17
93.12,96.49,96.87,93.12
96.94,94.40,96.94,92.81
97.03,90.54,97.03,88.72
90.53,93.91,94.97,89.62
94.70,93.11,94.70,92.05
89.67,87.90,90.39,87.54
85.34,89.78,90.53,85.34
87.99,88.51,90.09,86.75
82.13,86.65,88.47,81.40
86.19,84.06,88.04,83.00
86.68,85.63,87.80,85.41
88.86,86.70,88.86,86.43
90.30,92.20,92.50,90.30
92.10,90.39,92.73,89.98
89.47,89.90,90.76,87.00
91.75,92.55,93.12,88.98
93.24,94.71,96.75,92.75
95.33,93.50,95.99,93.47
94.50,95.97,96.22,90.18
97.28,98.86,99.24,96.87
99.09,100.23,100.49,98.57
102.24,102.40,103.10,101.24
103.16,102.52,103.65,101.76
102.67,103.80,105.12,102.67
105.38,103.91,106.01,102.62
103.86,102.21,104.84,101.44
103.82,99.87,104.18,98.29
100.39,97.61,100.68,96.92
96.15,94.76,97.04,94.25
96.48,95.74,96.85,94.25
93.53,95.75,96.07,93.00
96.00,98.27,98.55,95.42
94.13,93.33,94.13,91.00
95.00,94.73,95.00,93.00
99.08,99.77,100.01,98.80
101.58,101.73,101.84,99.94
101.58,101.53,102.06,100.00
102.68,104.73,105.47,99.61
105.18,106.69,106.69,103.73
106.32,107.63,108.07,106.24
107.45,108.02,108.32,106.16
109.20,106.31,109.20,105.94
105.40,103.00,105.97,101.15
103.32,100.30,103.42,99.05
98.08,98.97,102.00,97.42
102.12,99.84,103.38,98.51
99.55,102.70,103.16,99.53
103.95,106.00,106.50,103.60
105.56,102.52,105.77,101.29
101.09,104.53,105.23,99.74
104.73,101.24,104.73,100.87
99.74,98.48,102.45,98.36
96.68,96.45,97.27,94.68
97.21,100.96,101.19,97.21
102.65,101.49,102.68,99.67
100.74,98.99,100.74,97.80
94.79,94.39,95.71,93.93
95.26,93.50,95.50,92.81
92.88,95.63,96.15,92.51
94.73,98.10,98.24,94.52
99.38,100.00,100.74,99.21
103.11,103.09,103.14,100.41
102.85,95.41,103.15,95.10
96.06,95.10,96.81,93.94
91.07,91.06,94.15,90.84
90.83,87.38,91.19,87.22
88.66,88.41,90.00,87.85
