INR,Market Vectors Indian Rupee/USD  ETN,NASDAQ
37.90,38.55,38.55,37.90
38.55,38.55,38.55,38.55
38.55,38.55,38.55,38.55
38.96,38.94,38.96,38.93
39.01,39.01,39.01,39.01
39.35,39.61,40.17,39.33
39.23,39.23,39.23,39.23
39.05,39.05,39.05,39.05
39.09,39.11,39.11,39.09
38.95,38.68,38.99,38.68
38.93,38.93,38.93,38.93
38.61,38.61,38.61,38.61
38.35,38.61,38.61,38.34
38.42,38.14,38.42,38.14
38.14,38.14,38.14,38.14
38.24,38.26,38.26,38.24
38.34,38.34,38.34,38.34
38.10,38.13,38.13,38.09
39.00,38.13,39.00,38.13
38.37,38.37,38.37,38.37
38.49,38.49,38.49,38.49
38.49,38.49,38.49,38.49
38.41,38.41,38.46,38.41
37.78,37.62,37.78,37.62
38.00,37.92,38.00,37.92
38.04,38.39,38.39,38.04
37.99,37.99,37.99,37.99
38.14,38.14,38.14,38.14
38.12,38.14,38.14,38.12
38.20,38.32,38.61,38.20
38.32,38.32,38.32,38.32
38.43,38.43,38.43,38.43
38.32,38.32,38.32,38.32
38.54,38.54,38.54,38.54
38.54,38.54,38.54,38.54
38.54,38.54,38.54,38.54
38.54,38.54,38.54,38.54
38.30,38.30,38.30,38.30
38.39,38.38,38.39,38.38
38.95,38.60,38.95,38.60
38.64,38.96,38.96,38.39
38.56,38.60,38.60,38.56
38.60,38.60,38.60,38.60
38.97,38.91,38.97,38.91
38.66,38.66,38.66,38.66
39.17,38.92,39.17,38.92
38.90,38.90,38.90,38.90
39.27,38.89,39.27,38.89
38.75,39.10,39.10,38.75
39.03,39.03,39.03,39.03
39.17,39.17,39.17,39.17
39.17,39.17,39.17,39.17
39.23,39.23,39.23,39.20
39.03,39.06,39.84,38.79
39.03,39.35,39.51,38.83
39.06,39.06,39.06,39.06
39.09,38.88,39.46,38.88
39.43,39.19,39.50,39.16
42.32,39.70,42.32,39.40
39.70,39.70,39.70,39.70
39.70,39.58,39.90,39.38
39.64,39.64,39.64,39.64
39.74,40.07,40.10,39.74
40.20,40.15,40.20,40.06
40.03,40.03,40.03,40.03
40.13,40.04,40.13,40.04
39.95,40.20,40.38,39.95
40.00,40.28,40.45,40.00
40.16,39.99,40.16,39.99
39.99,39.99,39.99,39.99
40.25,40.32,40.36,40.22
40.10,40.02,40.35,40.02
39.87,39.53,39.87,39.49
39.97,39.97,39.97,39.96
39.96,40.21,40.26,39.77
40.12,40.10,40.12,40.10
40.17,40.17,40.17,40.17
40.16,40.03,40.16,40.03
39.84,39.80,39.86,39.80
39.80,39.80,39.80,39.80
39.80,39.80,39.80,39.80
40.21,40.21,40.21,40.21
40.07,39.90,40.07,39.90
39.64,39.54,39.88,39.54
39.35,39.38,39.38,39.14
38.99,38.77,38.99,38.00
38.72,38.89,38.90,38.65
39.58,39.56,39.58,39.56
39.19,39.12,39.19,39.04
39.15,39.15,39.15,39.15
39.54,39.41,39.54,39.41
39.14,39.00,39.14,38.94
38.63,38.97,38.97,38.40
38.89,38.72,38.89,38.72
37.99,37.77,38.07,37.77
37.35,37.46,37.46,36.98
37.41,37.43,37.54,37.34
37.50,37.50,37.50,37.50
36.84,36.86,36.86,36.51
37.29,37.56,37.56,37.29
37.56,37.56,37.56,37.56
38.32,38.41,38.45,38.25
37.34,37.52,37.52,37.34
37.74,37.74,37.74,37.74
37.70,37.80,37.80,37.70
37.36,37.50,37.64,37.36
37.49,37.49,37.49,37.49
37.74,37.75,37.75,37.74
37.52,37.52,37.52,37.52
37.70,37.92,37.92,37.42
37.72,37.88,37.88,37.72
38.34,38.04,38.43,38.04
38.04,38.04,38.04,38.04
38.04,38.04,38.04,38.04
38.04,38.04,38.04,38.04
38.04,38.04,38.04,38.04
38.04,38.04,38.04,38.04
39.00,38.57,39.00,38.57
37.74,38.10,38.10,37.74
37.83,38.40,38.40,37.53
37.91,38.42,38.42,37.91
39.00,37.49,39.00,37.49
40.39,37.49,40.39,37.49
37.49,37.49,37.49,37.49
37.84,37.84,37.84,37.84
37.49,37.49,37.49,37.49
35.33,37.11,37.11,35.33
37.70,37.76,37.76,37.70
37.76,37.76,37.76,37.76
37.76,37.76,37.76,37.76
37.90,37.83,37.91,37.83
38.03,38.03,38.03,38.03
37.87,37.87,37.87,37.87
37.88,37.88,37.88,37.88
37.57,37.57,37.57,37.57
37.50,37.50,37.50,37.50
37.44,37.45,37.45,37.44
37.44,37.45,37.45,37.44
37.45,37.45,37.45,37.45
37.94,37.98,37.98,37.94
37.98,37.98,37.98,37.98
37.98,37.98,37.98,37.98
38.01,38.01,38.01,38.01
38.25,38.25,38.25,38.25
38.25,38.25,38.25,38.25
38.22,38.50,38.50,38.22
38.50,38.78,38.78,38.49
38.86,38.79,38.86,38.79
38.57,38.57,38.57,38.57
38.57,38.57,38.57,38.57
38.57,38.57,38.57,38.57
38.57,38.57,38.57,38.57
38.06,38.06,38.06,38.06
38.00,38.10,38.10,38.00
38.16,38.10,38.16,38.10
38.13,38.13,38.13,38.13
38.46,38.46,38.46,38.46
38.54,38.35,38.62,38.28
38.40,38.40,38.40,38.40
38.16,38.15,38.16,38.15
38.17,38.17,38.17,38.17
38.17,38.17,38.17,38.17
37.90,37.83,37.94,37.80
37.83,37.83,37.83,37.83
37.96,37.96,37.96,37.96
37.96,37.96,37.96,37.96
38.03,38.03,38.03,38.03
37.99,38.20,38.35,37.99
38.20,38.20,38.20,38.20
38.50,38.51,38.51,38.50
38.51,38.51,38.51,38.51
38.57,38.61,38.61,38.57
38.77,38.51,38.77,38.51
38.63,38.63,38.63,38.63
38.63,38.63,38.63,38.63
38.73,38.74,38.74,38.73
38.87,38.88,38.89,38.84
38.88,38.88,38.88,38.88
39.10,39.21,39.21,39.10
39.20,39.23,39.23,39.20
39.22,39.41,39.41,39.22
39.41,39.41,39.41,39.41
39.30,39.29,39.30,39.27
39.65,39.71,39.71,39.65
40.04,40.04,40.04,40.04
40.04,40.04,40.04,40.04
40.13,40.13,40.13,40.13
40.13,40.13,40.13,40.13
40.50,40.55,40.55,40.50
40.58,40.38,40.58,40.37
40.40,40.60,40.63,40.40
40.43,40.75,40.75,40.40
40.80,40.69,40.99,40.69
40.92,41.08,41.08,40.86
40.80,40.77,40.80,40.58
40.46,40.61,40.61,40.45
40.58,40.86,40.86,40.58
40.81,40.92,40.92,40.72
40.85,40.66,40.90,40.66
40.60,40.60,40.60,40.60
40.44,40.47,40.48,40.32
40.47,40.47,40.47,40.47
40.65,40.74,40.74,40.63
40.61,40.61,40.61,40.61
40.63,40.64,40.64,40.62
40.46,40.46,40.46,40.46
40.49,40.29,40.50,40.29
40.47,40.51,40.51,40.47
40.63,40.63,40.63,40.63
40.69,40.77,40.77,40.69
40.90,40.92,40.92,40.75
40.95,41.00,41.00,40.93
41.25,41.24,41.25,41.24
41.10,41.19,41.21,41.10
40.87,40.80,40.87,40.67
40.93,40.66,40.95,40.65
40.66,40.66,40.66,40.66
40.76,40.76,40.76,40.76
40.60,40.14,40.60,40.12
40.01,39.94,40.05,39.94
40.05,39.75,40.05,39.75
39.50,39.53,39.53,39.50
39.89,39.92,39.92,39.88
39.87,39.83,39.87,39.82
39.91,39.88,39.96,39.86
39.50,39.43,39.50,39.43
39.55,39.74,39.74,39.55
39.74,39.74,39.74,39.74
39.50,39.49,39.55,39.45
39.55,39.60,39.60,39.52
40.10,40.10,40.10,40.10
40.44,40.44,40.44,40.44
40.43,40.52,40.54,40.43
40.66,40.66,40.66,40.66
40.65,40.70,40.70,40.65
40.35,40.17,40.35,40.13
40.17,40.18,40.18,40.16
40.40,40.40,40.40,40.40
40.40,40.40,40.40,40.40
40.51,40.54,40.57,40.30
40.12,40.01,40.16,39.94
40.01,40.01,40.01,40.01
40.01,40.01,40.01,40.01
40.01,40.01,40.01,40.01
40.01,40.01,40.01,40.01
40.01,40.01,40.01,40.01
40.17,40.44,40.44,40.17
40.44,40.44,40.44,40.44
40.44,40.44,40.44,40.44
40.53,40.53,40.53,40.53
40.69,40.57,40.69,40.57
40.83,40.85,40.85,40.83
40.85,40.63,40.85,40.57
40.16,40.11,40.29,40.07
40.20,40.20,40.20,40.20
40.25,40.25,40.25,40.25
40.06,40.18,40.18,39.98
40.09,40.09,40.09,40.09
40.38,40.48,40.48,40.34
40.37,40.31,40.37,40.30
40.32,40.52,40.55,40.32
40.52,40.52,40.52,40.52
40.08,40.23,40.24,40.08
40.23,40.23,40.23,40.23
39.86,39.96,39.99,39.82
40.07,40.07,40.07,40.07
40.20,40.20,40.20,40.20
40.20,40.20,40.20,40.20
39.73,39.83,39.83,39.73
40.11,40.08,40.12,40.08
39.72,39.71,39.73,39.67
39.57,39.57,39.57,39.54
39.93,39.93,39.93,39.93
39.85,39.85,39.85,39.85
39.88,40.08,40.08,39.88
40.08,40.08,40.08,40.08
40.18,40.17,40.18,40.17
40.49,40.50,40.50,40.49
40.27,40.27,40.27,40.27
40.27,40.27,40.27,40.27
40.05,40.05,40.05,40.05
40.17,40.19,40.21,40.17
40.19,40.19,40.19,40.19
40.21,40.36,40.36,40.18
40.62,40.63,40.68,40.62
40.63,40.63,40.63,40.63
40.57,40.53,40.58,40.53
40.53,40.53,40.53,40.53
40.16,40.16,40.16,40.16
40.16,40.16,40.16,40.16
40.44,40.44,40.44,40.44
40.81,40.79,40.81,40.76
40.92,40.63,40.92,40.63
40.82,40.82,40.82,40.82
40.85,40.77,40.92,40.77
40.75,40.72,40.75,40.72
40.72,40.72,40.72,40.72
40.78,40.96,40.96,40.78
40.61,40.61,40.61,40.61
40.61,40.61,40.61,40.61
40.90,40.88,40.90,40.88
40.60,40.79,40.79,40.60
40.71,40.79,40.79,40.69
43.93,40.68,43.93,40.68
40.68,40.68,40.68,40.68
40.79,40.79,40.79,40.79
40.79,40.79,40.79,40.79
40.79,40.79,40.79,40.79
41.37,41.42,41.45,41.36
41.20,41.33,41.33,41.20
40.79,40.78,40.79,40.78
40.78,40.78,40.78,40.78
40.78,40.78,40.78,40.78
41.56,41.62,41.62,41.51
41.62,41.62,41.62,41.62
41.62,41.62,41.62,41.62
41.62,41.62,41.62,41.62
42.06,42.03,42.08,42.01
42.03,42.03,42.03,42.03
42.00,42.01,42.01,42.00
41.75,41.72,41.81,41.72
41.56,41.56,41.56,41.56
41.09,41.40,41.40,41.08
41.40,41.40,41.40,41.40
41.40,41.40,41.40,41.40
41.40,41.40,41.40,41.40
41.49,41.49,41.49,41.49
41.49,41.49,41.49,41.49
41.49,41.49,41.49,41.49
41.63,41.45,41.63,41.45
41.45,41.45,41.45,41.45
41.56,41.66,41.66,41.56
41.82,41.75,41.82,41.49
41.82,41.89,41.89,41.82
41.82,41.86,41.86,41.82
41.86,41.86,41.86,41.86
41.52,41.59,41.62,41.52
41.50,41.50,41.50,41.50
41.61,41.54,41.61,41.54
41.43,41.53,41.53,41.31
41.53,41.53,41.53,41.53
41.36,41.47,41.48,41.36
41.47,41.47,41.47,41.47
41.46,41.41,41.48,41.40
41.33,41.33,41.33,41.33
40.99,41.02,41.03,40.99
41.20,41.20,41.20,41.20
41.20,41.34,41.34,41.20
41.14,41.32,41.32,41.14
41.09,41.09,41.09,41.09
41.11,41.11,41.11,41.11
40.99,40.99,40.99,40.99
40.99,40.99,40.99,40.99
40.99,40.99,40.99,40.99
40.99,40.99,40.99,40.99
41.35,41.35,41.35,41.35
41.51,41.51,41.51,41.51
41.65,41.65,41.65,41.65
41.57,41.57,41.57,41.57
41.57,41.57,41.57,41.57
41.63,41.63,41.63,41.63
41.81,41.81,41.81,41.81
41.48,41.48,41.48,41.48
41.52,41.50,41.53,41.50
41.50,41.50,41.50,41.50
41.50,41.50,41.50,41.50
41.50,41.50,41.50,41.50
41.66,41.66,41.66,41.66
41.70,41.66,41.70,41.66
41.66,41.66,41.66,41.66
41.66,41.66,41.66,41.66
42.27,41.64,42.27,41.47
41.41,41.61,41.61,41.41
41.38,41.59,41.59,41.38
41.43,41.43,41.43,41.43
41.43,41.43,41.43,41.43
42.06,42.03,42.06,41.89
42.03,42.03,42.03,42.03
42.03,42.03,42.03,42.03
42.03,42.03,42.03,42.03
42.07,42.16,42.16,42.07
42.27,42.25,42.27,42.19
42.25,42.25,42.25,42.25
42.25,42.25,42.25,42.25
42.25,42.25,42.25,42.25
42.03,42.03,42.03,42.03
42.03,42.03,42.03,42.03
41.95,41.95,41.95,41.95
42.00,42.00,42.00,42.00
42.29,42.29,42.29,42.29
42.15,42.07,42.15,42.07
42.07,42.07,42.07,42.07
42.32,42.32,42.32,42.32
42.69,42.45,42.69,42.41
43.31,42.70,43.31,42.70
42.73,42.51,42.73,42.51
42.69,42.44,42.69,42.44
42.44,42.44,42.44,42.44
42.44,42.44,42.44,42.44
42.44,42.44,42.44,42.44
42.31,42.06,42.31,42.06
42.06,42.06,42.06,42.06
41.47,41.40,41.47,41.40
41.48,41.36,41.48,41.22
41.06,41.70,41.91,41.06
41.40,41.41,41.41,41.40
41.47,41.63,41.63,41.47
41.63,41.63,41.63,41.63
41.65,41.75,41.75,41.65
41.82,41.51,41.82,41.51
40.87,40.89,40.89,40.87
40.56,40.90,40.90,40.56
40.90,40.90,40.90,40.90
41.00,41.00,41.00,41.00
40.95,40.95,40.95,40.95
40.81,40.91,40.91,40.81
40.49,40.66,40.66,40.49
40.68,41.03,41.03,40.68
41.03,41.03,41.03,41.03
41.03,41.03,41.03,41.03
41.03,41.03,41.03,41.03
41.24,41.24,41.24,41.24
40.96,40.96,40.96,40.96
41.02,40.96,41.02,40.96
40.96,40.96,40.96,40.96
40.96,40.96,40.96,40.96
39.83,39.83,39.83,39.83
39.50,39.50,39.50,39.50
39.42,39.44,39.44,39.42
39.44,39.44,39.44,39.44
40.00,40.00,40.00,40.00
39.45,39.13,39.45,39.13
39.13,39.13,39.13,39.13
38.96,38.85,38.96,38.80
38.00,38.00,38.00,38.00
38.39,37.50,38.39,37.50
38.10,38.32,38.32,38.10
38.24,38.24,38.24,38.24
38.24,38.24,38.24,38.24
38.06,38.10,38.10,38.06
38.21,38.21,38.21,38.21
38.21,38.21,38.21,38.21
37.76,37.62,38.17,37.04
38.34,37.99,38.34,37.99
38.22,38.22,38.22,38.22
38.25,38.25,38.25,38.25
38.25,38.25,38.25,38.25
37.76,37.76,37.76,37.76
38.50,38.50,38.50,38.50
38.37,38.37,38.37,38.37
38.60,38.66,38.97,38.60
38.66,38.66,38.66,38.66
38.19,38.19,38.19,38.19
38.19,38.19,38.19,38.19
37.91,37.51,37.91,37.51
37.51,37.51,37.51,37.51
37.51,37.51,37.51,37.51
37.01,37.01,37.01,37.01
37.00,36.97,37.00,36.97
36.98,36.98,36.98,36.98
36.91,38.47,39.80,33.87
38.47,38.47,38.47,38.47
38.47,38.47,38.47,38.47
38.47,38.47,38.47,38.47
38.10,38.87,38.90,37.20
38.87,38.87,38.87,38.87
38.20,38.00,38.20,37.88
38.00,38.00,38.00,38.00
38.00,38.00,38.00,38.00
36.10,36.10,36.10,36.10
36.10,36.10,36.10,36.10
36.10,36.10,36.10,36.10
36.10,36.10,36.10,36.10
36.10,36.10,36.10,36.10
36.50,36.50,36.50,36.50
36.50,36.50,36.50,36.50
36.50,36.50,36.50,36.50
35.98,36.01,36.05,35.93
36.36,36.28,36.36,36.28
36.28,36.28,36.28,36.28
37.10,36.54,37.10,36.22
36.54,36.54,36.54,36.54
36.53,36.53,36.53,36.53
36.53,36.53,36.53,36.53
36.17,36.36,36.36,36.17
36.44,36.81,36.81,36.44
36.81,36.81,36.81,36.81
36.81,36.81,36.81,36.81
36.81,36.81,36.81,36.81
36.10,36.10,36.10,36.10
35.57,35.37,36.54,35.26
35.16,35.20,35.20,35.16
35.15,35.00,35.15,35.00
35.00,35.00,35.00,35.00
35.00,35.00,35.00,35.00
35.00,35.00,35.00,35.00
35.08,35.10,35.10,35.08
35.18,35.09,35.18,35.09
35.40,35.35,35.40,35.21
35.00,35.00,35.00,35.00
35.35,35.35,35.35,35.35
35.41,35.41,35.41,35.41
34.77,35.70,35.70,34.77
35.70,35.70,35.70,35.70
36.37,35.83,36.37,35.83
35.20,36.00,36.00,35.19
36.00,36.00,36.00,36.00
35.48,35.38,35.48,35.38
36.41,36.83,36.91,36.04
36.91,37.24,37.24,36.73
37.19,37.22,37.82,37.19
37.52,36.08,37.52,36.08
36.08,36.08,36.08,36.08
38.05,38.05,38.05,38.05
37.80,38.00,38.10,37.80
38.00,38.00,38.00,38.00
38.00,38.00,38.00,38.00
38.30,38.30,38.30,38.30
38.00,38.00,38.00,38.00
38.90,38.90,38.90,38.88
38.90,38.90,38.90,38.90
38.90,38.90,38.90,38.90
37.10,37.10,37.10,37.10
39.00,38.49,39.04,38.22
38.49,38.49,38.49,38.49
39.86,39.22,39.86,39.22
39.22,39.22,39.22,39.22
39.22,39.30,39.30,39.22
38.50,39.81,39.81,38.50
39.81,39.81,39.81,39.81
39.81,39.81,39.81,39.81
39.81,39.81,39.81,39.81
38.53,39.10,39.10,38.24
39.42,38.99,39.63,38.99
38.99,38.99,38.99,38.99
38.99,38.99,38.99,38.99
38.99,38.99,38.99,38.99
38.99,38.99,38.99,38.99
39.78,39.43,39.78,39.30
39.54,39.60,39.60,39.40
39.88,39.68,39.88,39.66
39.68,39.68,39.68,39.68
39.38,39.35,39.38,39.35
39.35,39.35,39.35,39.35
38.60,38.95,39.01,38.60
38.95,38.95,38.95,38.95
38.95,38.95,38.95,38.95
38.66,38.85,38.85,38.66
38.85,38.85,38.85,38.85
38.54,38.81,38.81,38.54
38.85,39.22,39.22,38.85
37.92,38.40,38.40,37.92
38.40,38.40,38.40,38.40
38.40,38.40,38.40,38.40
38.40,38.40,38.40,38.40
39.28,39.00,39.28,39.00
39.00,39.00,39.00,39.00
39.00,39.00,39.00,39.00
39.00,39.00,39.00,39.00
39.00,39.00,39.00,39.00
39.00,39.00,39.00,39.00
37.95,37.95,37.95,37.95
37.95,37.95,37.95,37.95
37.95,37.95,37.95,37.95
37.95,37.95,37.95,37.95
38.79,38.50,38.80,38.50
38.50,38.50,38.50,38.50
38.50,38.50,38.50,38.50
38.50,38.50,38.50,38.50
38.50,38.50,38.50,38.50
37.24,37.49,37.53,37.11
37.45,37.60,37.60,37.45
37.60,37.60,37.60,37.60
37.60,37.60,37.60,37.60
37.60,37.60,37.60,37.60
37.19,37.09,37.19,37.09
37.09,37.09,37.09,37.09
37.09,37.09,37.09,37.09
37.09,37.09,37.09,37.09
37.09,37.09,37.09,37.09
36.99,36.99,36.99,36.99
36.99,36.99,36.99,36.99
36.79,36.79,36.79,36.79
36.79,36.79,36.79,36.79
