UTX,United Technologies Corporation Common Stock,NASDAQ
70.21,71.63,71.86,69.86
71.64,70.56,71.64,70.28
70.56,70.19,70.83,70.03
70.01,70.49,70.62,69.57
70.26,70.63,70.70,70.25
70.73,72.16,72.26,70.73
71.80,71.74,71.95,71.06
71.82,72.56,72.66,71.79
72.24,72.81,72.85,72.12
72.83,71.99,72.93,71.68
71.99,72.29,72.94,71.64
72.01,71.43,72.24,70.63
71.45,70.13,71.85,69.75
69.87,69.08,70.29,69.00
69.51,68.59,69.51,68.56
68.00,68.47,68.86,67.80
67.26,67.61,67.85,66.50
67.69,67.37,67.83,66.55
67.39,67.48,68.49,66.64
67.76,67.55,67.97,67.20
67.89,68.03,68.43,67.69
67.82,68.24,68.43,67.70
67.87,66.38,67.95,66.34
66.38,66.50,67.00,65.05
66.28,65.40,66.33,65.31
66.20,66.52,67.11,65.71
66.52,66.64,66.93,66.11
66.36,66.71,66.85,65.86
65.90,65.69,66.26,65.01
66.06,66.33,66.43,65.56
66.30,67.35,67.53,65.82
67.53,68.11,68.29,67.42
68.24,68.52,68.90,68.11
68.84,68.40,68.92,68.13
68.38,67.79,68.75,67.72
68.19,68.62,68.70,67.79
67.57,68.67,68.70,67.05
68.67,68.65,68.98,68.14
68.84,69.64,69.80,68.84
69.89,69.75,70.00,69.64
69.84,69.60,70.38,69.43
69.66,70.37,70.79,69.64
70.57,71.25,71.31,70.57
71.19,70.76,71.42,70.76
71.51,71.78,72.25,71.16
71.97,71.79,72.22,71.38
71.95,72.04,72.04,71.26
71.79,71.53,72.45,71.14
71.51,71.84,72.11,71.32
71.97,72.40,72.50,71.59
72.63,72.19,72.80,72.06
72.08,72.50,72.55,72.06
73.24,73.24,73.74,72.72
72.66,72.61,73.03,72.57
72.72,73.09,73.17,72.58
72.98,73.04,73.54,72.76
73.41,73.27,73.82,73.18
73.46,73.62,74.07,73.46
73.79,74.00,74.32,73.63
74.22,74.13,74.85,73.95
73.93,73.61,74.33,73.42
73.87,74.13,74.48,73.54
74.32,74.85,74.95,74.22
74.54,74.67,74.97,74.42
74.55,73.99,74.64,73.53
73.69,73.70,73.91,73.28
73.71,73.99,74.00,73.41
74.36,73.76,74.36,73.59
73.58,73.46,73.71,72.93
73.33,74.00,74.05,73.13
73.89,74.61,74.72,73.76
74.66,73.69,74.78,73.21
73.46,73.76,73.81,73.00
74.13,74.20,74.68,73.27
73.63,76.93,77.09,73.63
76.63,76.43,76.75,75.94
76.52,76.47,76.78,75.78
76.57,76.40,77.08,76.26
76.21,74.32,76.35,74.07
74.64,74.66,74.90,73.56
75.31,76.02,76.35,75.16
76.02,74.95,76.49,74.90
75.26,76.28,76.38,75.14
75.61,74.16,75.61,73.45
73.59,73.59,74.31,72.83
73.05,71.24,74.00,65.17
70.85,69.46,71.46,68.86
72.54,73.04,73.35,72.00
72.34,73.13,74.25,72.33
73.05,73.15,73.43,72.58
73.11,72.86,74.11,72.73
72.35,71.58,72.61,70.69
71.71,71.03,72.00,69.92
71.56,70.68,71.94,70.48
70.16,69.35,70.75,68.66
67.80,66.43,68.56,66.36
64.58,66.44,67.11,64.58
66.66,66.13,66.79,65.81
64.34,66.16,66.31,63.79
66.82,66.15,67.75,66.00
67.34,68.11,68.11,66.99
68.25,67.38,68.41,67.04
66.59,66.05,67.47,65.93
66.47,67.46,67.53,65.96
67.76,67.85,68.25,67.28
66.62,65.14,66.81,64.88
65.26,63.22,65.45,63.15
63.25,64.21,64.27,62.88
64.45,63.42,64.81,63.27
64.53,65.49,65.62,63.86
64.93,66.23,66.29,64.55
66.49,66.90,67.83,66.44
67.02,68.60,68.66,66.96
68.18,68.59,68.71,68.05
68.65,68.56,68.70,67.71
68.65,69.18,69.25,68.51
70.34,69.37,70.62,69.04
69.30,67.99,69.67,67.85
68.18,67.99,68.69,67.46
67.89,67.35,68.51,67.16
67.43,67.86,67.89,66.81
67.91,67.11,67.96,66.82
66.09,64.97,66.77,64.32
64.99,64.91,65.85,64.43
64.85,64.39,64.91,63.62
64.45,64.29,64.93,63.84
64.81,64.59,65.22,63.91
64.60,66.55,66.59,64.56
67.07,67.23,67.24,66.29
67.28,67.51,67.70,66.88
67.18,66.68,67.59,66.27
67.18,67.76,68.32,67.18
67.63,68.01,68.34,67.38
67.96,68.15,68.36,67.17
67.95,66.03,68.02,65.88
66.42,66.39,66.90,66.12
65.75,67.54,67.74,65.75
67.67,67.03,68.73,66.53
68.01,69.53,69.91,68.01
69.48,70.90,71.14,69.16
70.62,71.59,71.79,70.35
71.96,71.09,71.97,70.75
71.07,71.11,71.47,70.78
71.48,71.15,72.00,70.49
70.56,71.10,71.50,69.79
72.04,72.61,72.85,71.77
72.25,72.03,72.78,71.98
72.21,72.67,72.94,72.06
72.38,73.20,73.35,72.11
72.40,72.73,73.21,71.68
73.34,73.35,73.60,72.89
72.82,73.39,73.81,71.93
72.16,71.27,72.33,70.77
70.35,70.58,70.94,70.29
70.27,70.70,70.98,70.13
70.20,70.35,70.78,69.50
70.85,70.51,71.33,69.91
70.34,69.93,70.60,69.29
69.62,68.51,70.14,68.02
67.55,68.12,68.70,67.41
68.54,67.22,68.97,67.21
66.33,65.66,66.57,65.39
65.14,65.26,65.75,64.57
65.51,65.05,65.83,64.95
65.99,66.57,66.68,64.99
66.47,65.39,66.47,65.39
65.12,65.21,65.73,64.67
66.03,67.37,67.58,65.68
67.11,67.44,67.44,66.91
68.03,68.26,68.56,67.48
68.01,67.98,68.41,67.67
68.06,68.47,68.94,68.03
69.35,68.62,69.45,68.25
68.90,68.89,69.15,68.48
69.33,68.79,69.80,68.28
68.72,68.72,69.31,68.36
68.70,68.27,68.70,68.05
68.16,68.53,68.68,68.00
68.94,69.53,69.63,68.56
69.70,70.37,70.62,69.25
70.53,70.60,71.22,70.28
70.43,70.58,71.21,70.43
69.96,69.80,70.57,69.62
70.44,71.50,71.68,70.44
71.34,70.91,71.46,70.85
71.15,71.60,71.80,70.04
71.30,71.49,71.78,71.17
71.82,71.23,72.94,71.00
71.68,71.13,72.03,70.98
71.94,70.53,72.03,70.23
71.31,72.51,72.82,71.24
72.38,72.87,72.95,72.38
72.82,72.78,73.05,72.41
72.99,72.91,73.20,72.30
73.11,72.93,73.11,72.61
72.60,72.98,73.27,71.80
73.51,74.18,74.60,73.36
74.19,74.15,74.20,73.40
74.34,74.10,74.87,73.40
74.27,74.56,74.90,73.98
73.80,73.61,74.18,72.85
72.01,73.92,74.28,71.92
74.32,74.97,75.58,74.25
75.25,74.94,75.25,74.49
75.46,75.01,75.57,74.80
74.47,74.67,74.82,74.03
74.22,74.46,74.54,73.30
75.01,74.70,75.38,73.98
74.32,74.77,74.88,74.10
75.27,74.64,75.77,74.11
75.21,75.25,75.62,75.08
75.24,75.05,75.53,74.31
76.01,76.24,76.90,75.46
76.49,76.75,76.89,76.14
76.52,76.63,76.91,76.33
76.69,76.69,76.78,76.34
76.53,76.15,76.62,75.80
75.87,75.39,75.95,75.04
74.94,74.88,75.22,74.42
75.02,75.31,75.73,74.87
74.80,74.16,74.94,73.77
73.73,73.64,74.07,73.43
74.35,75.03,75.50,74.23
75.09,75.31,75.41,74.64
74.90,75.11,75.49,74.26
74.37,74.18,74.48,73.70
74.76,76.09,76.21,74.56
75.61,75.28,75.68,75.20
74.72,74.80,75.08,73.88
74.11,75.27,75.69,74.04
76.54,78.26,78.49,76.54
78.39,78.70,79.36,78.10
78.42,78.74,78.81,78.29
78.58,78.41,78.80,78.23
79.41,78.54,79.41,78.37
78.66,77.69,79.02,77.35
78.14,77.63,78.21,77.42
78.49,78.40,78.83,78.07
78.84,78.15,78.84,78.11
77.82,78.85,79.01,77.82
78.71,78.95,79.41,78.58
78.83,79.02,79.25,78.59
78.83,78.80,79.08,78.38
79.38,78.90,79.50,78.79
79.03,79.35,79.47,78.56
79.38,79.52,79.70,79.07
79.49,79.50,79.60,79.20
79.37,79.27,79.40,78.98
79.57,79.29,79.57,79.04
79.46,79.10,79.67,79.09
78.92,78.85,79.12,78.61
78.80,78.72,78.82,78.25
79.19,78.99,79.42,78.96
78.59,79.12,79.48,78.40
78.59,79.23,79.56,78.59
79.41,79.15,79.75,79.04
79.14,79.08,79.69,78.63
78.27,78.46,78.69,77.81
78.60,78.92,79.18,78.47
79.57,79.43,79.90,79.24
79.49,79.50,79.76,79.15
79.20,79.08,79.31,78.69
79.28,79.57,79.75,79.19
79.67,79.91,80.00,79.17
79.62,79.55,79.91,78.98
79.90,80.20,80.50,79.76
80.26,81.52,81.54,80.26
81.46,81.73,81.73,80.88
81.68,81.41,81.95,80.76
81.94,82.59,82.99,81.80
82.87,81.43,83.08,80.71
