SBNYW,Signature Bank - Warrants 12/12/2018,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
10.00,18.72,19.25,10.00
18.74,18.75,18.75,18.74
18.60,18.60,18.60,18.60
18.50,18.50,18.50,18.50
18.20,18.98,18.98,18.00
18.98,18.98,18.98,18.98
18.98,18.98,18.98,18.98
18.98,18.98,18.98,18.98
18.98,18.98,18.98,18.98
18.89,18.40,18.89,18.40
18.40,17.80,18.40,17.80
17.62,17.38,17.62,17.38
17.51,17.60,17.61,17.51
17.60,17.60,17.60,17.60
17.60,17.60,17.60,17.60
17.60,17.60,17.60,17.60
17.60,17.60,17.60,17.60
17.60,17.60,17.60,17.60
18.10,18.05,18.20,18.05
18.48,18.40,18.48,18.25
18.40,18.40,18.40,18.40
18.31,18.30,18.31,18.30
18.50,17.99,18.50,17.97
18.09,18.10,18.10,18.09
18.30,18.30,18.30,18.30
17.61,18.70,18.70,17.61
18.84,18.30,18.84,18.30
18.30,18.30,18.30,18.30
18.74,18.50,18.74,18.50
18.80,19.18,19.18,18.80
19.18,19.20,19.20,19.18
19.30,18.95,19.30,18.95
19.50,21.10,21.45,19.50
24.99,19.31,24.99,19.31
20.87,20.55,20.87,20.04
20.99,19.74,20.99,19.74
19.74,19.74,19.74,19.74
18.34,18.34,18.34,18.34
19.71,19.00,19.71,19.00
19.00,19.00,19.00,19.00
18.79,18.58,18.79,17.79
19.00,19.00,19.00,19.00
19.37,19.80,19.80,19.36
19.84,20.43,20.45,19.83
20.25,20.00,20.25,20.00
19.66,19.14,19.66,19.14
19.04,18.75,19.04,18.75
18.85,18.86,19.05,18.48
18.00,18.20,18.20,18.00
17.60,17.00,17.60,17.00
17.25,17.10,17.25,17.00
17.10,16.75,17.10,16.75
16.26,17.14,17.30,16.26
17.50,17.25,18.10,17.24
17.59,17.54,17.60,17.54
17.54,17.54,17.54,17.54
17.54,17.54,17.54,17.54
17.54,17.54,17.54,17.54
18.00,18.00,18.00,17.85
18.00,18.00,18.00,18.00
18.00,18.00,18.00,18.00
16.65,16.68,16.68,16.65
17.15,17.15,17.15,17.15
17.31,17.32,17.32,17.31
17.32,17.32,17.32,17.32
18.26,18.26,18.26,18.26
18.26,18.26,18.26,18.26
18.26,18.26,18.26,18.26
18.26,18.26,18.26,18.26
18.26,18.26,18.26,18.26
18.26,18.26,18.26,18.26
18.26,18.26,18.26,18.26
18.26,18.26,18.26,18.26
18.26,18.26,18.26,18.26
18.30,18.30,18.30,18.30
18.55,18.55,18.55,18.55
18.15,18.15,18.15,18.15
18.15,18.15,18.15,18.15
18.15,18.15,18.15,18.15
18.15,18.15,18.15,18.15
18.15,18.15,18.15,18.15
18.15,18.15,18.15,18.15
18.15,18.15,18.15,18.15
18.15,18.15,18.15,18.15
18.15,18.15,18.15,18.15
18.15,18.15,18.15,18.15
18.15,18.15,18.15,18.15
18.00,18.00,18.00,18.00
18.00,18.00,18.00,18.00
18.00,18.00,18.00,18.00
18.00,18.00,18.00,18.00
18.00,18.00,18.00,18.00
18.00,18.00,18.00,18.00
18.00,18.00,18.00,18.00
18.00,18.00,18.00,18.00
18.80,18.80,18.80,18.80
18.61,18.60,18.61,18.60
18.60,18.60,18.60,18.60
18.60,18.60,18.60,18.60
18.60,18.60,18.60,18.60
18.60,18.60,18.60,18.60
18.60,18.60,18.60,18.60
18.60,18.60,18.60,18.60
18.60,18.60,18.60,18.60
18.60,18.60,18.60,18.60
19.05,19.30,19.30,19.05
19.30,19.30,19.30,19.30
19.30,19.30,19.30,19.30
19.30,19.30,19.30,19.30
19.30,19.30,19.30,19.30
19.30,19.30,19.30,19.30
18.50,18.50,18.50,18.50
18.50,18.50,18.50,18.50
18.50,18.50,18.50,18.50
18.50,18.50,18.50,18.50
18.50,18.50,18.50,18.50
18.50,18.50,18.50,18.50
18.50,18.50,18.50,18.50
18.50,18.50,18.50,18.50
18.50,18.50,18.50,18.50
18.50,18.50,18.50,18.50
18.50,18.50,18.50,18.50
18.50,18.50,18.50,18.50
18.50,18.50,18.50,18.50
17.99,17.51,17.99,17.51
17.51,17.51,17.51,17.51
17.51,17.51,17.51,17.51
17.51,17.51,17.51,17.51
17.51,17.51,17.51,17.51
17.51,17.51,17.51,17.51
17.51,17.51,17.51,17.51
17.51,17.51,17.51,17.51
17.98,17.98,17.98,17.98
17.98,17.98,17.98,17.98
17.98,17.98,17.98,17.98
17.98,17.98,17.98,17.98
17.98,17.98,17.98,17.98
17.98,17.98,17.98,17.98
18.19,18.19,18.19,18.19
17.76,18.22,18.22,17.76
18.30,18.30,18.30,18.30
18.15,18.40,18.40,18.15
18.40,18.40,18.40,18.40
18.40,18.40,18.40,18.40
18.89,18.89,18.89,18.86
18.49,19.01,19.01,18.49
19.01,19.01,19.01,19.01
19.01,19.01,19.01,19.01
19.01,19.01,19.01,19.01
18.70,18.70,18.70,18.70
18.70,18.70,18.70,18.70
18.70,18.70,18.70,18.70
18.70,18.70,18.70,18.70
18.70,18.70,18.70,18.70
19.10,19.10,19.10,19.10
19.10,19.10,19.10,19.10
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
19.50,21.14,21.80,19.50
21.14,21.14,21.14,21.14
21.47,21.47,21.47,21.47
21.48,21.48,21.48,21.48
21.48,21.48,21.48,21.48
21.10,21.10,21.10,21.10
21.45,21.45,21.45,21.45
22.04,22.67,23.05,22.04
23.28,23.55,23.55,23.28
23.55,23.55,23.55,23.55
23.55,23.55,23.55,23.55
23.55,23.55,23.55,23.55
23.55,23.55,23.55,23.55
23.55,23.55,23.55,23.55
21.74,21.83,21.83,21.71
21.83,21.83,21.83,21.83
21.83,21.83,21.83,21.83
21.83,21.83,21.83,21.83
23.01,23.06,23.06,22.99
23.06,23.06,23.06,23.06
23.06,23.06,23.06,23.06
22.75,23.00,23.00,22.75
23.00,23.00,23.00,23.00
22.91,22.91,22.91,22.91
22.91,22.91,22.91,22.91
23.70,23.91,23.96,23.70
23.91,23.91,23.91,23.91
23.91,23.91,23.91,23.91
23.91,23.91,23.91,23.91
24.55,24.55,24.55,24.55
24.79,25.25,25.25,24.79
25.25,25.25,25.25,25.25
25.25,25.25,25.25,25.25
26.00,26.00,26.00,26.00
26.00,26.00,26.00,26.00
26.50,26.49,26.50,26.49
26.60,26.70,26.70,26.50
26.70,26.70,26.70,26.70
26.70,26.70,26.70,26.70
26.70,26.70,26.70,26.70
28.00,28.50,28.50,28.00
28.75,29.00,29.00,28.75
29.00,29.00,29.00,29.00
29.00,29.00,29.00,29.00
29.99,29.99,29.99,29.99
29.99,29.99,29.99,29.99
29.99,29.99,29.99,29.99
29.16,29.20,30.75,29.01
29.14,29.14,29.14,29.14
30.19,28.75,30.19,28.75
27.87,27.03,27.87,27.03
27.03,27.03,27.03,27.03
26.59,26.65,26.65,26.40
26.65,26.65,26.65,26.65
26.65,26.65,26.65,26.65
26.65,26.65,26.65,26.65
26.97,27.00,27.00,26.97
27.00,27.00,27.00,27.00
27.00,27.00,27.00,27.00
27.00,27.00,27.00,27.00
27.00,27.00,27.00,27.00
27.00,27.00,27.00,27.00
28.95,30.75,30.75,28.95
31.00,31.10,31.10,31.00
31.50,32.00,32.00,31.50
30.83,30.45,30.83,28.59
30.50,30.50,30.50,30.50
31.00,31.00,31.10,31.00
30.65,30.72,30.72,30.57
30.44,30.35,30.54,30.35
30.35,30.35,30.35,30.35
30.35,30.35,30.35,30.35
30.35,30.35,30.35,30.35
30.35,30.35,30.35,30.35
30.35,30.35,30.35,30.35
30.35,30.35,30.35,30.35
30.35,30.35,30.35,30.35
30.35,30.35,30.35,30.35
30.35,30.35,30.35,30.35
30.35,30.35,30.35,30.35
31.50,31.30,31.74,31.16
31.15,30.50,31.15,30.42
30.09,30.13,30.13,30.07
29.59,29.49,29.59,29.49
29.49,29.49,29.49,29.49
29.72,29.72,29.72,29.72
29.72,29.72,29.72,29.72
29.72,29.72,29.72,29.72
30.83,30.84,30.85,30.83
31.62,32.05,32.50,31.62
32.05,32.05,32.05,32.05
32.75,32.75,32.75,32.75
32.75,32.75,32.75,32.75
33.47,33.47,33.47,33.47
33.47,33.47,33.47,33.47
33.47,33.47,33.47,33.47
33.47,33.47,33.47,33.47
33.47,33.47,33.47,33.47
33.47,33.47,33.47,33.47
33.47,33.47,33.47,33.47
33.47,33.47,33.47,33.47
33.47,33.47,33.47,33.47
33.47,33.47,33.47,33.47
33.47,33.47,33.47,33.47
33.10,33.10,33.10,33.10
33.10,33.10,33.10,33.10
33.10,33.10,33.10,33.10
33.10,33.10,33.10,33.10
33.10,33.10,33.10,33.10
34.00,34.00,34.00,34.00
35.49,35.49,35.49,35.49
35.49,35.49,35.49,35.49
35.49,35.49,35.49,35.49
34.04,33.79,34.07,33.79
33.42,33.69,33.92,33.42
33.65,33.49,33.66,33.49
33.49,33.49,33.49,33.49
33.49,33.49,33.49,33.49
32.93,32.84,32.93,32.84
32.84,32.84,32.84,32.84
32.84,32.84,32.84,32.84
32.84,32.84,32.84,32.84
32.84,32.84,32.84,32.84
32.84,32.84,32.84,32.84
32.84,32.84,32.84,32.84
34.66,34.30,34.69,34.30
35.37,35.50,35.50,35.37
35.39,35.39,35.39,35.39
35.39,35.39,35.39,35.39
35.39,35.39,35.39,35.39
35.39,35.39,35.39,35.39
35.39,35.39,35.39,35.39
33.00,32.25,33.00,32.25
32.70,32.70,32.70,32.70
32.70,32.70,32.70,32.70
32.69,32.50,32.69,32.50
32.24,31.99,32.32,31.99
31.99,31.99,31.99,31.99
31.99,31.99,31.99,31.99
32.00,32.00,32.00,32.00
32.00,32.00,32.00,32.00
32.00,32.00,32.00,32.00
32.41,32.06,32.41,32.06
32.06,32.06,32.06,32.06
31.60,31.60,31.60,31.60
31.60,31.60,31.60,31.60
31.60,31.60,31.60,31.60
32.79,32.79,32.79,32.77
32.79,32.79,32.79,32.79
32.79,32.79,32.79,32.79
32.93,32.45,32.93,32.45
32.45,32.45,32.45,32.45
32.45,32.45,32.45,32.45
31.50,31.25,31.50,31.25
31.59,31.59,31.59,31.59
