NVGN,Novogen Limited - American Depositary Shares each representing twenty five Ordinary Shares,NASDAQ
2.50,2.50,2.52,2.47
2.61,2.47,2.61,2.44
2.43,2.51,2.51,2.36
2.51,2.43,2.51,2.40
2.44,2.75,2.75,2.44
2.90,2.92,3.00,2.75
2.92,2.85,2.92,2.64
2.66,2.83,2.83,2.66
2.76,2.68,2.76,2.66
2.72,2.73,2.76,2.72
2.75,2.79,2.95,2.70
2.71,2.63,2.76,2.53
2.73,2.83,2.83,2.73
2.75,2.68,2.75,2.55
2.70,2.60,2.72,2.52
2.51,2.52,2.55,2.50
2.51,2.74,2.74,2.50
2.60,2.65,2.68,2.53
2.64,2.64,2.64,2.49
2.60,2.60,2.60,2.48
2.56,2.56,2.56,2.46
2.42,2.46,2.56,2.38
2.38,2.31,2.45,2.31
2.27,2.35,2.37,2.25
2.25,2.38,2.50,2.25
2.36,2.34,2.45,2.31
2.36,2.36,2.50,2.35
2.36,2.30,2.36,2.25
2.29,2.30,2.33,2.25
2.26,2.33,2.40,2.26
2.29,2.38,2.38,2.18
2.32,2.42,2.49,2.32
2.50,2.40,2.50,2.36
2.40,2.40,2.40,2.40
2.18,2.19,2.37,2.18
2.11,2.14,2.33,2.07
2.14,2.28,2.35,2.11
2.28,2.20,2.32,2.20
2.20,2.19,2.20,2.15
2.16,2.19,2.23,2.16
2.15,2.24,2.24,2.15
2.10,2.24,2.24,2.10
2.24,2.14,2.24,2.10
2.14,2.18,2.19,2.10
2.13,2.04,2.15,2.04
2.04,2.01,2.04,2.01
2.01,2.00,2.02,1.96
2.04,2.00,2.04,1.96
2.00,1.98,2.00,1.90
1.98,1.99,2.00,1.98
1.99,2.08,2.15,1.99
2.11,2.08,2.15,2.05
2.00,2.00,2.02,1.91
2.02,2.02,2.03,1.97
1.92,2.02,2.10,1.92
2.02,2.02,2.02,2.02
2.11,2.07,2.11,2.05
2.11,2.21,2.25,2.11
2.21,2.15,2.21,2.07
1.96,2.05,2.10,1.96
2.02,2.00,2.18,2.00
2.09,1.94,2.09,1.94
2.19,2.01,2.19,1.90
2.00,1.90,2.04,1.87
1.99,1.94,1.99,1.93
1.97,1.99,1.99,1.97
1.99,1.99,2.00,1.90
1.91,1.86,2.25,1.75
1.90,1.76,1.98,1.76
1.80,1.87,1.93,1.80
1.87,1.97,1.97,1.85
1.97,1.95,2.00,1.82
