SHPG,Shire plc - American Depositary Shares,NASDAQ
59.27,59.66,59.71,58.96
58.70,58.55,59.01,58.38
58.67,58.83,59.13,58.55
58.79,59.41,59.53,58.67
59.14,59.09,59.19,58.62
59.87,60.01,60.48,59.64
59.67,59.79,60.12,59.60
60.34,60.08,60.62,60.00
60.71,60.94,61.01,60.59
59.86,59.46,59.99,59.17
60.37,60.17,60.54,60.07
61.86,61.64,62.24,60.94
61.79,60.54,61.97,59.89
59.90,59.19,60.20,59.11
59.38,59.39,59.75,59.08
59.71,60.22,60.42,59.50
59.86,60.09,60.15,59.64
59.93,59.44,59.98,58.91
59.26,59.60,59.97,59.16
59.97,60.88,61.01,59.94
60.84,60.81,60.95,60.46
60.40,60.16,60.51,59.94
60.53,59.12,60.53,58.99
58.45,57.64,58.57,56.93
58.00,57.69,58.08,57.63
58.54,58.49,58.87,58.15
58.70,57.85,58.75,57.73
58.61,59.52,60.00,58.15
59.00,59.66,59.80,58.57
59.94,60.60,60.70,59.81
61.15,60.62,61.24,60.51
60.84,60.96,61.43,60.60
65.00,63.85,65.00,62.89
63.59,64.44,64.76,63.29
63.29,63.38,63.59,63.10
63.02,63.38,63.45,62.95
63.23,64.42,64.53,62.88
63.55,64.52,64.71,63.53
64.30,64.91,65.07,64.12
65.36,65.49,65.83,65.18
66.17,66.79,66.91,66.13
67.36,66.88,67.45,66.49
66.43,66.75,66.97,66.41
66.75,66.48,66.86,66.27
65.99,66.20,66.37,65.77
65.89,65.82,66.28,65.51
65.57,65.94,65.99,65.43
66.07,66.83,67.02,65.80
66.23,67.04,67.04,66.14
66.53,67.31,67.62,66.35
66.34,66.51,66.80,66.11
66.50,66.88,66.92,66.36
66.65,66.39,66.65,65.86
66.31,66.92,67.13,66.24
66.67,67.00,67.08,66.50
67.26,67.30,67.67,66.99
68.15,67.27,68.24,67.17
67.27,66.80,67.40,66.48
66.71,66.47,66.81,66.30
66.22,65.78,66.40,65.47
66.01,66.01,66.33,65.85
66.36,66.26,66.64,65.92
66.66,66.45,66.76,66.27
65.97,66.30,66.68,65.85
66.43,66.21,66.60,65.95
66.47,66.29,66.47,66.09
66.78,66.94,66.99,66.58
66.86,66.70,66.95,66.49
66.65,66.11,66.65,65.98
66.37,66.33,66.52,66.13
67.59,67.69,68.07,67.38
67.74,68.05,68.19,67.53
67.43,67.40,67.52,66.79
68.02,68.02,68.18,67.74
67.84,67.02,67.93,66.43
66.18,65.29,66.23,64.62
65.97,66.67,66.75,65.58
67.93,67.74,68.35,67.73
67.41,66.78,67.91,66.75
67.08,66.91,67.36,65.94
67.40,66.31,67.72,66.21
66.94,65.84,66.97,65.79
65.96,65.95,66.32,65.33
66.47,65.77,66.49,65.39
65.39,64.90,65.49,64.61
64.49,63.18,64.87,60.21
62.23,62.62,63.21,61.27
65.47,64.37,65.82,63.92
63.21,64.01,65.01,63.05
65.54,66.22,66.31,65.16
64.51,63.61,64.83,63.37
63.80,62.82,63.82,62.00
62.81,63.10,63.27,61.39
62.56,61.42,63.09,61.31
61.08,61.36,61.74,60.62
59.49,58.91,59.83,58.70
57.39,58.63,58.72,57.15
58.25,58.21,58.77,57.93
57.20,57.94,58.11,56.60
58.38,58.00,58.89,57.68
59.61,60.81,60.84,59.43
61.88,61.21,61.95,60.77
61.64,60.91,62.31,60.91
62.67,64.15,64.18,62.37
64.73,63.90,64.81,63.18
62.85,61.44,63.00,61.11
61.95,61.04,62.10,60.93
60.62,61.11,61.13,60.12
62.03,61.60,62.58,61.37
63.00,62.65,63.13,62.19
62.15,62.00,62.72,61.90
63.23,62.70,63.30,62.59
63.59,63.57,63.67,63.23
64.56,64.38,65.08,64.08
64.65,64.47,64.70,64.16
64.15,64.05,64.37,63.95
64.23,63.54,64.45,63.22
64.01,63.11,64.23,63.04
63.69,63.80,63.97,63.04
63.44,63.46,64.10,63.10
63.28,63.91,64.26,63.09
63.56,63.57,64.11,63.34
62.68,62.06,62.76,61.54
