IWN,iShares Russell 2000 Value ETF,NASDAQ
58.95,59.57,59.66,58.95
59.50,59.35,59.73,59.05
59.27,59.23,59.63,59.09
59.21,59.93,59.95,58.78
59.66,60.26,60.26,59.57
60.43,59.92,60.59,59.78
59.60,59.20,59.82,59.00
59.44,60.09,60.18,59.03
59.85,60.34,60.53,59.76
60.33,59.56,60.47,59.09
59.67,60.70,60.72,59.67
60.25,59.83,60.25,59.14
59.91,58.87,60.34,58.68
58.79,57.74,59.03,57.51
58.11,57.88,58.17,57.45
57.61,57.33,58.18,57.21
57.05,57.88,58.00,56.75
58.07,56.94,58.10,56.43
57.17,56.43,57.92,56.29
56.64,57.06,57.15,56.49
57.14,57.67,57.75,56.85
57.38,57.18,57.70,56.70
56.75,55.27,56.76,55.21
55.32,55.51,55.56,54.28
55.27,54.89,55.81,54.80
55.51,55.64,55.98,54.92
55.50,55.73,55.91,54.87
55.57,56.53,56.60,55.12
56.07,56.96,56.96,55.85
57.56,58.03,58.11,57.06
58.41,58.43,58.56,58.02
58.44,59.03,59.04,58.30
58.78,59.26,59.52,58.73
59.55,59.53,59.67,59.25
59.40,58.76,59.57,58.58
58.94,59.31,59.55,58.79
58.50,59.35,59.40,58.22
59.41,58.99,59.45,58.74
59.49,60.29,60.34,59.43
60.58,60.83,61.08,60.46
61.04,61.03,61.43,60.83
61.17,61.31,61.34,60.90
61.66,62.57,62.65,61.46
62.63,62.70,62.90,62.50
62.52,62.98,63.39,62.49
63.03,63.51,63.83,62.99
63.10,63.61,63.74,62.84
63.95,63.56,63.95,63.23
63.55,63.31,63.64,62.88
63.65,63.97,64.01,63.28
64.14,64.48,64.84,64.14
64.45,64.28,64.79,64.13
63.44,63.44,64.49,63.21
62.93,64.27,64.38,62.81
64.35,65.04,65.07,63.97
64.51,64.27,64.78,64.23
64.75,63.77,65.23,63.73
64.01,63.85,64.53,63.58
64.10,64.17,64.36,63.83
64.25,64.32,64.68,63.89
64.11,63.84,64.78,63.79
64.27,64.47,64.61,63.78
64.71,65.81,65.81,64.46
65.57,66.31,66.46,65.44
66.30,66.26,66.66,65.80
66.01,66.24,66.52,65.54
66.35,66.60,66.67,65.92
66.70,66.83,67.04,66.49
66.66,67.08,67.09,66.26
67.46,68.47,68.50,67.32
68.40,68.70,68.84,68.34
68.46,67.64,68.61,67.11
67.24,67.47,67.92,66.34
67.75,68.37,68.37,67.44
68.37,68.91,69.04,68.19
68.16,69.83,69.92,67.90
69.93,70.78,70.84,69.58
70.82,70.46,71.27,70.45
70.21,68.63,70.82,68.51
69.08,68.83,69.35,68.53
69.42,70.41,70.45,69.00
70.44,68.19,70.51,68.19
68.71,69.81,69.86,68.64
68.80,67.52,68.86,67.05
66.80,66.50,67.52,65.98
65.95,63.89,66.76,30.98
63.22,62.11,64.29,61.40
65.41,65.76,65.80,64.65
64.76,66.19,67.19,64.66
66.61,68.23,68.33,66.43
68.10,67.45,68.58,67.16
66.98,66.10,67.00,65.22
66.49,66.10,67.13,64.28
