GWR,Genesee & Wyoming Inc. Class A Common Stock,NASDAQ
45.67,44.99,45.67,44.67
45.40,44.73,45.54,44.32
44.97,45.03,45.14,44.53
44.15,44.42,44.96,43.86
44.78,45.51,45.91,44.74
45.85,45.48,46.14,44.66
45.69,46.03,46.14,45.48
46.25,45.88,46.58,45.75
45.48,46.12,46.27,45.31
45.77,45.24,45.78,44.24
45.65,45.46,45.94,44.88
45.26,46.23,46.45,45.11
46.35,45.83,47.30,45.18
46.26,46.13,46.69,45.37
46.41,46.00,46.65,45.31
46.74,46.01,47.19,45.88
46.09,46.20,46.81,46.00
46.06,46.47,46.70,46.04
46.51,45.69,46.65,45.51
45.82,46.32,46.32,45.36
45.56,46.18,46.34,45.42
45.62,45.05,46.20,45.00
45.12,45.41,46.20,45.12
44.96,44.66,45.16,44.30
44.82,44.93,45.04,44.39
45.59,46.60,46.74,45.59
46.60,46.20,46.70,46.10
46.00,46.18,46.52,45.70
45.41,45.76,45.87,44.83
45.77,47.22,47.51,45.77
46.95,47.31,47.49,46.90
47.05,47.51,47.62,46.42
46.88,47.49,47.90,46.69
48.00,48.85,49.31,47.77
48.85,49.06,49.27,48.65
48.93,49.30,49.41,48.76
49.17,49.22,49.35,48.57
49.61,50.11,50.78,49.61
50.15,49.55,50.19,49.38
50.01,50.33,50.44,49.65
50.50,50.77,50.84,50.10
50.80,50.30,51.00,50.23
50.51,50.32,50.98,50.18
50.28,50.47,51.54,50.27
50.55,51.38,51.52,50.16
51.44,51.46,51.58,50.83
51.62,51.28,51.80,51.00
51.59,52.23,52.26,51.53
52.59,52.52,52.73,52.18
52.56,52.34,52.98,52.19
52.00,52.99,53.10,51.98
53.06,52.88,53.41,52.62
53.08,53.05,53.28,52.80
52.96,52.97,53.42,52.83
52.94,52.95,53.36,52.71
53.81,53.41,54.52,53.00
53.64,52.06,53.64,50.91
52.00,52.97,53.25,51.71
53.06,52.57,53.12,52.23
52.76,53.16,53.24,51.97
52.81,53.02,53.09,52.09
53.25,52.90,53.25,52.36
53.50,53.24,53.50,52.85
53.47,54.72,54.74,53.18
54.88,54.76,54.88,54.03
54.56,54.65,54.70,54.12
54.52,53.62,54.70,53.38
53.30,52.57,53.34,52.22
52.90,52.13,53.19,51.85
52.07,52.13,52.29,51.71
51.70,51.37,51.87,51.01
51.65,53.15,53.19,51.48
53.08,52.70,53.44,52.41
52.62,50.82,52.77,50.77
51.06,51.75,51.90,51.00
52.25,52.92,53.03,52.23
52.67,52.27,53.21,52.21
52.12,51.68,52.48,51.57
51.60,52.31,52.31,51.38
52.32,52.81,53.26,52.14
52.81,52.88,53.77,52.08
52.57,51.99,52.70,51.72
51.69,52.29,52.38,51.50
51.98,53.05,53.06,51.81
53.13,53.00,53.13,52.39
52.85,53.27,53.34,52.52
53.36,53.74,54.00,53.16
53.65,54.68,54.78,53.31
55.00,54.73,55.11,54.10
54.10,52.87,54.68,52.75
52.89,51.52,53.00,50.49
51.60,50.80,51.60,50.42
50.98,51.66,51.69,50.78
52.00,52.09,52.32,51.63
52.10,50.84,52.22,50.54
50.75,52.03,52.08,50.75
52.82,53.90,54.12,52.54
54.03,53.30,54.03,53.00
53.70,53.01,53.70,52.69
52.99,54.44,54.76,52.91
54.37,55.18,55.32,53.50
54.20,53.82,54.38,53.49
53.42,53.93,54.23,53.19
53.25,53.19,53.86,52.59
51.50,52.37,52.92,51.50
52.10,52.61,53.54,51.77
53.31,53.12,54.07,53.07
53.96,54.28,55.05,53.71
55.09,55.96,55.96,54.87
56.00,55.78,56.21,55.55
55.78,55.72,56.08,55.05
56.08,56.23,56.31,55.51
56.43,57.63,58.07,56.34
58.04,58.24,58.67,57.70
58.13,58.45,58.81,57.98
58.88,58.29,59.04,58.22
58.20,58.20,58.55,57.91
58.71,57.94,59.38,57.74
57.96,58.66,59.16,57.96
58.47,58.47,59.01,58.05
58.73,58.37,58.90,57.91
58.29,57.51,58.33,57.29
57.87,56.79,57.90,56.32
56.84,56.42,56.93,56.23
56.00,57.00,57.02,55.65
57.36,58.18,58.39,57.01
57.56,58.34,58.51,57.42
58.34,59.20,59.53,57.87
58.45,58.32,58.57,57.72
58.60,58.65,58.84,58.22
59.51,59.15,59.60,58.29
59.58,59.43,59.73,58.82
59.27,59.19,59.34,58.60
59.30,60.62,60.78,59.24
60.54,60.62,60.80,60.08
60.96,61.69,63.73,60.96
62.89,61.98,62.89,61.37
62.39,61.96,62.69,61.71
61.81,61.44,62.18,61.04
61.39,59.82,61.81,59.55
58.74,59.06,59.87,58.23
59.65,59.57,60.18,59.29
59.63,60.03,60.12,59.22
60.25,61.21,61.27,60.08
61.15,59.97,61.31,59.74
59.78,60.24,60.52,59.01
60.28,59.07,60.50,58.66
58.49,57.32,58.71,57.29
57.00,56.65,57.18,56.07
56.67,58.02,58.10,56.14
58.03,58.78,59.23,58.03
58.62,58.24,58.92,58.01
57.36,56.97,57.40,56.62
57.04,56.32,57.23,56.22
56.12,57.09,57.25,55.96
56.84,57.88,58.01,56.54
58.15,58.36,58.73,57.98
59.12,59.35,59.35,58.26
59.13,57.08,59.26,56.97
57.30,57.47,58.02,56.98
56.41,56.41,56.83,56.22
56.43,55.79,56.97,55.55
56.12,55.59,56.32,55.58
55.31,55.24,55.61,54.89
55.46,55.82,56.21,55.32
