LULU,lululemon athletica inc. - Common Stock,NASDAQ
30.87,30.91,31.54,30.59
30.99,31.83,31.86,30.90
31.85,32.50,32.65,31.69
32.51,32.31,32.95,31.79
32.24,32.27,32.64,31.77
32.40,31.81,32.40,31.50
31.50,31.35,31.80,31.05
31.65,32.32,32.41,31.38
32.33,31.86,32.55,31.83
31.97,31.14,32.14,30.72
31.06,31.67,31.67,30.52
31.10,31.53,31.63,30.64
31.53,31.49,31.92,31.17
31.10,30.04,31.15,29.72
30.26,29.06,30.60,28.60
29.03,29.02,29.29,28.75
28.83,29.07,29.28,28.62
29.28,28.35,29.46,28.04
28.43,28.24,29.13,27.99
28.30,28.35,28.65,28.19
28.30,29.20,29.27,28.24
28.89,28.96,29.18,28.51
28.62,27.25,28.70,27.20
27.19,26.27,27.25,25.75
26.59,26.57,26.89,26.21
26.99,27.49,27.68,26.89
27.41,27.21,27.66,27.00
27.03,27.92,28.13,26.92
27.61,28.35,28.52,27.35
28.55,28.84,28.92,28.37
28.93,28.74,29.07,28.43
28.64,29.19,29.30,28.36
29.19,29.09,29.25,28.94
29.12,28.32,29.25,28.32
28.19,27.93,28.51,27.80
27.95,28.40,28.43,27.68
27.81,29.12,29.17,27.81
29.14,28.65,29.89,28.62
29.01,30.22,30.45,28.82
30.42,31.04,31.14,30.11
31.11,31.24,31.41,30.84
31.17,31.83,31.90,31.03
31.98,32.88,33.22,31.87
33.02,33.06,33.29,32.53
33.05,33.70,33.98,32.97
33.50,33.71,33.79,33.17
33.44,34.17,34.17,33.24
34.59,35.16,36.09,34.40
35.21,35.67,36.00,35.00
35.96,35.53,36.30,35.20
35.63,35.25,35.85,35.07
35.33,34.83,35.51,34.30
33.50,33.50,35.07,33.36
33.36,35.04,35.07,32.80
35.25,36.23,36.58,35.17
36.15,36.05,36.89,35.52
39.95,39.40,40.95,38.86
39.02,40.57,40.80,38.69
40.90,41.22,41.34,39.70
41.22,41.90,42.40,40.70
41.42,41.48,41.96,41.14
41.64,41.69,42.08,41.13
42.04,42.57,42.69,41.76
42.66,43.08,43.27,42.33
43.10,42.58,43.36,42.24
42.50,42.86,43.32,42.22
43.07,43.66,43.66,42.51
43.75,44.37,44.54,43.60
44.36,43.05,44.47,43.00
43.70,43.81,44.05,41.66
43.36,45.07,45.61,43.36
44.94,44.62,45.24,44.06
44.46,42.33,44.66,41.67
42.61,41.92,43.53,41.88
42.18,41.41,42.55,40.66
