CYTX,Cytori Therapeutics Inc - Common Stock,NASDAQ
91.95,93.30,94.35,91.35
93.60,94.20,95.25,91.80
94.50,95.40,98.25,93.30
96.15,97.20,97.50,93.45
112.05,108.90,116.70,106.05
110.85,114.30,115.65,108.00
116.55,108.30,118.35,106.65
110.25,123.00,124.35,108.30
126.00,123.99,127.20,118.80
125.55,123.60,125.55,120.00
126.00,134.25,134.70,123.38
136.50,141.00,142.50,133.05
142.50,134.85,142.50,132.75
136.05,123.30,136.35,123.00
126.75,122.55,129.75,120.45
123.90,120.30,124.35,117.60
122.40,120.45,122.55,115.05
122.25,115.65,122.40,114.00
117.75,101.10,117.90,100.05
101.10,104.10,105.30,95.70
105.60,108.60,110.40,105.00
108.15,107.55,109.35,103.95
113.85,103.95,114.75,102.15
103.35,100.65,103.95,95.85
100.95,101.40,103.80,97.50
102.00,102.60,105.00,101.55
102.60,104.10,104.55,101.25
105.90,110.70,111.00,102.60
109.50,110.70,111.60,107.25
113.55,114.30,116.25,111.75
115.20,113.85,115.65,113.25
112.80,110.40,113.85,106.95
109.65,107.70,110.25,106.95
107.70,105.00,110.10,104.40
104.55,102.90,105.00,99.90
102.15,103.95,105.60,102.15
103.05,102.60,104.10,100.35
102.30,104.25,107.70,101.42
105.00,107.10,108.75,105.00
108.60,105.45,108.60,105.00
105.30,106.80,107.25,105.00
106.65,106.50,108.00,105.00
107.10,108.45,108.60,106.95
109.50,112.05,116.40,109.05
113.85,112.80,116.10,111.75
113.25,113.70,114.00,112.20
113.70,112.50,113.70,110.10
105.00,90.30,105.00,82.50
82.35,78.75,84.98,75.15
78.90,76.95,80.10,76.65
76.65,72.30,77.40,69.82
72.30,75.30,76.20,72.30
75.45,72.00,76.35,71.25
72.00,69.45,72.00,66.00
70.50,75.00,75.45,69.75
74.10,71.70,75.00,71.25
72.15,70.20,73.95,69.90
70.20,68.85,70.80,68.40
67.80,70.05,71.10,67.80
71.25,68.70,71.25,67.50
67.80,68.40,68.55,66.15
N/A,N/A,N/A,N/A
66.75,69.30,69.75,66.45
69.75,73.65,74.25,68.55
74.40,69.60,74.40,69.15
69.15,70.20,72.60,69.15
70.50,69.90,72.00,69.75
69.60,70.20,71.25,69.45
69.75,70.05,70.65,69.45
70.50,71.25,71.55,69.60
71.70,72.30,73.20,70.50
72.45,72.15,76.50,70.65
72.00,70.65,73.05,70.50
71.10,73.20,74.55,70.65
73.95,81.00,81.30,73.35
80.40,82.35,83.70,76.65
83.55,87.30,90.00,81.75
88.20,83.85,91.20,83.18
83.55,81.60,86.85,80.10
82.50,81.45,83.10,79.80
82.20,85.35,86.66,80.25
85.35,84.60,89.25,84.60
87.00,87.90,91.80,85.50
88.50,90.15,91.05,87.15
90.90,88.35,91.50,87.36
88.05,81.75,89.55,78.00
87.00,80.85,87.00,70.80
85.50,81.60,85.50,78.45
80.85,76.05,81.00,75.45
76.95,79.50,80.70,75.15
79.05,80.55,82.05,79.05
79.50,77.25,79.50,75.60
78.00,77.25,78.15,75.30
78.30,76.05,78.75,75.00
76.05,71.25,76.20,68.70
71.25,64.80,71.25,64.20
63.45,64.80,66.10,61.05
66.45,70.20,70.80,66.45
67.05,69.60,69.60,65.10
71.70,66.00,71.70,65.70
68.85,71.25,71.25,66.75
71.25,69.75,73.05,68.70
68.85,65.10,69.15,65.10
65.40,68.18,68.40,65.40
68.55,67.95,69.52,66.15
67.50,66.30,70.50,64.50
66.90,61.58,68.70,61.35
61.50,57.00,63.60,54.30
57.00,54.30,59.25,52.80
55.35,59.18,59.25,54.90
58.35,60.68,60.75,57.00
61.65,68.25,73.80,61.50
68.55,67.50,68.55,64.05
67.05,63.75,67.50,63.15
64.50,62.25,64.95,59.55
62.70,62.10,63.00,59.85
63.15,59.85,63.15,57.75
60.15,55.65,60.15,55.50
55.95,55.95,57.90,53.25
55.80,55.95,57.45,54.15
56.55,58.80,58.95,54.45
58.50,54.45,59.40,54.22
53.55,52.05,54.30,51.30
52.20,52.20,53.85,51.45
52.20,52.35,52.50,47.25
52.65,52.05,52.80,50.10
54.75,51.15,56.85,51.15
51.60,55.20,55.20,51.15
57.00,56.40,57.00,52.95
56.40,56.10,56.85,53.40
55.95,55.50,56.70,54.75
56.55,58.65,58.80,55.95
58.65,60.15,60.75,58.50
60.60,61.20,61.35,58.80
60.45,57.15,60.47,57.00
57.60,55.80,58.20,55.50
55.50,59.25,59.40,55.20
60.00,57.75,60.75,57.00
58.50,60.45,61.05,58.50
60.30,64.65,64.65,58.95
65.10,70.05,70.50,64.95
72.75,72.75,75.40,70.50
72.90,70.50,72.90,70.50
72.75,70.65,72.75,69.00
69.00,71.70,73.05,67.80
72.90,73.50,74.85,71.85
73.35,75.75,77.25,72.00
76.50,78.45,81.45,75.00
78.75,75.00,79.05,75.00
78.30,75.30,78.90,72.15
76.50,73.95,76.50,71.85
73.20,71.40,74.10,70.35
70.95,64.20,70.95,64.20
64.50,64.05,67.50,63.75
64.50,64.65,65.85,64.50
64.95,68.40,68.40,64.95
69.75,71.25,71.70,69.30
72.00,73.50,74.40,72.00
76.95,76.95,78.90,75.00
77.70,75.15,77.85,74.25
77.25,71.25,77.25,71.25
70.35,66.90,70.35,66.75
66.60,74.10,74.25,66.00
74.55,71.10,75.45,70.95
72.45,71.85,72.60,69.60
71.70,68.85,72.90,68.70
69.00,67.65,70.05,67.35
68.85,72.00,72.30,68.55
72.30,71.70,73.20,71.25
72.60,72.15,72.75,71.24
71.55,69.30,71.66,69.30
69.75,69.45,70.35,68.55
70.65,72.00,73.50,70.65
72.15,74.40,74.55,72.15
75.00,74.40,75.00,73.35
74.25,72.60,74.40,72.60
72.00,73.05,73.50,70.35
72.60,72.15,73.95,70.95
73.65,74.70,75.88,71.55
75.15,77.70,78.45,74.25
77.25,74.10,77.68,73.95
73.95,75.60,76.05,73.95
75.60,75.00,78.45,73.77
76.50,76.20,77.10,74.70
77.25,73.95,77.25,73.65
73.95,75.45,76.05,73.20
76.35,74.70,76.35,73.50
75.15,73.35,75.45,72.75
74.55,72.75,74.55,71.25
72.75,70.50,72.90,70.50
71.70,74.70,74.85,70.50
74.70,77.70,77.85,74.55
78.60,80.10,80.25,78.15
70.05,71.55,74.55,69.30
71.40,70.95,72.00,70.20
70.80,70.20,71.25,69.90
70.95,71.85,72.60,70.20
72.00,71.85,72.15,71.25
72.75,71.10,72.75,70.65
71.85,75.60,75.75,71.55
75.15,74.10,77.70,73.50
74.85,76.20,77.10,74.10
76.95,76.20,77.85,75.30
76.80,76.50,77.85,75.60
78.30,81.60,81.75,77.40
80.55,80.10,80.97,78.30
79.50,77.10,79.80,75.75
78.30,74.40,78.30,74.10
74.55,73.16,75.30,72.30
73.95,70.50,74.48,69.45
71.85,71.55,72.75,68.40
71.85,71.70,72.45,70.05
73.20,71.40,73.80,71.25
70.05,67.35,70.35,66.75
67.35,65.70,67.65,64.20
65.70,63.15,65.70,63.00
63.60,67.05,67.20,61.05
67.20,69.15,70.42,66.45
69.15,66.45,71.10,66.45
67.20,70.65,71.25,66.60
71.55,67.05,71.70,66.75
67.50,67.20,68.55,66.00
68.70,67.50,70.05,66.90
67.50,67.80,68.40,66.75
67.65,69.15,69.75,67.20
68.40,67.95,68.70,67.50
69.15,69.30,70.20,68.10
69.15,68.40,69.75,68.25
68.40,68.25,68.85,66.75
67.05,67.35,69.45,66.75
68.40,69.00,70.35,67.50
69.75,68.85,70.50,68.40
67.80,73.80,74.10,67.65
73.20,78.00,78.75,73.20
84.45,81.30,86.25,79.65
81.30,77.10,81.45,76.71
79.20,78.15,79.50,77.25
78.75,80.40,80.55,76.20
80.55,78.45,81.22,78.30
78.45,77.70,78.45,76.95
77.40,77.25,78.45,76.65
77.25,78.75,78.75,76.65
78.60,79.35,81.75,78.30
79.50,84.60,85.05,78.90
84.75,88.35,92.25,84.75
88.35,81.15,88.35,81.00
82.50,82.50,83.85,80.40
82.50,80.40,83.25,79.20
80.70,79.50,82.05,78.30
79.50,78.30,80.40,78.30
78.15,78.30,78.75,77.25
78.30,77.85,81.00,77.85
79.20,80.85,81.00,78.75
81.30,79.20,81.30,77.70
78.75,81.75,81.90,78.30
81.60,82.50,82.50,80.85
82.95,87.60,88.50,82.35
87.45,85.65,87.45,84.69
85.95,86.10,86.40,84.75
86.85,83.85,87.15,82.80
83.55,83.25,85.35,82.50
83.40,84.75,85.20,83.10
84.45,85.50,85.50,83.25
85.35,83.10,86.10,82.50
84.75,80.40,85.80,78.90
85.20,81.00,85.20,81.00
