IGOV,iShares S&P/Citigroup International Treasury Bond Fund,NASDAQ
103.78,103.66,103.84,103.39
103.53,103.76,104.03,103.53
103.45,103.39,103.59,103.05
103.17,103.06,103.17,102.77
103.76,103.83,103.83,103.13
104.26,104.58,104.65,104.26
104.67,104.82,105.05,104.52
104.71,104.72,104.75,104.64
104.55,104.88,104.88,104.39
104.36,104.40,104.44,104.17
103.91,103.75,103.95,103.52
103.16,102.72,103.16,102.46
102.68,102.92,103.49,102.13
103.69,103.55,107.60,102.34
103.49,103.49,103.49,103.09
103.11,103.38,103.52,103.00
103.40,102.85,103.40,102.72
102.76,102.10,102.76,102.09
102.19,101.94,102.19,101.65
102.27,101.97,102.27,101.67
102.82,102.47,102.82,102.31
102.05,101.75,102.05,101.50
101.69,101.14,101.69,101.04
100.89,100.53,101.29,100.43
100.78,100.99,101.05,100.69
101.12,101.59,101.59,101.12
101.69,101.63,101.72,101.18
101.48,101.54,101.54,101.00
100.88,101.11,101.11,100.88
100.74,101.37,101.66,100.59
101.31,100.51,101.31,100.51
102.00,100.40,102.00,100.21
99.54,100.02,100.12,99.52
100.16,100.46,100.46,100.16
100.73,100.56,100.73,100.26
101.01,100.74,101.20,100.52
100.92,101.26,101.26,100.75
101.46,101.73,101.93,101.39
100.93,101.26,101.26,100.74
101.49,101.45,101.67,101.00
101.61,102.35,102.35,101.61
101.63,101.43,101.96,101.27
101.31,101.52,101.52,100.94
101.35,101.01,101.55,100.89
101.37,101.18,101.50,101.18
101.07,101.46,101.60,101.07
101.03,101.51,101.51,101.03
101.75,102.03,102.06,101.39
101.95,101.75,101.95,101.71
101.75,102.48,102.48,101.75
102.15,102.46,102.67,102.15
102.12,101.77,102.16,101.45
101.01,101.01,101.30,101.00
100.71,101.50,101.50,100.71
101.42,101.40,101.72,101.23
100.10,99.97,100.17,99.78
99.89,99.36,99.97,99.21
99.68,99.97,100.04,99.39
100.44,100.08,100.44,100.03
100.33,99.85,100.33,99.78
100.77,100.31,100.77,100.31
100.46,100.83,100.83,100.29
100.37,100.20,100.45,99.95
99.56,99.50,99.63,99.28
99.50,99.59,99.60,99.16
99.54,99.30,99.79,99.30
99.32,100.00,100.00,99.32
100.76,100.71,100.85,100.50
101.13,100.73,101.13,100.64
103.06,101.25,103.06,100.79
100.63,100.62,100.80,100.51
100.58,100.36,100.79,100.28
99.97,100.40,100.47,99.97
100.31,99.99,100.31,99.79
99.78,99.78,99.78,99.51
99.24,99.21,99.24,98.82
98.64,99.02,99.20,98.55
98.30,98.78,98.78,98.28
98.49,97.96,98.54,97.96
97.91,97.11,97.91,96.98
98.08,98.10,98.40,98.00
98.89,98.78,98.89,98.35
98.24,97.95,98.24,97.64
97.31,97.04,97.31,96.78
95.56,96.16,96.24,95.56
95.53,95.98,95.98,95.03
95.00,95.47,95.57,94.56
97.28,96.45,97.84,96.22
96.55,96.59,96.62,96.27
96.46,96.75,96.86,96.26
96.37,96.40,96.48,96.12
96.29,95.75,96.29,95.53
95.43,95.13,95.43,95.04
95.72,94.44,95.72,94.37
95.38,95.89,95.89,95.36
96.10,97.00,97.00,96.10
97.11,97.45,97.55,97.05
96.48,96.03,96.48,96.03
95.55,96.32,96.32,95.55
95.66,95.15,95.66,95.15
95.14,95.87,95.87,94.86
95.00,95.35,95.70,95.00
94.75,94.73,95.23,94.73
94.36,94.11,94.55,93.96
94.31,94.00,94.31,93.96
93.47,93.25,93.47,92.97
92.81,92.73,92.82,92.55
92.79,93.00,93.13,92.49
93.22,93.46,93.55,93.22
94.03,93.90,94.23,93.81
93.94,94.03,94.03,93.65
94.64,94.55,94.86,94.40
94.76,94.91,94.91,94.74
94.68,94.76,94.76,94.60
95.25,95.35,95.40,94.85
95.08,95.28,95.38,95.08
95.28,95.16,95.30,94.87
95.06,95.10,95.20,94.92
94.89,95.09,95.47,94.60
95.08,95.64,95.79,95.08
95.17,95.88,95.88,95.17
95.41,95.70,95.77,95.41
95.36,95.39,95.39,95.36
95.77,95.90,96.11,95.77
96.52,97.71,97.71,96.52
97.70,97.85,98.05,97.70
98.07,98.43,98.43,98.07
98.24,98.40,98.53,97.89
97.92,98.10,98.28,97.90
98.09,98.15,98.15,97.71
97.94,98.07,98.09,97.58
98.10,98.49,98.55,98.10
98.16,98.65,98.65,98.16
99.12,99.47,99.51,99.12
100.33,100.22,100.36,100.22
100.06,99.72,100.06,99.71
99.44,99.55,99.89,99.31
99.55,98.99,99.61,98.80
99.97,99.87,99.97,99.67
99.55,99.32,99.55,99.16
99.77,100.01,100.01,99.46
99.99,99.61,99.99,99.61
99.97,100.26,100.26,99.90
100.60,100.96,100.96,100.49
100.86,101.10,101.18,100.52
101.25,101.63,101.63,101.17
102.22,102.29,102.36,102.01
102.42,102.11,102.42,101.75
102.20,102.52,102.52,102.20
103.30,102.90,103.30,102.90
102.87,102.97,102.97,102.86
101.86,102.81,102.81,101.80
101.28,101.01,101.64,100.90
100.76,100.85,101.02,100.76
100.70,100.30,100.70,100.30
101.19,101.18,101.28,101.02
101.44,101.48,101.48,101.18
101.69,101.61,101.82,101.60
101.69,101.53,102.00,101.19
100.31,100.70,100.70,100.30
100.89,100.89,100.89,100.59
101.00,101.60,101.60,100.99
101.25,101.25,101.49,100.96
101.35,101.53,101.54,101.21
101.43,101.36,101.66,101.10
101.34,101.34,101.34,101.10
101.75,101.60,101.75,101.54
102.12,101.67,102.12,101.42
101.67,101.44,101.67,101.21
101.28,101.62,101.62,101.23
101.32,100.99,101.32,100.99
100.95,101.03,101.11,100.89
101.18,100.79,101.18,100.79
100.50,100.57,100.57,100.50
101.13,101.43,101.43,101.11
101.89,102.60,102.60,101.89
101.78,101.78,101.86,101.55
