IKNX,Ikonics Corporation - Common Stock,NASDAQ
6.30,6.30,6.30,6.30
6.30,6.30,6.30,6.30
6.30,6.30,6.31,6.30
6.30,6.30,6.30,6.30
6.30,6.30,6.30,6.30
6.30,6.30,6.30,6.30
6.53,6.53,6.53,6.53
6.53,6.53,6.53,6.53
6.53,6.53,6.53,6.53
6.33,6.40,6.40,6.31
6.36,6.34,6.36,6.34
6.33,6.33,6.33,6.33
6.33,6.33,6.33,6.33
6.33,6.33,6.33,6.33
6.32,6.33,6.33,6.32
6.33,6.33,6.33,6.33
6.33,6.33,6.33,6.33
6.35,6.35,6.35,6.35
6.35,6.35,6.35,6.35
6.35,6.34,6.35,6.34
6.34,6.34,6.34,6.34
6.89,6.89,6.89,6.89
6.41,6.41,6.41,6.41
6.45,6.31,6.45,6.31
6.31,6.31,6.31,6.31
6.31,6.31,6.31,6.31
6.31,6.31,6.31,6.31
6.31,6.31,6.31,6.31
6.31,6.31,6.31,6.31
6.31,6.31,6.31,6.31
6.33,6.33,6.33,6.32
6.33,6.33,6.33,6.33
6.40,6.40,6.40,6.40
6.40,6.40,6.40,6.40
6.40,6.40,6.40,6.40
6.40,6.40,6.40,6.40
6.41,6.45,6.45,6.41
6.45,6.45,6.45,6.45
6.51,6.91,6.91,6.51
6.91,6.91,6.91,6.91
6.91,6.91,6.91,6.91
6.91,6.91,6.91,6.91
6.88,6.89,6.89,6.88
6.89,6.89,6.89,6.89
6.80,7.16,7.16,6.80
7.16,7.16,7.16,7.16
7.16,7.16,7.16,7.16
7.01,6.40,7.01,6.32
6.44,6.68,6.80,6.44
6.68,6.68,6.68,6.68
6.68,6.68,6.68,6.68
6.68,6.68,6.68,6.68
6.76,6.90,7.48,6.70
6.76,6.76,6.76,6.76
6.72,6.73,6.73,6.67
6.73,6.73,6.73,6.73
6.73,6.73,6.73,6.73
6.73,6.73,6.73,6.73
6.73,6.73,6.73,6.73
6.73,6.73,6.73,6.73
6.73,6.73,6.73,6.73
6.93,6.94,6.94,6.93
6.85,6.95,6.95,6.85
6.95,6.95,6.95,6.95
6.95,6.82,6.95,6.82
6.94,6.94,6.94,6.94
6.82,6.95,6.95,6.77
6.94,6.94,6.94,6.94
