IBIO,iBio,NASDAQ
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.95,0.95,0.95,0.95
0.95,0.89,0.95,0.73
0.90,0.85,0.90,0.85
0.68,0.84,0.84,0.65
0.84,0.84,0.84,0.84
0.65,0.70,0.70,0.65
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.66,0.80,0.80,0.66
0.80,0.80,0.80,0.80
0.70,0.70,0.70,0.70
0.64,0.69,0.69,0.64
0.65,0.65,0.65,0.65
0.68,0.65,0.68,0.65
0.64,0.64,0.64,0.64
0.66,0.66,0.66,0.66
0.66,0.66,0.66,0.66
0.66,0.66,0.66,0.66
0.60,0.60,0.62,0.60
0.60,0.58,0.60,0.56
0.55,0.58,0.77,0.53
0.57,0.57,0.57,0.43
0.53,0.57,0.57,0.44
0.50,0.58,0.58,0.50
0.65,0.65,0.67,0.65
0.65,0.63,0.65,0.55
0.65,0.65,0.65,0.65
0.57,0.65,0.65,0.57
0.65,0.65,0.65,0.65
0.66,0.71,0.71,0.66
0.68,0.90,0.90,0.68
0.75,0.83,0.83,0.75
0.78,0.90,0.90,0.75
0.92,0.93,0.95,0.85
0.81,0.87,0.87,0.81
0.87,1.22,1.22,0.87
1.20,1.05,1.20,0.92
1.05,1.05,1.05,1.01
1.05,1.01,1.05,1.01
0.91,0.91,0.91,0.91
1.00,1.00,1.00,1.00
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.95,0.95,1.03,0.95
1.00,1.03,1.03,1.00
1.04,1.07,1.10,1.04
1.07,1.07,1.07,1.07
1.05,1.05,1.05,1.05
1.05,1.05,1.05,1.05
1.04,1.04,1.09,1.00
1.05,1.05,1.05,1.05
1.09,0.95,1.09,0.95
1.05,1.05,1.05,1.05
1.03,1.05,1.05,1.03
1.02,1.06,1.06,1.02
1.05,1.05,1.05,1.05
1.05,1.05,1.05,1.05
1.00,1.00,1.00,1.00
1.00,1.05,1.05,1.00
1.05,1.05,1.05,1.04
1.03,1.05,1.05,1.03
1.05,1.05,1.05,1.05
1.04,1.03,1.04,1.03
1.03,1.05,1.05,1.01
1.05,1.02,1.05,1.02
1.02,1.02,1.02,1.00
1.02,1.04,1.04,1.00
1.00,1.03,1.04,1.00
1.03,1.03,1.03,1.03
1.00,1.00,1.00,1.00
1.03,1.03,1.03,1.02
1.03,1.03,1.03,1.03
1.05,1.05,1.05,1.05
1.04,1.04,1.05,1.04
1.05,1.06,1.06,1.05
1.08,1.08,1.08,1.07
1.06,1.05,1.06,1.05
1.05,1.02,1.05,1.00
1.02,1.00,1.02,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.03,1.04,1.00
0.96,1.03,1.03,0.96
1.03,1.03,1.03,1.03
0.99,1.00,1.00,0.99
0.96,1.03,1.03,0.96
1.03,1.03,1.03,1.03
1.03,1.03,1.03,1.03
1.03,1.03,1.03,1.03
0.96,1.02,1.02,0.96
1.02,1.02,1.02,1.02
1.02,1.02,1.02,1.02
0.95,0.99,1.02,0.95
1.01,0.95,1.01,0.95
0.97,1.00,1.02,0.95
1.02,1.02,1.02,1.02
1.04,1.09,1.09,1.04
1.14,1.02,1.14,1.02
1.14,1.07,1.14,1.07
1.14,1.15,1.15,1.14
1.15,1.20,1.20,1.15
1.10,1.10,1.15,1.10
1.06,1.12,1.13,1.06
1.12,1.12,1.12,1.12
1.06,1.10,1.10,1.06
1.10,1.10,1.10,1.10
1.02,1.10,1.10,1.02
1.10,1.10,1.10,1.10
1.10,1.15,1.15,1.05
1.15,1.19,1.20,1.15
1.19,1.18,1.20,1.18
1.20,1.29,1.29,1.20
1.28,1.35,1.36,1.28
1.37,1.35,1.37,1.30
1.36,1.40,1.40,1.36
1.40,1.37,1.42,1.37
1.38,1.42,1.42,1.35
1.44,1.38,1.44,1.35
1.40,1.40,1.40,1.20
1.34,1.41,1.41,1.34
1.41,1.41,1.41,1.41
1.40,1.43,1.45,1.40
1.42,1.43,1.43,1.42
1.43,1.41,1.45,1.41
1.42,1.40,1.42,1.40
1.40,1.40,1.40,1.28
1.29,1.38,1.40,1.29
1.38,1.38,1.38,1.38
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.40,1.44,1.44,1.40
1.45,1.45,1.45,1.45
1.46,1.46,1.46,1.45
1.46,1.58,1.60,1.46
1.60,1.55,1.60,1.50
1.59,1.61,1.61,1.50
1.61,1.62,1.62,1.55
1.63,1.61,1.63,1.59
1.63,1.62,1.63,1.62
1.62,1.65,1.66,1.60
1.65,1.65,1.65,1.65
1.67,1.66,1.67,1.63
1.65,1.66,1.66,1.65
1.67,1.67,1.67,1.66
1.69,1.67,1.69,1.67
1.66,1.65,1.66,1.45
1.65,1.65,1.65,1.65
1.65,1.69,1.69,1.65
1.66,1.69,1.70,1.66
1.70,1.73,1.73,1.70
1.73,1.73,1.74,1.72
1.74,1.76,1.78,1.73
1.78,1.78,1.82,1.77
1.79,1.75,1.85,1.75
1.85,1.89,1.89,1.84
1.87,1.90,1.90,1.85
1.92,1.92,1.92,1.89
1.92,1.97,1.97,1.90
1.98,2.00,2.00,1.98
1.98,1.99,1.99,1.98
2.00,2.00,2.00,1.98
2.00,2.11,2.16,2.00
2.14,2.07,2.23,2.07
2.12,2.06,2.12,2.00
2.05,1.96,2.09,1.80
1.89,2.02,2.02,1.89
2.00,2.13,2.15,2.00
2.15,2.20,2.20,2.15
2.21,2.22,2.25,2.20
2.25,2.29,2.30,2.16
2.31,2.32,2.39,2.30
2.32,2.35,2.38,2.30
2.38,2.35,2.39,2.35
2.38,2.34,2.39,2.31
2.31,2.36,2.38,2.30
2.36,2.37,2.37,2.30
2.37,2.34,2.37,2.34
2.34,2.35,2.37,2.34
2.33,2.34,2.37,2.32
2.34,2.33,2.37,2.32
2.32,2.27,2.33,2.25
2.25,2.22,2.28,2.22
2.20,2.36,2.36,2.18
2.35,2.25,2.38,2.18
2.20,2.22,2.25,2.18
2.35,2.20,2.35,2.18
2.25,2.20,2.25,2.16
2.25,2.21,2.25,2.19
2.20,2.25,2.38,2.20
2.23,2.17,2.30,2.17
2.24,2.20,2.24,2.18
2.20,2.20,2.25,2.20
2.21,2.20,2.21,2.17
2.20,2.20,2.20,2.20
2.20,2.10,2.22,2.05
2.09,2.18,2.18,2.05
2.10,2.08,2.12,2.08
2.05,2.10,2.16,2.05
2.15,2.11,2.15,2.08
2.13,2.10,2.13,2.10
2.14,2.16,2.25,2.14
2.18,2.30,2.33,2.18
2.30,2.18,2.30,2.15
2.30,2.25,2.35,2.15
2.28,2.36,2.37,2.22
2.35,2.33,2.36,2.33
2.33,2.30,2.37,2.30
2.35,2.30,2.35,2.25
2.35,2.35,2.35,2.30
2.35,2.34,2.38,2.32
2.35,2.35,2.38,2.35
2.38,2.40,2.42,2.35
2.42,2.75,2.75,2.42
2.75,2.90,2.95,2.65
2.95,3.11,3.14,2.85
3.10,3.06,3.14,3.00
3.06,3.02,3.14,3.00
3.10,3.07,3.10,3.00
3.00,2.93,3.10,2.93
2.95,2.88,2.95,2.82
2.89,3.10,3.10,2.89
3.10,3.10,3.10,3.10
3.08,3.04,3.10,3.02
3.04,3.07,3.10,3.02
3.05,3.05,3.06,3.04
3.01,3.06,3.10,3.01
3.10,3.10,3.10,3.06
3.05,3.07,3.10,3.03
3.11,3.14,3.14,3.07
3.10,3.13,3.16,3.05
3.06,3.24,3.24,3.06
3.19,3.21,3.30,3.17
3.30,3.30,3.45,3.29
3.35,3.30,3.44,3.28
3.30,3.34,3.38,3.20
3.32,3.31,3.32,3.27
3.33,3.35,3.35,3.31
3.44,3.34,3.44,3.30
3.41,3.30,3.41,3.25
3.39,3.26,3.39,3.25
3.29,3.29,3.34,3.29
3.30,3.35,3.35,3.30
3.35,3.08,3.35,3.00
3.08,2.82,3.08,2.82
2.90,3.07,3.10,2.89
3.09,3.16,3.16,3.09
3.16,3.09,3.16,3.09
3.10,3.34,3.45,3.05
3.47,3.48,3.48,3.29
3.50,3.51,3.80,3.50
3.55,3.80,3.80,3.55
3.92,4.15,4.42,3.84
4.50,3.95,4.50,3.80
3.95,3.72,4.10,3.35
3.82,3.90,3.90,3.50
4.20,4.91,4.91,4.00
6.06,5.85,6.06,5.19
5.89,5.44,5.89,5.35
5.27,5.15,5.50,4.77
5.25,4.72,5.50,4.72
4.95,5.07,5.30,4.88
5.06,5.17,5.22,4.81
5.18,5.25,5.40,5.02
5.20,5.38,5.44,5.05
5.45,5.20,5.45,5.12
5.83,5.41,5.83,5.06
5.49,5.40,5.49,5.23
5.40,5.40,5.43,5.21
5.43,5.49,5.49,5.21
5.30,5.50,5.50,5.28
5.50,5.50,5.57,5.35
5.45,5.50,5.84,5.40
5.40,5.17,5.45,5.02
5.00,4.41,5.00,4.00
4.37,4.06,4.37,4.00
4.46,4.20,4.46,4.00
4.55,4.20,4.55,4.07
