NOC,Northrop Grumman Corporation Common Stock,NASDAQ
56.10,56.85,56.87,56.10
56.70,56.95,57.45,56.70
56.80,57.17,57.22,56.59
56.92,57.76,57.96,56.72
57.37,57.44,58.10,57.15
57.75,57.50,57.95,57.20
57.24,57.56,57.59,56.80
57.75,59.29,59.57,57.75
59.24,59.30,59.83,58.57
59.06,58.62,59.21,58.12
58.61,58.94,59.61,58.17
58.43,58.29,58.71,57.51
58.15,56.68,58.34,56.58
56.78,55.63,56.86,55.53
56.25,55.70,56.25,55.36
55.64,56.03,56.45,55.30
55.85,56.74,56.96,55.59
56.83,56.64,57.20,55.73
56.96,56.60,57.06,56.31
56.88,57.92,58.10,56.81
57.88,58.18,58.20,57.14
57.85,58.51,58.75,57.77
58.13,57.90,60.39,56.86
58.27,57.66,58.50,56.56
57.76,57.97,58.72,57.17
58.57,59.55,59.96,58.18
59.47,58.54,59.50,58.34
58.53,59.41,59.42,58.00
58.83,58.89,59.05,58.24
59.38,59.56,59.66,58.91
59.72,59.94,59.95,59.40
59.72,61.51,61.51,59.66
61.48,61.21,61.79,60.94
61.22,61.67,62.05,61.18
61.48,61.24,62.23,61.21
61.47,61.69,62.00,61.18
61.17,61.12,61.19,60.16
61.14,61.26,61.42,60.36
61.25,63.01,63.23,61.15
62.96,62.91,63.67,62.80
62.94,62.32,63.03,61.95
62.29,63.08,63.30,62.08
63.42,64.22,64.36,63.38
64.16,64.16,64.44,63.75
63.96,64.00,64.52,63.69
63.86,64.55,64.71,63.78
64.55,64.75,64.80,63.87
64.73,64.00,64.97,63.85
63.98,64.31,64.37,63.80
64.43,64.63,64.89,64.29
64.88,64.90,65.34,64.56
65.03,65.05,65.10,64.73
65.54,65.54,65.61,64.91
65.26,64.94,65.37,64.80
65.05,65.19,65.32,64.83
65.14,64.94,65.35,64.73
65.42,64.98,65.60,64.94
65.02,65.53,65.68,65.02
65.72,65.78,66.06,65.52
65.95,65.72,65.95,65.35
65.39,65.57,65.88,65.19
66.05,66.25,66.61,65.79
66.45,66.42,66.69,66.19
66.20,65.73,66.20,65.54
65.44,65.22,65.90,65.14
65.18,65.10,65.27,64.64
65.08,66.15,66.19,65.07
66.15,66.22,66.63,66.10
66.05,66.64,66.79,65.60
66.84,66.85,66.86,65.84
66.64,66.82,67.00,66.34
66.79,65.97,66.83,65.43
65.68,66.42,66.50,65.60
66.62,67.43,67.61,66.47
67.17,68.37,68.39,66.94
67.96,68.99,69.07,67.79
69.04,68.99,69.04,68.15
69.04,68.93,69.63,68.85
68.77,67.18,68.77,67.10
69.47,68.67,69.80,67.75
68.98,69.38,69.75,68.40
69.31,67.83,69.72,67.77
68.22,69.24,69.38,68.11
68.48,66.66,68.48,66.22
66.20,66.88,67.11,66.20
66.60,64.57,66.72,60.34
64.34,62.84,64.68,62.34
65.13,64.88,65.43,63.73
63.72,64.89,65.70,63.42
64.89,65.75,65.88,64.83
65.49,64.98,65.94,64.79
64.42,63.29,64.79,62.79
63.21,63.67,64.09,62.38
64.17,62.85,64.58,62.84
62.49,62.27,62.97,61.38
61.12,60.02,61.47,59.67
59.03,61.13,61.18,58.56
60.81,60.25,61.48,60.18
58.89,60.80,60.99,58.70
61.31,60.18,61.68,60.09
61.06,61.03,61.06,60.21
61.16,60.49,61.37,60.27
60.17,59.54,61.11,59.50
59.90,60.82,60.87,59.66
61.05,60.93,61.97,60.67
59.63,58.24,59.91,58.04
58.36,57.09,58.37,57.06
56.73,57.38,57.46,56.33
57.63,57.56,58.69,57.32
58.41,59.05,59.17,58.24
58.43,59.69,59.74,58.12
60.17,59.74,60.71,59.62
59.92,60.50,60.62,59.74
60.41,61.08,61.27,60.33
61.52,61.50,61.88,60.81
61.56,62.08,62.16,61.44
62.95,61.24,63.06,61.00
61.08,60.25,61.67,60.12
60.11,59.93,60.52,59.45
59.73,58.88,60.06,58.70
59.02,58.60,59.06,58.05
58.81,58.42,59.39,58.26
57.60,55.52,57.85,55.21
55.42,54.44,55.78,54.37
54.33,54.15,54.50,53.50
54.01,54.10,54.69,53.78
54.65,54.12,54.74,53.57
54.42,55.59,55.62,54.27
56.34,56.17,56.36,55.48
55.91,55.45,55.97,54.81
54.43,54.55,54.80,54.15
55.08,55.26,55.59,54.80
55.85,56.99,57.50,55.85
57.72,56.61,57.72,56.15
56.40,54.74,56.55,54.54
55.09,55.49,55.70,55.00
54.80,56.32,56.36,54.48
57.04,56.03,57.29,55.57
56.67,57.90,57.98,56.55
57.85,58.17,58.49,57.76
58.43,59.04,59.05,58.00
59.40,58.14,59.40,58.02
58.15,58.39,58.78,57.80
59.49,58.44,60.00,57.81
57.99,58.64,58.87,57.20
59.48,59.21,59.48,58.25
58.94,58.92,59.40,58.59
58.90,59.52,59.54,58.82
59.19,59.51,59.67,59.02
59.02,60.01,60.15,58.97
60.23,60.10,60.25,59.57
59.26,59.15,59.67,58.41
57.58,56.93,58.09,56.63
56.12,56.53,56.99,56.11
56.34,56.57,56.84,56.27
56.23,56.23,56.52,55.62
56.76,57.52,58.21,56.38
57.25,58.23,58.34,57.25
57.95,57.06,58.25,56.82
57.17,57.37,57.48,56.47
57.69,56.48,57.92,56.36
55.81,55.34,55.94,54.94
55.03,55.31,55.56,54.17
55.19,54.62,55.65,54.49
55.04,55.48,55.55,54.11
55.40,54.25,55.59,54.25
54.03,54.12,54.49,53.51
54.90,56.57,56.72,54.52
56.79,57.67,57.68,56.65
58.17,57.82,58.48,57.31
57.24,56.54,57.41,56.52
56.42,56.85,57.03,56.42
57.66,57.09,57.67,56.76
57.25,58.73,58.89,57.23
59.61,58.81,59.97,58.69
58.81,58.34,58.81,58.20
58.19,57.99,58.58,57.80
57.90,57.77,58.14,57.59
58.24,58.91,59.27,58.00
59.06,59.75,59.94,58.73
59.60,59.58,60.07,59.39
59.60,59.07,60.15,59.06
58.66,59.05,59.81,58.60
59.79,60.33,60.61,59.60
60.29,60.27,60.61,60.20
60.34,60.52,60.63,59.57
60.17,60.20,60.66,59.88
60.79,60.63,61.74,60.06
61.25,60.33,61.50,60.20
60.14,60.11,60.70,59.84
60.76,62.05,62.31,60.76
62.14,62.08,62.68,61.87
62.60,62.14,62.67,61.71
62.24,62.29,62.85,62.04
62.25,62.01,62.40,61.92
61.98,61.76,62.12,60.97
62.15,62.19,62.54,61.78
62.20,61.83,62.57,61.48
62.58,61.87,62.84,61.66
62.05,61.62,62.05,60.93
60.79,60.43,61.44,60.11
60.64,61.15,61.39,60.64
61.38,61.72,62.30,61.30
61.75,61.90,62.07,61.42
62.14,60.91,62.23,60.85
60.72,61.35,61.56,60.36
61.41,61.38,61.59,60.74
62.05,62.24,62.60,61.38
62.35,63.22,63.23,62.21
63.36,63.51,64.48,63.06
64.01,64.59,64.68,64.01
64.44,64.28,64.75,63.48
64.73,65.27,65.46,64.35
65.22,65.34,65.59,65.11
64.80,65.34,65.59,63.85
65.64,65.28,65.68,64.69
65.07,65.22,65.43,64.66
64.70,64.07,64.74,63.78
63.49,62.90,63.60,62.65
63.00,63.01,63.57,62.57
62.71,61.90,62.82,61.52
62.27,62.05,62.32,61.60
62.60,63.07,63.39,62.60
63.16,63.26,63.37,62.49
62.86,62.28,63.16,61.57
61.43,61.29,61.70,60.65
61.43,62.20,62.32,61.23
61.77,61.76,62.31,61.65
61.16,61.22,61.51,60.33
60.76,61.68,61.97,60.67
62.70,63.35,63.49,62.52
63.47,64.03,64.19,63.34
63.91,63.21,64.05,62.90
63.22,63.72,63.98,63.01
64.13,64.38,64.42,63.93
64.39,64.36,64.51,64.10
64.62,63.61,64.62,63.43
63.94,64.16,64.33,63.79
64.31,64.00,64.37,63.71
64.22,64.71,64.87,64.08
64.48,63.75,64.57,63.61
63.85,64.57,64.57,63.63
64.52,64.12,64.63,64.04
64.37,64.08,64.43,63.82
64.35,64.50,64.84,64.17
64.62,65.13,65.16,64.41
65.08,64.88,65.42,64.73
64.71,64.64,64.77,64.48
64.72,64.81,65.10,64.51
65.00,64.88,65.17,64.66
64.77,64.44,64.96,64.40
64.42,64.78,64.89,64.18
65.15,65.15,65.44,64.92
65.14,65.36,65.38,64.70
65.15,65.70,65.75,64.79
65.82,67.20,67.66,65.77
67.81,68.06,68.75,67.42
67.61,66.93,67.69,66.76
67.18,66.42,67.43,66.40
66.59,66.92,67.43,66.59
67.40,66.52,67.47,66.23
66.47,67.23,67.27,66.29
66.94,69.32,69.84,66.87
69.32,68.93,69.55,68.58
68.98,69.98,70.00,68.61
70.35,69.53,70.35,69.28
69.49,68.91,69.72,68.47
68.84,69.51,69.54,68.55
69.63,68.81,69.64,68.32
69.04,69.22,69.88,68.66
69.31,67.58,69.77,67.33
68.01,69.30,69.36,67.86
69.77,70.27,70.32,69.56
70.10,69.88,70.35,69.67
69.78,69.79,70.00,69.15
69.70,69.57,69.75,69.18
69.78,70.35,70.65,69.67
70.34,71.09,71.14,69.94
71.91,71.87,72.50,70.59
71.33,71.16,71.68,70.44
70.95,70.51,71.16,70.40
70.41,68.70,70.68,68.56
68.23,69.14,69.32,68.14
69.31,68.54,69.54,67.30
68.28,68.90,69.58,68.08
68.90,69.11,69.44,68.77
68.53,67.56,68.65,67.14
67.52,66.92,68.08,66.33
66.42,67.00,67.65,65.65
67.21,66.49,67.59,66.32
66.52,66.68,67.58,66.08
67.01,65.86,67.70,65.66
65.83,66.44,66.69,65.75
66.87,67.51,67.90,66.83
67.54,66.69,67.70,65.85
66.78,65.79,67.25,65.40
65.70,66.89,67.18,65.70
66.77,67.30,67.43,66.30
67.18,66.31,67.49,66.27
66.43,66.10,66.76,65.72
65.63,66.32,66.36,65.35
64.65,66.13,66.60,64.17
66.00,64.94,66.00,64.60
66.18,66.46,67.14,65.94
67.36,66.95,67.50,65.99
67.83,68.22,68.57,67.68
68.08,67.98,68.49,67.82
67.60,67.77,67.97,67.17
67.98,68.05,68.25,67.46
68.10,68.42,68.46,67.35
68.57,67.91,68.73,67.90
67.95,68.21,68.42,67.41
68.40,68.59,68.66,67.57
62.58,62.71,63.44,62.23
62.81,62.97,63.55,62.67
63.14,62.58,63.21,61.54
62.56,62.21,62.94,62.06
62.53,62.36,62.53,61.65
