LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
22.25,22.00,22.25,21.70
22.00,23.00,23.25,21.90
22.95,22.30,23.00,22.25
22.75,22.80,22.95,22.65
22.80,21.50,22.80,21.50
22.00,20.59,22.00,20.00
20.50,19.45,20.55,18.45
19.50,18.60,19.55,17.90
19.75,19.01,19.85,18.70
18.75,18.90,19.28,18.75
19.20,19.80,20.04,19.20
19.85,19.65,20.10,19.60
19.30,18.75,19.40,18.75
19.00,18.85,19.20,18.70
19.05,18.79,19.32,18.25
18.90,17.70,18.93,17.55
17.14,16.90,17.14,16.20
16.35,16.55,17.12,16.25
16.70,16.90,17.15,16.68
16.79,16.57,16.79,16.20
16.99,17.15,17.40,16.80
17.65,17.90,18.00,17.65
17.90,17.77,17.90,16.25
17.65,17.50,17.80,17.20
17.61,17.33,17.66,17.22
17.45,17.33,17.50,17.15
17.05,17.05,17.10,16.75
17.15,16.89,17.20,16.74
17.03,16.75,17.03,16.50
16.79,16.79,17.10,16.70
16.97,16.97,17.07,16.85
16.94,17.14,17.19,16.94
17.19,17.49,17.58,17.19
17.48,17.97,18.00,17.35
17.93,17.64,17.97,17.63
17.68,17.30,17.75,17.14
17.33,17.21,17.35,17.15
17.45,17.10,17.53,17.09
17.09,16.84,17.10,16.80
16.90,16.65,16.95,16.60
16.69,16.80,16.92,16.35
16.90,16.82,16.92,16.70
16.87,16.87,16.87,16.70
16.74,16.25,16.74,16.25
16.27,16.15,16.50,16.15
16.24,15.55,16.30,15.40
15.58,15.48,15.69,15.40
15.50,15.06,15.59,14.90
15.05,15.00,15.15,14.86
14.95,15.05,15.15,14.95
15.10,15.80,16.02,15.00
15.82,15.82,16.02,15.80
15.83,16.40,16.50,15.83
16.40,16.40,16.45,16.25
16.43,16.37,16.43,16.00
16.30,16.20,16.30,16.00
16.18,16.45,16.70,16.11
16.44,16.19,16.44,16.15
16.19,16.24,16.30,16.19
16.26,16.55,16.59,16.26
16.55,16.78,16.79,16.52
17.00,17.65,17.70,17.00
17.92,18.23,18.34,17.25
18.22,17.93,18.22,17.82
18.10,17.94,18.15,17.84
17.92,18.00,18.07,17.68
18.15,18.06,18.26,18.05
18.09,17.90,18.12,17.70
17.90,18.30,18.46,17.90
18.30,18.24,18.30,18.20
18.22,18.00,18.25,17.92
18.00,18.05,18.15,17.99
18.05,17.99,18.05,17.90
17.80,17.61,17.80,17.60
17.63,17.50,17.63,17.40
17.51,18.02,18.03,17.51
18.85,18.70,19.30,18.65
18.95,19.07,19.20,18.95
19.10,19.80,20.05,19.10
19.89,19.80,20.09,19.00
19.80,19.89,20.02,19.76
19.90,20.06,20.25,19.90
19.80,19.99,20.05,19.70
19.94,19.93,20.05,19.87
19.95,20.00,20.50,19.95
20.14,20.44,20.44,19.98
20.40,20.22,20.80,20.22
20.22,20.50,20.51,20.22
20.50,21.02,21.30,20.49
21.05,20.95,21.05,20.76
20.99,21.13,21.30,20.99
21.12,20.96,21.12,20.80
20.95,20.99,21.13,20.95
21.00,20.70,21.15,20.67
20.71,20.79,20.82,20.69
20.78,21.38,21.41,20.78
21.39,21.51,21.57,21.31
21.51,21.56,21.64,21.45
21.75,21.85,22.28,21.75
22.19,22.25,22.25,22.01
22.25,22.20,22.27,22.19
22.21,22.21,22.27,22.17
22.24,21.94,22.28,21.85
21.85,21.85,21.95,21.60
22.00,22.46,22.47,22.00
22.69,23.10,23.11,22.69
23.10,23.45,23.64,23.03
23.38,23.62,23.95,23.37
23.65,23.90,23.95,23.26
23.92,23.87,24.06,23.71
24.03,24.09,24.40,23.93
24.04,24.79,25.00,24.03
24.85,24.22,24.88,23.95
24.26,24.45,24.54,24.19
24.70,25.25,25.28,24.70
25.19,26.16,26.60,25.13
26.10,26.30,26.35,25.45
26.40,26.97,27.12,26.29
26.97,27.02,27.65,24.45
27.10,26.50,27.10,26.50
26.60,26.75,27.04,26.41
26.99,26.52,26.99,26.44
26.70,27.13,27.20,26.65
27.19,27.56,28.00,27.10
27.60,27.55,27.68,27.30
27.84,27.96,28.27,27.72
28.07,27.72,28.12,26.50
27.83,27.21,27.83,26.85
27.38,27.51,27.79,26.99
27.85,26.86,28.25,26.60
26.76,26.00,27.16,25.70
26.30,26.63,26.79,26.18
26.91,26.95,27.47,26.35
27.25,27.41,27.56,26.99
27.45,28.35,28.53,26.76
28.50,28.85,28.85,28.24
29.02,28.44,29.10,28.17
28.40,28.34,28.50,27.74
28.12,28.29,28.80,28.02
28.32,27.40,28.37,27.33
27.25,27.66,27.99,27.20
27.57,26.70,27.65,26.25
26.74,27.23,27.31,26.34
28.06,27.69,28.23,27.54
27.77,28.75,28.88,27.50
28.63,29.68,29.82,28.55
29.25,28.95,29.25,28.81
29.10,29.50,29.54,28.86
29.20,29.38,29.55,29.15
29.90,29.75,29.97,28.86
29.23,29.21,29.50,29.06
29.69,29.88,30.04,29.63
30.21,30.49,30.50,29.41
30.04,30.52,30.71,29.53
30.62,31.08,31.12,30.50
31.50,31.60,31.75,30.93
31.60,30.86,31.85,30.73
31.23,30.61,31.34,29.60
30.56,31.10,31.17,30.46
31.08,31.86,31.97,31.03
31.61,31.99,32.46,31.07
31.99,31.75,32.19,31.52
32.01,31.20,32.07,30.91
31.14,31.87,32.00,30.72
31.91,32.10,32.12,31.62
32.00,32.55,32.57,32.00
32.34,32.95,32.98,32.34
32.95,32.93,33.00,32.79
32.67,32.96,33.03,32.65
32.94,33.28,33.30,32.83
33.21,33.40,33.45,33.18
33.43,33.76,33.82,33.26
33.85,34.40,34.54,33.83
34.75,34.56,34.99,34.43
34.80,34.87,34.95,34.54
34.68,34.85,35.00,34.63
34.93,34.97,35.11,34.72
35.18,34.62,35.23,34.45
34.92,35.24,35.30,34.60
35.60,36.47,36.58,35.51
36.66,36.74,37.00,36.51
36.84,36.40,36.84,35.85
36.28,36.61,37.00,36.04
36.95,36.50,37.00,36.46
36.67,35.66,36.70,35.53
35.26,35.42,35.77,33.57
35.88,35.05,36.22,34.40
35.60,35.65,35.74,34.75
35.70,35.70,36.15,35.53
35.78,36.00,36.25,35.54
36.06,36.20,36.51,35.83
36.30,34.86,36.48,34.62
34.77,35.94,36.04,34.77
36.19,36.84,37.00,35.97
36.51,36.55,36.88,36.17
36.83,36.12,37.44,36.00
36.44,36.17,36.76,35.34
36.49,35.52,36.77,35.29
35.77,35.48,35.85,34.36
35.24,35.84,35.95,34.59
35.33,36.75,36.83,35.33
36.17,37.07,38.89,35.76
37.42,37.40,37.44,36.81
37.39,37.48,37.67,36.56
37.47,37.54,37.80,37.09
37.59,38.59,38.60,37.26
36.90,37.95,38.12,35.34
36.53,35.84,38.75,35.74
35.55,36.64,37.00,34.88
36.66,36.70,37.39,36.26
37.52,38.17,38.54,37.50
38.88,38.08,40.00,37.71
38.37,37.06,38.85,36.76
37.20,38.07,38.58,36.84
38.65,39.56,39.85,38.65
40.20,39.64,40.30,39.34
40.19,39.83,40.30,39.46
39.72,40.73,41.08,39.36
40.92,40.90,41.12,40.31
40.38,39.69,41.00,38.53
39.05,39.16,39.66,38.20
39.08,39.19,40.41,38.75
37.45,38.28,38.64,37.33
38.12,38.09,39.41,37.99
38.83,38.99,39.31,38.77
39.52,38.40,39.58,38.21
39.35,39.67,40.00,38.80
39.63,39.05,39.69,38.69
38.83,39.87,39.97,38.51
40.00,40.39,40.60,39.75
40.40,40.36,40.87,39.92
40.50,40.21,40.82,39.42
39.94,40.14,40.74,39.90
40.39,39.68,40.39,39.49
39.66,39.55,40.13,39.28
39.99,40.27,40.28,39.56
40.50,40.65,41.00,40.36
40.47,41.34,41.51,40.29
41.40,41.61,42.05,41.27
41.63,41.50,41.75,40.72
41.58,42.58,43.28,41.49
42.60,42.49,43.20,41.81
42.03,40.53,42.28,40.36
40.74,40.63,40.88,40.09
40.40,40.42,40.63,39.63
40.42,41.01,41.18,39.99
40.68,40.06,41.12,39.80
40.05,40.78,41.07,39.85
41.46,42.00,42.00,41.36
42.05,42.73,42.80,41.93
42.81,43.26,43.74,42.42
43.53,43.79,44.00,42.98
43.99,43.70,44.41,43.40
43.78,44.44,44.54,43.62
44.66,44.50,45.36,44.27
48.09,45.62,48.12,44.63
45.70,44.57,46.28,44.46
44.41,42.83,44.53,42.00
42.74,41.65,43.39,41.29
41.74,41.08,42.79,40.88
41.08,41.50,42.29,41.03
42.03,42.24,42.50,41.75
42.50,42.22,43.31,41.46
42.00,41.33,42.33,41.17
41.63,39.68,41.75,39.36
38.32,38.10,39.25,37.73
38.10,38.95,39.22,38.07
39.11,41.00,41.06,38.94
41.25,41.00,41.57,40.49
40.70,40.00,40.83,39.67
38.91,38.90,39.35,38.16
39.43,39.75,40.00,39.25
39.50,41.59,42.08,39.49
41.63,41.76,42.20,40.78
42.12,42.74,42.74,41.82
43.47,43.81,43.82,42.84
43.67,42.28,44.21,42.11
42.66,41.70,42.98,41.06
40.50,39.89,40.71,39.21
40.05,38.24,40.08,38.12
